scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x,dx,pitch,dtheta,height,zoh_ctrl_max_difference,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,0,0.01,0,0,1,2,2,0,-0.01,0,0,0.31546266611158202,0,-0.96446364670955909,1.6404600368321116,0,-0.9835428589682198,1.6391027017950901,0,-0,-0,-0,-0,-0,-0,-0.1558228810012853,-1.9558769180289441,0.055629260102553806,0.15272937105260695,-4.4283698307504933,0.055629260102553806,0.1558228810012853,1.9558769180289441,-0.055629260102553806,-0.15272937105260695,4.4283698307504933,-0.055629260102553806
hold,0,1,0.020000000000000004,0,0,1,2,2,-9.415829243382412e-05,-0.0090228984681285634,1.8409403070385421e-05,0.0030785294535862228,0.31546654686262632,0,-0.96463171005443504,1.6404073132281269,0.0023372166504980899,-0.9837085257479623,1.639048230706017,0.0023262620892878973,-0.028374662854123652,-0.0086746467609879595,0.36942380885147186,-0.028019974224652341,-0.0090433921968410217,0.36834910105374019,-0.12610371138815399,-1.9467804824360788,0.047804989750449819,0.18207467951519929,-4.4188906698410673,0.047804989750449819,0.12610371138815399,1.9467804824360788,-0.047804989750449819,-0.18207467951519929,4.4188906698410673,-0.047804989750449819
hold,0,2,0.030000000000000013,0,0,1,2,2,-0.00018377921647237672,-0.0089133818019439832,0.00040037965234041543,0.061620476960617766,0.31547813194222774,0,-0.96470232263099298,1.6402672545113601,0.0073880672339136392,-0.98377825623445103,1.6389003200525283,0.0074010915133861863,0.0067241513787437727,-0.017448452508337695,0.59145504779760516,0.0067180467581881634,-0.018711428128871548,0.5961730022378845,-0.16063762500855791,-1.9368862069545947,-0.0044887213940630333,0.14789450242426863,-4.4080393486811271,-0.0044887213940630333,0.16063762500855791,1.9368862069545947,0.0044887213940630333,-0.14789450242426863,4.4080393486811271,0.0044887213940630333
hold,0,3,0.040000000000000022,0,0,1,2,2,-0.00027215935383208267,-0.0087772903565060401,0.00096073511100384413,0.052320685839528445,0.31548862523011928,0,-0.96466666936314271,1.6401273659782063,0.013034232308332096,-0.98376111934556498,1.6387473951395557,0.013229673541802843,0.00093386208799829695,-0.011723521390916172,0.54915845225907056,-0.0022412444650555634,-0.013220157585705172,0.57758695118090397,-0.15513256186061458,-1.9414920298067855,-0.021264019474954272,0.15671669853642395,-4.4123072199205131,-0.021264019474954272,0.15513256186061458,1.9414920298067855,0.021264019474954272,-0.15671669853642395,4.4123072199205131,0.021264019474954272
hold,0,4,0.050000000000000031,0,0,1,2,2,-0.00036165197910130453,-0.0090548095844271183,0.001504080482778971,0.055682476603259666,0.31549217925629397,0,-0.9645484133285791,1.6400450647357991,0.017816725094264445,-0.98370534327380355,1.6386489455525579,0.018512489874138487,0.018642766171616768,-0.0059403658047740482,0.43389962676460347,0.010108311143127385,-0.0077230138438222056,0.50017714001428049,-0.17378751422074196,-1.9466167754536703,-0.043035532440411688,0.14392093435414952,-4.4170167669664133,-0.043035532440411688,0.17378751422074196,1.9466167754536703,0.043035532440411688,-0.14392093435414952,4.4170167669664133,0.043035532440411688
hold,0,5,0.060000000000000039,0,0,1,2,2,-0.00045344267518344916,-0.0092555794440133017,0.0018955381011324379,0.028123411684720857,0.31548673957444895,0,-0.96437904031553334,1.6400456541380986,0.02096163126849129,-0.98366656777139505,1.638631545871881,0.022622828195915105,0.015314116037468864,0.00408238648875754,0.23852950895574865,-0.00094988418793159239,0.0021524178681670888,0.35661247112618716,-0.17181384819096013,-1.9566442429655972,-0.039758751652846744,0.15466892566594054,-4.4267530012329876,-0.039758751652846744,0.17181384819096013,1.9566442429655972,0.039758751652846744,-0.15466892566594054,4.4267530012329876,0.039758751652846744
hold,0,6,0.070000000000000048,0,0,1,2,2,-0.00054763965711673857,-0.0095262351153386944,0.0020848487451354636,0.012803326860002961,0.31547354293055163,0,-0.96418998092232955,1.6401249826909385,0.022392432346179093,-0.98368829803845759,1.6386876295238024,0.025566511532265499,0.020944964305700975,0.010528765977859959,0.081537245926579571,-0.0034974210438012952,0.0078860628586496159,0.2562861941895147,-0.17895717160482258,-1.9637252508774194,-0.035807656943887822,0.15739030465831053,-4.4329353154388418,-0.035807656943887822,0.17895717160482258,1.9637252508774194,0.035807656943887822,-0.15739030465831053,4.4329353154388418,0.035807656943887822
hold,0,7,0.080000000000000057,0,0,1,2,2,-0.00064367751688451658,-0.0096549596591959438,0.0020972838674126202,-0.0064627429996216724,0.31545574765117468,0,-0.96399378655001255,1.6402560809994911,0.022464053465448098,-0.98379000190523169,1.6387881448877237,0.027759397863358869,0.018252981364382814,0.015012808813209336,-0.039898751282420722,-0.014974261641915287,0.011487761657264629,0.19691124210926425,-0.17783474364204035,-1.969258080181189,-0.023169710966918094,0.16968077619061736,-4.4373411371488274,-0.023169710966918094,0.17783474364204035,1.969258080181189,0.023169710966918094,-0.16968077619061736,4.4373411371488274,0.023169710966918094
hold,0,8,0.090000000000000066,0,0,1,2,2,-0.00074068309319864911,-0.0097318622002622885,0.0019974877749856053,-0.012323233296474912,0.31543679091734289,0,-0.9638007754166209,1.6404090535341571,0.021782529005913702,-0.98397583392910659,1.6388971312226208,0.029791493226250888,0.019942940521056704,0.015492982687188569,-0.086885614571863112,-0.021208923606229436,0.010520586345937081,0.20858987063465131,-0.18106879186584746,-1.9709620343324967,-0.014824868946782272,0.17740209434593071,-4.4372458525166758,-0.014824868946782272,0.18106879186584746,1.9709620343324967,0.014824868946782272,-0.17740209434593071,4.4372458525166758,0.014824868946782272
hold,0,9,0.10000000000000007,0,0,1,2,2,-0.00083794886380920974,-0.0097238518511605764,0.0018674454378153193,-0.013455523264659543,0.31541939149319342,0,-0.96359826508070046,1.640554747365087,0.02090102590748593,-0.98423181805661031,1.6389836872360788,0.032217834909040094,0.020479826252507188,0.013970619300915778,-0.08940939868493307,-0.028692028644884186,0.0074115512716315902,0.26627548547109503,-0.18322576028466153,-1.9706052215936629,-0.0087339948460717597,0.18693307240461518,-4.4348292655500341,-0.0087339948460717597,0.18322576028466153,1.9706052215936629,0.0087339948460717597,-0.18693307240461518,4.4348292655500341,0.0087339948460717597
