scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x,dx,pitch,dtheta,height,zoh_ctrl_max_difference,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,0,0.01,0,0,1,1,1,0,0,0.01,0,0.31623804860583887,0,-0.96446364670955909,1.6404600368321116,0,-0.9835428589682198,1.6391027017950901,0,-0,-0,-0,-0,-0,-0,-0.1558228810012853,-1.9558769180289441,-0.39499172355003775,0.15272937105260695,-4.4283698307504933,-0.39499172355003775,0.1558228810012853,1.9558769180289441,0.39499172355003775,-0.15272937105260695,4.4283698307504933,0.39499172355003775
hold,0,1,0.020000000000000004,0,0,1,2,2,-1.9709195061848317e-05,-0.0043015106128903025,0.0099198613349588786,-0.016538016036265979,0.31622855041386766,0,-0.95931757257571215,1.6323639943672492,-0.0473370264359919,-0.97601239892809022,1.6273637528592131,-0.036676375300899781,0.68569423328961432,-0.95606413291992176,-6.2300304646530282,0.76421876464305849,-1.0295518660889484,-4.0773061367919849,-0.88268570736167506,-0.93504444539012321,-0.35742636952964868,-0.67173307391148818,-3.3049063731745285,-0.35742636952964868,0.88268570736167506,0.93504444539012321,0.35742636952964868,0.67173307391148818,3.3049063731745285,0.35742636952964868
hold,0,2,0.030000000000000013,0,0,1,2,2,1.3383651112017225e-05,0.0087698765511892846,0.00079956148557729187,-1.5083648899349733,0.31587729071913923,0,-0.9639702161355117,1.6305593824270561,-0.098854928873201894,-0.98116831236723689,1.625714384069942,-0.073510834764253352,-1.1810964799184185,0.22838241706757409,-4.9092366634292004,-1.3036528461212784,0.28870407487534033,-3.6767868348964834,1.021326154324754,-2.1050540998560741,0.86932133437586578,1.4373858443660221,-4.6099673638246488,0.86932133437586578,-1.021326154324754,2.1050540998560741,-0.86932133437586578,-1.4373858443660221,4.6099673638246488,-0.86932133437586578
hold,0,3,0.040000000000000022,0,0,1,2,2,2.0697414424702965e-06,-0.0074208944525916663,-1.6342488558042685e-05,0.86983488791532915,0.31555013131964144,0,-0.96458922919543455,1.6328164041138651,-0.11936845547006621,-0.98322623029864942,1.6285352929911268,-0.083458996209524655,0.70209396727503592,0.18835839728853507,-0.31703707893248667,0.55185865962781155,0.23526213899534415,0.68167335447309396,-0.85691218838931749,-2.0830862535715071,-0.50576267538912179,-0.40166231793176765,-4.5790926993141303,-0.50576267538912179,0.85691218838931749,2.0830862535715071,0.50576267538912179,0.40166231793176765,4.5790926993141303,0.50576267538912179
hold,0,4,0.050000000000000031,0,0,1,2,2,-2.7142943018046428e-05,0.00018289423802606009,0.0013975510960191838,-0.3442521937739621,0.31529964030102431,0,-0.96321814773942127,1.6357646253336451,-0.13530887205779726,-0.98371778792108855,1.6322251084737953,-0.08934441606027585,-0.2300656890626655,0.34829033758042804,-2.477168296700941,-0.44502765714202697,0.44003581122079083,-1.4085257546676522,0.06427881630027768,-2.2666039636216402,0.16061566170373415,0.59915645981758392,-4.813384895400926,0.16061566170373415,-0.06427881630027768,2.2666039636216402,-0.16061566170373415,-0.59915645981758392,4.813384895400926,-0.16061566170373415
hold,0,5,0.060000000000000039,0,0,1,2,2,-5.6105436052736324e-05,-0.0049526900580693445,0.0018018685079508165,0.29682019761719469,0.31511148053847343,0,-0.96213561937157821,1.6385626177766084,-0.1530842318469289,-0.98432758955611988,1.635673129789688,-0.098656635797395711,0.34123834690829624,0.22485666040895155,-1.3438952852774988,0.20051971698444182,0.27629406797489275,-0.64088480091889877,-0.51568544661342852,-2.16555422599387,-0.23034619520735733,-0.041512501228634285,-4.6772273226821692,-0.23034619520735733,0.51568544661342852,2.16555422599387,0.23034619520735733,0.041512501228634285,4.6772273226821692,0.23034619520735733
hold,0,6,0.070000000000000048,0,0,1,2,2,-8.4449347846030087e-05,-0.0014253630592516147,0.0015561009479113503,-0.23890991114087451,0.31499620590564009,0,-0.9612104715490446,1.6408764832936646,-0.17112039909566137,-0.98468577060593732,1.638359798372079,-0.1099074100041089,-0.069032663035135222,0.23090457942468792,-2.1193112628050654,-0.1935231345491234,0.26130877691976806,-1.4371891116385407,-0.11281561925026598,-2.1901130691460562,0.097140300185049794,0.35539579870347049,-4.6837353802861728,0.097140300185049794,0.11281561925026598,2.1901130691460562,-0.097140300185049794,-0.35539579870347049,4.6837353802861728,-0.097140300185049794
hold,0,7,0.080000000000000057,0,0,1,2,2,-0.00010604986790818671,-0.0026811449829428897,0.00059677945009085096,-0.00067034128759680539,0.31494485917743198,0,-0.9605713770152069,1.6424461685077132,-0.1882289258616951,-0.98512138281916739,1.6401974343359842,-0.12122454222811151,0.15412730264728675,0.10770514839843362,-1.4547245108488387,0.058446113288385476,0.13264297782032908,-0.94717141195225896,-0.3410883412033896,-2.0794711198321902,-0.0079234520237442992,0.10691144857180218,-4.5697706688979753,-0.0079234520237442992,0.3410883412033896,2.0794711198321902,0.0079234520237442992,-0.10691144857180218,4.5697706688979753,0.0079234520237442992
hold,0,8,0.090000000000000066,0,0,1,2,2,-0.00011555623464348797,0.00018248472349674614,-0.00072269702426922932,-0.21949927591051538,0.31494889397189357,0,-0.96028547042067081,1.6432392834561433,-0.20188780181120952,-0.98566427640563137,1.6412106910698727,-0.13049582991212666,-0.054211971456342482,0.061049635879102525,-1.3154503747210884,-0.12892166623257567,0.081278829054334895,-0.92080871739976089,-0.13503631985604905,-2.0391605269003006,0.16607630313079219,0.29862237678447512,-4.5265125740030889,0.16607630313079219,0.13503631985604905,2.0391605269003006,-0.16607630313079219,-0.29862237678447512,4.5265125740030889,-0.16607630313079219
hold,0,9,0.10000000000000007,0,0,1,2,2,-0.00011029599148429381,0.00073442483248029825,-0.0019176349661953083,-0.052839238238449611,0.31499792590385534,0,-0.96033222122769257,1.6433834359661437,-0.20977577846455259,-0.98621230874419696,1.6414991608216705,-0.13582845508225397,0.028186325240120363,-0.014521910025982236,-0.45063762583937628,-0.00106769268953541,-0.0053304967904970486,-0.30885755733338205,-0.21706061009633776,-1.9647422010752185,0.10525345007941675,0.17515266194995965,-4.4422110061726388,0.10525345007941675,0.21706061009633776,1.9647422010752185,-0.10525345007941675,-0.17515266194995965,4.4422110061726388,-0.10525345007941675
hold,0,10,0.11000000000000008,0,0,1,2,2,-8.9722084705423644e-05,0.0029021845436766626,-0.0026300116025824451,-0.083594523945141136,0.31507933744608957,0,-0.9606531700680212,1.6430829271512906,-0.21106320056454037,-0.98700561783648888,1.6410967181288303,-0.13349206306642658,-0.072377884108619006,-0.038788531978887764,0.078926809050039237,-0.11959042909034978,-0.048831146227176735,0.44060502824215214,-0.11392881002496938,-1.9380715086034881,0.14063696816077081,0.30002187108910938,-4.3954908151932379,0.14063696816077081,0.11392881002496938,1.9380715086034881,-0.14063696816077081,-0.30002187108910938,4.3954908151932379,-0.14063696816077081
hold,0,11,0.12000000000000009,0,0,1,2,2,-6.2429945420203192e-05,0.0026299320449230967,-0.0023470402472338453,0.10293189339468239,0.3151808912115529,0,-0.96071993207705475,1.642537169797432,-0.20675614288046318,-0.9873097018735868,1.640463492412646,-0.12720749822895758,0.037497057591567087,-0.064292306443823541,0.65875867752886519,0.023567188183192433,-0.071091145161615882,0.78239185346151396,-0.22326965565288709,-1.908201675307684,0.013449382365570667,0.1592969261123505,-4.3681650105293244,0.013449382365570667,0.22326965565288709,1.908201675307684,-0.013449382365570667,-0.1592969261123505,4.3681650105293244,-0.013449382365570667
