side,hip_rad,knee_rad,wheel_rad,connect1_rad,connect2_rad,solver_iterations,closure_residual_m,passive_min_singular_value,passive_condition_number,fk_position_error_m,fk_rotation_matrix_error,full_jacobian_error,constraint_tangent_residual,reduced_jacobian_error,finite_difference_linear_error,finite_difference_angular_error,velocity_error,virtual_work_error_nm,power_error_w
left,-0.65,-0.75,-1.0,-0.7499999999999942,0.7499999999999958,0,5.551115123125783e-17,0.007370926269926922,30.199307571475806,1.1102230246251565e-16,2.5795677962236483e-16,3.8285686989269494e-16,2.7582221707940584e-17,3.8285686989269494e-16,3.722369634751033e-12,8.058208708447933e-12,6.152615125883829e-17,5.551115123125783e-17,0.0
left,-0.65,-0.75,0.0,-0.7499999999999942,0.7499999999999958,0,5.551115123125783e-17,0.007370926269926922,30.199307571475806,1.1102230246251565e-16,2.783397804650923e-16,3.8285686989269494e-16,2.7582221707940584e-17,3.8285686989269494e-16,3.0001001682933293e-12,5.628673562879867e-12,6.152615125883829e-17,5.551115123125783e-17,0.0
left,-0.65,-0.75,1.0,-0.7499999999999942,0.7499999999999958,0,5.551115123125783e-17,0.007370926269926922,30.199307571475806,1.1102230246251565e-16,3.5510129427706603e-16,3.8285686989269494e-16,2.7582221707940584e-17,3.8285686989269494e-16,4.608549653006833e-12,8.53838075439435e-12,6.152615125883829e-17,5.551115123125783e-17,1.3877787807814457e-17
left,-0.65,-0.5,-1.0,-0.49999999999988776,0.4999999999999286,0,3.219646771412954e-15,0.016787192803020004,13.410883298359181,1.1102230246251565e-16,2.2631048488820563e-16,3.8285686989269494e-16,4.4591284159484794e-17,3.8285686989269494e-16,1.2633089019331578e-11,1.6683321391042227e-11,6.152615125883829e-17,5.551115123125783e-17,1.3877787807814457e-17
left,-0.65,-0.5,0.0,-0.49999999999988776,0.4999999999999286,0,3.219646771412954e-15,0.016787192803020004,13.410883298359181,1.1102230246251565e-16,4.440892098500626e-16,3.8285686989269494e-16,4.4591284159484794e-17,3.8285686989269494e-16,8.33730307014946e-12,1.5163426070330388e-11,6.152615125883829e-17,1.1102230246251565e-16,0.0
left,-0.65,-0.5,1.0,-0.49999999999988776,0.4999999999999286,0,3.219646771412954e-15,0.016787192803020004,13.410883298359181,1.1102230246251565e-16,3.885780586188048e-16,3.8285686989269494e-16,4.4591284159484794e-17,3.8285686989269494e-16,8.33730307014946e-12,1.3821721545070886e-11,6.152615125883829e-17,5.551115123125783e-17,6.938893903907228e-18
left,-0.65,-0.25,-1.0,-0.24999999999999836,0.24999999999999822,0,1.6653345369377348e-16,0.024747805580928196,9.278923899570492,1.1102230246251565e-16,1.6653345369377348e-16,2.718345674301793e-16,1.3341414346989982e-16,2.718345674301793e-16,1.2315301556320435e-11,1.260691551152604e-11,4.2652359840210616e-17,1.1102230246251565e-16,1.3877787807814457e-17
left,-0.65,-0.25,0.0,-0.24999999999999836,0.24999999999999822,0,1.6653345369377348e-16,0.024747805580928196,9.278923899570492,1.1102230246251565e-16,2.220446049250313e-16,2.718345674301793e-16,1.3341414346989982e-16,2.718345674301793e-16,1.3234510709558833e-11,9.33053634355474e-12,4.2652359840210616e-17,0.0,2.7755575615628914e-17
left,-0.65,-0.25,1.0,-0.24999999999999836,0.24999999999999822,0,1.6653345369377348e-16,0.024747805580928196,9.278923899570492,1.1102230246251565e-16,2.220446049250313e-16,2.718345674301793e-16,1.3341414346989982e-16,2.718345674301793e-16,1.2765816181925516e-11,1.262723259287668e-11,4.2652359840210616e-17,0.0,6.938893903907228e-18
left,-0.65,0.0,-1.0,0.0,0.0,0,0.0,0.03066181307664957,7.6936613995234815,1.1102230246251565e-16,2.220446049250313e-16,2.718345674301793e-16,4.529428739177415e-17,2.718345674301793e-16,6.008332720242038e-12,1.6654733359008057e-11,4.2652359840210616e-17,0.0,0.0
