scenario,episode,tick,physics_begin,physics_end,source_time_ns,receipt_time_ns,core_status,probe_status,dt_s,command_attempted,command_accepted,probe_command_attempted,probe_command_accepted,fault_event,injected_torque_nm,zoh_ctrl_max_difference,contact_left,contact_right,base_position_0,base_position_1,base_position_2,base_quaternion_0,base_quaternion_1,base_quaternion_2,base_quaternion_3,base_linear_velocity_0,base_linear_velocity_1,base_linear_velocity_2,base_angular_velocity_0,base_angular_velocity_1,base_angular_velocity_2,q_0,q_1,q_2,q_3,q_4,q_5,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,tau_pd_0,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_pd_5,tau_gravity_0,tau_gravity_1,tau_gravity_2,tau_gravity_3,tau_gravity_4,tau_gravity_5,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,disturbance_0,disturbance_1,disturbance_2,disturbance_3,disturbance_4,disturbance_5
control,0,0,0,5,0,0,0,-1,0,1,1,0,0,none,0,0,1,1,-0.077378152000000006,8.0999999999999997e-07,0.56772232,1,0,0,0,0,0,0,0,0,0,-1.3267204093873923,2.2088002548867229,0,-1.3267204093873923,2.2088002548867229,0,-0,-0,-0,-0,-0,-0,-0.31236931009134672,1.4705485361603337,0.00035741999074187812,-0.31209840600709937,1.4712025181233361,-0.0001210706308011254,0.31236931009134672,-1.4705485361603337,-0.00035741999074187812,0.31209840600709937,-1.4712025181233361,0.0001210706308011254,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.31236931009134672,1.4705485361603337,0.00035741999074187812,-0.31209840600709937,1.4712025181233361,-0.0001210706308011254,-0.31236931009134672,1.4705485361603337,0.00035741999074187812,-0.31209840600709937,1.4712025181233361,-0.0001210706308011254,0,0,0,0,0,0,0,0,0,0,0,0
control,0,1,5,10,10000000,10000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077481211095199232,9.1740635483668482e-07,0.56764696390638425,0.99999999515100257,-1.2418897825119358e-07,-9.847820626827846e-05,1.497303378385536e-07,-0.017291921913847094,1.7778231593748687e-05,-0.011155627849052857,-4.022631430162008e-05,-0.032651986911559384,4.6373540044004305e-05,-1.3267888778390071,2.2093212701810283,-0.00065112490075644783,-1.3267884394687177,2.2093203226157576,-0.00064790883672519249,-0.0041803410484091072,0.078438250405815785,-0.10717515450920051,-0.0041024165648560276,0.078283468041505169,-0.10665380671787904,-0.31185182134367129,1.4710969687774353,0.000357458946303696,-0.31158206775485908,1.4717495982497304,-0.00012114593058498477,0.31185182134367129,-1.4710969687774353,-0.000357458946303696,0.31158206775485908,-1.4717495982497304,0.00012114593058498477,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.31185182134367129,1.4710969687774353,0.000357458946303696,-0.31158206775485908,1.4717495982497304,-0.00012114593058498477,-0.31185182134367129,1.4710969687774353,0.000357458946303696,-0.31158206775485908,1.4717495982497304,-0.00012114593058498477,0,0,0,0,0,0,0,0,0,0,0,0
control,0,2,10,15,20000000,20000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077759739664155017,1.1966180191821772e-06,0.5675097652752874,0.99999993668826359,-4.2578710210354599e-07,-0.00035584137086416747,4.5469911423812751e-07,-0.034852839578544355,3.4515668159894875e-05,-0.01468793171272406,-7.2720898931411589e-05,-0.063756909162380401,6.7236536343129257e-05,-1.3266472538050285,2.2103278455408213,-0.0023181325988191458,-1.3266453983129787,2.2103245391828223,-0.0023070866330780447,0.02989027557726804,0.1109227339443796,-0.20507019034330451,0.030078560228389072,0.11063608282265705,-0.2041236460769702,-0.31039767476865221,1.4724871000594437,0.00035756065572144089,-0.31013030342040682,1.4731367146523533,-0.00012134270873675881,0.31039767476865221,-1.4724871000594437,-0.00035756065572144089,0.31013030342040682,-1.4731367146523533,0.00012134270873675881,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.31039767476865221,1.4724871000594437,0.00035756065572144089,-0.31013030342040682,1.4731367146523533,-0.00012134270873675881,-0.31039767476865221,1.4724871000594437,0.00035756065572144089,-0.31013030342040682,1.4731367146523533,-0.00012134270873675881,0,0,0,0,0,0,0,0,0,0,0,0
control,0,3,15,20,30000000,30000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.078208179216185184,1.632523156156631e-06,0.56736818747976181,0.99999971135730437,-8.6386249536700202e-07,-0.00075979205257994194,7.7395298997574909e-07,-0.051153305779070374,4.9231548759908157e-05,-0.013259457206697869,-9.5997985451564991e-05,-0.091401655419919167,5.676133387719753e-05,-1.3260295192899785,2.2114673016628577,-0.0048894624341870342,-1.3260249558182642,2.2114604962956945,-0.0048669905735463977,0.084605479457656355,0.11237256083610776,-0.28908016171116163,0.084934940270104842,0.11198623855019516,-0.28782358594363483,-0.30799434966957817,1.4746107856515038,0.00035772006905776147,-0.30772962257543462,1.4752565620756652,-0.0001216515054961875,0.30799434966957817,-1.4746107856515038,-0.00035772006905776147,0.30772962257543462,-1.4752565620756652,0.0001216515054961875,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.30799434966957817,1.4746107856515038,0.00035772006905776147,-0.30772962257543462,1.4752565620756652,-0.0001216515054961875,-0.30799434966957817,1.4746107856515038,0.00035772006905776147,-0.30772962257543462,1.4752565620756652,-0.0001216515054961875,0,0,0,0,0,0,0,0,0,0,0,0
control,0,4,20,25,40000000,40000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.078800614849524137,2.1973844940658159e-06,0.5672503697577953,0.99999917514953818,-1.3920874592622142e-06,-0.0012844054512155855,9.71107066275116e-07,-0.06425588045876568,6.1063311500295062e-05,-0.01110103092179239,-0.00011169187953552072,-0.11336492871357215,2.8276480941382421e-05,-1.3248739278960462,2.2125485537729701,-0.0081835040785162953,-1.3248652018927174,2.2125374627271328,-0.0081471988934662034,0.13349642585702137,0.10674990423440706,-0.35447052247465188,0.13396703035548699,0.10629507463444118,-0.35300259062679312,-0.3047726073150851,1.4773075820363957,0.0003579267209244645,-0.30450987525987983,1.4779495247495884,-0.00012205241370463792,0.3047726073150851,-1.4773075820363957,-0.0003579267209244645,0.30450987525987983,-1.4779495247495884,0.00012205241370463792,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.3047726073150851,1.4773075820363957,0.0003579267209244645,-0.30450987525987983,1.4779495247495884,-0.00012205241370463792,-0.3047726073150851,1.4773075820363957,0.0003579267209244645,-0.30450987525987983,1.4779495247495884,-0.00012205241370463792,0,0,0,0,0,0,0,0,0,0,0,0
control,0,5,25,30,50000000,50000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.079509496861316337,2.8710178998859752e-06,0.5671413591393315,0.99999817979313832,-1.9955486594485901e-06,-0.0019079846264977078,1.0457760146929539e-06,-0.075015818225306605,7.1367213375769673e-05,-0.010945858238249206,-0.00012636871763121343,-0.13182876799180904,7.0208207865272818e-06,-1.3233346841302744,2.2136366450538736,-0.012067432411566258,-1.3233205478839203,2.2136206352987489,-0.012015281625208499,0.1656800782068838,0.1109511004126631,-0.40945802054580299,0.16626422857628606,0.11043573374233859,-0.40779256566961586,-0.30091153827535533,1.4804657289281982,0.00035817182846043628,-0.30065014551227487,1.4811039172593137,-0.00012252874738818555,0.30091153827535533,-1.4804657289281982,-0.00035817182846043628,0.30065014551227487,-1.4811039172593137,0.00012252874738818555,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.30091153827535533,1.4804657289281982,0.00035817182846043628,-0.30065014551227487,1.4811039172593137,-0.00012252874738818555,-0.30091153827535533,1.4804657289281982,0.00035817182846043628,-0.30065014551227487,1.4811039172593137,-0.00012252874738818555,0,0,0,0,0,0,0,0,0,0,0,0
control,0,6,30,35,60000000,60000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.08031339111355161,3.6388911877307022e-06,0.56702807615807094,0.99999658396128022,-2.6688100216766336e-06,-0.0026138204944628316,1.0351173868530812e-06,-0.083690568595033862,8.0195195428399904e-05,-0.011640318142788953,-0.00013968436548820009,-0.14692972234624149,-7.4859818978872406e-06,-1.3215397760043626,2.214790175253238,-0.01643823849441671,-1.3215192502238673,2.2147686886658953,-0.016368376783558351,0.18742274149877289,0.11835609247746941,-0.45382380543926254,0.18809470499869921,0.1177883039348563,-0.4519794944008354,-0.29655457404621477,1.4839976872759193,0.00035844858907484861,-0.2962940909683392,1.4846320738174557,-0.00012306764296318457,0.29655457404621477,-1.4839976872759193,-0.00035844858907484861,0.2962940909683392,-1.4846320738174557,0.00012306764296318457,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.29655457404621477,1.4839976872759193,0.00035844858907484861,-0.2962940909683392,1.4846320738174557,-0.00012306764296318457,-0.29655457404621477,1.4839976872759193,0.00035844858907484861,-0.2962940909683392,1.4846320738174557,-0.00012306764296318457,0,0,0,0,0,0,0,0,0,0,0,0
control,0,7,35,40,70000000,70000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.081191987103498175,4.4859181094867001e-06,0.56690621947461739,0.99999427082410453,-3.4034370555834648e-06,-0.0033850120307249466,9.6777523143536044e-07,-0.09036599448499967,8.7496396718674164e-05,-0.012551216481389677,-0.00015113934466957801,-0.15864901997302261,-1.6914365093291998e-05,-1.3195725796734727,2.2160172154351589,-0.021186587330676961,-1.3195449270521953,2.2159897837399551,-0.021097382090570237,0.20189489548744027,0.1253650475940162,-0.48711772806264803,0.20263146692520975,0.12475433955850519,-0.48512073185013826,-0.29183194207772323,1.4878095347046727,0.0003587501551313004,-0.29157209884910257,1.4884400056787568,-0.00012365610784696141,0.29183194207772323,-1.4878095347046727,-0.0003587501551313004,0.29157209884910257,-1.4884400056787568,0.00012365610784696141,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.29183194207772323,1.4878095347046727,0.0003587501551313004,-0.29157209884910257,1.4884400056787568,-0.00012365610784696141,-0.29183194207772323,1.4878095347046727,0.0003587501551313004,-0.29157209884910257,1.4884400056787568,-0.00012365610784696141,0,0,0,0,0,0,0,0,0,0,0,0
control,0,8,40,45,80000000,80000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.082125707049802918,5.3966634142297577e-06,0.56677551527555048,0.9999911599428809,-4.1890972502697379e-06,-0.00420476132446499,8.6486675885904142e-07,-0.095111428456745015,9.3246559157965828e-05,-0.01339410893213111,-0.00016042735650334403,-0.16703173340255892,-2.2656278888561714e-05,-1.3174965677305708,2.2173036645674853,-0.026201068126711972,-1.3174612696159997,2.2172699206712974,-0.026091179947331292,0.21048778488682124,0.13047451853663145,-0.50927166379695654,0.21126796969269138,0.12983136189087863,-0.50715333254054495,-0.28686710527752057,1.4918057379919385,0.00035906976943011652,-0.28660773930717293,1.4924321607231903,-0.00012428125058664549,0.28686710527752057,-1.4918057379919385,-0.00035906976943011652,0.28660773930717293,-1.4924321607231903,0.00012428125058664549,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.28686710527752057,1.4918057379919385,0.00035906976943011652,-0.28660773930717293,1.4924321607231903,-0.00012428125058664549,-0.28686710527752057,1.4918057379919385,0.00035906976943011652,-0.28660773930717293,1.4924321607231903,-0.00012428125058664549,0,0,0,0,0,0,0,0,0,0,0,0
control,0,9,45,50,90000000,90000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.083095692303986543,6.3556047981706225e-06,0.56663746652636815,0.99998721500908716,-5.0143281026568352e-06,-0.0050566582520042381,7.4142929387429837e-07,-0.09800239705555179,9.7447215032287865e-05,-0.014046050646707213,-0.00016737189458021549,-0.17217594082143831,-2.5811871132494771e-05,-1.3153665008204867,2.2186268956040114,-0.031371225899402784,-1.3153232366358714,2.2185865809463885,-0.031239650044180743,0.21381396874856751,0.13316753396322145,-0.5204789569638657,0.21461873432351353,0.13250298226587776,-0.51827414490946888,-0.28177867167288928,1.4958923491841158,0.00035940088984474412,-0.28151968793860416,1.4965146078833858,-0.00012493050197261686,0.28177867167288928,-1.4958923491841158,-0.00035940088984474412,0.28151968793860416,-1.4965146078833858,0.00012493050197261686,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,-0.28177867167288928,1.4958923491841158,0.00035940088984474412,-0.28151968793860416,1.4965146078833858,-0.00012493050197261686,-0.28177867167288928,1.4958923491841158,0.00035940088984474412,-0.28151968793860416,1.4965146078833858,-0.00012493050197261686,0,0,0,0,0,0,0,0,0,0,0,0
