scenario,episode,tick,physics_begin,physics_end,source_time_ns,receipt_time_ns,core_status,probe_status,dt_s,command_attempted,command_accepted,probe_command_attempted,probe_command_accepted,fault_event,injected_torque_nm,zoh_ctrl_max_difference,contact_left,contact_right,base_position_0,base_position_1,base_position_2,base_quaternion_0,base_quaternion_1,base_quaternion_2,base_quaternion_3,base_linear_velocity_0,base_linear_velocity_1,base_linear_velocity_2,base_angular_velocity_0,base_angular_velocity_1,base_angular_velocity_2,q_0,q_1,q_2,q_3,q_4,q_5,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,tau_pd_0,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_pd_5,tau_gravity_0,tau_gravity_1,tau_gravity_2,tau_gravity_3,tau_gravity_4,tau_gravity_5,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,disturbance_0,disturbance_1,disturbance_2,disturbance_3,disturbance_4,disturbance_5
control,0,0,0,5,0,0,0,-1,0,1,1,0,0,none,0,0,1,1,-0.077378152000000006,8.0999999999999997e-07,0.56772232,1,0,0,0,0,0,0,0,0,0,-1.3267204093873923,2.2088002548867229,0,-1.3267204093873923,2.2088002548867229,0,-0,-0,-0,-0,-0,-0,3.4902107870493637e-09,-7.3547514745087028e-09,0,3.4902107870493637e-09,-7.3547514745087028e-09,0,-3.4902107870493637e-09,7.3547514745087028e-09,-0,-3.4902107870493637e-09,7.3547514745087028e-09,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,3.4902107870493637e-09,-7.3547514745087028e-09,0,3.4902107870493637e-09,-7.3547514745087028e-09,0,0,0,0,0,0,0,3.4902107870493637e-09,-7.3547514745087028e-09,0,3.4902107870493637e-09,-7.3547514745087028e-09,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,1,5,10,10000000,10000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077450418208601504,8.1536089312468089e-07,0.5676710992207874,0.9999999976752364,-2.8586600807789064e-09,-6.8187438891314719e-05,-1.7666275295231543e-08,-0.012128522192002488,9.096377576103874e-07,-0.0075956320097103304,-1.0282698100176296e-06,-0.022656951493458165,-5.3640824331640577e-06,-1.3240375492517282,2.2056465323430912,0.00033567406981889914,-1.3240369433969241,2.2056462940655637,0.00033360405824674655,0.4517059663934283,-0.53135533927910594,0.057193797413658237,0.45180631563081475,-0.53139536033865609,0.05684481816396756,-0.70975326772790082,0.83487767208748875,-0.0029603920916285815,-0.70991106184162978,0.83494056300714381,-0.0029423221256724024,0.70975326772790082,-0.83487767208748875,0.0029603920916285815,0.70991106184162978,-0.83494056300714381,0.0029423221256724024,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.70975326772790082,0.83487767208748875,-0.0029603920916285815,-0.70991106184162978,0.83494056300714381,-0.0029423221256724024,0,0,0,0,0,0,-0.70975326772790082,0.83487767208748875,-0.0029603920916285815,-0.70991106184162978,0.83494056300714381,-0.0029423221256724024,0,0,0,0,0,0,0,0,0,0,0,0
control,0,2,10,15,20000000,20000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077635398295960723,9.1581700358894279e-07,0.5675615295506875,0.99999997062330381,-1.083541283752821e-07,-0.00024239095953853992,4.7720207091900861e-08,-0.022795566774960672,1.6036571128294079e-05,-0.012357849240842956,-3.3585153152688866e-05,-0.0427423212941846,2.30655820174626e-05,-1.3196912314941622,2.1997552863754088,0.001068573474536117,-1.3196912286598468,2.1997532783711149,0.0011426197363629182,0.42773756042635985,-0.63268157410392722,0.084800912638205522,0.42757410422087172,-0.63294754586633051,0.097707026884040774,-0.7259564718680902,1.0575619759369084,-0.0045606176742711115,-0.72571132157164331,1.0579850296320408,-0.005228137265110914,0.7259564718680902,-1.0575619759369084,0.0045606176742711115,0.72571132157164331,-1.0579850296320408,0.005228137265110914,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.7259564718680902,1.0575619759369084,-0.0045606176742711115,-0.72571132157164331,1.0579850296320408,-0.005228137265110914,0,0,0,0,0,0,-0.7259564718680902,1.0575619759369084,-0.0045606176742711115,-0.72571132157164331,1.0579850296320408,-0.005228137265110914,0,0,0,0,0,0,0,0,0,0,0,0
control,0,3,15,20,30000000,30000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077933953461197553,1.170822167320816e-06,0.56743246197533648,0.99999986596277579,-3.4701094285574231e-07,-0.00051775892628302305,6.2085840440867844e-08,-0.034481959495479532,3.1691073630265227e-05,-0.01266713507239775,-5.6941215885551815e-05,-0.062958098791518924,-8.600797671474831e-06,-1.3157481419876107,2.1931796057558279,0.0016772635430991434,-1.3157492182829795,2.1931742794340487,0.001868609631637184,0.37497543460604882,-0.67781270706130503,0.045955371009448666,0.37490108268714001,-0.67818832214747993,0.056899055716034735,-0.69413035721624206,1.2041668428079462,-0.0028009476134021761,-0.69400591379345289,1.2047941812985588,-0.0034055356752928923,0.69413035721624206,-1.2041668428079462,0.0028009476134021761,0.69400591379345289,-1.2047941812985588,0.0034055356752928923,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.69413035721624206,1.2041668428079462,-0.0028009476134021761,-0.69400591379345289,1.2047941812985588,-0.0034055356752928923,0,0,0,0,0,0,-0.69413035721624206,1.2041668428079462,-0.0028009476134021761,-0.69400591379345289,1.2047941812985588,-0.0034055356752928923,0,0,0,0,0,0,0,0,0,0,0,0
control,0,4,20,25,40000000,40000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.078347559144177473,1.5771673798371528e-06,0.56732000613438749,0.99999960454209313,-7.0598544682245971e-07,-0.0008893341095233628,1.0200599350803313e-08,-0.045607562227570321,4.6273919571596586e-05,-0.010156910399902614,-8.1053638710469833e-05,-0.081266210185919868,-1.1624763171931391e-05,-1.3123459311045644,2.1863032513704233,0.0020158861918753573,-1.3123481245854143,2.1862939230344471,0.0023172225739491329,0.31696160083185049,-0.6951773953232393,0.027507186029462907,0.31682312639481502,-0.6955916741371263,0.038536699700766439,-0.64793613715149967,1.3127301278257038,-0.0019801251590357526,-0.64770210372574843,1.3134634860782475,-0.0026220017572230617,0.64793613715149967,-1.3127301278257038,0.0019801251590357526,0.64770210372574843,-1.3134634860782475,0.0026220017572230617,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.64793613715149967,1.3127301278257038,-0.0019801251590357526,-0.64770210372574843,1.3134634860782475,-0.0026220017572230617,0,0,0,0,0,0,-0.64793613715149967,1.3127301278257038,-0.0019801251590357526,-0.64770210372574843,1.3134634860782475,-0.0026220017572230617,0,0,0,0,0,0,0,0,0,0,0,0
control,0,5,25,30,50000000,50000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.078863751116795527,2.1205773529634514e-06,0.56722807037108103,0.99999909462191827,-1.1793123152179231e-06,-0.0013456425788597318,-4.9948069118831215e-08,-0.055388372926480571,5.9506405143667024e-05,-0.0088295811183069072,-0.00010340804198074597,-0.097605901805460638,-1.2455045353290173e-05,-1.3095901725924046,2.179448677886203,0.0021691366166272717,-1.3095939081919619,2.1794350533939078,0.0025764224872191397,0.24613085699561524,-0.67735009618548059,0.0077502961802336737,0.24596529163261274,-0.67778864132142269,0.018055284742655799,-0.57475912354306458,1.3682440609297086,-0.0010382557939998653,-0.57446594830387387,1.3690653725411648,-0.0016756909832985319,0.57475912354306458,-1.3682440609297086,0.0010382557939998653,0.57446594830387387,-1.3690653725411648,0.0016756909832985319,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.57475912354306458,1.3682440609297086,-0.0010382557939998653,-0.57446594830387387,1.3690653725411648,-0.0016756909832985319,0,0,0,0,0,0,-0.57475912354306458,1.3682440609297086,-0.0010382557939998653,-0.57446594830387387,1.3690653725411648,-0.0016756909832985319,0,0,0,0,0,0,0,0,0,0,0,0
control,0,6,30,35,60000000,60000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.079472886749340083,2.7864199304392618e-06,0.56713909090775338,0.99999823095340323,-1.7583142782548611e-06,-0.0018809803191947043,-1.0498739725285884e-07,-0.064376124083094607,7.108291525615981e-05,-0.0090588700640326699,-0.00012364526962463444,-0.1130406444659199,-1.0507433738380928e-05,-1.3074915895269497,2.1728580575521894,0.0021274306063253632,-1.30749702502498,2.1728400288399436,0.0026310488456139838,0.18461713117138526,-0.64618278178776045,-0.011410833468278845,0.18444361383809754,-0.646622896949407,-0.0022258998640445429,-0.50767153159217915,1.4005805333412915,-6.7687508483666716e-05,-0.50734602961588349,1.4014570506307105,-0.00067801966048196803,0.50767153159217915,-1.4005805333412915,6.7687508483666716e-05,0.50734602961588349,-1.4014570506307105,0.00067801966048196803,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.50767153159217915,1.4005805333412915,-6.7687508483666716e-05,-0.50734602961588349,1.4014570506307105,-0.00067801966048196803,0,0,0,0,0,0,-0.50767153159217915,1.4005805333412915,-6.7687508483666716e-05,-0.50734602961588349,1.4014570506307105,-0.00067801966048196803,0,0,0,0,0,0,0,0,0,0,0,0
control,0,7,35,40,70000000,70000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.080166360370485051,3.5568813103247469e-06,0.56704370613260946,0.99999690151751475,-2.4300148366362692e-06,-0.0024893672777442167,-1.451150638136089e-07,-0.072441477624645881,8.0793449208508563e-05,-0.0098943908958111833,-0.00014100579914452322,-0.1270797544867493,-7.0615146236835254e-06,-1.3059168782048307,2.1665864719031851,0.0019423698763153213,-1.3059240614799694,2.1665641444106645,0.0025316481126986296,0.13866008239180255,-0.61425578738419184,-0.022386600036991531,0.13848401563278337,-0.61467704884211583,-0.014233925399174554,-0.45763249428823249,1.4279490695239905,0.00053661903895498031,-0.45728219484803917,1.4288488916211239,-4.7798163850861094e-05,0.45763249428823249,-1.4279490695239905,-0.00053661903895498031,0.45728219484803917,-1.4288488916211239,4.7798163850861094e-05,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.45763249428823249,1.4279490695239905,0.00053661903895498031,-0.45728219484803917,1.4288488916211239,-4.7798163850861094e-05,0,0,0,0,0,0,-0.45763249428823249,1.4279490695239905,0.00053661903895498031,-0.45728219484803917,1.4288488916211239,-4.7798163850861094e-05,0,0,0,0,0,0,0,0,0,0,0,0
control,0,8,40,45,80000000,80000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.080933964030545757,4.4139613450363033e-06,0.56693867947368426,0.99999499900268152,-3.1796434515457291e-06,-0.0031625874672896238,-1.6792922551822867e-07,-0.079418285340852476,8.8752180116542497e-05,-0.01090679129836113,-0.000155397980009154,-0.13931806938272415,-3.6762602705695737e-06,-1.3047371939568089,2.1606362869754854,0.0016779660754621156,-1.304746109595619,2.1606099101352725,0.0023439313870404709,0.10361517030854023,-0.58219965841845434,-0.028208369402051094,0.10344335279146621,-0.5825918020471389,-0.020863028972466668,-0.41922133713960108,1.4512670952077809,0.0009070286474639202,-0.41885662319826866,1.4521718327333624,0.00033997203251119232,0.41922133713960108,-1.4512670952077809,-0.0009070286474639202,0.41885662319826866,-1.4521718327333624,-0.00033997203251119232,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.41922133713960108,1.4512670952077809,0.0009070286474639202,-0.41885662319826866,1.4521718327333624,0.00033997203251119232,0,0,0,0,0,0,-0.41922133713960108,1.4512670952077809,0.0009070286474639202,-0.41885662319826866,1.4521718327333624,0.00033997203251119232,0,0,0,0,0,0,0,0,0,0,0,0
control,0,9,45,50,90000000,90000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.081764082679421021,5.340455345348898e-06,0.56682359432298346,0.99999243077769284,-3.9920649556868297e-06,-0.0038908060030057906,-1.7661766290064242e-07,-0.085185685936270614,9.5015483893720582e-05,-0.011890597312072619,-0.00016674937211705874,-0.1494857863183871,-1.2115104303174136e-06,-1.3038634147026142,2.1550070068331841,0.0013758288532495573,-1.3038739845389262,2.1549769128453726,0.0021111868776543196,0.07606517707532176,-0.5501963562402814,-0.03057009866811276,0.07590344395287657,-0.55055252619028783,-0.023902116681523592,-0.38838169834010888,1.4708135036481362,0.0011157562774307709,-0.38801226062069738,1.4717088864268839,0.00056174977077988388,0.38838169834010888,-1.4708135036481362,-0.0011157562774307709,0.38801226062069738,-1.4717088864268839,-0.00056174977077988388,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,-0.38838169834010888,1.4708135036481362,0.0011157562774307709,-0.38801226062069738,1.4717088864268839,0.00056174977077988388,0,0,0,0,0,0,-0.38838169834010888,1.4708135036481362,0.0011157562774307709,-0.38801226062069738,1.4717088864268839,0.00056174977077988388,0,0,0,0,0,0,0,0,0,0,0,0
