scenario,episode,tick,time_s,status,safety_latched,command_accepted,contact_left,contact_right,x_m,vx_m_s,pitch_rad,wy_rad_s,roll_rad,wx_rad_s,yaw_rad,wz_rad_s,y_m,height_m,vy_m_s,vz_m_s,zoh_ctrl_max_difference,left_normal_load_n,right_normal_load_n,maximum_penetration_m,maximum_abs_rolling_slip_m_s,maximum_abs_lateral_slip_m_s,closure_residual_m,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,support0,support1,support2,support3,support4,support5,pd0,pd1,pd2,pd3,pd4,pd5,raw0,raw1,raw2,raw3,raw4,raw5,tau0,tau1,tau2,tau3,tau4,tau5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,u0,u1,u2
saturation,0,0,0.01,0,0,1,2,2,0,0,0,0,0,0,0,0,8.0999999999999997e-07,0.31543998403249462,0,0,0,30.959589195366128,32.161874804514348,0.00039838683718589757,8.7824917472931935e-15,4.6172969106861521e-16,0.00018259095258609732,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0,0,0,0,0,0,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.044217794267602542,3.1325438643315864,-0,-0.041124284318536736,3.2506637741279025,-0,0,0,0
saturation,0,1,0.020000000000000004,0,0,1,2,2,5.6898930012039273e-16,9.5130041618402686e-14,0,1.4551042644356007e-13,0,-2.4746972827660793e-14,0,5.184985496026087e-15,8.1000000004468393e-07,0.31543998403249324,7.249304475967906e-15,-2.342955298934483e-13,0,30.699481254653875,31.928368210104459,0.00040124182759754962,0.0019020475315302118,8.0443670186948067e-06,0.00018255848463822943,-0.97199891583534059,1.639395745890325,-1.7914956459124368e-15,-0.98339093564557689,1.6394010277077644,-1.9372290643324607e-15,-4.7379490231225511e-13,5.2877657567095398e-13,-4.1254010050047399e-13,-4.8049906543343528e-13,5.2590203613792462e-13,-4.2761647459034156e-13,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,4.9155847070625761e-13,-5.4654014406495648e-13,0,4.9826263382743778e-13,-5.4366560453192712e-13,0,-0.044217794267111268,-3.1325438643321255,-5.8849178924180152e-13,0.041124284319035281,-3.2506637741284532,-5.5697370314161229e-13,-0.044217794267111268,-3.1325438643321255,-5.8849178924180152e-13,0.041124284319035281,-3.2506637741284532,-5.5697370314161229e-13,0.044217794267111268,3.1325438643321255,5.8849178924180152e-13,-0.041124284319035281,3.2506637741284532,5.5697370314161229e-13,-5.727327461917069e-13,-1.0437782734329935e-14,-1.5759043050094598e-14
saturation,0,2,0.030000000000000013,0,0,1,2,2,-8.0190148729619715e-08,-2.3057038104259714e-05,-2.5019905897560612e-07,-7.1830224815708742e-05,-9.9931880438030637e-06,-0.0028132485564402194,1.3942986606763428e-06,3.2823801651237621e-05,3.5464893023052425e-06,0.31543997995300199,0.00076890818310223672,-1.7993609121321949e-06,0,30.802063672948201,31.889705096266088,0.0004169276673230693,0.0033645081519474256,0.00012762217116949284,0.00018237369792564577,-0.97196794796575514,1.6393912819663974,-0.00018793650513750548,-0.98330883454219387,1.6393528061785714,-0.00034392258958082311,0.010401707526845081,-0.0020401831847330675,-0.062489082700652267,0.020649088703656462,-0.011806785554649812,-0.086210939078675775,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,-0.010649450483510934,0.0020758945761361934,0,-0.021305897530702902,0.01219255778817635,0,-0.054864684438825841,-3.1305348988670754,0.00037056554273884313,0.019815865384030608,-3.2384064703149895,2.0924437108874559e-06,-0.054864684438825841,-3.1305348988670754,0.00037056554273884313,0.019815865384030608,-3.2384064703149895,2.0924437108874559e-06,0.054864684438825841,3.1305348988670754,-0.00037056554273884313,-0.019815865384030608,3.2384064703149895,-2.0924437108874559e-06,0.00018632899322486529,9.3190484376162153e-05,0.00018423654951397784
saturation,0,3,0.040000000000000022,0,0,1,2,2,1.7690365935879582e-06,0.00031835723451279131,-0.00018346944553233652,-0.030499141702513284,-6.6368839001872018e-05,-0.0074387788120391686,1.9233051534229119e-06,7.9765008865571911e-05,1.9524468179282528e-05,0.3154366500807797,0.002140304009851136,-0.00055567230977810421,0,31.061167155231473,32.016194687326674,0.00043474129066679162,0.0028180239276789157,0.00030797128553162632,0.00018227101748487216,-0.97192738153567448,1.6393946243793227,-0.0017293672660636298,-0.98313356903254401,1.6391931268113065,-0.0020295209452799176,-0.00072858695321854818,0.0032655542355026091,-0.21705742756745219,0.014943515233190758,-0.017498290118532153,-0.22545093446248296,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.000156312555907436,-0.0032565821475020618,0,-0.017002448137436059,0.019161497290177961,0,-0.04403765619509286,-3.1364232691979819,0.024906236247576589,0.024098372735463607,-3.2308997692863044,0.023817359363985727,-0.04403765619509286,-3.1364232691979819,0.024906236247576589,0.024098372735463607,-3.2308997692863044,0.023817359363985727,0.04403765619509286,3.1364232691979819,-0.024906236247576589,-0.024098372735463607,3.2308997692863044,-0.023817359363985727,0.024361797805781158,0.00086720336554380615,0.00054443844179543287
saturation,0,4,0.050000000000000031,0,0,1,2,2,8.188663328953516e-06,0.0008518515989556025,-0.00057745741645614526,-0.045335381730162536,-0.00016240932038916639,-0.011003775425576781,6.594183554182471e-06,0.00072247073560972766,4.7814020159315393e-05,0.31543015718485073,0.0032764965685369084,-0.0007123324644232326,0,31.252953957451709,32.091501959153767,0.00044971983810666166,0.0022597289705657709,0.00048298714164665517,0.00018233867986864669,-0.97201503303270453,1.6394677303735383,-0.0041491041213492751,-0.98304204009224216,1.6389992777343212,-0.004444277073921565,-0.014095470335413838,0.010510779582794805,-0.26146167176829727,0.0053708060568960925,-0.020192092736441677,-0.25511992725408605,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.014224407914343127,-0.01108665544851919,0,-0.0081619704835561458,0.023406092523969687,0,-0.02995262397822036,-3.1446960888367688,0.039710637137380218,0.032922170916498121,-3.2262268691693121,0.037375742500267158,-0.02995262397822036,-3.1446960888367688,0.039710637137380218,0.032922170916498121,-3.2262268691693121,0.037375742500267158,0.02995262397822036,3.1446960888367688,-0.039710637137380218,-0.032922170916498121,3.2262268691693121,-0.037375742500267158,0.038543189818823688,0.0014836727115540374,0.0011674473185565321
saturation,0,5,0.060000000000000039,0,0,1,2,2,1.9404882793130906e-05,0.0012959267280020098,-0.00098517129697129149,-0.037729587676070105,-0.00028893482649104387,-0.013720010909261034,2.0029799622128857e-05,0.001744069915631674,8.6064217600800017e-05,0.31542475902585276,0.004178416248589608,-0.00042497723947536439,0,31.260964113863007,31.998464079268089,0.00046083974652957188,0.0026429431629969562,0.00063107123353304878,0.00018251240350750366,-0.97214082749537667,1.6396005909911184,-0.0067076842423156599,-0.98295701410698899,1.6387749092754431,-0.0068738578170152087,-0.011298160471421364,0.015246730923216165,-0.25489375842712314,0.010885442291938188,-0.023821678361524868,-0.23763820103607092,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.012433453751727734,-0.016885491729581432,0,-0.014356814600623626,0.028830625820077494,0,-0.031735164657287131,-3.1507148619522174,0.038172960766741294,0.026719041173680846,-3.2205895729158915,0.034106880912553129,-0.031735164657287131,-3.1507148619522174,0.038172960766741294,0.026719041173680846,-3.2205895729158915,0.034106880912553129,0.031735164657287131,3.1507148619522174,-0.038172960766741294,-0.026719041173680846,3.2205895729158915,-0.034106880912553129,0.036139920839647212,0.0017899074669686695,0.0020330399270940855
saturation,0,6,0.070000000000000048,0,0,1,2,2,3.5167036213701319e-05,0.0017577802181427482,-0.0013630171995041062,-0.037822550614600249,-0.00043815209496364044,-0.015695654513224716,4.5044711521280314e-05,0.0029864401874379648,0.00013198928294343116,0.31542162121550182,0.0048561625695465694,-0.00023963387464837033,0,31.307622636034719,31.955099858001269,0.0004686166171364789,0.002767812104939248,0.00074661146243734742,0.00018271119678769465,-0.97226180805150775,1.6397811514008163,-0.0093573931005116514,-0.98284371210381316,1.6385264792409202,-0.0093275926495078286,-0.012231403461898209,0.019836842639725908,-0.27400561696635428,0.012029951974492014,-0.025576747056222256,-0.25284216721010705,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.014334541191253207,-0.022920086723673797,0,-0.016407740308584093,0.032573134790958136,0,-0.029820647547768416,-3.1571005218872581,0.042086278811036201,0.024654889883372236,-3.2165074500042476,0.03611069680517888,-0.029820647547768416,-3.1571005218872581,0.042086278811036201,0.024654889883372236,-3.2165074500042476,0.03611069680517888,0.029820647547768416,3.1571005218872581,-0.042086278811036201,-0.024654889883372236,3.2165074500042476,-0.03611069680517888,0.03909848780810754,0.0022787218423590211,0.0029877910029286617
saturation,0,7,0.080000000000000057,0,0,1,2,2,5.5622240490105224e-05,0.0022318691089780545,-0.0017417341804140285,-0.037905859129502957,-0.00060305616542522683,-0.016996275798271062,8.3481831472308101e-05,0.0043914205900916466,0.00018342264269247864,0.31542074718960733,0.0053227538587097643,1.409185977659732e-05,0,31.336377852594364,31.904135536829347,0.00047410000680273706,0.0028508658134880262,0.00082969676738188893,0.0001829057312113785,-0.9723848988968169,1.6399942526081304,-0.012181478855623189,-0.9827138978420642,1.6382588387436599,-0.011964834790769494,-0.011916686403511267,0.022158661633041494,-0.29045161309638262,0.014059041417193293,-0.027631254840118302,-0.27344513094156031,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.015004550895339452,-0.026946715375502212,0,-0.01947534384527707,0.036768766552937038,0,-0.029136039905817146,-3.1615087551650474,0.046005543878758312,0.021572910250360868,-3.2119426607568018,0.037929323237861967,-0.029136039905817146,-3.1615087551650474,0.046005543878758312,0.021572910250360868,-3.2119426607568018,0.037929323237861967,0.029136039905817146,3.1615087551650474,-0.046005543878758312,-0.021572910250360868,3.2119426607568018,-0.037929323237861967,0.04196743355831014,0.0028100589402230126,0.004038110320448169
saturation,0,8,0.090000000000000066,0,0,1,2,2,8.1047160765915227e-05,0.0027438282969164006,-0.0021340432805930561,-0.040115407948639548,-0.00077727623232956425,-0.017685488448458613,0.00013675092598145421,0.0059252847671496548,0.00023835539994434415,0.31542245113564604,0.0055956266341649881,0.00027459501866864918,0,31.370409061622656,31.866428264388716,0.00047817351277307241,0.0027676853440758275,0.00088253395946301947,0.00018308127810499029,-0.97251213586508967,1.6402197543089714,-0.015154986316125808,-0.98257125039005966,1.6379710051608578,-0.014850080052467882,-0.012803409784900365,0.022686940667852554,-0.30453122169332819,0.014872114784320855,-0.029612764316616944,-0.3012785340776496,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.016909170022910713,-0.029279008017041377,0,-0.021429596828440957,0.041052944691852028,0,-0.027214920366995445,-3.1642723849804844,0.051582550211254526,0.019602407608949164,-3.2072412147556237,0.041273293124982159,-0.027214920366995445,-3.1642723849804844,0.051582550211254526,0.019602407608949164,-3.2072412147556237,0.041273293124982159,0.027214920366995445,3.1642723849804844,-0.051582550211254526,-0.019602407608949164,3.2072412147556237,-0.041273293124982159,0.046427921668118342,0.003410642441018785,0.0051546285431361858
saturation,0,9,0.10000000000000007,0,0,1,2,2,0.00011179377088421649,0.003289213907562059,-0.0025473718740200157,-0.04214462222993564,-0.00095504320212349257,-0.017821774788255772,0.00020617980568401738,0.007595841811941232,0.00029495826073547223,0.31542688410283537,0.0056929651541923016,0.00055578192117959949,0,31.396934897047711,31.826938135094501,0.00048142899422237012,0.0026029405118867689,0.00090797235657321318,0.00018323382609305015,-0.97264867179495318,1.6404404933233541,-0.018212662336970067,-0.98241912540444276,1.6376633382752954,-0.018022258077142337,-0.013767342206454555,0.021571243753878873,-0.30931532853400356,0.015935741701536877,-0.031571948428183283,-0.33086220343795375,-0.044217794267602542,-3.1325438643315864,0,0.041124284318536736,-3.2506637741279025,0,0.018965389883373006,-0.029929223218129193,0,-0.023710223630592154,0.045473463887917454,0,-0.025141593154259765,-3.1653698033979327,0.05716465086337022,0.017304933431072103,-3.2023880791717754,0.044502716455404961,-0.025141593154259765,-3.1653698033979327,0.05716465086337022,0.017304933431072103,-3.2023880791717754,0.044502716455404961,0.025141593154259765,3.1653698033979327,-0.05716465086337022,-0.017304933431072103,3.2023880791717754,-0.044502716455404961,0.050833683659387591,0.0040333174375234027,0.0063309672039826275
