scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1088,4.0578803385672771e-08,6.4533227309672257e-08,4.033652491548788e-08,7.1876364859946307e-09,2,1.4849232954361469e-13,6630070,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,-0.001,0,0,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,0.0060000000000000001,-0,-0,-0,-0,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0036847023839220706,-2.2675587524662395e-06,0.0002199320049982189,1.2019111160667788e-05,0.0016292450815767363,5.5793181352735454e-06,-0.005083759369521294,-0.0026144652054450068,-0.018567194115131094,-0.0050594415449792332,-0.0026759026789219104,-0.018373457360820945,-0.032825415524697914,-3.2130155245817873,0.0037431940035239,0.029631266052367336,-3.1682117873206224,0.0024993025727570711,-0.004846744651560396,-0.0021673637597641182,31.572855145039785,0.00028324484551077098,0.0067897460623929885,-0.0010625026304463331,0.024353561945294751,0.0021580237856005935,31.549872837997761,0.00054942171176921748,0.0020216098061774635,-0.0053497045909870304,0.0048767170599762185,-1.1327677370165489e-05,0.00031599246565085232,-2.7879374918172453e-07,-0.00014633639778487432,-2.7590521411755038e-07,0.0048766867101869048,6.6576926140496373e-06,0.00031599873711410744,-4.2158919130046607e-07,-0.0001463364727516197,-2.7001799186604936e-07,8.1043335899538042e-06,0.00023152976160779296,2.1993200499821889e-05,8.1462254078836814e-05,0.00010167518739042588,9.7534438733880882e-05,9.7534341199524368e-05,1.1413338695644091e-10,5.3606030510161439e-08,4.8370086822536583e-10,6.6365378091648328e-09,2.6175376612720581e-08,2.5958438021622164e-08,2.5958386104825999e-08,9.7534341199524368e-05,-0.032825415524697914,-3.2130155245817873,0.0037431940035239,0.029631266052367336,-3.1682117873206224,0.0024993025727570711,-0.032825415524697914,-3.2130155245817873,0.0037431940035239,0.029631266052367336,-3.1682117873206224,0.0024993025727570711,0.032825415524697914,3.2130155245817873,-0.0037431940035239,-0.029631266052367336,3.1682117873206224,-0.0024993025727570711
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,541,1.0204440160530972e-07,6.4416293285077941e-08,4.0518091238592543e-08,8.871096412327046e-08,2,1.4999113062685865e-13,3295269,0,-0.077387920164841861,-8.1518978573941769e-06,0.3154400050890081,0.99999999986680244,1.5779597680602072e-05,6.1738498633297722e-08,4.170776899564678e-06,-0.0009612285826707651,-0.0014822671987018005,3.5317531819189703e-06,0.0051559229135302673,2.1023385043016909e-05,0.0013473145890984055,-0.97196715925313515,1.6393408723414959,0.00017279602752974242,-0.98343485196109981,1.6394507020426636,0.00011840454674874303,0.0050693768965757438,-0.0088531918687499035,0.026564964135644742,-0.007145045186191956,0.0080092142181358676,0.017865493756655131,0.0058552849796012921,-3.58439446561217e-05,-0.052348209019367806,-0.00021332077536197105,-0.0081589615187859302,-0.061975759718224985,0.10821375018276466,0.087321529593208463,-0.097898846674082232,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0025825777556050711,0.014316035412658849,0.00011408331802898928,-0.052081174648127088,0.0027140562626463529,-0.0083372326080230815,-0.070017139117419233,0.094949372843980903,-0.043047114850748497,0.07742208867655595,-0.095259464477915043,-0.071708265334212054,-0.033491124428491156,-3.2129471168564097,0.0030878243481572247,0.030342947585039245,-3.1686646437268813,0.0017329894941766472,-0.0060637735748692544,0.031970092030494945,31.572489458284398,-0.010843649944472674,0.0060703082111332679,-0.00095792163356252301,0.023125693961012935,0.036254427164428282,31.549536049406012,-0.010718686021506472,0.0012214786144468508,-0.0045891386849476936,0.0042662557434211563,0.017555592615871439,0.00013263646887432456,-5.5625223756230412e-05,-0.0003013760030367454,1.9944071788793982e-05,0.0042608072814283651,0.017552689593874644,0.00014702601591849249,-5.5601976439393152e-05,-0.00030141168094409318,1.9946925892267548e-05,0.00025849387074888542,0.00032727072239962211,1.4992726268511097e-05,0.0001463688519004162,0.0002652875467756752,0.00035111220342905978,0.0003511118523174288,2.092548906089547e-07,1.0710612573997052e-07,2.2478184096250268e-10,2.1681560648350283e-08,1.3822910306686564e-07,2.9126199253143663e-07,2.9126141000851994e-07,0.0003511118523174288,-0.033491124428491156,-3.2129471168564097,0.0030878243481572247,0.030342947585039245,-3.1686646437268813,0.0017329894941766472,-0.033491124428491156,-3.2129471168564097,0.0030878243481572247,0.030342947585039245,-3.1686646437268813,0.0017329894941766472,0.033491124428491156,3.2129471168564097,-0.0030878243481572247,-0.030342947585039245,3.1686646437268813,-0.0017329894941766472
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,536,1.0121670828039108e-07,6.4766779575670292e-08,4.0707893683402393e-08,8.7745759929465025e-08,2,1.7399970353437766e-13,3248463,0,-0.077397372709578874,-3.1320844279183734e-05,0.31544005094947442,0.99999999837853093,5.5251831680193887e-05,2.5214716846712341e-07,1.3788016448377507e-05,-0.00093442764655667109,-0.0028590639734117494,5.2902582990506657e-06,0.0096521541366446743,5.0028976435018977e-05,0.0022767439022443902,-0.97189064542626913,1.6392086785398399,0.00052067920910691767,-0.98353886029165183,1.6395710284669121,0.00032931335447500569,0.0092708685631661888,-0.015974063473288093,0.039428413471079865,-0.01245526655912849,0.014574109372442532,0.022604320789011853,0.0057795522655498411,-5.4575507485273292e-05,-0.0992841329519496,-0.0005128971227803601,-0.013908647709671278,-0.11514815748448706,0.19842318629684172,0.15478848596831957,-0.18100933979870526,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0019617881564859018,0.026816833225534728,-6.3180535547139975e-07,-0.097856304393254975,0.003142645753769188,-0.014028715862876691,-0.125183738066343,0.17770658294489317,-0.066387127136708898,0.14250638724450818,-0.17414960509097821,-0.098754454495867561,-0.033922742239571854,-3.2126674455497097,0.0026975067140044872,0.030798602195371914,-3.1691685841996735,0.0011545976812461641,-0.0066404705989885366,0.061627560123908576,31.572175939473123,-0.021025559894075257,0.0056492155880996063,-0.00080095039548945231,0.022549574640698747,0.065913175530490919,31.549226558186476,-0.021037451104475195,0.00063259573372749858,-0.0040659572049308581,0.0039719177577372672,0.033630537913162444,-2.7113235722947752e-05,-0.00010389199043625937,-0.00038782623629987064,1.079442145780552e-05,0.0039667625011507593,0.03362736921574154,-1.0873474670392372e-05,-0.00010386663204349054,-0.00038786026420193568,1.0797104728192154e-05,0.00044853595864648469,0.00038177641090639394,5.3943702129801894e-06,0.0001827771438274774,0.00041433206703897106,0.00067261143087377312,0.00067261075826324887,6.7835750994541144e-07,1.4575322792456775e-07,2.9099229994687933e-11,3.8540261191825679e-08,2.9111857655149383e-07,9.6895758074888218e-07,9.6895564283701888e-07,0.00067261075826324887,-0.033922742239571854,-3.2126674455497097,0.0026975067140044872,0.030798602195371914,-3.1691685841996735,0.0011545976812461641,-0.033922742239571854,-3.2126674455497097,0.0026975067140044872,0.030798602195371914,-3.1691685841996735,0.0011545976812461641,0.033922742239571854,3.2126674455497097,-0.0026975067140044872,-0.030798602195371914,3.1691685841996735,-0.0011545976812461641
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,532,9.9842526418073206e-08,6.4184297540674424e-08,4.0334191597858188e-08,8.6478070409213691e-08,2,2.1532775562604911e-13,3225435,0,-0.077406601461348576,-6.7532699476475198e-05,0.31544010290574387,0.99999999294210595,0.00011566696145553983,5.8946330040795192e-07,2.714026752670561e-05,-0.00091496090013624422,-0.0041133045023763774,5.1365427189428053e-06,0.013645173614886085,7.9789716494284873e-05,0.002909792951285245,-0.97177498540442309,1.6390118936205584,0.00095757868602639102,-0.98368787951907688,1.6397516819527018,0.00054675766349860668,0.013038190718779919,-0.02204320708197844,0.046131705119037289,-0.016441273766666542,0.020299650746532793,0.020901130331174703,0.0057458105529545975,-5.433725842053028e-05,-0.14223508423524395,-0.00082737033003258591,-0.017947282524341492,-0.16451978413830937,0.27833716669525754,0.20798526464607803,-0.25621936177622018,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0017693023879211984,0.038031928670161329,-0.0001377910808631551,-0.13940685017982168,0.003036956707695064,-0.017829269087475577,-0.17542928936271782,0.25179787730257291,-0.08619156456470671,0.19531944918709659,-0.24492776963448287,-0.10239018858168444,-0.034196464653570929,-3.2121751071647369,0.0025510835262244208,0.031077416620044675,-3.1697153007846843,0.00078917686232311487,-0.0066985946079292768,0.088074049131872667,31.571879967035187,-0.030571623475618086,0.0054977377361832957,-0.00059179015293282767,0.022491890615045432,0.092362178677132811,31.54893418651837,-0.030712500069789893,0.00027448152901995548,-0.0037206109401890174,0.0039322812130047338,0.048761177106451163,-0.00018220988042126512,-0.00013044263987052691,-0.00041177313404752334,-1.9514656125062176e-05,0.0039273536329273682,0.048757879360516378,-0.0001644189280296303,-0.00013041623543156897,-0.00041180573120945513,-1.9511811837557381e-05,0.00060393556187826451,0.00039765081650333992,8.3453822442624813e-06,0.00019321635188638249,0.00053078578785369253,0.00097522451735243922,0.00097522354212902331,1.3337322423808448e-06,1.5812617186577292e-07,6.9645404802851482e-11,5.7364646245110296e-08,4.4450964801854991e-07,1.9742043012349135e-06,1.9742003528321083e-06,0.00097522354212902331,-0.034196464653570929,-3.2121751071647369,0.0025510835262244208,0.031077416620044675,-3.1697153007846843,0.00078917686232311487,-0.034196464653570929,-3.2121751071647369,0.0025510835262244208,0.031077416620044675,-3.1697153007846843,0.00078917686232311487,0.034196464653570929,3.2121751071647369,-0.0025510835262244208,-0.031077416620044675,3.1697153007846843,-0.00078917686232311487
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,527,9.9309476760720752e-08,6.3901418387341488e-08,4.0154721538510313e-08,8.5987248392286383e-08,2,2.7919333511761124e-13,3212387,0,-0.07741565303501434,-0.00011548766341771334,0.31544014093660544,0.99999998013376779,0.00019463339721638085,1.0628529747671142e-06,4.3002036082380491e-05,-0.00089841688184511199,-0.0052331880833625067,2.925828829725852e-06,0.017168423175622869,0.00010534711158409028,0.0033293425725487275,-0.97162400046753539,1.6387593465692945,0.0014424681690484629,-0.98387067223188418,1.6399856329450897,0.00072478754848952502,0.016430070738109342,-0.02730750385113519,0.049794377101096257,-0.019419503818771843,0.025381105465597863,0.015555955954420908,0.0057280106061996777,-3.3180891067637222e-05,-0.1814159016814916,-0.0011066137649311733,-0.020750092089900946,-0.2106578020982196,0.35060042177064199,0.25030456293240444,-0.32561905413096459,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0018800626921153495,0.048086266265297564,-0.00028317715017799451,-0.17724431615798539,0.0025882979020122512,-0.020235399887251475,-0.2216293928368967,0.31905569700586617,-0.10354717219896946,0.2387155790779476,-0.30936169223454746,-0.087374149307172688,-0.034349080146876564,-3.2115084607744175,0.0025797501234303029,0.031222100280649496,-3.1703072178627418,0.00060970019756736125,-0.0064275364092804517,0.1116091934588892,31.571615992334458,-0.03951966169808098,0.0055377333711373539,-0.00036475308212907068,0.022763183798791414,0.1159012013130678,31.548673937916007,-0.039775136809359943,0.00011210021366946403,-0.003504072076363763,0.0040530298963054167,0.063021807384528422,-0.00032650926134781622,-0.0001290989028436293,-0.0003903055235032114,-6.8110727019464403e-05,0.0040482305482211246,0.063018637465876839,-0.00030718040564355634,-0.00012907348406577843,-0.00039033741358389005,-6.8107687129851638e-05,0.00076816692002155062,0.00038479479140843281,2.4999625911035731e-05,0.00020857927617531081,0.00063089449529551641,0.001260437408126601,0.0012604361476905685,2.1649291684917417e-06,1.4806703149505932e-07,6.2498129569172909e-10,7.8298515174773568e-08,6.0562073057296908e-07,3.2460206644325204e-06,3.2460141724007619e-06,0.0012604361476905685,-0.034349080146876564,-3.2115084607744175,0.0025797501234303029,0.031222100280649496,-3.1703072178627418,0.00060970019756736125,-0.034349080146876564,-3.2115084607744175,0.0025797501234303029,0.031222100280649496,-3.1703072178627418,0.00060970019756736125,0.034349080146876564,3.2115084607744175,-0.0025797501234303029,-0.031222100280649496,3.1703072178627418,-0.00060970019756736125
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,520,1.0053020393671866e-07,6.4730083195922395e-08,4.0664655105719717e-08,8.700161882656092e-08,2,3.7339575875705577e-13,3151599,0,-0.077424537379526301,-0.00017378935834439226,0.31544014446017266,0.99999995617621051,0.00028980302311856722,1.642561572226776e-06,6.0490382603298265e-05,-0.00088162174167984348,-0.0062102889028818444,-1.3437723973110882e-06,0.020220079143303839,0.00012372345294313713,0.0035951962934751614,-0.97144156764951295,1.6384585732039376,0.0019537493230669329,-0.98407832638804305,1.6402667519781389,0.00083558055371700914,0.0194159473716242,-0.03183900569162916,0.051783032098430853,-0.021575620079762946,0.029858352462557535,0.0079091126840385873,0.0057071988658157187,9.4270320223376892e-06,-0.21669094280063789,-0.0013193626092424314,-0.022660004663615844,-0.25305590314920567,0.41580628500941558,0.28365350768601683,-0.3894663032842508,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0021913939130711749,0.056974563698666998,-0.00042093127106169982,-0.21134615096214046,0.0019448162906089304,-0.021601141330652766,-0.26358429275116096,0.37971700499320271,-0.11943144590228004,0.27420678344814242,-0.36773765353829457,-0.057791423831841535,-0.034402839371517835,-3.2107103136690043,0.0027236818758609688,0.031259655847349223,-3.1709400940487971,0.00059095352029574081,-0.0059761964670807704,0.13223377307100825,31.57140219950255,-0.047824643928305911,0.0057022313314411405,-0.00015071364217279052,0.023214499621946813,0.1365309926313979,31.5484642907285,-0.048172134922926442,0.00011399694909620776,-0.0033832937354215057,0.0042606870710669067,0.076338681994737756,-0.00045146302385258038,-9.8599592200841692e-05,-0.00033760522169547875,-0.00013357326879761321,0.0042558887485048841,0.076335935544324829,-0.00043045361405716614,-9.8577504178845322e-05,-0.00033763720856920239,-0.00013357020213927321,0.00095563437020517881,0.00035158049527445436,4.3035830308403748e-05,0.00026723959192487127,0.00072178560032425728,0.0015267751666682308,0.0015267736398947552,3.1599811628397911e-06,1.2360884465743063e-07,1.8520826903337226e-09,1.0085713811249303e-07,7.8986317532322765e-07,4.7218750170013222e-06,4.7218655732656837e-06,0.0015267736398947552,-0.034402839371517835,-3.2107103136690043,0.0027236818758609688,0.031259655847349223,-3.1709400940487971,0.00059095352029574081,-0.034402839371517835,-3.2107103136690043,0.0027236818758609688,0.031259655847349223,-3.1709400940487971,0.00059095352029574081,0.034402839371517835,3.2107103136690043,-0.0027236818758609688,-0.031259655847349223,3.1709400940487971,-0.00059095352029574081
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,513,9.9821219579315033e-08,6.4189357228935434e-08,4.0321780383632066e-08,8.638301228275011e-08,2,5.0870418988324673e-13,3118987,0,-0.077433239192835249,-0.00024097377728345341,0.31544009372972137,0.99999991736117122,0.00039879265584792905,2.2879024632249447e-06,7.897362147047063e-05,-0.0008624728105019148,-0.0070388847210495088,-7.5329099870381438e-06,0.022791615557033892,0.0001332918269037932,0.0037517439752893953,-0.97123194433135396,1.6381168313316143,0.0024785645360764432,-0.98430331676721838,1.6405889402917391,0.00086081615748597482,0.0219594311822911,-0.035645018413254022,0.052712818296339954,-0.023021757526859025,0.033718207970204438,-0.0012895416699013494,0.005670621598528677,7.2586669201714021e-05,-0.24785578891199803,-0.0014473133953503388,-0.023931989077362568,-0.29112414833093214,0.47378114507255187,0.30910681070148194,-0.44738334866562091,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0026325561808986254,0.064658738967167464,-0.00053941987483184474,-0.24153838076484466,0.0012051332606711467,-0.022193553611544837,-0.30091944703846962,0.43349119439678069,-0.13412921980664846,0.3026006402878384,-0.41981785605640182,-0.016838541941942661,-0.034374754740261963,-3.2098198568424561,0.002939612300968529,0.031210323713782961,-3.1716023166550582,0.00071748577195020788,-0.0054472756211797315,0.14987541430293849,31.571252514848613,-0.055421684273993757,0.0059429900568428841,2.9057914677225643e-05,0.023743388652847953,0.1541790731541981,31.548318069227378,-0.055832546627220821,0.00026048405381937307,-0.003336594328071821,0.0045052143984540298,0.088600381515430676,-0.00055012484266401759,-4.0121523030910849e-05,-0.00026344707483724218,-0.00021446829185572402,0.0045004146466713305,0.08859835577198702,-0.00052783462641439749,-4.0105105292316759e-05,-0.00026347884864966003,-0.00021446477527766269,0.0011405421969709517,0.00030380654176300517,6.1200654403355882e-05,0.00031587040735766848,0.00080579901351542364,0.0017720094023159791,0.0017720076303086136,4.293836640114802e-06,9.2298414817996608e-08,3.7455200993990038e-09,1.2491819207393061e-07,1.0085658553864972e-06,6.3337896072813898e-06,6.3337769397216565e-06,0.0017720076303086136,-0.034374754740261963,-3.2098198568424561,0.002939612300968529,0.031210323713782961,-3.1716023166550582,0.00071748577195020788,-0.034374754740261963,-3.2098198568424561,0.002939612300968529,0.031210323713782961,-3.1716023166550582,0.00071748577195020788,0.034374754740261963,3.2098198568424561,-0.002939612300968529,-0.031210323713782961,3.1716023166550582,-0.00071748577195020788
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,504,1.0008337905908216e-07,6.4388857955027907e-08,4.0440035684434403e-08,8.6540959805757843e-08,2,6.9805272673306717e-13,3058205,0,-0.077441726685186493,-0.00031553456033891358,0.31543997103906518,0.99999986041772526,0.00051918232479771268,2.9525964966334056e-06,9.8007777815564207e-05,-0.00083961509677455228,-0.0077157070907380096,-1.539465534504413e-05,0.024877089682953924,0.00013328916853363136,0.0038323152962891779,-0.97099967776692597,1.6377414330513611,0.0030079958658845237,-0.98453900251018034,1.6409458775706569,0.00078799978732513592,0.024038959924032755,-0.038715440334092042,0.052854106616119959,-0.023832991206986565,0.036935907645096307,-0.01154889601523473,0.0056098627473257032,0.00015427138918652875,-0.27473001427723576,-0.0014805215170368199,-0.024758031860496119,-0.32444008955123949,0.52414054621172457,0.32732630160964282,-0.49884548680536545,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0031566728028810495,0.07110263465663838,-0.00063163821748161465,-0.26763787336671796,0.00043217636879975201,-0.022221046111903925,-0.33334385513118669,0.47998869724905807,-0.14736696879080244,0.32437185714916228,-0.46523990567707729,0.032938197374054026,-0.034279990059997302,-3.2088710705704009,0.003198021664039148,0.031091366793231622,-3.1722780829700348,0.00098067491065500427,-0.004909510978942426,0.16446823048752446,31.571173722315642,-0.062247920785398023,0.0062270104310352126,0.00016181567805716634,0.024280878919494785,0.16877925981194641,31.548242848012713,-0.062690118566879713,0.00054019159586601731,-0.0033487253329313534,0.0047537239941064522,0.099697577477161528,-0.00061863200324639136,4.4016692853795265e-05,-0.00017430145480405468,-0.00030888299819836898,0.0047488018490625629,0.099696477274497361,-0.00059505670167880735,4.4025809916380022e-05,-0.00017433403486742573,-0.00030887934858533971,0.0013203533115203471,0.00024531899444446537,7.8590960666814346e-05,0.00035460704552588986,0.00088303697925332992,0.0019939535434947025,0.0019939515495432307,5.5298766327000263e-06,6.0181409035243627e-08,6.1765390985327594e-09,1.5098293146420951e-07,1.2666906533459153e-06,8.0108424399214379e-06,8.0108264182597117e-06,0.0019939515495432307,-0.034279990059997302,-3.2088710705704009,0.003198021664039148,0.031091366793231622,-3.1722780829700348,0.00098067491065500427,-0.034279990059997302,-3.2088710705704009,0.003198021664039148,0.031091366793231622,-3.1722780829700348,0.00098067491065500427,0.034279990059997302,3.2088710705704009,-0.003198021664039148,-0.031091366793231622,3.1722780829700348,-0.00098067491065500427
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,494,9.9091462946262823e-08,6.3799424465596426e-08,4.0068375195787228e-08,8.559442670158339e-08,2,9.570677583781162e-13,2992876,0,-0.077449957520456372,-0.00039594675644100634,0.3154397615836052,0.99999978281407131,0.00064853837379337466,3.5881922824474201e-06,0.00011728986981756676,-0.00081218766508628078,-0.0082398260139143909,-2.4610272327929948e-05,0.026476107434399411,0.00012349971778425497,0.0038619545355336,-0.97074943693973492,1.6373397857676266,0.0035348021161302917,-0.98477938414126742,1.6413310165866295,0.00060875147178782131,0.025649550802597849,-0.041042660202207253,0.05231451429309502,-0.024067408798852035,0.039491423090087956,-0.022503127995230618,0.0055193756746249843,0.0002516639455147945,-0.29718799538121987,-0.0014144068049533364,-0.025282945022760069,-0.35277584987289845,0.56652648684354856,0.33879305143116345,-0.54337667672027845,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.003732077288771504,0.076284466487662364,-0.00069445840780515966,-0.28950603676740327,-0.00033373588594261163,-0.021848930824305852,-0.36070207333960247,0.51888993983521592,-0.15855651859099787,0.3398589043530631,-0.50368084416553016,0.089425619354135857,-0.034132786926678413,-3.2078932770853812,0.00347889567205015,0.030918413209825482,-3.1729497460573288,0.0013751868510043152,-0.0044100142996241036,0.17598051735032427,31.571167738317307,-0.068250849675524194,0.0065318330240016331,0.00024085001215015938,0.024779987434453594,0.18029966922331331,31.548239824027611,-0.068691497463698209,0.00094607186739409767,-0.0034078814446647011,0.0049842011115603163,0.10953760670924366,-0.00065513536990744424,0.00015103548098534454,-7.4548076985319614e-05,-0.00041442723085535792,0.004979098877890724,0.10953760279665273,-0.00063062170852619154,0.00015103594404696082,-7.4581759539164036e-05,-0.00041442348865303711,0.0014926038854612572,0.00017872983858534803,9.4612235331995422e-05,0.00038409793069082987,0.0009527309401666528,0.0021907543249370348,0.0021907521341848731,6.8242806767864216e-06,3.1944355200744561e-08,8.9514750745168825e-09,1.7993197823692917e-07,1.5635843175947805e-06,9.6830315086520619e-06,9.6830121426171597e-06,0.0021907521341848731,-0.034132786926678413,-3.2078932770853812,0.00347889567205015,0.030918413209825482,-3.1729497460573288,0.0013751868510043152,-0.034132786926678413,-3.2078932770853812,0.00347889567205015,0.030918413209825482,-3.1729497460573288,0.0013751868510043152,0.034132786926678413,3.2078932770853812,-0.00347889567205015,-0.030918413209825482,3.1729497460573288,-0.0013751868510043152
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,481,9.9218864162296694e-08,6.4171908780613862e-08,4.0299938622180478e-08,8.5537883085982057e-08,3,8.3266726846886741e-17,2932754,0,-0.077457882762161021,-0.00048068975495529898,0.3154394539815214,0.99999968298204944,0.00078444431437518097,4.1462773414407497e-06,0.00013662257149707157,-0.00077965970382067777,-0.0086125776147155473,-3.4822150224208052e-05,0.027594713494424959,0.00010406716996253915,0.003859389035725956,-0.97048586014196503,1.6369193149606158,0.004052349932713876,-0.98501899911832291,1.6417376709169975,0.00031791859306078439,0.02679997677362211,-0.042629272908685803,0.051126525133639071,-0.023776422791130934,0.041375303938816957,-0.033854795850402769,0.0053955350823732011,0.0003614727765726862,-0.31516935480772468,-0.0012479855886048375,-0.025615540761173901,-0.3760697262449057,0.60070278837367996,0.34392735851250794,-0.58062280279827516,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0043362689977516269,0.080200895354839138,-0.00072776837293475963,-0.30706789212494051,-0.0010660535945343098,-0.021209332271038821,-0.38296768126821573,0.55000700684072457,-0.1669871894535673,0.34936350991944504,-0.53492138620076135,0.15080514508314827,-0.033946574878082565,-3.2069113991938325,0.0037688966035172235,0.030705848118093196,-3.1735998638997778,0.0018963861541548624,-0.0039820444734007107,0.18442392112923978,31.571231200351612,-0.073391224734393828,0.0068422519253164707,0.00026356841176382892,0.025207195584344734,0.18875177469083737,31.548306231799462,-0.073798671941861724,0.001472338330744062,-0.0035039168119745086,0.0051815487035624924,0.11805002509656216,-0.0006600938202056838,0.00027795003644913018,3.2672893855996722e-05,-0.00052837568505196728,0.0051760777101663566,0.11805125745129431,-0.00063468127204168421,0.00027794073542217993,3.263718862475242e-05,-0.00052837204286720419,0.0016550876277617727,0.00010592660846215742,0.00010892411495074458,0.0004050731341392083,0.0010139156306591081,0.0023610275100510265,0.0023610251490258864,8.1304784126440156e-06,1.12204463802952e-08,1.1864462817803018e-08,2.127036752738734e-07,1.894326107951762e-06,1.128497686053036e-05,1.1284954290608324e-05,0.0023610251490258864,-0.033946574878082565,-3.2069113991938325,0.0037688966035172235,0.030705848118093196,-3.1735998638997778,0.0018963861541548624,-0.033946574878082565,-3.2069113991938325,0.0037688966035172235,0.030705848118093196,-3.1735998638997778,0.0018963861541548624,0.033946574878082565,3.2069113991938325,-0.0037688966035172235,-0.030705848118093196,3.1735998638997778,-0.0018963861541548624
