scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1090,4.0653984431890357e-08,6.4653252131178184e-08,4.0411545954392072e-08,7.2004344708886947e-09,2,1.484090628167678e-13,6609510,0,-0.077378152000000006,8.1000000000000019e-07,0.31536262203222964,0.99999987500000265,0,-0.0004999999791666669,0,0,0,0,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0,0.0019340500066244992,-0,0.025000000000000001,-0,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0020825187460818051,-4.6992179512237745e-06,0.00057692070517237489,2.9302297805861268e-05,0.025324457270719317,-4.0914845186628063e-06,-0.0012795637323413035,-0.0026871545433512596,0.22239757518346676,-0.0012440685752699025,-0.0027985018268474053,0.22222775035928843,-0.032768984951279202,-3.2121647954017876,0.0064176750101223234,0.029686666077517115,-3.167375211129952,0.0051666124620418138,-0.02801095379956443,-0.00217092806379382,31.574689160196794,-0.00012358121381282876,0.0082122590452923562,0.00078705862898448427,0.0012123248388716675,0.002154765190265362,31.551736078773484,0.00096209039048753757,0.00343919249761646,-0.007196097572213957,0.0090819593349653147,-1.3109828489068544e-05,0.0012391113855305079,-9.6021101765066379e-07,3.4849504154798839e-05,3.2813544731033553e-07,0.0090819311613474368,5.0283957617972691e-06,0.0012391245677317085,-1.1040817358789479e-06,3.4849445942288946e-05,3.3783434710176396e-07,5.0558285515523434e-05,0.00020825187460818051,0.00013571293014521244,1.6222863535965761e-05,5.5970036536948103e-05,0.00018163936833851029,0.00018163918669930628,4.8477094926862599e-09,4.3368843277821336e-08,1.8417999408599313e-08,2.6536971356224213e-10,7.2949607919275486e-09,6.7602941887887872e-08,6.7602806682183207e-08,0.00018163918669930628,-0.032768984951279202,-3.2121647954017876,0.0064176750101223234,0.029686666077517115,-3.167375211129952,0.0051666124620418138,-0.032768984951279202,-3.2121647954017876,0.0064176750101223234,0.029686666077517115,-3.167375211129952,0.0051666124620418138,0.032768984951279202,3.2121647954017876,-0.0064176750101223234,-0.029686666077517115,3.167375211129952,-0.0051666124620418138
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,870,4.0738370648893263e-08,6.4785835049280766e-08,4.0494427551207503e-08,7.2153204522251713e-09,2,1.6794898805017056e-13,5233031,0,-0.077378382362434453,-7.3377411748074381e-06,0.31536251425276551,0.99999987518396982,1.4251863532940053e-05,-0.000499411710211935,4.107626275538563e-06,-3.5285349229967114e-05,-0.0013474742822942203,-1.4696442836657346e-05,0.0046604661571650729,0.00020592842417949413,0.0013262724238557735,-0.97202692938727131,1.6394369582542869,5.026898087392203e-05,-0.98348996781478626,1.6395424193412418,-1.6766574344823273e-05,-0.0034486690782332286,0.0047723962909128875,0.0095752914071739678,-0.014828506972775043,0.020816829910925733,-0.0011070958228509185,0.00021378535728982934,0.0020837089215943556,-0.047317254777945419,0.022911302307711649,-0.0080315718191705208,0.042392516808384482,-0.058752400593664024,0.18150724176491767,-0.25489205773637413,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0040742702299432169,0.013066714828542554,0.013236040531894828,-0.047730021358607988,0.026579469202143838,-0.0080000137710781929,0.031784654094409205,-0.050457906530515552,0.23377020623359815,0.16937794541456058,-0.22932793356209535,0.21774865900915799,-0.03333512848573475,-3.2164694330876191,0.0051608570627582505,0.030324659433930541,-3.1722963047581736,0.0037625622263498279,-0.029423290682025535,0.028918338606873095,31.595440713135336,-0.014850203026162089,0.0068893382591655693,0.00075864629263676744,-0.00019999169574028218,0.033247055363547218,31.572491212301536,-0.0046424776725807852,0.0019891840376199971,-0.0064804070558140388,0.0083675821878376223,0.015981744541860819,0.011615166417654773,-3.1966296940919992e-05,-0.00029515305864182299,-1.6795708580494154e-06,0.0083675794331207753,0.016001067489925056,0.011616925379911793,-3.2119581366146212e-05,-0.00029515328256083479,-1.6706015170688503e-06,0.00095146638945506226,0.00042880555872330459,0.0011152331610300471,0.00018340834472160942,0.00051128248348557563,0.00032002166981835327,0.00032002134979850112,1.1656987721956255e-06,1.8387420719200541e-07,1.2437450034610711e-06,3.4067051314798878e-08,3.9278786314995309e-07,3.9674645251152918e-07,3.9674565901971785e-07,0.00032002134979850112,-0.03333512848573475,-3.2164694330876191,0.0051608570627582505,0.030324659433930541,-3.1722963047581736,0.0037625622263498279,-0.03333512848573475,-3.2164694330876191,0.0051608570627582505,0.030324659433930541,-3.1722963047581736,0.0037625622263498279,0.03333512848573475,3.2164694330876191,-0.0051608570627582505,-0.030324659433930541,3.1722963047581736,-0.0037625622263498279
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,534,9.6945264791213255e-08,6.3741610898483479e-08,4.0040616412181662e-08,8.3577225159657455e-08,2,2.260691633892975e-13,3250841,0,-0.077378997089384866,-2.8484671712903639e-05,0.31536312959782759,0.99999987483898645,5.0152639341467311e-05,-0.00049761670259134089,1.3577217035840494e-05,-7.7549686972519017e-05,-0.0026163943154105191,0.0001130238269269335,0.0088094174694391611,0.00046529130791813695,0.0022493838560880344,-0.97204144505719769,1.6394513768343981,0.00020689740561569839,-0.98367116145254208,1.6397949324824519,-2.4244396355053704e-05,0.00029796670440966318,-0.0015398581213316963,0.020295170391577397,-0.019693852180458514,0.027154890257654142,0.00036914688880178672,0.00047290392629885359,0.00079112259740665692,-0.090601806766084231,0.020227923088422577,-0.013740693053369366,-0.0020445484659803639,0.016475583469267877,0.24641435521632873,-0.340039254980679,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0045937983083656469,0.024596978849938542,0.013340946575514516,-0.089913935760540589,0.024929851316676691,-0.013483785883231913,-0.015982319660612615,0.019656736350261102,0.20518817686764343,0.23137462197320505,-0.3084156462041715,0.19535207371458174,-0.033699643344411098,-3.2164452395756049,0.0048132810281603794,0.030689890892022263,-3.1730437276884036,0.0032765454821446333,-0.029599905722897755,0.056299771603451898,31.59490428194086,-0.024190234332288771,0.0065345636722349519,0.00091038297684671056,-0.00038642388297642494,0.060584046416062298,31.571982289287526,-0.014197425207021188,0.0015103837701657143,-0.0061005766293117103,0.0082223110050873606,0.030806578631840151,0.011344558551968628,-7.9317592898739056e-05,-0.00040840946920310062,-3.0481828923963959e-05,0.0082174544508861781,0.030802858192022567,0.011359975770581288,-7.928767781793744e-05,-0.00040844141722458724,-3.0475632593551186e-05,0.0011757334042159183,0.00050667022346645007,0.0012549823978107858,0.00023509641141270573,0.0006324721755301499,0.0006161321887680778,0.00061613157263680301,1.7601462657515898e-06,2.5671471534754247e-07,1.5749808188149095e-06,5.6618242194971336e-08,5.7225096304003745e-07,9.7198823888802773e-07,9.7198629491468019e-07,0.00061613157263680301,-0.033699643344411098,-3.2164452395756049,0.0048132810281603794,0.030689890892022263,-3.1730437276884036,0.0032765454821446333,-0.033699643344411098,-3.2164452395756049,0.0048132810281603794,0.030689890892022263,-3.1730437276884036,0.0032765454821446333,0.033699643344411098,3.2164452395756049,-0.0048132810281603794,-0.030689890892022263,3.1730437276884036,-0.0032765454821446333
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,726,4.0576740216068658e-08,6.4359500920310431e-08,4.022928604280628e-08,7.1709698179489578e-09,2,3.0750402224555273e-13,4353251,0,-0.077380030600762234,-6.1806352931822396e-05,0.31536507208472769,0.99999987178143634,0.00010567531204193697,-0.00049451929162805538,2.6842290679263643e-05,-0.00011994801437518172,-0.003797890319391946,0.00024813983431915644,0.012589508023369911,0.00072397179719147354,0.0029101569860615763,-0.97200555348101658,1.6393802981813084,0.00047956560929477424,-0.9838787416258743,1.6400774294601499,-3.6414388450848038e-06,0.0058462744907233728,-0.010963297456706898,0.032059249657283011,-0.021288885975494009,0.028675236285983771,0.0035047838214921812,0.00073659549311114636,-0.00060859964901828099,-0.13117884606162158,0.017486247666263985,-0.017944103169246283,-0.069916338644264941,0.13211568700500134,0.27302764699671467,-0.36845329851776248,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0047288931519775257,0.035155984194832283,0.0095856859114150129,-0.12896183019144902,0.022576401921431552,-0.017367379502099746,-0.085576916330477676,0.12455471405893605,0.15719914120146319,0.2573810095451603,-0.33836712356033966,0.16624933032782344,-0.033948007445338678,-3.2149952513363549,0.0046706423502711238,0.030921719099383588,-3.1725358401924848,0.002998360135530499,-0.02943763822415707,0.081240060271819958,31.587991077672921,-0.031719800154201366,0.0064031318557361966,0.0010842881849050206,-0.00021486309397227704,0.085500386535258821,31.565048767182319,-0.024761709150837478,0.0012550509642136431,-0.0058193405359308328,0.00820222589028443,0.045030011996771487,0.0078818510025012428,-0.00011250730674877491,-0.00046472837849139499,-7.1168958789104921e-05,0.0082020767367465969,0.045013042564596484,0.0078869599519544482,-0.000112372137387943,-0.00046473009846321241,-7.1163757177183484e-05,0.0011374250816806972,0.00054654886450886716,0.0010194285560433294,0.00025450771275837837,0.00060172349914845659,0.00090060114053426078,0.0009006002399354297,1.8807520331847049e-06,2.9871566129593203e-07,1.0392345808765876e-06,7.7893599745611099e-08,5.8096687698643037e-07,1.7998831018544135e-06,1.7998795020937118e-06,0.0009006002399354297,-0.033948007445338678,-3.2149952513363549,0.0046706423502711238,0.030921719099383588,-3.1725358401924848,0.002998360135530499,-0.033948007445338678,-3.2149952513363549,0.0046706423502711238,0.030921719099383588,-3.1725358401924848,0.002998360135530499,0.033948007445338678,3.2149952513363549,-0.0046706423502711238,-0.030921719099383588,3.1725358401924848,-0.002998360135530499
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,732,4.0753615943523667e-08,6.4696263566447129e-08,4.0439404722187165e-08,7.2089615388293282e-09,2,4.123923424970144e-13,4384216,0,-0.077381488624255673,-0.00010633367347522417,0.31536815106697103,0.99999986292055387,0.00017900338275630788,-0.00049018779953034178,4.2808671848518592e-05,-0.00016270215788855586,-0.0048757331869456778,0.00034729891715104972,0.016001072816146485,0.00096200003632329124,0.003377406686583788,-0.97191490953587067,1.6392152006877163,0.00086760317145643834,-0.98409653201467162,1.6403682033993627,4.6676191658694549e-05,0.011140003178239793,-0.020105966167744571,0.043222404458554922,-0.02207842170719744,0.029319811304908752,0.006061673031352602,0.0010062425656323436,-0.001677165033420512,-0.16896089770824169,0.014889390733195451,-0.021034996247985199,-0.13670426491971466,0.24777122130676754,0.29034252977385949,-0.38665606055652452,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0047262197764346642,0.044820211693912454,0.0055236935449251394,-0.16525968137772862,0.020168723994266544,-0.020055533325914796,-0.15364237710007,0.22875968587151946,0.10447187407077263,0.27484460995330762,-0.35906317150027017,0.14279634860301307,-0.034109700446986232,-3.2132798433027783,0.0045632080470872291,0.031062815939808756,-3.1719514158928046,0.0027589271423768841,-0.02906245183699788,0.10390335387814309,31.580720029821265,-0.038754708149655086,0.0063189735710596651,0.0012595956529816139,0.00016038177526218889,0.1081660499449133,31.557781033748455,-0.034991354558229014,0.0010462316392552233,-0.0055975970973696229,0.0082495740688472621,0.058676390710637606,0.00423548205731312,-0.00011992717112053347,-0.00050051252108356393,-0.00012106713794530859,0.0082495548665174404,0.058658924546389685,0.0042420622105066629,-0.00011978805634174953,-0.00050051349639981964,-0.00012106199166691639,0.0010529543834492982,0.00057324623420670071,0.00072008585783456518,0.00026396666305355463,0.00055185778112508692,0.001173528987739237,0.0011735278142127521,2.2150026805238877e-06,3.2861124503216358e-07,5.185236426533416e-07,1.0632427405604713e-07,6.5995646763000446e-07,2.9117905780457522e-06,2.9117847544735039e-06,0.0011735278142127521,-0.034109700446986232,-3.2132798433027783,0.0045632080470872291,0.031062815939808756,-3.1719514158928046,0.0027589271423768841,-0.034109700446986232,-3.2132798433027783,0.0045632080470872291,0.031062815939808756,-3.1719514158928046,0.0027589271423768841,0.034109700446986232,3.2132798433027783,-0.0045632080470872291,-0.031062815939808756,3.1719514158928046,-0.0027589271423768841
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,700,4.0852362368604033e-08,6.4655340884914016e-08,4.0415129300928776e-08,7.2038689458153726e-09,2,5.461187058131145e-13,4200717,0,-0.077383378428152488,-0.00016093309524017749,0.31537197461663097,0.99999984470611314,0.00026819954474354313,-0.00048474619247679279,6.0645549362670744e-05,-0.00020620694767081423,-0.0058340290993936913,0.00040538502589948218,0.019011346320852468,0.0011732440010149578,0.0036948888106250518,-0.97177635238754445,1.6389668954098806,0.0013578724589507212,-0.98432135805595533,1.6406672244046463,0.0001115923307257485,0.015561889221713301,-0.027806084504831952,0.052726277989498506,-0.022753756277397664,0.030335297623382974,0.0066434164148853319,0.0012842795393972302,-0.0023536148624034008,-0.20352344113986437,0.01250487086832548,-0.023260952808785686,-0.1947549547811408,0.34911163135390144,0.30654028210247575,-0.40960665256842343,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0045994465141410874,0.05351849821409272,0.0023032426416424111,-0.19854998308281496,0.017839179578306493,-0.021779833366022468,-0.21271131073399746,0.31984819074868237,0.054436819144969152,0.29173354161198761,-0.38304853539331135,0.13197649575232231,-0.034193441345492438,-3.2116861999421333,0.0044742937276467023,0.031123218505250259,-3.1716548495640939,0.0025654322937448265,-0.028468066813726003,0.12413375234214263,31.575032328861713,-0.045627254033067596,0.0062649673281779455,0.0014338238515481331,0.00075430622542022735,0.12839994144996369,31.55209683943772,-0.044362194048255865,0.00089072353099436778,-0.0054473511970950508,0.008372416539585736,0.07160666538502454,0.0013754044620145111,-9.8052721879790959e-05,-0.00051759568618611577,-0.00018175297188890573,0.0083722931721911861,0.071588900634557334,0.0013835166045209556,-9.7911224671309583e-05,-0.0005175973545909682,-0.00018174779710365533,0.00099516650013562998,0.00058837260535383172,0.00046568575040458122,0.00026671543549905061,0.00058526881210438147,0.0014321347398323725,0.0014321333077004909,2.8968146224096724e-06,3.4618232273085581e-07,2.1686321812987792e-07,1.3845962315585043e-07,8.4134113080020771e-07,4.2579747538387243e-06,4.2579662379024145e-06,0.0014321333077004909,-0.034193441345492438,-3.2116861999421333,0.0044742937276467023,0.031123218505250259,-3.1716548495640939,0.0025654322937448265,-0.034193441345492438,-3.2116861999421333,0.0044742937276467023,0.031123218505250259,-3.1716548495640939,0.0025654322937448265,0.034193441345492438,3.2116861999421333,-0.0044742937276467023,-0.031123218505250259,3.1716548495640939,-0.0025654322937448265
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,650,4.1570662741701853e-08,6.4598012158262161e-08,4.0385351385207983e-08,8.3440138134928572e-09,2,7.1787020772262622e-13,3935631,0,-0.077385703985417234,-0.00022432940096729872,0.31537617799272233,0.9999998135435868,0.00037115630136791005,-0.00047833229787136943,7.9712007672731427e-05,-0.0002498048676854168,-0.0066599471919346681,0.00043012743675054614,0.021587550427394235,0.001356681959176619,0.0038973334955554957,-0.97159923528311198,1.6386514719714471,0.0019312270776850437,-0.98455265729623975,1.6409794797789528,0.00016826442950205252,0.019043312954727987,-0.033855246525320716,0.060210970943269576,-0.023367818497302809,0.031856163246514829,0.0048123550043127185,0.001566797074867557,-0.0027061233731980579,-0.23443332049574583,0.010349796788271134,-0.024818817200619039,-0.24290825533688587,0.43305681938337237,0.32223580139157665,-0.43909823352103816,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0043313064747567626,0.061151039382108835,8.163856294891381e-05,-0.22842945733024822,0.015588881776496564,-0.022725867653153903,-0.2616023756736231,0.39522875166316468,0.0099664672991825777,0.30873575645954593,-0.41164900721936648,0.13579301755096601,-0.034205058093755854,-3.2102881008079538,0.0044175973434186586,0.031108086403313053,-3.1716848392248602,0.0024559967095899833,-0.027657571238557891,0.14170761414516453,31.571162037713009,-0.052278271291190948,0.0062540743151932518,0.0016022105739660563,0.0015637417299999012,0.14597818656312544,31.548230575694575,-0.05271187257789163,0.00082585353384441538,-0.0053772204020943893,0.008573695652929661,0.083642729706473254,-0.00058149334373711742,-4.7686172642366959e-05,-0.00051293320358413753,-0.0002546159165263672,0.0085731907508885402,0.083624796661705747,-0.00057161940923693274,-4.7543314319016231e-05,-0.00051293731217662828,-0.00025461066772767795,0.0010754146414673222,0.00058981035496243203,0.00027877619361469719,0.0003001931582748807,0.00075656135440415381,0.0016728562669827251,0.0016728545941294651,3.8480925205590685e-06,3.4787625482091006e-07,7.7716166126299136e-08,1.696870555802565e-07,1.0864576321345056e-06,5.7604290130377752e-06,5.7604174921965678e-06,0.0016728545941294651,-0.034205058093755854,-3.2102881008079538,0.0044175973434186586,0.031108086403313053,-3.1716848392248602,0.0024559967095899833,-0.034205058093755854,-3.2102881008079538,0.0044175973434186586,0.031108086403313053,-3.1716848392248602,0.0024559967095899833,0.034205058093755854,3.2102881008079538,-0.0044175973434186586,-0.031108086403313053,3.1716848392248602,-0.0024559967095899833
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,589,4.6197858005340062e-08,6.434343928504362e-08,4.0253201450984274e-08,2.1126627118409937e-08,2,9.3983154592081064e-13,3593043,0,-0.077388458022976669,-0.00029514090734532902,0.31538048733694413,0.99999976617118391,0.00048562650400596534,-0.00047108323006353779,9.9524198433426e-05,-0.0002921302169984119,-0.007344314792989714,0.00043143959864321349,0.023705435519788341,0.0015130015833674279,0.0040141773750691657,-0.97139244530845281,1.6382847913346019,0.0025677218278738782,-0.9847891775413814,1.6413087510071735,0.00019331769457623058,0.021680864905690996,-0.038383481581185416,0.065746489055784452,-0.023803564674846071,0.033649103779089411,0.00072498303139970164,0.0018455355087804459,-0.0028269785976696776,-0.26133568229073972,0.0084241475053833496,-0.02587649996184643,-0.28200331783617216,0.50059614298017574,0.3359794843471951,-0.47246728412788175,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0039226929446455937,0.067630650614072779,-0.0013149385511094722,-0.25452713400966198,0.013408493434131266,-0.023060648673704338,-0.30114496206796609,0.4558100436223067,-0.028378828760722438,0.32444875003474488,-0.44248621704131325,0.15329889324328874,-0.034151695836494272,-3.2090588513093614,0.0044001628676892416,0.03102448079978886,-3.1719720514082157,0.0024599613603380251,-0.026668776976532298,0.15643591511028676,31.568781439764713,-0.058536298390879989,0.0062911576153985753,0.0017547825905422426,0.0025503340109997094,0.16071217597233844,31.545856078955115,-0.060012638033714705,0.00087901463989421358,-0.0053855626895611764,0.0088386790815542515,0.094619380861853467,-0.0017987073386885723,2.8771576441959764e-05,-0.00048602721487692857,-0.00033991048294496697,0.0088372416270811275,0.094601669814226214,-0.0017860599755477671,2.8912722111830225e-05,-0.00048603728214255913,-0.00033990499359374019,0.001250356840821272,0.00057682284534260402,0.00015120400465602055,0.00034042741405388712,0.00089572198715738073,0.001892389509623365,0.0018923876172370693,4.9682234193160903e-06,3.3272459490913769e-07,2.2862651024017883e-08,1.9782263127531021e-07,1.3616077828092501e-06,7.3388245998273402e-06,7.3388099222004369e-06,0.0018923876172370693,-0.034151695836494272,-3.2090588513093614,0.0044001628676892416,0.03102448079978886,-3.1719720514082157,0.0024599613603380251,-0.034151695836494272,-3.2090588513093614,0.0044001628676892416,0.03102448079978886,-3.1719720514082157,0.0024599613603380251,0.034151695836494272,3.2090588513093614,-0.0044001628676892416,-0.03102448079978886,3.1719720514082157,-0.0024599613603380251
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,528,6.6305694716644044e-08,6.4765289906055315e-08,4.0591711142290353e-08,4.9540000279096885e-08,3,8.3266726846886741e-17,3206021,0,-0.077391618322112249,-0.00037191609631457597,0.31538471903706128,0.99999969998073057,0.00060927234964373281,-0.00046313077066654281,0.00011973112421877072,-0.00033162720731976707,-0.0078815757986190945,0.00041773196963508464,0.025350942957950168,0.0016434250978936869,0.0040702241311346993,-0.9711637071016288,1.6378808384466987,0.0032493084842533386,-0.9850284177768367,1.6416560102466633,0.00016673730203650713,0.023593657209019049,-0.041598007872988299,0.069584853540651789,-0.023943095313848518,0.035423586968095742,-0.0051852100003399494,0.0021109601429287923,-0.002795694810517192,-0.28397305010824608,0.0067222898701931391,-0.026576505238275962,-0.31319140092177311,0.55371276244632495,0.34626650049161511,-0.50626241501758873,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0033937963903940744,0.072895511898757814,-0.0021192314478396578,-0.27656006904160568,0.01130357272741938,-0.022935773544195119,-0.33252181864527169,0.50332803544990423,-0.060936080579304934,0.33733343851884739,-0.47259650211686599,0.18217672206254468,-0.034042517928207741,-3.2079549494246113,0.0044181621802029357,0.030882254579298728,-3.1724286240389272,0.0025912988583983443,-0.025560123732515969,0.1681902771916044,31.567467724806786,-0.064227209686604378,0.0063693543212522494,0.0018797779396172837,0.0036550708676388183,0.17247637115437586,31.544553545751906,-0.06627637207659956,0.0010615932763832704,-0.005463057880408571,0.0091421000272169112,0.10439880718002591,-0.0024868301417583236,0.00012840035477071755,-0.00043924516389030074,-0.00043669797976433883,0.0091388910635100858,0.10438318448372184,-0.0024688902164844602,0.00012852501106249811,-0.00043926671436658401,-0.00043669174542291866,0.0014187353059579545,0.00055047565333228663,6.7646336267753425e-05,0.00037064905333202003,0.0010076945399284142,0.0020879782315755251,0.0020879761436005183,6.1760953628592615e-06,3.030234449116078e-07,4.5760268104499722e-09,2.2298842045142208e-07,1.6501916206068608e-06,8.9178009906954691e-06,8.9177831551194879e-06,0.0020879761436005183,-0.034042517928207741,-3.2079549494246113,0.0044181621802029357,0.030882254579298728,-3.1724286240389272,0.0025912988583983443,-0.034042517928207741,-3.2079549494246113,0.0044181621802029357,0.030882254579298728,-3.1724286240389272,0.0025912988583983443,0.034042517928207741,3.2079549494246113,-0.0044181621802029357,-0.030882254579298728,3.1724286240389272,-0.0025912988583983443
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,490,8.8672248760434563e-08,6.4079256867974755e-08,4.0217646170303031e-08,7.4613045913810364e-08,3,2.7755575615628914e-17,2965517,0,-0.0773951480264502,-0.00045316835563994024,0.31538876001041383,0.99999961326673914,0.0007397158485436164,-0.00045459992754100562,0.00014009190195044758,-0.00036689676562979602,-0.008269541803635214,0.00039515373816612559,0.026519934765105595,0.0017493576391436488,0.0040857713923383625,-0.97091965179493078,1.6374515866443109,0.003960715632402175,-0.98526694418520533,1.6420195902858703,7.337661617887375e-05,0.024881568977746182,-0.043689955747375428,0.072013839505343125,-0.023712901511568251,0.036940030439600008,-0.012404498384144187,0.0023543448318305267,-0.0026709368296413058,-0.30218514484611625,0.0052364229157627895,-0.027036282914207472,-0.33743233318762744,0.5942692018249327,0.35209112556552269,-0.53754861808709198,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0027749534535929129,0.076912012823020848,-0.0025295205633814669,-0.29434635900861589,0.009291688316679125,-0.022484992151998055,-0.35674827625383732,0.53939621091718681,-0.088235577249072328,0.34628852727317794,-0.4995144788075081,0.21969518389411127,-0.033888043211882213,-3.2069439000839237,0.0044605325748284979,0.030693053860856998,-3.1729777579257101,0.0028521919202466207,-0.02439582399642683,0.1769082376554737,31.566867090114698,-0.069212019325517057,0.0064743790664749694,0.0019663806485696665,0.0048157708578962927,0.18121240700448571,31.543963688986366,-0.071522080446280986,0.0013732448798811723,-0.0055969974304877655,0.0094556223053581315,0.11287481228817327,-0.0028215873952586305,0.00024824881311509756,-0.00037656469065509325,-0.00054314657494133499,0.0094508128979159025,0.11286524567528,-0.0027985771238978538,0.00024832544725141188,-0.00037659667179525277,-0.00054313956745861687,0.0015779170035619885,0.00051292982854234397,1.4141626625983894e-05,0.00039193929187501808,0.0010974598181549178,0.0022574985032590418,0.0022574962457634655,7.4078470528717642e-06,2.630970090084784e-07,1.999856036287366e-10,2.4651497120059538e-07,1.9457666741518926e-06,1.0429052098956108e-05,1.0429031240881777e-05,0.0022574962457634655,-0.033888043211882213,-3.2069439000839237,0.0044605325748284979,0.030693053860856998,-3.1729777579257101,0.0028521919202466207,-0.033888043211882213,-3.2069439000839237,0.0044605325748284979,0.030693053860856998,-3.1729777579257101,0.0028521919202466207,0.033888043211882213,3.2069439000839237,-0.0044605325748284979,-0.030693053860856998,3.1729777579257101,-0.0028521919202466207
