scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1083,4.075258784205044e-08,6.4809132283119833e-08,4.0508976290177031e-08,7.2189179078918642e-09,2,1.4857559627046157e-13,6573837,0,-0.077378152000000006,8.1000000000000019e-07,0.31551737831043697,0.99999987500000265,0,0.0004999999791666669,0,0,0,0,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0,-0.0019348569485586053,-0,-0.025000000000000001,-0,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0020833323498529368,4.7172023727824137e-06,-0.00057815953269163361,-2.9334491549140459e-05,-0.025319602999430806,4.2297841607171708e-06,0.0012654921037693928,0.0027143153082585573,-0.22241734418198528,0.0012293977651413159,0.002825228417328649,-0.22224302168683735,-0.032783476129556816,-3.2152434325981032,-0.0034952271327069661,0.029678721996039721,-3.1703965410443558,-0.0047256930663125835,-0.0011887042213914144,-0.002154415284635891,31.569744393167408,0.00096219263275913681,-0.00019516860443872212,-0.0071983269998026865,0.02798859725799421,0.0021706685455868957,31.546732851357341,-0.00013850816078289944,-0.0049543089557720675,0.0007853584563743747,-0.0090791250156139237,-4.8534430425243998e-06,-0.0012478694760555248,1.1030860833740524e-06,-3.5065370344626199e-05,-3.3595839169486643e-07,-0.0090791594494736005,1.2980069449917281e-05,-0.0012478861874114062,9.6105490662178412e-07,-3.5065477780750663e-05,-3.4244511704056141e-07,5.1800858355585982e-05,0.00020833323498529367,0.00013566974158669718,1.5980149971540208e-05,5.6504568346572983e-05,0.00018158337057263752,0.00018158318898947202,5.0953961529283584e-09,4.3402736799437594e-08,1.840627878220119e-08,2.5756120178414861e-10,7.3849249329460948e-09,6.7584476352266164e-08,6.7584341183537254e-08,0.00018158318898947202,-0.032783476129556816,-3.2152434325981032,-0.0034952271327069661,0.029678721996039721,-3.1703965410443558,-0.0047256930663125835,-0.032783476129556816,-3.2152434325981032,-0.0034952271327069661,0.029678721996039721,-3.1703965410443558,-0.0047256930663125835,0.032783476129556816,3.2152434325981032,0.0034952271327069661,-0.029678721996039721,3.1703965410443558,0.0047256930663125835
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,867,4.062066252569128e-08,6.4598301520348235e-08,4.0377215323082696e-08,7.1953394353840849e-09,2,1.3519740882372844e-13,5239253,0,-0.077377955955191008,-9.0735760382557738e-06,0.31551746937746927,0.99999987516397215,1.7484640767027309e-05,0.00049934925572207227,4.0802517508307413e-06,2.9647534213069407e-05,-0.0016391964251703528,1.2142106384615881e-05,0.0057254002874766166,-0.00022639471878034781,0.0013155484303712666,-0.97189616024401171,1.6392525073955264,-2.7076962364762788e-06,-0.9833688343810727,1.639368931226703,-4.9309960811564416e-05,0.015693373403731583,-0.021428445648493149,-0.0022764813222333783,0.0025714234288805944,-0.0033544426629599274,-0.0097756372135630459,-0.00017964960855939582,-0.002058554688212364,-0.058128234949496087,-0.022703516637246471,-0.0079667351167987278,-0.19201968213253889,0.26229793359458675,-0.031652726668638144,0.041408785273649391,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.004306045413051047,0.015794135939165337,-0.012908819213283998,-0.057278593286238175,-0.026582622201759547,-0.0083143155319567279,-0.17898003063866505,0.23875991897879459,-0.19934032279155292,-0.020680676448024741,0.033248047131955463,-0.23222745027906433,-0.033568264933708646,-3.2104414692471002,-0.0019852545157822993,0.030383033913149258,-3.1660849799393103,-0.0032757949787741675,0.00048195127565009779,0.035542715027087057,31.549515907739739,-0.0070042983689619981,0.0013618002815109884,-0.0063738315585456897,0.02965941039038179,0.03979444775036034,31.526508843395419,-0.016972779888423918,-0.0034194880628635443,0.00098604641389955696,-0.0082131510003720636,0.019395398166262141,-0.011361877713876612,-7.7921419580463935e-05,0.00032434509435953448,3.5119854881127002e-05,-0.0082131237350075523,0.019376153825301265,-0.011359748960814467,-7.7768770936942762e-05,0.00032434456510058727,3.5111011227345967e-05,0.00092080801328062113,0.00044856950216104431,0.0010850264525071635,0.0001939552782256538,0.00047076029231584327,0.00038790835123197364,0.00038790796332524282,1.1178897150142098e-06,2.0121459826900715e-07,1.1772824026402799e-06,3.9725407703953479e-08,3.6442167047835704e-07,4.9386428416667722e-07,4.9386329643940247e-07,0.00038790796332524282,-0.033568264933708646,-3.2104414692471002,-0.0019852545157822993,0.030383033913149258,-3.1660849799393103,-0.0032757949787741675,-0.033568264933708646,-3.2104414692471002,-0.0019852545157822993,0.030383033913149258,-3.1660849799393103,-0.0032757949787741675,0.033568264933708646,3.2104414692471002,0.0019852545157822993,-0.030383033913149258,3.1660849799393103,0.0032757949787741675
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,548,9.4276517489818083e-08,6.3755357711244317e-08,4.0092229300613491e-08,8.0847986566286775e-08,2,1.3597456494096605e-13,3328976,0,-0.077377415228940954,-3.4774331294315721e-05,0.31551683900469357,0.99999987432283599,6.138972548379449e-05,0.00049739495146181685,1.3560083184044111e-05,6.8810007461790748e-05,-0.0031770465321024548,-0.00011382182160975306,0.010749693486345616,-0.00050518135536355721,0.0022438004201443961,-0.97169524210781244,1.6389827920155944,-5.2064720024188013e-05,-0.98336467544939843,1.6393732378766528,-0.00021891768339963571,0.022503423608029864,-0.029692776284321619,-0.0078763484059904375,-0.0013410174864839602,0.0036698847057006381,-0.022796768564687989,-0.00041949098430220459,-0.00078315608887615808,-0.11056642126623399,-0.019817935061308439,-0.013706884028404328,-0.28097333748729192,0.3711796549020816,0.015146842775462806,-0.043038182548469119,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0053523415823989746,0.029759785104785962,-0.0137330487826975,-0.10842555320613149,-0.025374221441102417,-0.01414626102505763,-0.26232296198802646,0.34061800511460089,-0.15348552512415747,0.030621639760223709,-0.045587475292992993,-0.19572963246249339,-0.034101076095604407,-3.209305155731105,-0.0011074742423559198,0.030893651480868888,-3.1657971778476481,-0.0026206673397903214,0.0011321235176881758,0.068668255974807524,31.548834670940874,-0.018300484043355714,0.0022456760436958411,-0.0058403390973809201,0.030299577271908351,0.072941673639681515,31.525854303351643,-0.028569123002415323,-0.0027361257965970468,0.001302072300897749,-0.0078260414449320397,0.037343450098066944,-0.011705815581920158,-0.00013143309715415291,0.00051424777961935899,4.2563903676984275e-05,-0.0078310748703628742,0.037334039612018852,-0.011690588473916007,-0.00013135851700344213,0.00051421451938201519,4.2556580354935933e-05,0.0012181691780329157,0.00057718325667011788,0.0012949892693821341,0.00027781431898969889,0.00061123299574961435,0.00074686974882966965,0.00074686900196133891,1.952267436638072e-06,3.3314051178032315e-07,1.6769972078148734e-06,8.9121716325597927e-08,6.1112767168522749e-07,1.364578865912529e-06,1.3645761367594176e-06,0.00074686900196133891,-0.034101076095604407,-3.209305155731105,-0.0011074742423559198,0.030893651480868888,-3.1657971778476481,-0.0026206673397903214,-0.034101076095604407,-3.209305155731105,-0.0011074742423559198,0.030893651480868888,-3.1657971778476481,-0.0026206673397903214,0.034101076095604407,3.209305155731105,0.0011074742423559198,-0.030893651480868888,3.1657971778476481,0.0026206673397903214
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,696,4.1001065650127567e-08,6.4466449883552684e-08,4.0299602780898417e-08,7.1702996873312941e-09,2,1.5357159988127478e-13,4181142,0,-0.077376458682520952,-7.5107086828603902e-05,0.31551485491107933,0.99999986932131713,0.0001287705488680774,0.00049402262391622228,2.6779499063356259e-05,0.00011252633351216468,-0.0045879758642238134,-0.00025465626901222918,0.015235900015696436,-0.00079019213783095813,0.0028741103906353696,-0.97144738353744353,1.6386629748609054,-0.00017530664855726255,-0.9834097033725524,1.6394690067214621,-0.00054254796001030584,0.026179891352077201,-0.033166341463586352,-0.016141328082384544,-0.0065832987302607915,0.013665143219735176,-0.039516319796360021,-0.000690397858384474,0.00067479072550455073,-0.15879752788082765,-0.016799210893472021,-0.017726693347949688,-0.33401385894914071,0.42437585462206184,0.079675222934327813,-0.16642896313001942,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0062237211290320322,0.042402941827376979,-0.010839155961378426,-0.15527540480444196,-0.023687499322251102,-0.01801615774287214,-0.31127433076257127,0.39394499844924019,-0.097679410647299361,0.099070147293983432,-0.15699107460760472,-0.12517970271683643,-0.034443087074226962,-3.2092365292228346,-0.00024329291130894526,0.031221914027949361,-3.1668963984683645,-0.0020333113934048637,0.0015449456585482947,0.098441528079512564,31.554404686698234,-0.030322353027863787,0.0031071439470236359,-0.0054133233818534649,0.030721686782671231,0.10277062945343307,31.531407387930361,-0.038163012406788308,-0.0021399648944664504,0.0015667857330105468,-0.0075158983894786733,0.054356784359893398,-0.0089293708604209349,-0.00015538030004917007,0.00068228132720073143,2.2547413285742292e-05,-0.0075163569402129015,0.054373664894261382,-0.0089229981105414333,-0.00015551471945861043,0.00068227750184480086,2.2541912535133679e-05,0.0012729862952521414,0.00069141189874165061,0.0011513946686882977,0.00034441442143895407,0.000608617123456433,0.0010874743853571908,0.0010874732978852276,2.4402722124315029e-06,4.7805041372153447e-07,1.3257096830838348e-06,1.4984414519797055e-07,7.6334399209481335e-07,2.6302593664217468e-06,2.6302541059112642e-06,0.0010874732978852276,-0.034443087074226962,-3.2092365292228346,-0.00024329291130894526,0.031221914027949361,-3.1668963984683645,-0.0020333113934048637,-0.034443087074226962,-3.2092365292228346,-0.00024329291130894526,0.031221914027949361,-3.1668963984683645,-0.0020333113934048637,0.034443087074226962,3.2092365292228346,0.00024329291130894526,-0.031221914027949361,3.1668963984683645,0.0020333113934048637
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,714,4.0919592822835434e-08,6.4752577381053135e-08,4.0475973710469543e-08,7.2057955158300047e-09,2,1.9478862967048372e-13,4331070,0,-0.077375028488684258,-0.0001287152252149816,0.31551161909673603,0.99999985584967133,0.00021709175705360547,0.00048925131511241696,4.2484770842275375e-05,0.00016237199010461786,-0.0058588314867142862,-0.00036922952439467579,0.019228558213080886,-0.0010661524413223176,0.0032836450499199739,-0.97116926721352481,1.6383180213543498,-0.00038876219600298588,-0.98350441894940799,1.6396651676254272,-0.0010481272839503344,0.028930686897563663,-0.035290606538801769,-0.02554995139710986,-0.011229203748804571,0.023506708450620851,-0.058597868277522253,-0.0010023435424694337,0.0019014186379116499,-0.20314017050505331,-0.013801042517826701,-0.020466596211425964,-0.37703559315605217,0.46228536176064888,0.13883584392365428,-0.29158953844339208,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0071682716356075461,0.053844491058486037,-0.0074170407824206731,-0.19828943412145431,-0.0221208780382669,-0.020385720969609979,-0.35035686115807896,0.43373512168484096,-0.040629906453141025,0.16289624313933071,-0.26852644293364708,-0.032463781943756667,-0.034634068395125457,-3.2091991141838023,0.00076685593334259059,0.031394613552298757,-3.1683024174916055,-0.0012938328193941547,0.0018588422783720555,0.12521199112038861,31.560758357865325,-0.041926675732996591,0.0041109362677548868,-0.0050572116546864446,0.03103645762082604,0.12954603971377654,31.537765346401219,-0.046972914233167781,-0.0014050037442664355,0.0017608915492684351,-0.007211306494651272,0.07053054410114927,-0.0057677157536714504,-0.00014929411501239594,0.00086598659839498603,-2.3037950000507974e-05,-0.0072114393873460563,0.070547867720712032,-0.0057597211687078678,-0.00014943202384914796,0.00086598480626440245,-2.3043275046773934e-05,0.0012664053673561507,0.00081706151780769798,0.00093184594203323218,0.00041599177602200994,0.00057100480151615841,0.0014109587653702185,0.0014109573544142406,3.1421014277500487e-06,6.675895238822192e-07,8.6833685968380186e-07,2.3188961838772106e-07,1.0550720537261169e-06,4.2960986616588014e-06,4.296090069474666e-06,0.0014109573544142406,-0.034634068395125457,-3.2091991141838023,0.00076685593334259059,0.031394613552298757,-3.1683024174916055,-0.0012938328193941547,-0.034634068395125457,-3.2091991141838023,0.00076685593334259059,0.031394613552298757,-3.1683024174916055,-0.0012938328193941547,0.034634068395125457,3.2091991141838023,-0.00076685593334259059,-0.031394613552298757,3.1683024174916055,0.0012938328193941547
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,690,4.0991327895833508e-08,6.4548242086795156e-08,4.0350073597013247e-08,7.1792914946300357e-09,2,2.6950663922775675e-13,4134270,0,-0.077373048578006143,-0.00019415407575522551,0.31550743800677067,0.99999982903972406,0.00032392251266765088,0.00048313896490042186,5.9761762527647842e-05,0.00022058803780560941,-0.0069830163694081038,-0.00045047658315928643,0.02273809278370973,-0.0013294698818304151,0.0035345855141378437,-0.97086520592868086,1.6379530572386201,-0.00069659005641058873,-0.98363896134741147,1.6399524520356437,-0.0017511206805560123,0.031476770691802165,-0.037290040421673797,-0.034993822647203951,-0.014720735732397688,0.032061171338114799,-0.078787127684915692,-0.0013694590247784219,0.0028184164746917683,-0.2435770543934446,-0.010862250803343222,-0.022283224871626053,-0.41853480494129636,0.49941727652138335,0.1855777540548969,-0.4045853318611104,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0081909346410984196,0.064097378258200388,-0.0045842858433538637,-0.23751938257673944,-0.020776125505747055,-0.021633878783760122,-0.38783265198428712,0.47234576561971081,0.013317004407387424,0.2152031764914446,-0.36824038950528148,0.074063637843340246,-0.034703564256667825,-3.2088593313310017,0.0019180989908315839,0.031440442545181656,-3.1696149125531909,-0.0003566006693094831,0.002013426271436265,0.14900360109232069,31.566023428168727,-0.052660394264102045,0.0052489584225818425,-0.0047825245677413121,0.031191189892376854,0.15334302716620285,31.543035333614416,-0.055389707424323503,-0.00048680409097176655,0.0019002768333763543,-0.0069433076152261566,0.085799951494897733,-0.0031578417336648769,-0.00011307079285930211,0.0010668084977770642,-9.1728173144473246e-05,-0.0069435089075126034,0.085817508650138125,-0.0031480308572043912,-0.00011321051732955423,0.001066806299661971,-9.1733368563565515e-05,0.0012652559699881853,0.00095603936658768414,0.00074027023180456319,0.00049569373512019167,0.00072689884711657829,0.0017163518893515846,0.0017163501730027625,4.2027747189919626e-06,9.140112704653803e-07,5.4800001609598169e-07,3.3850487448923376e-07,1.5496437552349584e-06,6.30801864207043e-06,6.3080060260523746e-06,0.0017163501730027625,-0.034703564256667825,-3.2088593313310017,0.0019180989908315839,0.031440442545181656,-3.1696149125531909,-0.0003566006693094831,-0.034703564256667825,-3.2088593313310017,0.0019180989908315839,0.031440442545181656,-3.1696149125531909,-0.0003566006693094831,0.034703564256667825,3.2088593313310017,-0.0019180989908315839,-0.031440442545181656,3.1696149125531909,0.0003566006693094831
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,648,4.2075703579228069e-08,6.4615719362211988e-08,4.0400175199153166e-08,1.0287603171904233e-08,2,3.9226955017568343e-13,3909249,0,-0.077370426611991103,-0.00026993891006805678,0.31550261407193547,0.99999978395137046,0.00044685864077893161,0.00047574815490718784,7.7963195752269035e-05,0.00028851965632593679,-0.0079579296201044789,-0.00050359801483837549,0.025768031582828723,-0.0015805838985747645,0.0036747022649696735,-0.97053612456296401,1.6375672619522081,-0.0010958992034918291,-0.98380143144989962,1.6403160606616654,-0.002657450895486304,0.033962824264091952,-0.03943868009016617,-0.043982086743222744,-0.017035376632568995,0.039073394973625636,-0.099283878763517242,-0.0018006464300357465,0.0034702291623625687,-0.28002324947628721,-0.0079815704726908451,-0.023451551214421943,-0.46021437697458056,0.5390895828541209,0.21920236854652617,-0.50182192602402143,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0092453697146337513,0.073151592123302772,-0.0025729993901376464,-0.27290622670697923,-0.019612297255840558,-0.022064173152947168,-0.42546409629891335,0.51248403006199372,0.063258472376694727,0.25511558517079247,-0.45320141351689586,0.18926915975827327,-0.034677465405639395,-3.2081708217043174,0.0031694047536401856,0.031387293913920915,-3.1707256463666242,0.00077100908543498224,0.0019408518873620649,0.16981334508427703,31.569832251914999,-0.062396184519486537,0.006476744281217992,-0.0045998192213866224,0.03111817405101816,0.17415880867808486,31.546849791884231,-0.063447526096275075,0.00060519064546431332,0.0020050529171291918,-0.0067475934481514063,0.10008736301456665,-0.0012838681627469163,-4.8052801875903562e-05,0.0012782834329502142,-0.00018014788572999845,-0.0067481877096317259,0.10010511477996371,-0.0012719905252186576,-4.8194025317886777e-05,0.0012782788042246132,-0.00018015305030190108,0.0012867196723739967,0.0011046016144669497,0.00060432285525002154,0.00058153633915748563,0.00097241025014251135,0.0020021042977001989,0.0020021022955992742,5.5759517554536116e-06,1.2201447266829919e-06,3.6520611337753847e-07,4.6962659122146441e-07,2.2276603244677392e-06,8.5871638599579418e-06,8.5871466856556189e-06,0.0020021022955992742,-0.034677465405639395,-3.2081708217043174,0.0031694047536401856,0.031387293913920915,-3.1707256463666242,0.00077100908543498224,-0.034677465405639395,-3.2081708217043174,0.0031694047536401856,0.031387293913920915,-3.1707256463666242,0.00077100908543498224,0.034677465405639395,3.2081708217043174,-0.0031694047536401856,-0.031387293913920915,3.1707256463666242,-0.00077100908543498224
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,598,4.6759448489917516e-08,6.4546558406890329e-08,4.0384301382404128e-08,2.1949628333981473e-08,2,5.8414384440652611e-13,3603945,0,-0.077367062775033607,-0.00035457536080921436,0.31549738025136764,0.99999971597740955,0.00058351515710981501,0.00046713548174533528,9.6641618730882676e-05,0.00036657914435283189,-0.0087835463996836904,-0.00053663491790594269,0.028322897047611022,-0.0018210053026948866,0.0037390298568868892,-0.97018280735458096,1.6371595225090327,-0.0015817852918077904,-0.98398087820173208,1.6407409682102791,-0.0037676367643753473,0.036343525625087469,-0.041648647298901782,-0.052476420639054604,-0.018321084405210127,0.044633599233342841,-0.11969235754742608,-0.0022992778908145781,0.0039314437072339725,-0.31240473109379274,-0.0051467232716019794,-0.024173728443167661,-0.50150221280831664,0.58028780931326274,0.2410909448841882,-0.58384104889072452,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.010294227250427007,0.08100020326485248,-0.001282832259329107,-0.30438190190513759,-0.018571283610764131,-0.021910034360720004,-0.46275113728861084,0.55319565111735769,0.11033063355940086,0.28381025482160638,-0.52402995718665679,0.31036254541066788,-0.034578525009411443,-3.2071908248983467,0.004484254988436358,0.031259709954880227,-3.1716355686210189,0.0020750839369905673,0.0016035423111119714,0.18764550944097014,31.572380800958133,-0.07113485548911036,0.0077556984269524544,-0.0045120117477706412,0.030779496479704793,0.19199696288236257,31.549405764764217,-0.071060360803283484,0.0018561292449201716,0.0020896341666429901,-0.0066448264565348919,0.11331937119381322,-4.7572465973667337e-05,4.3719197417004584e-05,0.0014949955744967829,-0.00028454764621248924,-0.006646305856772161,0.1133369807148987,-3.2829791643909253e-05,4.3579176991386903e-05,0.0014949853445069597,-0.00028455267831573933,0.0014959712383671932,0.0012593505141241586,0.000521427596656308,0.00067122801695810761,0.0011962218340813547,0.0022667418810361686,0.0022667396142979739,7.1786385240854408e-06,1.5859637174247827e-06,2.7188673855477345e-07,6.2427229847262786e-07,3.0551748088029932e-06,1.1051693282034579e-05,1.1051671178681379e-05,0.0022667396142979739,-0.034578525009411443,-3.2071908248983467,0.004484254988436358,0.031259709954880227,-3.1716355686210189,0.0020750839369905673,-0.034578525009411443,-3.2071908248983467,0.004484254988436358,0.031259709954880227,-3.1716355686210189,0.0020750839369905673,0.034578525009411443,3.2071908248983467,-0.004484254988436358,-0.031259709954880227,3.1716355686210189,-0.0020750839369905673
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,551,6.0538876863442183e-08,6.4317115888724584e-08,4.0305364059877202e-08,4.2543496365978622e-08,2,8.7191365238936669e-13,3324277,0,-0.077362856778337069,-0.00044658039646576519,0.31549189369725411,0.9999996211715424,0.00073153903894997282,0.00045734956524897958,0.00011549363942942479,0.00045459876350528315,-0.009461709078053538,-0.00055683950772639006,0.03041049679636532,-0.0020523135346460176,0.003752489352510718,-0.96980677241330882,1.6367303074510877,-0.0021505487155324306,-0.98416804150409809,1.6412137708727312,-0.0050798396413997303,0.038538737311922019,-0.043735254002208526,-0.060687737331135624,-0.018750591814928885,0.04893309989466018,-0.13986672230792496,-0.0028652495759981275,0.0042706534582767422,-0.34068192452994933,-0.0023443458036064152,-0.02459382188730766,-0.54138201093612826,0.62077883183896443,0.25298291268598971,-0.65245595267480772,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.011319567764734889,0.087646600809429431,-0.00052651275194172485,-0.3319037794580415,-0.0176117168479216,-0.021347611707590964,-0.4986945708753579,0.59254565223644406,0.15661787658302623,0.30287340727349349,-0.58240486703660765,0.4359476272024419,-0.03442667064868947,-3.2060002232418139,0.0058402309297519665,0.03107856837401847,-3.1723758648513316,0.0035474069435351271,0.00099148925944369561,0.20252842334350651,31.574007873167652,-0.078917763254821277,0.0090624785480335306,-0.0045153433563681821,0.030165062158602103,0.20688406046321661,31.551043158555274,-0.078119645533735377,0.0032578750501723107,0.0021628471292253143,-0.0066417106037483667,0.12543567314707377,0.00072114057079068869,0.00015981046675797112,0.0017142345978404731,-0.0004010789015772172,-0.0066446100287086236,0.12545198018190309,0.0007401136598675968,0.0001596809026907289,0.0017142152692446564,-0.0004010839592263386,0.0017015201965563356,0.0014184817340733018,0.00047971662102184673,0.00076336855221575929,0.0014010217127640012,0.0025090421126763812,0.0025090396036380621,8.9367230434014514e-06,2.0120904298996012e-06,2.3012803648461813e-07,8.0171582509787434e-07,4.0062184074744861e-06,1.3624667290610795e-05,1.3624640041316567e-05,0.0025090396036380621,-0.03442667064868947,-3.2060002232418139,0.0058402309297519665,0.03107856837401847,-3.1723758648513316,0.0035474069435351271,-0.03442667064868947,-3.2060002232418139,0.0058402309297519665,0.03107856837401847,-3.1723758648513316,0.0035474069435351271,0.03442667064868947,3.2060002232418139,-0.0058402309297519665,-0.03107856837401847,3.1723758648513316,-0.0035474069435351271
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,518,7.8144064324641598e-08,6.4395364764091427e-08,4.0422325556670606e-08,6.3032851085583277e-08,3,5.5511151231257827e-17,3150213,0,-0.077357711542633795,-0.00054449890588965943,0.31548624991563973,0.99999949649873565,0.00088862811908363188,0.00044643166672285548,0.00013431718770953315,0.00055216564103473438,-0.0099958251334143332,-0.00056965046142149942,0.032042669261150319,-0.0022758991579277434,0.0037324544624007263,-0.96941025543249615,1.6362819056076341,-0.0028011997929224155,-0.98435526913776772,1.6417230219108971,-0.0065915171042041417,0.040486827710379029,-0.045526127552005642,-0.068920097555816032,-0.018473219565843597,0.052163291430872165,-0.15977764255817839,-0.0034969579625043047,0.0045398575355874351,-0.36485810602277602,0.00043740449681875515,-0.024812436558949279,-0.5790337070268684,0.65841178080086038,0.2563946405090729,-0.70955128848332405,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.012317726552064236,0.093106665865584887,-0.00012814536495183663,-0.35546878055626985,-0.016710372456970393,-0.020509161198575508,-0.53244266990008227,0.62871626603657038,0.20443524955872519,0.3137194921919822,-0.63003696235353257,0.5653118605970634,-0.034239227700919111,-3.2046729985769664,0.0072271978547896864,0.030861517742507321,-3.1729768085840071,0.0051856070987556053,0.00010971414898626392,0.21451846963849164,31.575029054693072,-0.085791465215417625,0.010386775456014042,-0.0046024457465114214,0.029280954760648945,0.21887544447639073,31.552075068964442,-0.08453328926066879,0.004808832102339484,0.0022302696936136023,-0.0067371946016225913,0.13639168929975662,0.0011811295134107893,0.00029761124580623478,0.0019353275253923641,-0.00052595857591611794,-0.0067415156552204048,0.13640506595401081,0.0012044666402227107,0.00029750513116314609,0.0019352991407842583,-0.0005259628466165291,0.0018999389253435924,0.001581468451456854,0.00046680029005392718,0.00085738884768945742,0.0015902865225958297,0.0027281040471805397,0.0027281013190802159,1.0789033067833317e-05,2.5010424629533398e-06,2.1790251079443055e-07,1.0018096650002089e-06,5.0644860072032482e-06,1.623651613525253e-05,1.623648366226735e-05,0.0027281013190802159,-0.034239227700919111,-3.2046729985769664,0.0072271978547896864,0.030861517742507321,-3.1729768085840071,0.0051856070987556053,-0.034239227700919111,-3.2046729985769664,0.0072271978547896864,0.030861517742507321,-3.1729768085840071,0.0051856070987556053,0.034239227700919111,3.2046729985769664,-0.0072271978547896864,-0.030861517742507321,3.1729768085840071,-0.0051856070987556053
