scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1086,4.0526401349523613e-08,6.4449890465120161e-08,4.028443424541092e-08,7.1783701205418993e-09,2,1.4849232954361469e-13,6560953,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,0.001,0,0,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0.0060000000000000001,-0,-0,-0,-0,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.003684032003668832,2.2881739211664578e-06,-0.00022780232771646343,-1.2054273942212624e-05,-0.0016273083982698438,-5.525161706944207e-06,0.0050788885114656053,0.00262547760517966,0.018548027326557751,0.0050544342476029078,0.0026868000874672665,0.018354487133160388,-0.03272706180906533,-3.2143926780716843,-0.00082159226679800221,0.02973415038914172,-3.1695598991653409,-0.0020592125598158169,-0.024351455552143464,-0.0021578351526385653,31.571568129117544,0.00056451946182813897,0.0012265721221701859,-0.0053484326595862573,0.0048488476491515787,0.0021672867961286535,31.548585789958334,0.00026500234906775687,-0.0035374784748442721,-0.0010613516303086038,-0.0048756335141400221,-6.5633761879097827e-06,-0.00032751517371635435,4.2072451071236347e-07,0.00014613723086866006,2.7385598425783274e-07,-0.0048756655617087086,1.1289195562700846e-05,-0.00032752496083942635,2.7867880438181721e-07,0.00014613714033939691,2.711662304010783e-07,7.4761437173556102e-06,0.00023159679963311681,2.2780232771646344e-05,8.1365419913492193e-05,0.0001015777702293121,9.7513408747462756e-05,9.7513311234174175e-05,9.673455820762579e-11,5.3637077600302057e-08,5.1893900513039012e-10,6.6207711400293163e-09,2.6181776576221007e-08,2.5937511490679056e-08,2.5937459615747564e-08,9.7513311234174175e-05,-0.03272706180906533,-3.2143926780716843,-0.00082159226679800221,0.02973415038914172,-3.1695598991653409,-0.0020592125598158169,-0.03272706180906533,-3.2143926780716843,-0.00082159226679800221,0.02973415038914172,-3.1695598991653409,-0.0020592125598158169,0.03272706180906533,3.2143926780716843,0.00082159226679800221,-0.02973415038914172,3.1695598991653409,0.0020592125598158169
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,544,1.0107204329667961e-07,6.425035477356615e-08,4.0423107806332903e-08,8.7763946760575137e-08,2,1.5076828674409626e-13,3322994,0,-0.077368401033706416,-8.4659197961694895e-06,0.31543996032028704,0.99999999985828392,1.6325534865326112e-05,-9.6919965446469467e-08,4.1108917517779584e-06,0.00095815807331160264,-0.0015371542922299269,-4.073321625827948e-06,0.0053447530157510583,-3.3323734115012228e-05,0.001324586812967812,-0.97195417234931414,1.6393412380820798,-0.00010207780000352102,-0.98342394088602647,1.639454758447481,-0.00015791429676166461,0.0073552220364253469,-0.0088079019792887039,-0.01568995685492304,-0.0052156507854155239,0.0086920653929071379,-0.024648444759381542,-0.0058367071365119224,4.1326021447938129e-05,-0.054263806900815448,0.00033808333942267468,-0.0080215169293423698,-0.089873429933976609,0.10765710484821278,0.06377599808125109,-0.10623909134476303,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0026875471228720452,0.014848413045555101,-0.00051047183323718051,-0.05398788719685476,-0.0023824740056337815,-0.0082169124120412135,-0.080548309614818583,0.10346470688627819,0.062707832799104302,0.0711480295049043,-0.093864094967372386,0.037257642897386423,-0.033438429353325361,-3.2138070415155475,-0.00013861662094317935,0.030406085625778092,-3.1695437394735366,-0.0014847110771250502,-0.023236123897937139,0.03323370319260055,31.57118937198975,-0.01097315110089859,0.0019398769893132959,-0.0047171540063680375,0.0059533162251832741,0.037515098343027242,31.548235606528319,-0.011418833282259825,-0.0029034899452457961,-0.00079953249600257293,-0.0043149059700850357,0.018204613222205079,-0.00051744236181534863,-5.8272003912372685e-05,0.00027957432658595629,2.0451296647474256e-05,-0.0043203717802892559,0.018200227672195278,-0.00050323802797509396,-5.8237207686565359e-05,0.00027953855353638157,2.044745065923074e-05,0.0002791559067512205,0.00031491600136398774,5.5179785468511862e-05,0.00013602786725282282,0.0002474999275478129,0.00036409262853621797,0.0003640922644441016,2.2671641525565837e-07,9.9172087915083132e-08,3.0448087243509928e-09,1.8789358363583756e-08,1.2480858091590763e-07,3.064134586977616e-07,3.0641284587182057e-07,0.0003640922644441016,-0.033438429353325361,-3.2138070415155475,-0.00013861662094317935,0.030406085625778092,-3.1695437394735366,-0.0014847110771250502,-0.033438429353325361,-3.2138070415155475,-0.00013861662094317935,0.030406085625778092,-3.1695437394735366,-0.0014847110771250502,0.033438429353325361,3.2138070415155475,0.00013861662094317935,-0.030406085625778092,3.1695437394735366,0.0014847110771250502
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,540,9.9953770688969369e-08,6.4276533890704908e-08,4.0415649913105077e-08,8.6582960228157816e-08,2,1.7705281685209684e-13,3262317,0,-0.07735901416169709,-3.2588747814733572e-05,0.31543987681527696,0.99999999825935904,5.7412321017265293e-05,-3.9120439661572214e-07,1.3599788820347622e-05,0.0009252753482940745,-0.002984311917458668,-1.1305799994433766e-05,0.010073412064710558,-7.7177104626543022e-05,0.0022483413290616929,-0.9718435770813254,1.6392088114948589,-0.00030270902787603012,-0.98350005954646424,1.6395855568364439,-0.00049999865037616241,0.01349734469085323,-0.016056610566237729,-0.022920233257862407,-0.0090389868031210269,0.015878792156789449,-0.040336862299587363,-0.0057238926344906869,0.00011573843038583057,-0.10360473669963442,0.00079133126610756539,-0.013734844173278448,-0.16756033143470561,0.19940896503155356,0.11239630206947698,-0.19718855451401535,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.001631336070649442,0.027998798723836524,-0.0008011657675413412,-0.10211453501317025,-0.0031548450544095705,-0.013876741797391474,-0.15433392536056614,0.19068649861166648,0.10075023181064756,0.12323308034427978,-0.17703919402167545,0.074547676731624352,-0.033913154291412187,-3.2130456943142853,0.00069129230969083779,0.030839120871792136,-3.1696212077177943,-0.00083739382247039103,-0.022213710245157035,0.064431045823298838,31.570844084184031,-0.021672737207277807,0.0027991186516690483,-0.0041877237082799685,0.0069763124173677013,0.068713843378725992,31.547894430499923,-0.022269229458515005,-0.002208664254421571,-0.00061486574741222893,-0.0037943861007911084,0.035100414610184059,-0.00069333195356070332,-0.00010961913696058748,0.00042726398360538257,1.1140559573481942e-05,-0.003799567411323832,0.035095787389542506,-0.00067725626278484347,-0.00010958239905281465,0.00042722968507293414,1.1137153670988991e-05,0.00047944643626543352,0.00040925565638412454,9.1690419792717174e-05,0.00019730881602585682,0.00040298720984679792,0.00070200899421169101,0.00070200829220368123,7.425731668891531e-07,1.6749019228240061e-07,8.4071330817647007e-09,4.4532858886699381e-08,3.0978069188463881e-07,1.0597092675699423e-06,1.0597071481546319e-06,0.00070200829220368123,-0.033913154291412187,-3.2130456943142853,0.00069129230969083779,0.030839120871792136,-3.1696212077177943,-0.00083739382247039103,-0.033913154291412187,-3.2130456943142853,0.00069129230969083779,0.030839120871792136,-3.1696212077177943,-0.00083739382247039103,0.033913154291412187,3.2130456943142853,-0.00069129230969083779,-0.030839120871792136,3.1696212077177943,0.00083739382247039103
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,536,1.0002314794744823e-07,6.3888470288156883e-08,4.0168397867254526e-08,8.6754754949184849e-08,2,2.2307156122280958e-13,3221564,0,-0.077349895621698722,-7.0556852016376051e-05,0.31543970198464882,0.99999999234796988,0.00012075683224742182,-9.3233710435034053e-07,2.685104480933427e-05,0.00090231164592372969,-0.004325293121635156,-2.1710081487640129e-05,0.014349717544614719,-0.00013068430298689515,0.0028940627356307353,-0.97167704393258214,1.6390096365533016,-0.00055436244099168455,-0.98360959231087874,1.6397828318952878,-0.00097938387494508265,0.018760663532048538,-0.022396513857390971,-0.027043247634178997,-0.012091581624527633,0.022218345799489475,-0.053277627156508717,-0.0056681772802539294,0.0002241520110214261,-0.14953501707391889,0.001353459885205373,-0.017847695221585216,-0.2367153508838068,0.28265810242145528,0.15297061944527823,-0.280365100344797,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.00063157916285587305,0.040007924842664702,-0.0010552869812771744,-0.14656837413473484,-0.0037995462600624507,-0.017753856260531733,-0.22007980078553652,0.27004073106026233,0.13144315381069804,0.16765729789755318,-0.25310808921167421,0.12379328633049225,-0.034226569106154917,-3.2121465802301641,0.0015772664070024757,0.031113752577054531,-3.1698271456194629,-0.000164601596204481,-0.02140437441238353,0.092755193965840532,31.570580941919456,-0.031882950072862438,0.0037070544322020489,-0.0037588615636460643,0.0077859679393010167,0.097042683113301997,31.547635614205156,-0.032594456306259137,-0.0015041182482301407,-0.0004486371268670254,-0.0033725569269907941,0.051262286723329505,-0.00083274971205080952,-0.00013894751852312447,0.00057171371556059239,-1.9541606640265607e-05,-0.0033775908650690214,0.051258552038125835,-0.00081479850435010827,-0.00013891784926026458,0.00057168027678843308,-1.9544683097169674e-05,0.00064776161636820036,0.00050365981173980563,0.00012794389922986005,0.00025765030726339116,0.0005451402226624558,0.0010252467597121873,0.0010252457344665901,1.4803741021634588e-06,2.5367320596177648e-07,1.6369641350140585e-08,8.8408121030975408e-08,5.5783310680400378e-07,2.2226517136948719e-06,2.2226472683978459e-06,0.0010252457344665901,-0.034226569106154917,-3.2121465802301641,0.0015772664070024757,0.031113752577054531,-3.1698271456194629,-0.000164601596204481,-0.034226569106154917,-3.2121465802301641,0.0015772664070024757,0.031113752577054531,-3.1698271456194629,-0.000164601596204481,0.034226569106154917,3.2121465802301641,-0.0015772664070024757,-0.031113752577054531,3.1698271456194629,0.000164601596204481
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,531,1.0129334467388877e-07,6.4274253777942046e-08,4.0410973715934242e-08,8.7960153331693471e-08,2,2.9570790260891044e-13,3215698,0,-0.077340949728680747,-0.00012123180196756822,0.31543940573238954,0.99999997823352005,0.00020422061427976339,-1.7651347059863392e-06,4.2705785010862262e-05,0.00088866676016313695,-0.0055478135371601423,-3.5020328345844837e-05,0.018206275933032635,-0.00019269225252642631,0.0033359376772353214,-0.97146209203361011,1.638751304773697,-0.00083959543110994738,-0.98374600770926546,1.6400396938741735,-0.0015844377617987852,0.023339791109701479,-0.028043403726677667,-0.030069442427610147,-0.014539580729883733,0.027940117228366843,-0.06581838204068792,-0.0056668210028521506,0.00036466078608546722,-0.19227379011840057,0.0020151792612039263,-0.02078433019918478,-0.29940315017863506,0.35972072491865936,0.18725756305147312,-0.35827338873120834,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.00032788808402799802,0.051001650314077059,-0.001266159070305061,-0.18786618560588891,-0.0043416944361777312,-0.020292382131725614,-0.27969094298320624,0.34331523306170225,0.15680323047110264,0.2061137863464636,-0.32395270323908354,0.18395769221388428,-0.03441570757198046,-3.2111240366205185,0.0025069379670667634,0.031266231367361369,-3.1701464956458034,0.00056205595886113611,-0.020788049207121174,0.11850577590798717,31.570412067584314,-0.041645793359777257,0.0046514566844330875,-0.0034187263866518264,0.0084024090781667157,0.12279931477048034,31.547471363503838,-0.042430431976686535,-0.00075993310371836199,-0.00029867805749257919,-0.0030379299792048027,0.066772530247560982,-0.00093102685235753227,-0.00013989388377588435,0.00071509726353342234,-6.8915894444539363e-05,-0.0030429251790371368,0.066769906144420813,-0.00091114676157190259,-0.00013987301343121704,0.00071506411902756077,-6.891888674667272e-05,0.00081298844053447256,0.00059947090868801487,0.00016308198563905283,0.00031784368486908289,0.00068641370984249606,0.0013354519404016212,0.0013354506049512197,2.4386248150309736e-06,3.5936537036323426e-07,2.6595734039976233e-08,1.501970841106316e-07,8.7647115407363582e-07,3.7462084839651532e-06,3.746200991559625e-06,0.0013354506049512197,-0.03441570757198046,-3.2111240366205185,0.0025069379670667634,0.031266231367361369,-3.1701464956458034,0.00056205595886113611,-0.03441570757198046,-3.2111240366205185,0.0025069379670667634,0.031266231367361369,-3.1701464956458034,0.00056205595886113611,0.03441570757198046,3.2111240366205185,-0.0025069379670667634,-0.031266231367361369,3.1701464956458034,-0.00056205595886113611
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,526,1.0151280914039219e-07,6.4058418949497502e-08,4.0278478834179366e-08,8.8212328937286102e-08,2,4.0556447089556968e-13,3174658,0,-0.077332086348021703,-0.00018337045296152368,0.31543896093174656,0.9999999514520983,0.0003056964471875532,-2.9301927717884467e-06,6.0306687562496055e-05,0.00088382617020132199,-0.006642491580361511,-5.0913823497899685e-05,0.021638162715774754,-0.00026251662893595114,0.0036263064513668017,-0.97120489044089919,1.6384403710892068,-0.001153028685598448,-0.98390353025772093,1.6403503824132497,-0.0023170365385956119,0.027339067656000353,-0.033047321143133856,-0.032845080878237877,-0.016417243905639072,0.033100554970441592,-0.078844010429654637,-0.0057175478890126551,0.00053471575368063294,-0.2316664497644739,0.0027716759303198454,-0.022843359101892322,-0.35665372607181467,0.43096134655778084,0.21546033290493405,-0.43138342904284965,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0012778362926311715,0.06096870703877437,-0.0014359915130722988,-0.22596770577189096,-0.0048230235580391575,-0.021800697081076868,-0.33404513141880371,0.41077686403121272,0.17919461557297706,0.23887449049560019,-0.38980398509234515,0.25480254151712456,-0.034503236343990031,-3.2099925757110324,0.0034817263076288262,0.031317811554195045,-3.1705516392347692,0.0013789414181048429,-0.02033318796798763,0.14166683341369501,31.570337187365332,-0.050911179412143071,0.0056345437994307652,-0.003158774223808183,0.0088573663313662454,0.14596741971483473,31.547400770869661,-0.051727046178205699,6.1912223259759976e-05,-0.0001722148682435144,-0.0027734118428162434,0.081556650753970075,-0.0009891833136536324,-0.00011092546750893366,0.00086192541859404499,-0.00013574538313251497,-0.0027783859778876753,0.081555223532941437,-0.0009676303812899416,-0.00011091406115104266,0.00086189229428850303,-0.00013574796810832522,0.0010190692768210145,0.00069953841816438266,0.00019707072667529316,0.00037973497441795014,0.00083158887901009005,0.0016311346462123478,0.0016311330150794016,3.6141844023681447e-06,4.8935399848792668e-07,3.8836871312328107e-08,2.2810571875282899e-07,1.2782539287852737e-06,5.5755957858683111e-06,5.575584634693213e-06,0.0016311330150794016,-0.034503236343990031,-3.2099925757110324,0.0034817263076288262,0.031317811554195045,-3.1705516392347692,0.0013789414181048429,-0.034503236343990031,-3.2099925757110324,0.0034817263076288262,0.031317811554195045,-3.1705516392347692,0.0013789414181048429,0.034503236343990031,3.2099925757110324,-0.0034817263076288262,-0.031317811554195045,3.1705516392347692,-0.0013789414181048429
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,520,1.0206651736208245e-07,6.4390205486452622e-08,4.048232977638003e-08,8.8670909771562233e-08,2,5.6749049903714877e-13,3125069,0,-0.077323218603228133,-0.00025565133755645118,0.31543834371856722,0.99999990739325406,0.00042302439034999769,-4.4658577831906279e-06,7.9018376041397112e-05,0.00088759002611235875,-0.0076024735496878293,-6.9061011591248843e-05,0.024633113118670211,-0.0003398587544218696,0.0038047932465529355,-0.97091087661151665,1.6380832870873763,-0.0014948480173679239,-0.98407651111396077,1.6407092627267805,-0.0031839199753827077,0.03081528206511313,-0.037400798905199172,-0.035788443196472931,-0.017729940994826797,0.037691830239410785,-0.092640082696725232,-0.0058199407276210043,0.00073161796409771448,-0.26748235135711723,0.0036218804402710367,-0.02425109029196857,-0.40895279683893959,0.49605810376846415,0.23744000879982122,-0.49939842355758945,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0022389055055982415,0.069862615702087738,-0.0015682911833889016,-0.2606735507101523,-0.0052708162755451034,-0.02251641524231604,-0.38352525704654866,0.47216179043647177,0.20073299282268633,0.26585436224371417,-0.45032768621728564,0.33582545128675639,-0.034506648808148861,-3.2087703914021164,0.0045021471048023471,0.031285039289770382,-3.1710133370990605,0.0023152531611770454,-0.020022877514678572,0.16214412182099791,31.570352469713754,-0.059607327573950791,0.0066569987863759903,-0.0029742454232649499,0.0091676430496446387,0.16645257179729034,31.547420384198453,-0.060413863817551726,0.00099151103941525756,-7.4026344762205857e-05,-0.0025693022814216424,0.095499355071292577,-0.0010094954334245109,-5.293580619056707e-05,0.0010153264760703012,-0.00021870441814055409,-0.00257432883997022,0.095499170072258915,-0.00098632822013690336,-5.2934201341323427e-05,0.0010152930133269661,-0.00021870630812940767,0.0012257658655574729,0.00080588462332192455,0.0002299909147486616,0.00044463483579080707,0.0009814147468060763,0.0019099890114130302,0.0019099871014258516,4.9894963854059551e-06,6.4945002610672019e-07,5.2895820866926126e-08,3.211222966437106e-07,1.7731625262039757e-06,7.6482669500556567e-06,7.6482516535439848e-06,0.0019099871014258516,-0.034506648808148861,-3.2087703914021164,0.0045021471048023471,0.031285039289770382,-3.1710133370990605,0.0023152531611770454,-0.034506648808148861,-3.2087703914021164,0.0045021471048023471,0.031285039289770382,-3.1710133370990605,0.0023152531611770454,0.034506648808148861,3.2087703914021164,-0.0045021471048023471,-0.031285039289770382,3.1710133370990605,-0.0023152531611770454
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,514,1.0111485076535626e-07,6.3909476478434238e-08,4.0181131410503771e-08,8.7732915819357937e-08,2,8.0116469014512859e-13,3096861,0,-0.077314260235461604,-0.00033669884455232458,0.31543753352758319,0.99999984168900469,0.00055398838361737587,-6.4095542999058703e-06,9.8375569863415577e-05,0.00089998734276696237,-0.0084232785104317118,-8.9132143672704172e-05,0.027181230623313526,-0.0004246199856991492,0.0039019902210559406,-0.970585060814669,1.6376866795083176,-0.0018682958216484301,-0.98425935053469726,1.6411104930146605,-0.0041929642850275714,0.033803889044733026,-0.041083171203661215,-0.039147394338923343,-0.018484996152306855,0.04168832656043743,-0.10722699638906585,-0.0059749499374473856,0.000952584059512871,-0.2995117268757117,0.0045666775888985019,-0.025182701677320739,-0.4565454492808938,0.55452444419612124,0.25308288983609561,-0.56180066977358822,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0032205376281329631,0.077637934025962974,-0.001666407447655123,-0.29177231157401512,-0.005697406084779603,-0.022630896994294401,-0.42830918656462191,0.52708615862138641,0.2232430199235674,0.28695119311695427,-0.50506238501915435,0.42615830147305156,-0.034441614568899936,-3.2074781096280369,0.0055662365967981088,0.031183139249878124,-3.1715038049512643,0.0033914752625575262,-0.019854523968679264,0.17984790158867281,31.570453592507882,-0.067664847669452355,0.007716486005514684,-0.0028623926446958987,0.0093359563954736532,0.18416493667829936,31.547525294757794,-0.068423294032411694,0.002049675705964385,-4.6370132050934093e-06,-0.0024230971756465615,0.10848583743297015,-0.00099397869171384805,3.208412683933801e-05,0.0011768247893268215,-0.0003159137106513169,-0.0024281888811422282,0.10848694326441211,-0.00096954102176728609,3.207550943570897e-05,0.0011767910319814561,-0.00031591613560400834,0.0014305546733053356,0.00091954875655803482,0.0002618991507167994,0.00051320418368390529,0.0011347656950886776,0.0021697410350270722,0.0021697388652882421,6.5334830158441608e-06,8.4556991568742794e-07,6.8591165146180812e-08,4.2940417503178954e-07,2.3665763885849887e-06,9.8963621354161043e-06,9.8963423427207438e-06,0.0021697388652882421,-0.034441614568899936,-3.2074781096280369,0.0055662365967981088,0.031183139249878124,-3.1715038049512643,0.0033914752625575262,-0.034441614568899936,-3.2074781096280369,0.0055662365967981088,0.031183139249878124,-3.1715038049512643,0.0033914752625575262,0.034441614568899936,3.2074781096280369,-0.0055662365967981088,-0.031183139249878124,3.1715038049512643,-0.0033914752625575262
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,506,1.0173990755025148e-07,6.4865458319134432e-08,4.0770410462637324e-08,8.8024548398771621e-08,3,5.5511151231257827e-17,3077555,0,-0.077305124006171455,-0.00042510641173900641,0.31543651308751336,0.99999975055027579,0.00069633868331270439,-8.7983550205148302e-06,0.00011804411225457254,0.00092116137433869826,-0.0091027212881296445,-0.00011079879241914651,0.029278077191225702,-0.00051676587817894772,0.0039414367663546607,-0.97023214904744182,1.6372573624213191,-0.0022785979684928743,-0.98444657151621717,1.6415479765320919,-0.0053514709974087412,0.036332964818961595,-0.044078375570159554,-0.043092942361441441,-0.018699058975936135,0.045066044614271293,-0.12250215360243809,-0.0061842201904891442,0.0011947615487230981,-0.32759770897291746,0.0056075765693943428,-0.025773414795386716,-0.49959918219181521,0.60592231172604549,0.26239159905436371,-0.6180826930471266,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.004224355046419207,0.084263048525222553,-0.0017336635810910215,-0.31909501364270476,-0.0061050860548946982,-0.02230037306557188,-0.46851647458147022,0.57521552702974543,0.2483067441587091,0.3021419363101252,-0.55359374895232372,0.52468175586585419,-0.034322991373673631,-3.2061366578208839,0.0066709377420776138,0.031026876288643097,-3.171997841016561,0.0046205732098991122,-0.019834499636000858,0.19472181228468999,31.570634558542192,-0.075024817953620676,0.0088092642043894089,-0.0028209959040194294,0.0093556755697709118,0.19904808024043541,31.547710353115576,-0.075698666816121585,0.0032494330123752761,3.9088095241393794e-05,-0.0023367945858539631,0.12041692153976467,-0.00094502675746254892,0.00014165358671748245,0.0013468022535899644,-0.00042492369347237199,-0.0023420942639801501,0.12041938204166751,-0.00091923034121604743,0.00014163428803220133,0.0013467671736032874,-0.0004249256021064819,0.0016309610936294755,0.0010408575236908351,0.00029284251298141199,0.00058563313121445207,0.0012897788818960576,0.0024083900492207588,0.00240838764083335,8.2057099772272252e-06,1.0833843846238173e-06,8.5756737409268444e-08,5.5386078121468372e-07,3.0591818244738069e-06,1.22501481242841e-05,1.2250123624023951e-05,0.00240838764083335,-0.034322991373673631,-3.2061366578208839,0.0066709377420776138,0.031026876288643097,-3.171997841016561,0.0046205732098991122,-0.034322991373673631,-3.2061366578208839,0.0066709377420776138,0.031026876288643097,-3.171997841016561,0.0046205732098991122,0.034322991373673631,3.2061366578208839,-0.0066709377420776138,-0.031026876288643097,3.171997841016561,-0.0046205732098991122
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,498,1.0027502031208117e-07,6.4649258835166699e-08,4.0640632880348753e-08,8.6452581148500733e-08,3,5.5511151231257827e-17,3003072,0,-0.077295721062074149,-0.00051945910219550835,0.3154352683779183,0.99999963103745859,0.00084782232515988852,-1.1669030584964826e-05,0.00013778999937914823,0.00095128582226831459,-0.0096408533499051322,-0.0001337389105176588,0.030925588167820758,-0.00061624056186902266,0.0039410033283354927,-0.96985657452813134,1.636802246331635,-0.0027324189908698071,-0.98463291689479604,1.6420154285863129,-0.006665373377345944,0.038429729094539795,-0.046381507370009512,-0.047753015224834869,-0.018398128260360035,0.047810108617453065,-0.13830759652551339,-0.0064495933749425952,0.0014552804695847394,-0.35164700314978076,0.0067458572196957322,-0.026126240263873762,-0.53828103619393064,0.64994407255287556,0.26548886409628969,-0.66783973503726179,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0052472791445376914,0.089724559778173674,-0.0017737126583854904,-0.34253516079367691,-0.0064904661901402077,-0.021652175948062007,-0.50427600913748183,0.61633057848111261,0.27729386907686177,0.31149810398752198,-0.59561899946011299,0.63015869077755449,-0.03416487457495021,-3.2047661463811012,0.0078134641197637241,0.03083046024432155,-3.1724727853506112,0.0060100678472411817,-0.019974431824296625,0.20675236044207235,31.570889106708712,-0.081642063841593435,0.0099314125662066377,-0.0028477877085014329,0.0092154329985596681,0.21108834957654088,31.547968180561103,-0.082197623951193871,0.0045978977522363115,6.2741519437527823e-05,-0.0023150373682769856,0.13121476416885261,-0.0008647771024779254,0.00027311509162947402,0.0015249267115644829,-0.00054288268062180627,-0.0023205588356087947,0.13121861439481941,-0.00083808408614006828,0.00027308482448539461,0.001524890318289532,-0.00054288447638936815,0.0018247510701339352,0.0011696872519480286,0.00032289931279702296,0.00066181617049179708,0.0014444147115429762,0.0026243749122684366,0.0026243722878963884,9.9607256029238992e-06,1.368168267369731e-06,1.0426396620478968e-07,6.9560795008569802e-07,3.8475574605982666e-06,1.4641451455809452e-05,1.4641422172948099e-05,0.0026243722878963884,-0.03416487457495021,-3.2047661463811012,0.0078134641197637241,0.03083046024432155,-3.1724727853506112,0.0060100678472411817,-0.03416487457495021,-3.2047661463811012,0.0078134641197637241,0.03083046024432155,-3.1724727853506112,0.0060100678472411817,0.03416487457495021,3.2047661463811012,-0.0078134641197637241,-0.03083046024432155,3.1724727853506112,-0.0060100678472411817
