scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1087,4.0540762344808838e-08,6.4472733952237637e-08,4.0298713058217587e-08,7.1809143076251303e-09,2,1.4849232954361469e-13,6576792,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,0,0.00038689076000000003,0,0,0,-0.0050000000000000001,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.029999999999999999,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,7.0990809780279154e-06,0.00077577160529930999,-1.5168046265531778e-05,-0.00081207126847588533,-6.6712477344849555e-06,0.025795516216938656,0.0099253690931800417,0.0046260325777654574,0.027141364643421803,-0.0098815791050639173,-0.0046936835351341511,-0.027234731291534812,-0.033103691641587503,-3.2138458975298327,0.0014831228025744322,0.030009968715313889,-3.1687312523096574,0.00020719638105040384,-0.014583579974679003,-0.00078559952955137291,31.572188415111913,-1.9153445116067171e-05,0.0040135419476861507,-0.002160698668436171,0.01461710466250514,0.0035396394043318846,31.549206250589656,-4.6007330242722798e-05,-0.00075235574235121361,-0.0021630609294401907,8.3018326245422371e-06,0.00067955409229573395,-1.7372331599894606e-05,-6.545716024431479e-06,3.1124719032014453e-08,0.0005141660783485768,8.4605029051772463e-06,0.00069746515657972789,-1.7294800290641686e-05,-6.68808484289671e-06,3.1043494943703773e-08,0.00051416767883121861,3.6141280118629306e-05,7.0990809780279158e-07,1.5168046265531778e-06,0.00021022418915306716,0.00019850738186360083,0.00020566727719956344,0.00020566707153248743,3.6718596166391488e-09,5.0396950732597794e-13,2.3006962751331251e-12,4.5842970331640483e-08,9.5835759913610463e-08,8.4991405011763365e-08,8.4991235029201794e-08,0.00020566707153248743,-0.033103691641587503,-3.2138458975298327,0.0014831228025744322,0.030009968715313889,-3.1687312523096574,0.00020719638105040384,-0.033103691641587503,-3.2138458975298327,0.0014831228025744322,0.030009968715313889,-3.1687312523096574,0.00020719638105040384,0.033103691641587503,3.2138458975298327,-0.0014831228025744322,-0.030009968715313889,3.1687312523096574,-0.00020719638105040384
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,533,9.88760085145622e-08,6.3848401698221728e-08,4.0111249929925813e-08,8.5452603795950488e-08,2,1.4876988529977098e-13,3234167,0,-0.077378159379604683,-4.6261100071315663e-06,0.3154399827972334,0.99999999974503495,1.3222216336101004e-05,-1.6727460862606911e-08,-1.8305814624343207e-05,-1.3280811952764283e-06,-0.0011520919103422905,-2.5649090996785585e-07,0.00443741212926265,-5.9166410305546077e-06,-0.0028331629031947908,-0.97196779128359045,1.6393499670040219,-4.3104968634974794e-05,-0.98342345879898407,1.639444209631479,6.0350725920420898e-05,0.0052134202039071688,-0.0075486897745864071,-0.0056679215698375784,-0.0053702479425487819,0.0071226691664437458,0.0080974490686670109,8.03490361375461e-06,2.5957906303445521e-06,-0.04503523210948774,6.0002783348747508e-05,0.01732848208243493,-0.063681526309811096,0.092232317201867933,0.065613808833323878,-0.087026579251128777,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.00011771088322404404,0.012973851539685929,-0.00016232599969022356,-0.045601575931108959,0.0002449343179965033,0.013759627024783162,-0.055364711169395391,0.088172400246166238,0.027722770718579717,0.056187876656373106,-0.084398639914357421,-0.040036008674668069,-0.033631832800348663,-3.2135613945727846,0.0014373352172541015,0.030544651182550259,-3.1689690640285568,7.9515848220179127e-05,-0.014703590839288631,0.028382063205167896,31.571892275970871,-0.0095162893425362344,0.0039538577275333641,-0.0020625826529127021,0.014486238487862986,0.032666172699324925,31.54893818093494,-0.0096539289011089904,-0.00087510265053356061,-0.0019105393362107994,-5.1183094110562186e-05,0.01568082835347109,-0.00016582237897546422,-4.9697834049296569e-05,-2.1388356875242085e-05,0.00043438078567209791,-5.645245457472703e-05,0.015677871203476385,-0.00015176723398961029,-4.9674283817604624e-05,-2.1423678929789058e-05,0.00043438031999088053,0.0002633216568425142,1.2574578683779865e-05,1.6492179032056809e-05,0.0001784427528825884,0.00018851864353901544,0.00031361688068582002,0.00031361656706942182,1.7758955733594113e-07,1.5812002907457098e-10,2.7199196922541427e-10,3.2729178548305767e-08,7.2562640931707288e-08,2.5801294403058123e-07,2.5801242800564869e-07,0.00031361656706942182,-0.033631832800348663,-3.2135613945727846,0.0014373352172541015,0.030544651182550259,-3.1689690640285568,7.9515848220179127e-05,-0.033631832800348663,-3.2135613945727846,0.0014373352172541015,0.030544651182550259,-3.1689690640285568,7.9515848220179127e-05,0.033631832800348663,3.2135613945727846,-0.0014373352172541015,-0.030544651182550259,3.1689690640285568,-7.9515848220179127e-05
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,535,9.9662019364212268e-08,6.4314486838178494e-08,4.0414174531007763e-08,8.6223066690443387e-08,2,1.7069679003611782e-13,3238282,0,-0.077378193843244153,-2.484401773980351e-05,0.31543996681964565,0.9999999984384671,4.8703016731006762e-05,-6.4679320048142933e-08,-2.7405794481886207e-05,-4.9709809859011519e-06,-0.0025885170820337338,-2.5406262250526863e-06,0.0088481994130519808,-1.2585202333151948e-05,-0.0011946816328570768,-0.97188484459629587,1.6392328540650971,-0.00010086750714618396,-0.98350528755563615,1.6395551366758077,0.00013255474370059672,0.010342646587950205,-0.014404449571188076,-0.0056802798281558875,-0.0099748111142618674,0.013669505454351756,0.0059288088324539355,3.0202475112733105e-05,2.5836583475014026e-05,-0.090917144968337665,0.00012908598933560994,0.0076613940980731826,-0.1282183236609325,0.17871750056238081,0.1238144021333558,-0.16958198830185775,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,6.6342680560515897e-05,0.025126983278920004,-0.00035068846254951392,-0.090300178994518615,0.00011157586374262562,0.00444901256212165,-0.11980900873987388,0.16859307792178035,0.040437579008762214,0.11551243155786717,-0.16098057510169522,-0.043283669488078741,-0.034128327703805722,-3.2131249391598655,0.0016314426381803797,0.031033851761504777,-3.169204149463698,8.4844847060216839e-05,-0.014505083587161802,0.057306431456125018,31.571582398012033,-0.019382300296245512,0.0041457508701864283,-0.0018150191475476449,0.014685229679996942,0.061590605201461424,31.548632103684209,-0.019654930654480027,-0.00085081594648552059,-0.0016474190432687694,4.9549893893433147e-05,0.031263185516749371,-0.00032324569344680069,-9.520998032732663e-05,3.7748895150893004e-06,0.00038858377271346154,4.4521427920088086e-05,0.031259446238730663,-0.00030744351946016197,-9.5180204517259919e-05,3.7408770143052282e-06,0.0003885833745235185,0.00044532672561665304,3.6140205447782793e-06,3.7652504602452797e-05,0.00016061907679757663,0.00020248845281200912,0.00062526433559839504,0.00062526371033498748,5.9608027602628907e-07,1.3061144498079491e-11,1.4177111028377291e-09,2.6750871874677748e-08,1.2645101428930061e-07,8.3312243890453758e-07,8.3312077266250002e-07,0.00062526371033498748,-0.034128327703805722,-3.2131249391598655,0.0016314426381803797,0.031033851761504777,-3.169204149463698,8.4844847060216839e-05,-0.034128327703805722,-3.2131249391598655,0.0016314426381803797,0.031033851761504777,-3.169204149463698,8.4844847060216839e-05,0.034128327703805722,3.2131249391598655,-0.0016314426381803797,-0.031033851761504777,3.169204149463698,-8.4844847060216839e-05
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,533,1.0009719978005803e-07,6.4284415038760669e-08,4.0401869350819541e-08,8.673177774050746e-08,2,2.0958235147361393e-13,3219013,0,-0.077378258954398899,-5.8753227195953685e-05,0.31543991359879675,0.99999999399908968,0.00010547111648993037,-1.5727899938828134e-07,-2.9624980119991979e-05,-7.7077846857868703e-06,-0.0039114588794257419,-7.224847215745271e-06,0.01298440746900071,-2.3490487027970531e-05,1.7450960799230836e-05,-0.97175277907484814,1.6390511799696013,-0.00015193300978116143,-0.98362848375548506,1.6397282481989006,0.00015657553800329938,0.015109027825480698,-0.02059864530375341,-0.004988415094490631,-0.013790811992437976,0.019676080132672569,-0.0003152483990257241,4.7209297704757921e-05,7.4009314604304524e-05,-0.13511763052505232,0.00024276882026484967,0.00042854387843113169,-0.19016925728341683,0.25958811679101557,0.17404147586602975,-0.24789289927305413,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.00044951856226945548,0.036651303658093375,-0.00054359688793675443,-0.13307098067743398,-0.00024154511544673235,-0.0024753539357367255,-0.18075962816766497,0.24454177167450697,0.055699825679093602,0.16754644142033651,-0.23354837097652059,-0.032758497030836178,-0.034524342143435291,-3.2125128122879714,0.0020057609429214706,0.031413940084851336,-3.1695141445391868,0.00018969650221422189,-0.014136800672137522,0.084574390282865508,31.571301732894874,-0.029119024642289184,0.0045256217178955629,-0.0015193632839263199,0.01505397408142501,0.08886153610409564,31.548355423294911,-0.029514091011056814,-0.00072307453449401045,-0.0014127600605645314,0.00023655822269965634,0.046689385622742885,-0.00046998239521922136,-0.00012209231576440675,6.0259142413920399e-05,0.00034939902020637517,0.00023175841620254079,0.046685829920671634,-0.00045243382606742776,-0.00012206398005580027,6.0226540850668751e-05,0.0003493988068881043,0.00060435995774710607,4.0230926456469754e-05,6.1760620254105894e-05,0.00014519489070839286,0.00030092690233017192,0.00093378864624228035,0.00093378771245485775,1.2277746727155429e-06,1.618527443545878e-09,3.8143742141718749e-09,3.2139895255523772e-08,2.2515383438475213e-07,1.7889996568421178e-06,1.7889960788486784e-06,0.00093378771245485775,-0.034524342143435291,-3.2125128122879714,0.0020057609429214706,0.031413940084851336,-3.1695141445391868,0.00018969650221422189,-0.034524342143435291,-3.2125128122879714,0.0020057609429214706,0.031413940084851336,-3.1695141445391868,0.00018969650221422189,0.034524342143435291,3.2125128122879714,-0.0020057609429214706,-0.031413940084851336,3.1695141445391868,-0.00018969650221422189
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,529,1.0056783667206848e-07,6.422179358190296e-08,4.0368789917764319e-08,8.7262653000166803e-08,2,2.7106095146223197e-13,3225950,0,-0.077378333134927466,-0.00010515403481097441,0.31543979885268592,0.99999998311135041,0.00018181946740123613,-3.2122112209937661e-07,-2.6811889717088095e-05,-7.4833550768451876e-06,-0.0051102925140154142,-1.4356714025623781e-05,0.016745538929785943,-4.0630286764440504e-05,0.0008950267639273394,-0.97157580371429808,1.6388114013306603,-0.00019815777871550521,-0.9837854281776377,1.6399582693393242,0.00010507742510996668,0.01942176272810207,-0.026153653789498792,-0.004798973613827146,-0.016865321049618145,0.025158744586691578,-0.0086784507962819647,4.653034480821085e-05,0.00014819663547397175,-0.17654636271909935,0.0004223639238397904,-0.0048875465659395509,-0.24829318909467535,0.33488024962183538,0.21658558374968678,-0.32196563377653131,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.00096959687824500589,0.047300221007449829,-0.00072294003171657472,-0.17312378321034302,-0.00072160719042652186,-0.0074385490304753055,-0.23734991652616433,0.31541495658935709,0.070513255804019292,0.21252585781789857,-0.30167018847326216,-0.0082824996855224951,-0.034808239198673575,-3.2117380029551903,0.0025167155635414406,0.031676202565636372,-3.16991360013873,0.00038997919289086364,-0.01369182142058345,0.10959428077575717,31.571076986557745,-0.038494899648860534,0.0050464074649754116,-0.0012243317583996256,0.015499350830527371,0.11388602491937405,31.548134768603397,-0.038987600430993148,-0.00050105129807453356,-0.0012174250450345688,0.00046416825916735787,0.061609696734859748,-0.00059405205340644287,-0.0001220503987974925,0.00013955642183005558,0.00030587323670475054,0.00045956348058220789,0.061606688930530534,-0.00057479004634784629,-0.00012202638880348123,0.00013952507158227466,0.00030587325341021449,0.00074976579150266029,9.2306653343679498e-05,8.7113666719054657e-05,0.00017112897543781618,0.00040590890606538311,0.001232195166890898,0.001232193934697195,2.0686947589609343e-06,8.5205182515102169e-09,7.5887909292385306e-09,4.8825834945254699e-08,3.7081572881927896e-07,3.0778411678877523e-06,3.0778350122148863e-06,0.001232193934697195,-0.034808239198673575,-3.2117380029551903,0.0025167155635414406,0.031676202565636372,-3.16991360013873,0.00038997919289086364,-0.034808239198673575,-3.2117380029551903,0.0025167155635414406,0.031676202565636372,-3.16991360013873,0.00038997919289086364,0.034808239198673575,3.2117380029551903,-0.0025167155635414406,-0.031676202565636372,3.16991360013873,-0.00038997919289086364
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,524,1.0054541672137264e-07,6.3807353094817312e-08,4.0112824167506708e-08,8.7345437409431549e-08,2,3.6357028498912314e-13,3173097,0,-0.077378378268908837,-0.00016275052133317886,0.31543959882855815,0.99999996178167672,0.00027571731000932569,-5.9098124969485828e-07,-2.0402480457256352e-05,-2.9037238549617049e-06,-0.0061761418254818734,-2.3815759036184934e-05,0.020083939712551617,-6.5182212784671272e-05,0.0015148813943019462,-0.97135866763949208,1.6385199413086942,-0.00024626783400761145,-0.98396898190268256,1.6402398797884765,-3.8548737792771942e-05,0.023245547322914083,-0.03106115092291134,-0.0053121687940666648,-0.019243064044278536,0.0301006796175558,-0.018483724157480043,1.9458763309255584e-05,0.00024778768877361076,-0.21462526280160668,0.0006813711907078942,-0.0087220437129025708,-0.30199550292543553,0.40426277601356619,0.25172643378722648,-0.39140683031638529,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0015883334756833837,0.056939689010457518,-0.00087908361219049503,-0.20999216012909649,-0.0012726197606486029,-0.010834319657516118,-0.28919453754114111,0.38065038302424109,0.084297685242670964,0.25068455102420623,-0.36484153686994453,0.029156014668617256,-0.034985413785717567,-3.2108250275033399,0.0031321735559355344,0.031827813618683053,-3.1703931912666983,0.00069222135887059462,-0.013231311644141257,0.13205854520638993,31.57092210932181,-0.047371300176699549,0.0056732398864402138,-0.00095703080745425145,0.015960220120467446,0.13635618139137828,31.547983849286293,-0.047930499189877858,-0.00018119633676999579,-0.0010641915991685274,0.00070291583382255313,0.075806228624357958,-0.00068932800638335414,-9.3013340175037145e-05,0.00023654177326358521,0.00025302200324628279,0.00069848464163703092,0.075804013522085073,-0.00066849851831605805,-9.2995589343190528e-05,0.00023651135502365982,0.00025302236306411072,0.00093044047884055796,0.00015688747123741281,0.00011268713009641059,0.00023165513362550933,0.00053130586892881522,0.0015161260886115871,0.0015161245724871592,3.1100451002204577e-06,2.4613678631270032e-08,1.2698389289365365e-08,7.436357669549289e-08,5.7128406121584817e-07,4.6390607566392351e-06,4.6390514785319483e-06,0.0015161245724871592,-0.034985413785717567,-3.2108250275033399,0.0031321735559355344,0.031827813618683053,-3.1703931912666983,0.00069222135887059462,-0.034985413785717567,-3.2108250275033399,0.0031321735559355344,0.031827813618683053,-3.1703931912666983,0.00069222135887059462,0.034985413785717567,3.2108250275033399,-0.0031321735559355344,-0.031827813618683053,3.1703931912666983,-0.00069222135887059462
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,517,1.0198558204674442e-07,6.464294424147255e-08,4.0628545828612518e-08,8.8611667513056706e-08,2,4.9868442708600469e-13,3149789,0,-0.077378344756534032,-0.0002301709259695258,0.31543929157102263,0.99999992583322783,0.00038496808883055193,-1.0056070177507644e-06,-1.1493407668290955e-05,7.0210665425558759e-06,-0.00710229936528057,-3.5382563910657957e-05,0.02297389319021536,-9.7823142414515539e-05,0.0019393021927135603,-0.97110634034391774,1.638183412478577,-0.00030333353565306745,-0.98417240321551314,1.6405674820142147,-0.00028671194013697731,0.026566437850236303,-0.035297335311870265,-0.0065089383848670806,-0.020960527556528396,0.034469260314449357,-0.029423696283943059,-4.0391590449101701e-05,0.00037113717590648172,-0.24898733681954521,0.0010285117762757374,-0.01142893181313755,-0.35092997189397845,0.46721202656529048,0.27965916319612549,-0.45562347880568077,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0022800778594130279,0.065482123856978519,-0.001006814750431895,-0.24333761146352823,-0.0018582562971278466,-0.012999661291158357,-0.3360734580150298,0.4396814316623629,0.097455910227401465,0.2821778284859377,-0.42250448745740204,0.07820964943196132,-0.035066886628754221,-3.209801648331517,0.003827800935660034,0.031880964749658382,-3.1709342343416322,0.001106019509031363,-0.012798817906583656,0.15177695128392454,31.570843809659856,-0.055647471145297694,0.006379580985351135,-0.00073384098807149846,0.016392883719081909,0.15608152243311857,31.547909875278528,-0.056238718043591339,0.00024414971985363453,-0.00095269007229353234,0.00093229045924201541,0.089114529655830318,-0.00075277000085729703,-3.5759978579963747e-05,0.00034783479751198738,0.00018872739163413682,0.00092793466159269301,0.089113277366839258,-0.00073026036001287719,-3.5749829567033637e-05,0.00034780504086625951,0.00018872797921598821,0.0011274413911228701,0.00023204694498621297,0.00013779519263383766,0.0002824862678008494,0.00066237982696557452,0.0017822923754071741,0.0017822905931166064,4.3301563042248478e-06,5.3845784677434553e-08,1.898751511299643e-08,1.068000440029176e-07,8.3274436924558492e-07,6.4046951969784872e-06,6.4046823876071088e-06,0.0017822905931166064,-0.035066886628754221,-3.209801648331517,0.003827800935660034,0.031880964749658382,-3.1709342343416322,0.001106019509031363,-0.035066886628754221,-3.209801648331517,0.003827800935660034,0.031880964749658382,-3.1709342343416322,0.001106019509031363,0.035066886628754221,3.209801648331517,-0.003827800935660034,-0.031880964749658382,3.1709342343416322,-0.001106019509031363
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,510,1.0148009369383404e-07,6.4298009248357807e-08,4.0413477874819786e-08,8.8166218297131872e-08,2,6.9166894434147252e-13,3096108,0,-0.0773781747238797,-0.00030599005255830695,0.31543885770394403,0.99999987132957835,0.00050728435714631002,-1.6066570559962304e-06,-9.090782372858076e-07,2.3013889609073288e-05,-0.0078843305997701642,-4.8773695348029978e-05,0.025401515060469761,-0.00013889806865321431,0.0022178798895833053,-0.97082385416842298,1.6378086779197982,-0.00037605888697591331,-0.98438929456402258,1.6409351387160704,-0.00064942407344068497,0.029383510253902439,-0.038837829092940118,-0.0083571142193107038,-0.022051421134911875,0.03823108305412895,-0.041285901461226501,-0.00013787882273718835,0.00051589516724513933,-0.27937936954988801,0.0014693135427774422,-0.013290915928526858,-0.39490434305578326,0.52318839605416512,0.30055797468306711,-0.51400099294864432,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0030260159574481936,0.072867904369058961,-0.0011036968518374343,-0.27290335363087082,-0.002453145171121422,-0.014215351891921239,-0.37786935234149432,0.4920037053898027,0.11082189424853062,0.3071352226326004,-0.47413727932282501,0.1374042065350326,-0.03506589453992591,-3.2086957770495039,0.004584766800252665,0.031849730478242515,-3.1715146193556656,0.0016406485123531492,-0.012427835489259019,0.16862790482870538,31.570845023853376,-0.063244124903096777,0.0071448240108934425,-0.00056469340959441688,0.016764050637550591,0.17294032855608432,31.547914734678677,-0.063831693471874992,0.00078293100964691581,-0.00088050039329193221,0.0011368821914433285,0.10140160632405879,-0.0007827143455137192,4.7715512376688827e-05,0.00047097340297134994,0.00011266151775109857,0.0011326047710895262,0.10140147650875032,-0.00075892776400506793,4.7716788306288704e-05,0.00047094444289276114,0.00011266206812888179,0.0013213688138609086,0.0003163894780185382,0.00016195920190825735,0.00032380079595085987,0.00079727427251638614,0.002028034154513332,0.0020280321264811757,5.6953500985521915e-06,1.0010230180084306e-07,2.6230783082759671e-08,1.4544761599005547e-07,1.1580206780395416e-06,8.303107232330088e-06,8.3030906261397933e-06,0.0020280321264811757,-0.03506589453992591,-3.2086957770495039,0.004584766800252665,0.031849730478242515,-3.1715146193556656,0.0016406485123531492,-0.03506589453992591,-3.2086957770495039,0.004584766800252665,0.031849730478242515,-3.1715146193556656,0.0016406485123531492,0.03506589453992591,3.2086957770495039,-0.004584766800252665,-0.031849730478242515,3.1715146193556656,-0.0016406485123531492
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,502,1.0043183664436528e-07,6.3727307088366713e-08,4.005248696619197e-08,8.7189028080583535e-08,2,9.612033391448449e-13,3034927,0,-0.077377804240609138,-0.00038875206439465315,0.31543828093168913,0.99999979492454649,0.00064033550081597844,-2.436762272367797e-06,1.074123158591673e-05,4.5605175786066226e-05,-0.0085200812132951755,-6.3665101208520535e-05,0.027361429295743891,-0.00018851248680307905,0.0023895843906215916,-0.97051618966685882,1.6374028001584624,-0.00047096068756974596,-0.98461360199369852,1.6413366198227053,-0.0011347084102415347,0.031706307578922358,-0.041666391864126857,-0.010851251827775982,-0.022551068915452839,0.041360294414721853,-0.05387480459974154,-0.00027676088923420393,0.00067922853222257106,-0.3056310701868562,0.0020069629899778499,-0.014530848525492629,-0.43385383301233221,0.57174274871649577,0.31462881551789257,-0.56600484911461368,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0038111728697057543,0.07906026661177909,-0.0011693901586426166,-0.29850573095813171,-0.0030383439662747258,-0.014712753050997784,-0.41455775260370742,0.53722857977757732,0.12540857833585783,0.32570789075862944,-0.51931511255650675,0.20522304636167127,-0.034996591351318058,-3.2075337164624864,0.0053887400542182735,0.031748913213274374,-3.1721119016891324,0.0023033162915540931,-0.012145349043498585,0.18254456141902076,31.570924386627048,-0.070098491156350876,0.0079530148706309037,-0.00045505707637099197,0.01704663871718113,0.1868655591068441,31.547997406711726,-0.070646965808244144,0.0014414021548327474,-0.00084338468882789661,0.0013045640451322476,0.11256048248369274,-0.00077919144820297911,0.00015489653930182695,0.00060398733278970904,2.5750664135396542e-05,0.0013003182403560159,0.11256159020598977,-0.00075435044710948365,0.00015488806023598032,0.00060395851408179811,2.5751920267384925e-05,0.0015097119512469115,0.00040879337589399579,0.00018486186908651877,0.00035626696143622463,0.00093379473116213859,0.0022512340553515484,0.0022512318041197953,7.1636452984131142e-06,1.6711202417480974e-07,3.4173910642161204e-08,1.9064667665902508e-07,1.546497593894261e-06,1.0262457781799502e-05,1.02624372569139e-05,0.0022512318041197953,-0.034996591351318058,-3.2075337164624864,0.0053887400542182735,0.031748913213274374,-3.1721119016891324,0.0023033162915540931,-0.034996591351318058,-3.2075337164624864,0.0053887400542182735,0.031748913213274374,-3.1721119016891324,0.0023033162915540931,0.034996591351318058,3.2075337164624864,-0.0053887400542182735,-0.031748913213274374,3.1721119016891324,-0.0023033162915540931
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,492,1.000464616260073e-07,6.3916128669483727e-08,4.016888468142308e-08,8.6685923733230072e-08,3,5.5511151231257827e-17,2971980,0,-0.07737716498046171,-0.00047699309948818293,0.31543754833332949,0.99999969413387946,0.00078178634149760485,-3.5385270772367673e-06,2.3016156352236752e-05,7.5176366555675895e-05,-0.0090096443759971993,-7.9710916727708089e-05,0.028855611971237184,-0.00024658069102692756,0.0024846751832545491,-0.97018818164217424,1.6369729336710797,-0.00059462358103735545,-0.98483964360733212,1.6417655019515145,-0.0017486470673100879,0.033552951137216673,-0.043778795479391092,-0.014007414974473206,-0.02249828105042324,0.043842112898689549,-0.066994929554872379,-0.00045994137517871487,0.00085800164640551912,-0.32764544077261848,0.002642733282169709,-0.015322341956106735,-0.4678218446005088,0.61256678564544542,0.32213285922834689,-0.61122642755935741,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0046227645094292398,0.084043764258665943,-0.0012053085744184256,-0.32003348574377577,-0.0035989084722699719,-0.014680934926021048,-0.44619968301610147,0.57510889782202046,0.14225894220234253,0.33809209606937585,-0.55773813429349139,0.28016152632662228,-0.034873211858165554,-3.2063395048831751,0.0062288224714581375,0.03159327618694438,-3.1727046438617186,0.0030985356796226467,-0.011974034349296184,0.19351015408392847,31.571077462127111,-0.076163238139405537,0.0087918682478735251,-0.00040729032312911091,0.017217843945832242,0.19784032885256098,31.548153728478017,-0.076638949467532302,0.0022233392292382212,-0.00083567525568306556,0.0014253560201799205,0.12250907873854126,-0.00074338572694478643,0.00028306082384584394,0.00074515988493024834,-7.0234514341562077e-05,0.0014210299684846446,0.12251153362679472,-0.00071756785248606233,0.00028304166899907417,0.0007451308762371372,-7.0234222425304675e-05,0.00169022217166023,0.0005082705884607954,0.00020633102208239448,0.0003805977514421355,0.0010697658653173203,0.002450233122766488,0.0024502306725358945,8.688799856822198e-06,2.5833899109428325e-07,4.2572490673565559e-08,2.4327838532533007e-07,1.9945223955271405e-06,1.2213985526881409e-05,1.2213961098944636e-05,0.0024502306725358945,-0.034873211858165554,-3.2063395048831751,0.0062288224714581375,0.03159327618694438,-3.1727046438617186,0.0030985356796226467,-0.034873211858165554,-3.2063395048831751,0.0062288224714581375,0.03159327618694438,-3.1727046438617186,0.0030985356796226467,0.034873211858165554,3.2063395048831751,-0.0062288224714581375,-0.03159327618694438,3.1727046438617186,-0.0030985356796226467
