scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,0,0,0.002,0,0,0,0,0,0,0,31.530944829097994,31.583792148149392,0.00039838683718524531,0.00088932968035865376,0.00045089752929192395,0.0001825909525860475,-6.4935597173793972e-10,-6.7152878290022689e-07,0.34771766414722577,0.99999999998598121,1.3642322407206381e-06,-1.1241261611965304e-09,5.1162887669234359e-06,-0.34332614551794405,0.56939479387569403,8.3700028535674405e-06,-0.5725403712480498,-0.57298284677052358,-0.35472484359675133,0.56940919309563065,-9.8438625702724112e-06,0.57260289166947009,-0.57303952927837465,-3.2467798586896985e-07,-0.00033576439145011343,5.7365544389295773e-08,0.0013642322407270129,-1.1241261612017833e-06,0.0051162887669473434,0.0016641119368140619,-0.0022166516333382061,0.0041850014267837202,0.0023591977505813535,0.0023506470320757851,-0.0016750223486834907,0.0023420496152470852,-0.0049219312851362055,0.002480356258225343,-0.0024716485373791875,0.03244879618827385,3.213562398253162,-0.0014384682151758693,-0.029355473223560569,3.1690405048782648,-0.00023288226357893907
hold,0,0,1,0.0040000000000000001,0,0,0,0,0,0,0,31.536216679354958,31.578710448831806,0.000398383172275453,0.00067604717412485748,0.00039042788681415753,0.00018260158250697943,-2.0188181205939692e-09,-2.0062647595039434e-06,0.34771766436362189,0.99999999993852617,4.0030717709557807e-06,-3.4428180198093214e-09,1.0340358532139662e-05,-0.3433197986148136,0.56938628287925019,2.357807354617504e-05,-0.57253136886765899,-0.57297387151038159,-0.35473126428407031,0.56941818487669604,-2.7583244594351497e-05,0.57261236257314851,-0.57304897174560931,-6.8473107442801469e-07,-0.00066736798830185819,1.0819804832887903e-07,0.0026388395242873705,-2.3250660792916795e-06,0.005224069765612455,0.0031734515652218475,-0.0042554982219104422,0.0076040353463038002,0.0045011901953838727,0.0044876300709731105,-0.0032103436594902316,0.0044958905326770247,-0.008869691012039542,0.0047354518392304611,-0.0047212336173182348,0.03244879618827385,3.213562398253162,-0.0014384682151758693,-0.029355473223560569,3.1690405048782648,-0.00023288226357893907
hold,0,0,2,0.0060000000000000001,0,0,0,0,0,0,0,31.540659556454987,31.574385372056568,0.00039838715227093896,0.00050163671024456224,0.00035175417892608317,0.00018262008725864081,-4.1733254177439819e-09,-3.9958789359898093e-06,0.34771766466753984,0.99999999984655896,7.8422364102896486e-06,-7.0330056603749138e-09,1.5664652208597511e-05,-0.34331069456389696,0.56937398964207542,4.4450454668107982e-05,-0.57251843992374496,-0.5729609744213302,-0.35474052745935225,0.56943117028804024,-5.1642071105621978e-05,0.57262597164357765,-0.57306254601621931,-1.0772536485750064e-06,-0.00099480708824293282,1.5195896321867854e-07,0.0038391646207003279,-3.6085724498055486e-06,0.0053242936782739881,0.004552025458313365,-0.0061466185874149227,0.010436190560966471,0.0064644719570398079,0.0064485445256755123,-0.0046315876409549379,0.0064927056720775964,-0.012029413255635241,0.0068045352145554633,-0.0067871353049885202,0.03244879618827385,3.213562398253162,-0.0014384682151758693,-0.029355473223560569,3.1690405048782648,-0.00023288226357893907
hold,0,0,3,0.0080000000000000002,0,0,0,0,0,0,0,31.544409309470367,31.570693750366711,0.00039840820749380973,0.00035785826706880215,0.00033038595282284763,0.0001826442828383655,-7.1807416797206121e-09,-6.631988095741634e-06,0.34771766504417506,0.99999999969559472,1.2819642686262291e-05,-1.1978261512046394e-08,2.1082388286427952e-05,-0.34329905616894657,0.56935816066430456,7.0098225159099162e-05,-0.57250187948735731,-0.57294444668627287,-0.35475244649327731,0.56944788598778084,-8.073871668189841e-05,0.57264341034537181,-0.5730799468816089,-1.5037081309883148e-06,-0.0013180545798759124,1.8831760047039166e-07,0.0049774062370749571,-4.9807380231024393e-06,0.0054177360831885518,0.0058191974751798745,-0.0079144888854298309,0.012823885245495589,0.0082802181938399031,0.0082638675286579137,-0.0059595169625420051,0.0083578498702745804,-0.014548322788138212,0.0087193508970943578,-0.0087004326947721245,0.03244879618827385,3.213562398253162,-0.0014384682151758693,-0.029355473223560569,3.1690405048782648,-0.00023288226357893907
hold,0,0,4,0.01,0,0,0,0,0,0,0,31.547580183964296,31.567531465441249,0.00039845411510458506,0.00023818075250123954,0.00032273048188485637,0.00018267244117723742,-1.111261658595244e-08,-9.9061199763391862e-06,0.34771766547842953,0.99999999946827234,1.8882896846367604e-05,-1.8369284838080135e-08,2.658742092473461e-05,-0.34328507501600947,0.56933900261130932,9.9859203464647617e-05,-0.57248193213454079,-0.57292453007068533,-0.3547668684326295,0.56946810986523755,-0.00011382430912972364,0.57266442149187347,-0.57310091946946917,-1.9659374531159142e-06,-0.0016370659402987757,2.1712723513505809e-07,0.0060632540924442785,-6.4482786539666223e-06,0.0055050326507883217,0.0069905764685466599,-0.0095790264976456305,0.014880489152774226,0.0099736764082538985,0.0099583077937738917,-0.0072109696760834716,0.010111938728359134,-0.016542796223912616,0.01050557325083467,-0.010486293930116615,0.03244879618827385,3.213562398253162,-0.0014384682151758693,-0.029355473223560569,3.1690405048782648,-0.00023288226357893907
hold,0,1,0,0.012,0,0,0,0,0,0,0,31.544969287408996,31.569113058261532,0.0003985312035841293,0.00012849319120709153,0.00032591272687945705,0.00018270319856439682,-1.5955958879033413e-08,-1.3808705366288199e-05,0.34771766492776046,0.99999999914601456,2.5976896631788639e-05,-2.6191528197818902e-08,3.2142974947500165e-05,-0.34326902455615205,0.56931670739706186,0.00013360925970447597,-0.57245881654099373,-0.57290144015634425,-0.35478354377141014,0.56949161748576382,-0.00015040678411324787,0.57268875467611569,-0.57312521618270607,-2.421671146540486e-06,-0.001951292694974506,-2.753345466163802e-07,0.0070939996819083919,-7.9059495664047509e-06,0.0055555540458496061,0.0080252299287018637,-0.011147607123750165,0.016875028119914173,0.011557796773534841,0.011544957170544481,-0.0083376693903203392,0.011753810263140804,-0.018291237491762112,0.012166592121106169,-0.012148356618450394,0.033297752981007511,3.213192914690933,-0.0015121135512360002,-0.030204364015623788,3.1692394139274684,-0.00016899767692971708
hold,0,1,1,0.014,0,0,0,0,0,0,0,31.547213952886867,31.566794021261583,0.00039864404448559931,4.0219673582537379e-05,0.00033742956192597123,0.00018273564531729112,-2.1791301859541099e-08,-1.8330911880461226e-05,0.34771766337780335,0.99999999870750089,3.4063379362847521e-05,-3.5551541340346562e-08,3.7744971034176905e-05,-0.34325104774069004,0.56929142141687128,0.00017100542853033438,-0.57243270256943202,-0.5728753456935608,-0.3548023722348817,0.56951824932318651,-0.00018976313794988141,0.57271622914909415,-0.57315265698333573,-2.9176714902538432e-06,-0.0022611032570865131,-7.7497855139478576e-07,0.0080864825815409637,-9.4744142847350349e-06,0.0056019961274249583,0.0089884077310154638,-0.012642990095286247,0.018698084412929201,0.013056985780877254,0.01304723139173024,-0.0094142317357880957,0.013315918711365136,-0.019678176918316779,0.013737236489222485,-0.013720400314826251,0.033297752981007511,3.213192914690933,-0.0015121135512360002,-0.030204364015623788,3.1692394139274684,-0.00016899767692971708
hold,0,1,2,0.016,0,0,0,0,0,0,0,31.5491313100718,31.564773170496071,0.00039879652570255775,7.2309964368891168e-05,0.00035557851742238559,0.00018276889698159556,-2.8705649205284549e-08,-2.3463774857142441e-05,0.34771766081464484,0.99999999812948182,4.3108857078231786e-05,-4.6565794012377827e-08,4.3389632356938156e-05,-0.34323127162045253,0.56926326987726728,0.00021182075214556245,-0.57240373341575246,-0.57284638919393738,-0.35482327125800539,0.56954786769520027,-0.00023128532381532996,0.57274669108458531,-0.57318308838642718,-3.4571736728717243e-06,-0.0025664314883406085,-1.2815792618355855e-06,0.0090454775084974227,-1.1163397732901797e-05,0.0056446613909917828,0.009888060118762948,-0.014075769801980116,0.020407661807614035,0.01448457683979403,0.014478249811695645,-0.010449511561839604,0.014809186006883919,-0.020761092932724271,0.015230967745575454,-0.015215701545727293,0.033297752981007511,3.213192914690933,-0.0015121135512360002,-0.030204364015623788,3.1692394139274684,-0.00016899767692971708
hold,0,1,3,0.018000000000000002,0,0,0,0,0,0,0,31.550778193983316,31.562997502742377,0.00039899159680038127,0.00012819459155750924,0.0003788977263339034,0.00018280226413622616,-3.6793539638276331e-08,-2.9198189690122968e-05,0.34771765722511838,0.99999999738696232,5.3083612484512848e-05,-5.9361950217679735e-08,4.9073431019666589e-05,-0.34320981055505229,0.56923236078212469,0.00025592138789612347,-0.57237203072155907,-0.57281469192904189,-0.35484617266622243,0.56958035263241114,-0.00027445577808244152,0.57278000837943122,-0.57321637836783779,-4.0439452164958913e-06,-0.0028672074164902629,-1.7947632328250941e-06,0.0099747551293014741,-1.2983935121943612e-05,0.0056837987715845553,0.010730532700129528,-0.015454547571306296,0.022050317875280508,0.015851347096684829,0.015848632447719849,-0.011450704108513288,0.016242468605444742,-0.021585227133555783,0.01665864742296836,-0.016644990705288132,0.033297752981007511,3.213192914690933,-0.0015121135512360002,-0.030204364015623788,3.1692394139274684,-0.00016899767692971708
hold,0,1,4,0.020000000000000004,0,0,0,0,0,0,0,31.552202531125694,31.561422075389999,0.00039923139844599831,0.0001748106263642483,0.0004062159144489349,0.00018283521396887669,-4.6158169269845261e-08,-3.5524907885530915e-05,0.34771765259709414,0.9999999964533598,6.3960899660461001e-05,-7.4080271815149902e-08,5.4793045406609396e-05,-0.34318676881957694,0.56919878818740632,0.00030324848114754622,-0.5723376987290939,-0.57278035799729332,-0.35487101998972576,0.56961559850706511,-0.00031882798247083167,0.57281606643314953,-0.57325241222549794,-4.6823148157844653e-06,-0.0031633590977039744,-2.3140121306367383e-06,0.01087728681460712,-1.4948489623040062e-05,0.0057196145535609874,0.01152086773768426,-0.016786297359194225,0.023663546625711379,0.017165996232594252,0.017166965874280161,-0.012423661751676316,0.017622937326990534,-0.022186102194195086,0.018029026859144062,-0.018016928830096313,0.033297752981007511,3.213192914690933,-0.0015121135512360002,-0.030204364015623788,3.1692394139274684,-0.00016899767692971708
