scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,6,1.1721552617416364e-09,4.5481468583838197e-10,4.5481175336604787e-10,1.1721554837862413e-09,2,1.4849232954361469e-13,949469,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,0.001,0,0,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0.0060000000000000001,-0,-0,-0,-0,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0036839598668101129,2.2874105564868229e-06,-0.00022726151182516231,-1.205278740432606e-05,-0.0016273698934327738,-5.527591556355806e-06,0.005079069096547849,0.0026247638093757045,0.018548249044895923,0.0050546191293541409,0.0026860892817063735,0.018354738787071428,-0.032727054109641607,-3.2143927935189147,-0.00082155904125636944,0.029734156122689651,-3.1695600120394225,-0.0020591671798202041,-0.024351357148146666,-0.0021400670155654823,31.571569473157236,0.00055847069312046709,0.0012266106583079858,-0.0053482415308489569,0.0048490075014526526,0.0021495157386431682,31.548587137663255,0.00027105319556918909,-0.0035374249085232449,-0.0010616156371762303,-0.004875584428717071,2.3204112348584198e-06,-0.00032684308634188574,3.4996144442572865e-07,0.00014614731037414512,2.7458502843912649e-07,-0.004875585752082752,2.4039497074051392e-06,-0.0003268510415031558,3.4951662431818269e-07,0.00014614730086641762,2.7047730456338378e-07,7.5200869820762548e-06,0.00023160401331898871,2.2726151182516232e-05,8.1368494671638691e-05,0.00010158138193095698,9.7511807893960398e-05,9.7511715041655045e-05,9.7900779217238214e-11,5.3640418985462301e-08,5.1647794757058391e-10,6.6212714850100636e-09,2.6180231245858606e-08,2.5937536688009134e-08,2.5937485738054441e-08,9.7511715041655045e-05,-0.032727054109641607,-3.2143927935189147,-0.00082155904125636944,0.029734156122689651,-3.1695600120394225,-0.0020591671798202041,-0.032727054109641607,-3.2143927935189147,-0.00082155904125636944,0.029734156122689651,-3.1695600120394225,-0.0020591671798202041,0.032727054109641607,3.2143927935189147,0.00082155904125636944,-0.029734156122689651,3.1695600120394225,0.0020591671798202041
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,2,7.9866468728890419e-12,6.7531166564610192e-12,6.7583052869302218e-12,7.9866466037377054e-12,2,1.5074053116848063e-13,426313,0,-0.077368401030310466,-8.4659188748634164e-06,0.31543996034517024,0.99999999985828392,1.6325533428911371e-05,-9.6874557983217191e-08,4.1108964596902589e-06,0.00095815864049134266,-0.0015371541167273728,-4.0691742652845447e-06,0.0053447524623683211,-3.3308597639205452e-05,0.0013245883355522661,-0.9719541722959284,1.6393412378940893,-0.00010207672085505916,-0.98342394088916207,1.6394547582399213,-0.0001579128274485447,0.00735523084886171,-0.0088079329684744856,-0.015689778816369793,-0.0052156511422107059,0.0086920309398009939,-0.02464820221937282,-0.0058367105701539138,4.1283925762338944e-05,-0.054263801295167342,0.00033792970429144417,-0.0080215261495915173,-0.089873537605099613,0.1076574834861006,0.06377600247567497,-0.1062386704353384,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0026875718916377846,0.014848972642884921,-0.00051064492935665184,-0.053990818991948922,-0.0023825781529964842,-0.0082167278183012879,-0.080547925451495514,0.10346435159489364,0.062707571818896857,0.071147252212305806,-0.09386273256000302,0.037255477639283184,-0.033438382800346798,-3.2138094331599016,-0.00014026780227459996,0.030406035839345369,-3.1695412737386319,-0.0014830653310999285,-0.023241738014936581,0.033229146579738141,31.57120113532509,-0.010973624938925345,0.0019379419353297185,-0.0047184571670000229,0.0059588442123630027,0.037519164189046418,31.548223029712215,-0.011422277718185991,-0.0029015623459267923,-0.00080072037221902534,-0.0043177144599797325,0.0182023350595171,-0.00051156062555349257,-5.7935664039907913e-05,0.00027954965289048552,2.0438590514691558e-05,-0.004317609221998908,0.018202260339421805,-0.0005095264969842457,-5.793521521253164e-05,0.00027954983320791155,2.0434672960767391e-05,0.00027906874362538094,0.00031491386785161295,5.5192885511899073e-05,0.00013602539286439641,0.00024751875750670755,0.0003640470654007491,0.00036404670119034199,2.2666636126866415e-07,9.9170744165263135e-08,3.0462546111295986e-09,1.8784465077257168e-08,1.248194232281785e-07,3.0639692747652889e-07,3.0639631443958211e-07,0.00036404670119034199,-0.033438382800346798,-3.2138094331599016,-0.00014026780227459996,0.030406035839345369,-3.1695412737386319,-0.0014830653310999285,-0.033438382800346798,-3.2138094331599016,-0.00014026780227459996,0.030406035839345369,-3.1695412737386319,-0.0014830653310999285,0.033438382800346798,3.2138094331599016,0.00014026780227459996,-0.030406035839345369,3.1695412737386319,0.0014830653310999285
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,2,7.0300918877067183e-12,6.2340223488576954e-12,6.233599140342827e-12,7.0300911772975384e-12,2,1.771083280033281e-13,416333,0,-0.077359014154286407,-3.2588919708084959e-05,0.31543987687358721,0.99999999825933683,5.741263210770644e-05,-3.9109586676486746e-07,1.3600090718260803e-05,0.00092527564099143076,-0.0029843406384545525,-1.1302992585065364e-05,0.010073514668369254,-7.7166156329005513e-05,0.0022484395257406564,-0.97184356920811754,1.6392088106174729,-0.00030275414675253121,-0.98350006714489502,1.6395855565811122,-0.00049994764625174682,0.013498632743961207,-0.016056701057964952,-0.022927976729484174,-0.009040242146352408,0.015878803481511061,-0.040328848018625157,-0.0057238944573709738,0.00011570889853600852,-0.10360577829074347,0.00079121635663964454,-0.013735438787514672,-0.16757607150748441,0.19941008251817413,0.11241163973176141,-0.19718868121873145,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.0016313461606273481,0.02799973273306916,-0.00080134463959449678,-0.10211886802905606,-0.0031549243919721253,-0.013878634566521218,-0.15434553203230891,0.1906883611501663,0.10080926119028195,0.1232440808874542,-0.17703984347896745,0.074486413086951031,-0.033913714021873848,-3.2130483542281212,0.00068978105393168669,0.03083967947931323,-3.1696184582123541,-0.00083587133737991087,-0.022219123044997447,0.064427224064462912,31.570855818004929,-0.021673395195515401,0.0027973149745110235,-0.0041886089126248072,0.0069817007199828038,0.06871909413883763,31.547881863153567,-0.02227300755548893,-0.0022068471665609149,-0.00061563885130827556,-0.0037970959208530474,0.035098514223043005,-0.0006874648503326753,-0.0001092588010731127,0.00042724114078646189,1.1311697584074659e-05,-0.0037968766896767057,0.035098421857218516,-0.00068354025579139648,-0.00010925820129663339,0.00042724176685516511,1.1308124403946663e-05,0.00047937098436697922,0.00040925482967436259,9.170535381305053e-05,0.0001973070374305885,0.00040297675479528008,0.00070197098658220949,0.00070197028446086014,7.425226150239567e-07,1.6748951561179153e-07,8.4098719179767815e-09,4.4508584913227121e-08,3.0977321683209067e-07,1.0597058950415138e-06,1.0597037751961015e-06,0.00070197028446086014,-0.033913714021873848,-3.2130483542281212,0.00068978105393168669,0.03083967947931323,-3.1696184582123541,-0.00083587133737991087,-0.033913714021873848,-3.2130483542281212,0.00068978105393168669,0.03083967947931323,-3.1696184582123541,-0.00083587133737991087,0.033913714021873848,3.2130483542281212,-0.00068978105393168669,-0.03083967947931323,3.1696184582123541,0.00083587133737991087
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,2,6.4429986159472909e-12,5.8909185017983598e-12,5.8945511232505465e-12,6.4429982944718176e-12,2,2.2309931679842521e-13,420150,0,-0.077349895612217945,-7.0557474619947452e-05,0.31543970206268157,0.99999999234781822,0.00012075792040070733,-9.3217884847530997e-07,2.6851792710610879e-05,0.0009023117955459949,-0.004325348814588916,-2.1708665115927706e-05,0.01434990701874427,-0.00013067503161550632,0.0028941492558359878,-0.97167701717624166,1.6390096344574094,-0.00055452385433233222,-0.98360961835855654,1.6397828320224839,-0.00097921463253406761,0.018762953121991201,-0.022396654587710667,-0.027057463380909703,-0.012093819621581027,0.022218400104159357,-0.053263275381874683,-0.0056681782633145163,0.00022413589648562861,-0.1495369662228791,0.0013533592586977155,-0.017848227805039769,-0.23674378919137593,0.28265986663740816,0.15299841312631948,-0.28036575657989271,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-0.00063157502698670432,0.040009188531200029,-0.0010554350171926787,-0.14657393741912803,-0.0037996253771537866,-0.017756968066282238,-0.22010096298786452,0.27004446178793168,0.1315506622554441,0.16767769935011156,-0.25311057031869894,0.12368372658920324,-0.034227593246644553,-3.2121494328520281,0.0015759439390841154,0.031114778467811275,-3.1698242031844654,-0.00016325499661385399,-0.021409717161876441,0.092753085518554587,31.570592827749039,-0.031884159957897187,0.003705433463233136,-0.0037594005006162559,0.0077913575944759195,0.097047839781411308,31.547623047262295,-0.032598166589478297,-0.0015024579604111452,-0.00044909418715905006,-0.0033752332821125985,0.051261268285672401,-0.00082680665551274556,-0.00013856786929307804,0.00057169271094885095,-1.9212660351855013e-05,-0.0033749010395705942,0.051261163178391494,-0.00082108271067000656,-0.00013856715516023322,0.00057169390628382009,-1.9215971576145523e-05,0.00064769809156060897,0.00050366032363278123,0.00012795709136783072,0.00025764923179257508,0.00054510372522387554,0.0010252263910818825,0.0010252253657134481,1.4803492113673484e-06,2.5367372160187791e-07,1.637301723131538e-08,8.8352796722745578e-08,5.5778349029154346e-07,2.2226792967789444e-06,2.2226748508233414e-06,0.0010252253657134481,-0.034227593246644553,-3.2121494328520281,0.0015759439390841154,0.031114778467811275,-3.1698242031844654,-0.00016325499661385399,-0.034227593246644553,-3.2121494328520281,0.0015759439390841154,0.031114778467811275,-3.1698242031844654,-0.00016325499661385399,0.034227593246644553,3.2121494328520281,-0.0015759439390841154,-0.031114778467811275,3.1698242031844654,0.00016325499661385399
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,2,5.9555333351975962e-12,5.5647649268115577e-12,5.5653565523422488e-12,5.95553352329185e-12,2,2.9573565818452607e-13,408619,0,-0.077340949718131075,-0.00012123313296485508,0.31543940581721702,0.99999997823301778,0.00020422288096994144,-1.7649259268002429e-06,4.2706716031159495e-05,0.00088866683653547737,-0.0055478941416076287,-3.502013908618046e-05,0.018206541490438568,-0.00019268158471890071,0.0033359462265332889,-0.97146203768105899,1.638751300941899,-0.00083993067331432239,-0.9837460607160029,1.6400396948518901,-0.0015840941748563268,0.02334287284228365,-0.028043597303916454,-0.030088981960803108,-0.014542589374124171,0.027940221005036996,-0.065798856311961779,-0.0056668215560332436,0.00036465677280186405,-0.19227655902697136,0.0020150621441693043,-0.020784398253338183,-0.29944208766146169,0.35972318579025248,0.18729557502490635,-0.35827466924904683,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.00032790716522110828,0.051003219445239001,-0.0012662696206941102,-0.18787288229030386,-0.0043418046633570172,-0.020296129021039944,-0.27971988468072312,0.34332067435455721,0.15695061961304863,0.2061417795606508,-0.32395691131799464,0.18380842691641594,-0.034417083932945187,-3.211127024547928,0.0025058574173455962,0.031267613794188895,-3.1701434184256798,0.00056318516364062526,-0.020793417253397187,0.11850550061470309,31.57042425750074,-0.041647635882167688,0.0046500605609506385,-0.0034189840411850032,0.0084078986559598494,0.12280407384002588,31.547458674752594,-0.042434011158136685,-0.00075846769540409333,-0.0002988880855290653,-0.0030406205619115351,0.066772466647483819,-0.00092493213612166315,-0.00013949555143332392,0.00071507809931275871,-6.8451514301683298e-05,-0.0030401869915703495,0.066772354591489017,-0.00091749241884077576,-0.00013949476496907063,0.00071507987517425953,-6.8454636285591129e-05,0.00081303862337151042,0.00059947287212543522,0.00016309263934959742,0.00031784334037631605,0.00068635515862104364,0.0013354506685346198,0.0013354493329496763,2.438643557842709e-06,3.5936772441431841e-07,2.6599209010017855e-08,1.5010132813226377e-07,8.7635824265159081e-07,3.7462799679188866e-06,3.7462724746258518e-06,0.0013354493329496763,-0.034417083932945187,-3.211127024547928,0.0025058574173455962,0.031267613794188895,-3.1701434184256798,0.00056318516364062526,-0.034417083932945187,-3.211127024547928,0.0025058574173455962,0.031267613794188895,-3.1701434184256798,0.00056318516364062526,0.034417083932945187,3.211127024547928,-0.0025058574173455962,-0.031267613794188895,3.1701434184256798,-0.00056318516364062526
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,2,5.4731595312979551e-12,5.2106346111891964e-12,5.2050766041061847e-12,5.4731589714091769e-12,2,4.0553671531995406e-13,396683,0,-0.077332086336315414,-0.00018337272987279692,0.31543896101261443,0.99999995145090037,0.00030570024872160018,-2.9299125308774491e-06,6.0307296126991754e-05,0.00088382630843427768,-0.0066425951186283279,-5.0914608079217846e-05,0.02163849627466103,-0.00026249987588948959,0.0036261994681185271,-0.97120480161323708,1.6384403649493791,-0.0011535847336993233,-0.98390361688566785,1.6403503847913812,-0.0023164729313156556,0.027342773598481768,-0.033047574374072033,-0.03286894000517971,-0.016420854658034265,0.033100716973373953,-0.078820284498434562,-0.005717548823766988,0.00053472157779711554,-0.23166997543004816,0.0027714943878095121,-0.022842728156564206,-0.35670139517742783,0.43096460636283823,0.21550678053976574,-0.43138545869077088,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0012778686037961638,0.060970548625211146,-0.0014360620260229487,-0.2259754042145295,-0.0048232100329531954,-0.021804689047548124,-0.33408047863589835,0.41078394057434281,0.17937468561865128,0.23890867217870757,-0.38980987396829797,0.25462060547344878,-0.034504875238703027,-3.2099956033967563,0.0034809579830553084,0.031319460864221528,-3.1705485259067476,0.0013798075208566285,-0.020338585117455232,0.14166839821580018,31.570349522595208,-0.050913642202518331,0.0056334286303754699,-0.0031587903170342893,0.0088629438309906477,0.14597162833979702,31.547388129512331,-0.051730427588848188,6.3120429467950303e-05,-0.00017221489132472051,-0.002776119214334414,0.081557556937957437,-0.00098301678487497011,-0.00011051498822205888,0.00086190752707835186,-0.00013516465668354314,-0.0027756060946621773,0.081557443904906601,-0.00097395298236241292,-0.00011051417139188546,0.00086190979903759098,-0.00013516764634999417,0.0010191236523625791,0.00069954174275631514,0.00019707836038200641,0.00037973522103813535,0.00083151169444945828,0.0016311527700377656,0.0016311511387591487,3.6142655864591458e-06,4.893586498585426e-07,3.883988013085999e-08,2.2796300439803315e-07,1.278057165656836e-06,5.5757205150575515e-06,5.5757093627781384e-06,0.0016311511387591487,-0.034504875238703027,-3.2099956033967563,0.0034809579830553084,0.031319460864221528,-3.1705485259067476,0.0013798075208566285,-0.034504875238703027,-3.2099956033967563,0.0034809579830553084,0.031319460864221528,-3.1705485259067476,0.0013798075208566285,0.034504875238703027,3.2099956033967563,-0.0034809579830553084,-0.031319460864221528,3.1705485259067476,-0.0013798075208566285
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,2,4.9666048922356416e-12,4.8240912825940066e-12,4.8263099246270702e-12,4.9666038690727809e-12,2,5.6746274346153314e-13,420500,0,-0.077323218587655951,-0.000255654773855824,0.31543834378840674,0.99999990739089439,0.00042303003862879636,-4.4654597528395024e-06,7.9018027630983488e-05,0.0008875905741026304,-0.0076025973377323447,-6.9062324201971486e-05,0.024633505226672917,-0.00033983054930571181,0.0038045521948571266,-0.97091074804886024,1.6380832780078354,-0.0014956617521430444,-0.98407663647902999,1.6407092671112555,-0.0031830998006966388,0.030819453155696373,-0.037401117129970365,-0.035815602658621208,-0.017734007265653461,0.03769205396102808,-0.092613035748040279,-0.0058199441557122752,0.00073162934421686456,-0.26748655485110956,0.003621578487591464,-0.024249637710407199,-0.4090074781815693,0.4960622493291908,0.23749331719223291,-0.49940126605809715,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0022389424257829426,0.069864702834421727,-0.001568320904157879,-0.26068215121797078,-0.0052711242374920367,-0.022520370531351912,-0.38356570036773779,0.47217039016394147,0.20093881969815885,0.26589350521280797,-0.450335149336133,0.33561707936043389,-0.034508468734720778,-3.2087734095337206,0.0045016875364098851,0.031286874491620528,-3.1710102382230314,0.0023158120505327407,-0.020028344515475329,0.16214748832513462,31.570364994834193,-0.059610418155827301,0.0066561903385600873,-0.0029740693393232763,0.0091733543124917667,0.16645611363421248,31.547407743818457,-0.060417029848819762,0.00099243240003720964,-7.3865976758931033e-05,-0.0025720482808973383,0.095501221935735611,-0.0010032353544546283,-5.2514907983372895e-05,0.0010153083826753529,-0.00021802680405029156,-0.002571485814394613,0.095501113827731854,-0.00099265101405607769,-5.2514101369680478e-05,0.00101531098680445,-0.00021802970872905982,0.0012258243109812216,0.0008058886581495218,0.00022999502483747437,0.00044463513625417502,0.00098132233443928287,0.0019100263488575637,0.0019100244387147123,4.9896534918751415e-06,6.4945652933403682e-07,5.2897711449990454e-08,3.2092608883984391e-07,1.7728637929911606e-06,7.6484489866867683e-06,7.6484336888776554e-06,0.0019100244387147123,-0.034508468734720778,-3.2087734095337206,0.0045016875364098851,0.031286874491620528,-3.1710102382230314,0.0023158120505327407,-0.034508468734720778,-3.2087734095337206,0.0045016875364098851,0.031286874491620528,-3.1710102382230314,0.0023158120505327407,0.034508468734720778,3.2087734095337206,-0.0045016875364098851,-0.031286874491620528,3.1710102382230314,-0.0023158120505327407
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,2,4.4315215507761916e-12,4.4182533361429605e-12,4.4132197896118441e-12,4.4315213322416913e-12,2,8.0110917899389733e-13,402043,0,-0.077314260212441047,-0.00033670362644116461,0.31543753358224585,0.99999984168490463,0.0005539961449815932,-6.4089681311931206e-06,9.8373583456276445e-05,0.00089998821471732823,-0.0084234198124023239,-8.9133794466366909e-05,0.027181672415770273,-0.00042457587232129615,0.0039016115491054045,-0.9705848885366789,1.6376866668388326,-0.0018693957655990115,-0.98425951839110271,1.6411105000555524,-0.0041918595078045918,0.033808416806108924,-0.041083554113349942,-0.039177131771107911,-0.018489387726577093,0.041688617087801805,-0.10719746640023833,-0.0059749553763346003,0.00095259920088291625,-0.2995165328685484,0.0045662071466832255,-0.025180393890289549,-0.45660598442504802,0.55452949521384665,0.25314163155793434,-0.56180440957406796,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0032205858600238956,0.077640226101717558,-0.0016663957426361908,-0.29178166445191073,-0.0056978936790983668,-0.022634653843598806,-0.42835386108574253,0.5270961800350652,0.22346963734643979,0.28699422573840816,-0.50507134393645425,0.4259289898836135,-0.034443551138234635,-3.2074810293196738,0.0055661204976364615,0.031185098662123309,-3.1715008015336048,0.0033916764943876516,-0.019860021611767684,0.1798530347589396,31.570466079533748,-0.067668524383815876,0.0077160333388326396,-0.0028620508470896559,0.0093417929438671422,0.18416769114556025,31.547512883598134,-0.068426175051545787,0.0020502779730226075,-4.3451258147180459e-06,-0.0024258644315708648,0.10848865596051988,-0.00098773967438089126,3.250838275384617e-05,0.0011768086161482976,-0.0003151558754437699,-0.002425289191558874,0.10848855847033056,-0.00097574985164484735,3.2509140363079514e-05,0.0011768113254381186,-0.00031515873910474687,0.0014306167003388895,0.00091955412363584966,0.00026189949435191071,0.00051320504128907966,0.0011346613127522743,0.0021697752890919861,0.0021697731192103975,6.5337321386575408e-06,8.4557978629569544e-07,6.8591345141786502e-08,4.2915186892458591e-07,2.3661632497069306e-06,9.8966039856163577e-06,9.8965841914583085e-06,0.0021697731192103975,-0.034443551138234635,-3.2074810293196738,0.0055661204976364615,0.031185098662123309,-3.1715008015336048,0.0033916764943876516,-0.034443551138234635,-3.2074810293196738,0.0055661204976364615,0.031185098662123309,-3.1715008015336048,0.0033916764943876516,0.034443551138234635,3.2074810293196738,-0.0055661204976364615,-0.031185098662123309,3.1715008015336048,-0.0033916764943876516
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,2,4.128860881663643e-12,3.9838321310009829e-12,3.9895777653731201e-12,4.128836487114762e-12,3,5.5511151231257827e-17,398845,0,-0.077305123974028514,-0.00042511269449156956,0.31543651312363508,0.99999975054376411,0.00069634877467228927,-8.7974819840614903e-06,0.00011803981461948397,0.00092116230803201212,-0.0091028767912424268,-0.00011080077725981271,0.029278558166642113,-0.00051669935087936194,0.0039409251724514009,-0.97023193008372455,1.6372573455488708,-0.0022800057198324492,-0.98444678429842702,1.6415479869192706,-0.005350062147711233,0.036337752549217915,-0.044078817399847182,-0.043124581091185728,-0.018703642015327031,0.045066405396505076,-0.12247101378843046,-0.0061842260819354976,0.0011947804940868421,-0.32760302329517826,0.0056068676445731429,-0.02577026787453374,-0.49966451764871267,0.60592822109043687,0.26245425568660907,-0.61808739637236421,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.004224430211731506,0.084265522862317699,-0.0017336086904765624,-0.31910504847630466,-0.0061058425206467681,-0.02230380806055552,-0.46856458623103009,0.57522679135061028,0.24854947728776208,0.30218771602845951,-0.55360406812178597,0.52443701778990492,-0.034324983882906834,-3.2061394806926025,0.006671224332658791,0.031028900056765847,-3.171994930510031,0.0046205074001196703,-0.019840136718527503,0.19472868796129411,31.570647228054447,-0.075029120814629827,0.0088091549243701946,-0.0028205472215965897,0.0093617325775999238,0.19904990723499674,31.5476979640483,-0.075701262035621691,0.0032497342043901097,3.9455779905350249e-05,-0.0023396406325170184,0.12042068678490871,-0.00093869917554049672,0.00014208388831074521,0.0013467894205419729,-0.00042410208177794118,-0.002339093470782377,0.12042060526864648,-0.00092542863362801784,0.00014208456037205299,0.00134679196112872,-0.00042410494919389131,0.0016310268734932136,0.0010408656293667002,0.00029283891845634046,0.00058563550826099561,0.0012896665650115645,0.0024084161442097175,0.0024084137356981741,8.2060567934881649e-06,1.083401258396937e-06,8.575463216267922e-08,5.5354874769645398e-07,3.0586524061053158e-06,1.2250450236549369e-05,1.2250425734692693e-05,0.0024084137356981741,-0.034324983882906834,-3.2061394806926025,0.006671224332658791,0.031028900056765847,-3.171994930510031,0.0046205074001196703,-0.034324983882906834,-3.2061394806926025,0.006671224332658791,0.031028900056765847,-3.171994930510031,0.0046205074001196703,0.034324983882906834,3.2061394806926025,-0.006671224332658791,-0.031028900056765847,3.171994930510031,-0.0046205074001196703
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,2,4.5232286883037376e-12,3.524693269445865e-12,3.5286799524025803e-12,4.5231980053822562e-12,3,5.5511151231257827e-17,408821,0,-0.07729572101388639,-0.00051946700887627549,0.31543526839738867,0.99999963102779688,0.00084783491407147758,-1.1667724814994606e-05,0.00013778277302673201,0.0009512878684028417,-0.0096410198607667936,-0.00013374035679138875,0.030926098716374233,-0.00061614023219647271,0.0039403739925318619,-0.96985630689152336,1.6368022246457397,-0.0027341486724465377,-0.98463317623571878,1.6420154429525362,-0.0066636459197228423,0.038434676548147723,-0.046382011218430101,-0.047785758171708201,-0.01840285691900255,0.047810527852538809,-0.13827509824018636,-0.0064496060854395921,0.001455294445562795,-0.35165273808110892,0.0067447886344655702,-0.02612233417470047,-0.53835004055511326,0.64995089942615347,0.26555494427321841,-0.66784528304233026,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0052473430875414522,0.089727166952010801,-0.0017736143200089986,-0.34254570495950865,-0.0064915708878091538,-0.021655282362883672,-0.50432678275236298,0.61634298658715947,0.27754842718676548,0.31154624484478111,-0.59563053670310773,0.62990068007193045,-0.034166886213389973,-3.2047687960799016,0.0078140669522032812,0.030832510892826598,-3.1724700513605657,0.0060095828468755986,-0.019980180851312108,0.20676092321504805,31.570901621740688,-0.081646920370280096,0.0099316612089460164,-0.0028472513515485944,0.0092216792659080716,0.21108913278562313,31.547956134874717,-0.082199844703902319,0.0045978611029743105,6.317120616575154e-05,-0.0023179530958140774,0.13121945360199749,-0.00085853009398672046,0.00027354354809436553,0.0015249126721608238,-0.00054200849535313846,-0.0023174771782776258,0.13121939294155457,-0.00084411097177284917,0.00027354410089235509,0.0015249147388152829,-0.00054201141448297161,0.0018248200706710235,0.0011696949172981044,0.00032289087655717932,0.00066181797611373615,0.0014442949267844507,0.0026243916965156466,0.0026243890720399499,9.9611840732052545e-06,1.3681861995530194e-06,1.0425851816386361e-07,6.9523454392573224e-07,3.8468972776031617e-06,1.4641804305064336e-05,1.464177502052316e-05,0.0026243890720399499,-0.034166886213389973,-3.2047687960799016,0.0078140669522032812,0.030832510892826598,-3.1724700513605657,0.0060095828468755986,-0.034166886213389973,-3.2047687960799016,0.0078140669522032812,0.030832510892826598,-3.1724700513605657,0.0060095828468755986,0.034166886213389973,3.2047687960799016,-0.0078140669522032812,-0.030832510892826598,3.1724700513605657,-0.0060095828468755986
