scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,6,1.1715431957881606e-09,4.5467465500520053e-10,4.546682404215404e-10,1.171543306810463e-09,2,1.4849232954361469e-13,977352,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,0,-0.00038689076000000003,0,0,0,0.0050000000000000001,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.029999999999999999,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,-6.7092739060254087e-06,-0.00077574500109081612,7.8949856290223372e-06,0.00081203814788459016,8.9471873014637972e-06,-0.025795466012648101,-0.0099312717238701689,-0.0046163744520529241,-0.027062550957819863,0.0098755449352286705,0.0047032295415365497,0.02731353091087213,-0.03244878844848631,-3.2135625137761386,0.001438501631350319,0.029355478988026051,-3.1690406176095651,0.00023292814922075194,-0.014614362736261976,-0.0035218076047605997,31.572236366917817,0.00086082152011313399,0.0040027717468980335,-0.0042500098836223263,0.014585625027387056,0.0007678902813659953,31.549253888176732,0.00086651747518568087,-0.00076350255027535533,-0.0042482942362249958,-7.0896549163212614e-06,-0.00068854953814951681,6.6036271968488301e-06,6.614890400279309e-06,-2.6607337718682081e-07,-0.00051416718950495703,-7.2794221632897778e-06,-0.0006884084336121714,6.5240483343726775e-06,6.6141519976826886e-06,-2.660726408841044e-07,-0.00051416701451047057,3.6726148522812193e-05,6.7092739060254085e-07,7.8949856290223376e-07,0.00021022669936759491,0.00019862543447740337,0.00020566708155137143,0.00020566687580198282,3.6732662304895636e-09,4.5014356346073441e-13,6.2330798082469239e-13,4.5843980141444236e-08,9.5835130809205123e-08,8.4991170467858494e-08,8.4991000496160438e-08,0.00020566687580198282,-0.03244878844848631,-3.2135625137761386,0.001438501631350319,0.029355478988026051,-3.1690406176095651,0.00023292814922075194,-0.03244878844848631,-3.2135625137761386,0.001438501631350319,0.029355478988026051,-3.1690406176095651,0.00023292814922075194,0.03244878844848631,3.2135625137761386,-0.001438501631350319,-0.029355478988026051,3.1690406176095651,-0.00023292814922075194
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,2,9.0054484011578453e-12,7.7455853129817386e-12,7.7442368923846816e-12,9.0054483989302479e-12,2,1.5201728764679956e-13,449474,0,-0.077378161889438565,-1.1991697755492746e-05,0.31543998263648559,0.99999999946827234,1.8882895400972161e-05,-1.8323616459577686e-08,2.6587425682719205e-05,-1.7494444064631659e-06,-0.001867327211479611,-2.8146231992447344e-07,0.006063253672697588,-6.3185445131010457e-06,0.0055050341709563574,-0.97195354090158859,1.639332144833257,0.00011382539402580527,-0.98343533437610064,1.6394612520674032,-9.9857719086204471e-05,0.0072109784538681859,-0.010111969758703817,0.01654297521774916,-0.0069905770855950922,0.0095789919677937447,-0.01488024412378555,1.0585671385816558e-05,2.8495234250096453e-06,-0.061576681497191831,6.4101625954151727e-05,-0.033508778688111911,-0.08816523906141055,0.12363327515881535,0.085485279326076177,-0.11711598056060227,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,1.2802265609183143e-05,0.016190958064676162,-0.00023368837253731349,-0.060470523488546438,8.5979268655387038e-05,-0.030313394385592052,-0.095197469089256984,0.1102368479686255,-0.0080116573717084819,0.092383216221717704,-0.10472704536747222,0.0056354857056353479,-0.033297706853677105,-3.2131953116276541,0.0015104420548713378,0.030204311957271787,-3.1692369499245308,0.00017064957730303121,-0.014601324466424485,0.036816816448868056,31.571799135196432,-0.012300999437355032,0.0040546276429281889,-0.0036136655124687648,0.014598982722155424,0.041107053812498039,31.548821477627342,-0.01248673876427407,-0.0008047159470850946,-0.0034794671544163503,2.395082403113222e-08,0.020076919330041524,-0.0002127183850484542,-6.3836611082253623e-05,-4.1814421455642494e-07,-0.00039399777902760538,-6.5354288812239775e-09,0.020076895731810832,-0.0002104689261649201,-6.3836425178891176e-05,-4.1790774626552137e-07,-0.00039399791346062917,0.00027420541434559816,2.2165942233665849e-07,2.3653789596232313e-05,0.00015976921512599296,0.00026792854380379704,0.00040153878832651854,0.00040153838660083045,2.6789679229014126e-07,4.9132899510621141e-14,5.5950176226282801e-10,2.8586362530327075e-08,1.7199350770497272e-07,3.7348140373947426e-07,3.734806564808249e-07,0.00040153838660083045,-0.033297706853677105,-3.2131953116276541,0.0015104420548713378,0.030204311957271787,-3.1692369499245308,0.00017064957730303121,-0.033297706853677105,-3.2131953116276541,0.0015104420548713378,0.030204311957271787,-3.1692369499245308,0.00017064957730303121,0.033297706853677105,3.2131953116276541,-0.0015104420548713378,-0.030204311957271787,3.1692369499245308,-0.00017064957730303121
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,2,7.1520823046464537e-12,6.4255481660552836e-12,6.4252998538058548e-12,7.1520816821831166e-12,2,1.804667526528192e-13,415872,0,-0.077378193219310248,-3.9065628853676197e-05,0.31543996101641419,0.9999999964533236,6.3961210468635324e-05,-7.3979858803959938e-08,5.4793350011132608e-05,-4.194210852736842e-06,-0.0032548672095697273,-3.470781296362579e-06,0.010877390110265497,-1.4480053355848945e-05,0.0057197133573685171,-0.9718493814574154,1.6391846555154865,0.00031878227720058007,-0.98353364821378253,1.6396014664372245,-0.00030319724583887368,0.01242496084341236,-0.017623025376443502,0.022178260253759161,-0.011522130514175071,0.016786307634475913,-0.023655498226865794,2.5536238908606366e-05,3.5283214974386465e-05,-0.11197196162986757,0.00014849952650306049,-0.03530456044557749,-0.1544827677261755,0.21907555801142675,0.14340321862558378,-0.2086514858743535,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0002640905821766228,0.029689188212969824,-0.00044746921458383934,-0.10967434106518742,-0.0001243632532244525,-0.032355466185808285,-0.15969752673152471,0.19976963675320006,-0.005976013149422409,0.15025477119186759,-0.1902365848185035,0.019060440802893781,-0.033708142053906737,-3.2125920354860349,0.0017560871632544379,0.030604388857762618,-3.1695839927051566,0.00023411298899769681,-0.014353623918977394,0.06874809053996897,31.571455622400141,-0.023317911800090074,0.0043010660507822691,-0.0031743114435827009,0.014846943604184782,0.073040360682860461,31.548482241977656,-0.023653763932938898,-0.00072314793695810414,-0.0030343573706365758,0.00012572609960109993,0.037465728831588926,-0.00038829376313677941,-0.00011792263922726894,3.564814005685415e-05,-0.00036647172144692162,0.00012582443298331502,0.037465686086554192,-0.00038410088661297147,-0.0001179223032340246,3.564883478526457e-05,-0.00036647186199123267,0.0004823367075576032,2.3855434326801644e-05,4.8275242955822582e-05,0.00014745471298846028,0.00038611842516453386,0.00074931532610197471,0.00074931457663177852,8.3809305784289655e-07,5.690817469203462e-10,2.3304990824436977e-09,3.5126678272013591e-08,3.143858642312063e-07,1.1709106997285797e-06,1.1709083574392063e-06,0.00074931457663177852,-0.033708142053906737,-3.2125920354860349,0.0017560871632544379,0.030604388857762618,-3.1695839927051566,0.00023411298899769681,-0.033708142053906737,-3.2125920354860349,0.0017560871632544379,0.030604388857762618,-3.1695839927051566,0.00023411298899769681,0.033708142053906737,3.2125920354860349,-0.0017560871632544379,-0.030604388857762618,3.1695839927051566,-0.00023411298899769681
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,2,6.2388972699518396e-12,5.7822561031341415e-12,5.7881641103360582e-12,6.2388966207143204e-12,2,2.2915003228263231e-13,408058,0,-0.077378238520503018,-7.9336316032240864e-05,0.31543989158073893,0.99999998792994726,0.00013095256878650579,-1.8498369280677046e-07,8.3615167543714571e-05,-4.9651732902303284e-06,-0.0045271145843309409,-9.3166336731649118e-06,0.01501037961171069,-2.7330955535287919e-05,0.0057861503419892549,-0.97169927072844464,1.6389704327495931,0.00055491500340693609,-0.98366904892300921,1.6398063393562028,-0.00058909960777279893,0.016687183293975158,-0.023832180715110014,0.02405296343590322,-0.014747901576374331,0.022849715141083308,-0.032056173730136278,3.0569724268490469e-05,9.5477630624036614e-05,-0.15665142458277559,0.00028255874003043041,-0.036221975073777835,-0.21103342337587622,0.30129744164758898,0.18698689690413556,-0.28878780103686125,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.00068825186728752377,0.041388839607923063,-0.00064008186342405223,-0.15290671062548708,-0.00052133921662469366,-0.033108849322183817,-0.21471076551365384,0.27721044117840121,-0.010279405702244409,0.19549385321735332,-0.26456623139366131,0.05412478957965932,-0.03389968348979007,-3.2118147396580534,0.0021216080543104126,0.030778173868222913,-3.1700283032405663,0.00043653763018290751,-0.013970253992454058,0.09625077374109868,31.57118654324892,-0.033339521643395806,0.0046779573254333027,-0.0028314528958807046,0.015230521139921824,0.10054609319014754,31.548217274225053,-0.033792389680397321,-0.00050449758601635785,-0.0027571713130817707,0.0003211505093021942,0.053332040186592218,-0.0005314509573305004,-0.00014691611510400903,9.9675801663741788e-05,-0.00038811352336447994,0.00032134992665689772,0.053331983559287761,-0.0005254934859876912,-0.00014691566211775473,9.9676962934013328e-05,-0.0003881135988777808,0.00065459967262221038,6.5768214301903328e-05,7.3555949404808889e-05,0.00018723569786442546,0.00048443139286399872,0.0010666418705129698,0.0010666408037318443,1.5994515303763764e-06,4.3254580124610816e-09,5.4104776928428051e-09,6.0901716229658664e-08,5.0110367139852279e-07,2.3340420304663351e-06,2.3340373617816415e-06,0.0010666408037318443,-0.03389968348979007,-3.2118147396580534,0.0021216080543104126,0.030778173868222913,-3.1700283032405663,0.00043653763018290751,-0.03389968348979007,-3.2118147396580534,0.0021216080543104126,0.030778173868222913,-3.1700283032405663,0.00043653763018290751,0.03389968348979007,3.2118147396580534,-0.0021216080543104126,-0.030778173868222913,3.1700283032405663,-0.00043653763018290751
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,2,5.6135792282667184e-12,5.3266037194758916e-12,5.3193558498948468e-12,5.6135789246054068e-12,2,3.0445090892783355e-13,410165,0,-0.077378270355212081,-0.00013156460682214091,0.31543974891697368,0.99999997011832042,0.00021703287949063988,-3.8037945438906161e-07,0.00011251641127641708,-2.3066204514092561e-06,-0.005670576616212071,-1.7625609770050328e-05,0.018628669307333947,-4.6672358530969253e-05,0.0057697080827092979,-0.97151035314474854,1.6386994675547399,0.00080045318590674401,-0.98383138995541319,1.6400672462057355,-0.00096461529767242799,0.020342381318504785,-0.029180166007701264,0.024481448653866374,-0.017102852112932821,0.028176823481767511,-0.041586777446742294,1.4904919617133883e-05,0.00018213398572403434,-0.19713833715595991,0.00048574255821858523,-0.036643543919404373,-0.26169683268329141,0.37522801217339719,0.22109058050938069,-0.36210574770824988,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.001238886701582695,0.051787023981212599,-0.00080966120398684015,-0.19198524784970442,-0.0010320053642066968,-0.033089633585955652,-0.26388992644265868,0.34678650923234977,-0.01699100236218867,0.23240648613142689,-0.33179057363506326,0.10485131354784789,-0.0339578410129317,-3.2109029046334419,0.0025695946686892946,0.030813369618319847,-3.17054229322056,0.00078360833500059745,-0.013527247932186917,0.12051495704789406,31.570990396642905,-0.042676607445228693,0.0051421882383458125,-0.0025587868283333324,0.015673672983585806,0.12481421186951128,31.548025161996151,-0.043213904982953369,-0.00014446574679682044,-0.0025858696520521035,0.00054924747378778157,0.068181734348283993,-0.0006440185826298891,-0.00014655835115601283,0.00018529874389994861,-0.00044241575294305029,0.00054951498635333611,0.068181668952947486,-0.00063641993151114431,-0.00014655781376415623,0.00018530025026754202,-0.00044241572797741726,0.00084807322226142907,0.00012239817819655611,9.9179518971087452e-05,0.00025765446531277465,0.00060630348146373247,0.0013636360507298451,0.0013636346869656799,2.5452355996634723e-06,1.4981314025835902e-08,9.8365769833362958e-09,1.0372041703116142e-07,7.4431529956705926e-07,3.8000675207497954e-06,3.8000599199080661e-06,0.0013636346869656799,-0.0339578410129317,-3.2109029046334419,0.0025695946686892946,0.030813369618319847,-3.17054229322056,0.00078360833500059745,-0.0339578410129317,-3.2109029046334419,0.0025695946686892946,0.030813369618319847,-3.17054229322056,0.00078360833500059745,0.0339578410129317,3.2109029046334419,-0.0025695946686892946,-0.030813369618319847,3.17054229322056,-0.00078360833500059745
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,2,5.0567376420008294e-12,4.8910968999909926e-12,4.8950476918413477e-12,5.0567380217362876e-12,2,4.1641690096128059e-13,404008,0,-0.077378246689432967,-0.00019440593618078272,0.31543950969153878,0.99999993890376015,0.00031977595252247074,-6.9611640716230391e-07,0.0001411925342706897,5.0499165848207018e-06,-0.0066762879164491799,-2.8180754213637702e-05,0.021773059031944274,-7.3619782204933503e-05,0.0057057613352458902,-0.97128793304370409,1.6383794492214805,0.0010458525305998179,-0.98401312046233036,1.6403776291396626,-0.001442902915212212,0.02350013109615318,-0.033797932513962667,0.024183765454059633,-0.018761705226773062,0.032879967011476691,-0.052468666675321782,-2.9447294612273377e-05,0.00029366606603255696,-0.23371938827118477,0.00077100364311628519,-0.036776033680105756,-0.30759695365267242,0.44216187024587433,0.24753911612448154,-0.42971725568613361,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0018824372879677428,0.061000926853126823,-0.00095288672537985179,-0.22731253644195401,-0.0016061006481034091,-0.032566921643292897,-0.3083034174666156,0.40956872172694919,-0.024140230912245063,0.26253737235062863,-0.39292286863883097,0.1679000517385093,-0.033922179224206365,-3.2098891270872256,0.0030739059287397267,0.030751094114269815,-3.1711031658011715,0.0012800985016757592,-0.013080723733721142,0.14183235634491984,31.570869872303327,-0.051372146173023832,0.0056639926215366941,-0.0023515065312654164,0.016120270302365385,0.14613632108695299,31.547908592805772,-0.051959924929747894,0.00036008287056388114,-0.0024918236761640195,0.00078313192146761007,0.082084078086615803,-0.00072521659465189391,-0.00011612238331171704,0.00028798785471899113,-0.00052173101182098223,0.00078342826870239082,0.082084009161455196,-0.00071609215344365664,-0.00011612179546117907,0.00028798949505430224,-0.00052173087468095178,0.0010441266392664102,0.0001911884582580016,0.00012465527914124088,0.00032034259146153794,0.00073588774094605295,0.0016416832035331993,0.0016416815617323161,3.6695670304452044e-06,3.6553026571071623e-08,1.5538938617780682e-08,1.6103749827873876e-07,1.0566348118035983e-06,5.509109504125355e-06,5.5090984851238826e-06,0.0016416815617323161,-0.033922179224206365,-3.2098891270872256,0.0030739059287397267,0.030751094114269815,-3.1711031658011715,0.0012800985016757592,-0.033922179224206365,-3.2098891270872256,0.0030739059287397267,0.030751094114269815,-3.1711031658011715,0.0012800985016757592,0.033922179224206365,3.2098891270872256,-0.0030739059287397267,-0.030751094114269815,3.1711031658011715,-0.0012800985016757592
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,2,4.498478324810353e-12,4.4382243814247156e-12,4.443822913813289e-12,4.4984775603101785e-12,2,5.7881477388832536e-13,408197,0,-0.077378114937679904,-0.00026644527867194785,0.31543915299831282,0.99999989022717006,0.00043683305820970498,-1.172262962616447e-06,0.00016947316362959569,1.8022173130866385e-05,-0.0075383444429864555,-4.0722481012193781e-05,0.024448363012216277,-0.00010882669453878233,0.0056160858081058711,-0.97103673963882986,1.6380174921690283,0.0012850864254579861,-0.98420780228464366,1.640731356793153,-0.0020366773396937087,0.026195014485242824,-0.037709419234302537,0.023337668112135109,-0.019805218453048917,0.036970157438879686,-0.064544214497294305,-0.0001084665996661146,0.00042800066466701207,-0.26632528383185478,0.001146880095663356,-0.036747031905589249,-0.34897851689722037,0.50213016477823313,0.2670698204430707,-0.49153373634062392,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0025944487051403195,0.069033215112297416,-0.0010672239492126854,-0.25885247455969629,-0.0022086111677464375,-0.031708745416115292,-0.34818216481230541,0.46557176720615984,-0.03029649975157073,0.28645037779600874,-0.44794260742226966,0.24091420643460329,-0.033816218260792542,-3.2088028402657591,0.003616209828540233,0.030615974900719194,-3.1716887013798347,0.0019301343128445381,-0.012672860269724815,0.16022587060641252,31.570827090192548,-0.059389695038491286,0.0062224430918669752,-0.00220971021554976,0.016528125684248742,0.16453521188620995,31.547869657227146,-0.059992878039942299,0.0010118993381176518,-0.0024584262464221558,0.0010030075554197733,0.094976384596444641,-0.00077403502521474084,-5.6908441577021867e-05,0.00040447833554118137,-0.0006211745385146252,0.0010032882675592412,0.094976317460292392,-0.00076350619111272705,-5.690783835235637e-05,0.00040447983371919222,-0.00062117429410876691,0.0012386456271799595,0.00027029153048064344,0.00014952246138796974,0.00037364046360792436,0.0008718225783670852,0.001899529591565338,0.0018995276919288929,4.9513134883360935e-06,7.3057511449568604e-08,2.2356966459516901e-08,2.3121632696723279e-07,1.4451772533472099e-06,7.3945623140220328e-06,7.3945475240723486e-06,0.0018995276919288929,-0.033816218260792542,-3.2088028402657591,0.003616209828540233,0.030615974900719194,-3.1716887013798347,0.0019301343128445381,-0.033816218260792542,-3.2088028402657591,0.003616209828540233,0.030615974900719194,-3.1716887013798347,0.0019301343128445381,0.033816218260792542,3.2088028402657591,-0.003616209828540233,-0.030615974900719194,3.1716887013798347,-0.0019301343128445381
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,2,3.9214083246556818e-12,3.9746483340416884e-12,3.9788094693959941e-12,3.92140759827199e-12,2,8.0896400689312031e-13,398938,0,-0.077377814871612979,-0.00034622417911512655,0.3154386607673989,0.99999982044508329,0.00056585286902052247,-1.8510729358647791e-06,0.00019727368174579695,3.7275785959034019e-05,-0.0082533935953931301,-5.495158610457735e-05,0.02665250654871823,-0.00015261924983879502,0.0055150466212071769,-0.97076130106167891,1.6376206884551072,0.0015126458169698659,-0.98440958462334127,1.6411222045392404,-0.0027563565151679723,0.028441842014731118,-0.040908252609719323,0.021933669724054403,-0.020281934893368374,0.040430076479851834,-0.077554885604726842,-0.00022668887123744049,0.0005825974884387903,-0.29481771063156964,0.0016187461507206772,-0.036641206211196174,-0.38585623602851427,0.55480109898439189,0.28005458192001809,-0.54712328369143759,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0033562642829710497,0.075861595925970832,-0.0011515770150415353,-0.28646619654911915,-0.00281422282252972,-0.030634282778504413,-0.38353023321811108,0.51452611338742238,-0.034194454347873736,0.30438638777222354,-0.49654380607566262,0.32195174141384258,-0.033657553912419799,-3.2076708400921694,0.004183776231826807,0.03042643085118377,-3.1722772437740665,0.0027363796658369387,-0.012336563688346446,0.17566059779991722,31.570861981638103,-0.066676015552620732,0.0068027823948445219,-0.0021335248533762802,0.016864327949575868,0.17997587398896292,31.547908251334199,-0.067259367536318185,0.0018125812844727235,-0.0024733783082009921,0.0011937731388022622,0.10676699155975117,-0.00079007120767366412,2.8784204323562207e-05,0.000532284150640192,-0.00073662921976036424,0.0011939902483314123,0.10676693145540411,-0.00077826834233267711,2.8784787692033548e-05,0.00053228518484688722,-0.00073662888529296732,0.0014292125933450337,0.00035829531542084901,0.00017341745034803256,0.00041757570412252477,0.0010115895523154993,0.0021353419666324054,0.0021353398311950234,6.3559502438455962e-06,1.2837553305252569e-07,3.0073612085212339e-08,3.1370532628347753e-07,1.9111220343296825e-06,9.3855671963166467e-06,9.3855484243481734e-06,0.0021353398311950234,-0.033657553912419799,-3.2076708400921694,0.004183776231826807,0.03042643085118377,-3.1722772437740665,0.0027363796658369387,-0.033657553912419799,-3.2076708400921694,0.004183776231826807,0.03042643085118377,-3.1722772437740665,0.0027363796658369387,0.033657553912419799,3.2076708400921694,-0.004183776231826807,-0.03042643085118377,3.1722772437740665,-0.0027363796658369387
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,2,3.9454113804140989e-12,3.4883961485155389e-12,3.4873120016709613e-12,3.9454391359897145e-12,3,2.7755575615628914e-17,405183,0,-0.077377280754109323,-0.00043226490617131167,0.31543801809280719,0.9999997266355074,0.00070447926403618868,-2.7755742370693413e-06,0.00022456663508066033,6.3287997614883639e-05,-0.0088204371910495117,-7.0540779125439457e-05,0.028385915763857683,-0.0002050770328156126,0.0054122946440429412,-0.97046601514221242,1.6371962144692338,0.0017225263371662503,-0.98461303672139111,1.6415437565069024,-0.0036096539345349867,0.030254095900571615,-0.043386804184116209,0.019902600795474634,-0.020231280637782144,0.043241410994041246,-0.091227355118067385,-0.00038756919870544277,0.00075455628344018558,-0.31908312405004691,0.0021895490526553183,-0.036515967664040833,-0.41823357575939357,0.59982478136859751,0.28677100638277753,-0.59603516869754347,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0041527814593679867,0.081469085409550668,-0.0012064256647269709,-0.31002851451766666,-0.0034037790277044303,-0.029433998406747302,-0.41433521752288127,0.55616374248777822,-0.03467206999727928,0.31650932868371845,-0.5384122125704498,0.40929380442975544,-0.033461157819630008,-3.2065171314298331,0.0047680298888862953,0.030198080381566437,-3.1728483944409618,0.0036993866517794219,-0.012098512524880346,0.1881145485220273,31.570971808684622,-0.073182136017434923,0.007394763164347176,-0.0021219908068822297,0.017102197162174457,0.19243620925725438,31.548021603370419,-0.073711469423589845,0.0027618626790514899,-0.0025259276375576342,0.0013434562722362232,0.11737054563762128,-0.00077383095269607631,0.00013821206099597387,0.00066937392536851523,-0.00086417423789866734,0.001343560118425991,0.11737049754168487,-0.00076089261611435213,0.00013821259031807261,0.0006693741448449387,-0.00086417384021494903,0.0016133923588084326,0.00045403506580734296,0.00019609819481671565,0.00045273047661901209,0.0011524591225418733,0.0023474132602491196,0.0023474109127524256,7.8405634055762476e-06,2.0614784098267826e-07,3.8454502010374561e-08,4.0856390339915673e-07,2.4505025596768799e-06,1.1411076938730722e-05,1.1411054115765683e-05,0.0023474109127524256,-0.033461157819630008,-3.2065171314298331,0.0047680298888862953,0.030198080381566437,-3.1728483944409618,0.0036993866517794219,-0.033461157819630008,-3.2065171314298331,0.0047680298888862953,0.030198080381566437,-3.1728483944409618,0.0036993866517794219,0.033461157819630008,3.2065171314298331,-0.0047680298888862953,-0.030198080381566437,3.1728483944409618,-0.0036993866517794219
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,2,4.2995475886195567e-12,2.994806429011224e-12,2.9986798634473733e-12,4.2995811988869037e-12,3,2.7755575615628914e-17,400008,0,-0.077376442983367572,-0.00052309333337216698,0.31543721342214742,0.99999960683238776,0.00085037402267009268,-3.9884791600297459e-06,0.00025136265420462248,9.6387129694315966e-05,-0.009240730039925843,-8.7149935915427395e-05,0.029654469016522838,-0.00026608272810960164,0.00531420572669825,-0.97015512387030045,1.6367512718587403,0.0019079620766035662,-0.98481311347182676,1.6419894621849149,-0.004601621476161913,0.031649384535582234,-0.04514667904450196,0.01716553812865677,-0.019691999360784765,0.04539456731584101,-0.10530080223267199,-0.00059370392785780231,0.00094076461783433639,-0.3390633968710593,0.0028602512652331881,-0.036409762728838724,-0.446169125168352,0.63696121367099434,0.28750239407449246,-0.63791844896759053,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0049710684712603887,0.085853997318291936,-0.001233747939214784,-0.32946774389753902,-0.0039621543533145346,-0.028178543449227489,-0.44063564585087717,0.59032046287061868,-0.030690523091421278,0.32299712754120191,-0.57332492386902456,0.50138517558841977,-0.033240337369121631,-3.2053627563867488,0.0053635482468052569,0.029944767648456494,-3.1733835975033013,0.0048172885878397693,-0.011981001435318666,0.19760172227254133,31.571151197111558,-0.078870569449556588,0.0079915436303045484,-0.002173080903824399,0.017219440592578138,0.20193010899856534,31.548204309420264,-0.079313954213646565,0.0038572403523708929,-0.0026059459696821472,0.001442258207578641,0.12672025371514314,-0.00072679647610103038,0.00026844793927217821,0.00081397362094420519,-0.00099999923924314212,0.001442199113520353,0.12672022214790823,-0.00071286738870246524,0.00026844838262474083,0.00081397266083670181,-0.00099999881312705786,0.0017892163005034055,0.00055647723991181903,0.00021745125570491204,0.00047978264867601372,0.0012918705019713194,0.0025344076087815488,0.0025344050743028629,9.3586468373869306e-06,3.0966691853987618e-07,4.7285048607643038e-08,5.159368631031593e-07,3.0552714468445924e-06,1.3403597070418314e-05,1.340357026246428e-05,0.0025344050743028629,-0.033240337369121631,-3.2053627563867488,0.0053635482468052569,0.029944767648456494,-3.1733835975033013,0.0048172885878397693,-0.033240337369121631,-3.2053627563867488,0.0053635482468052569,0.029944767648456494,-3.1733835975033013,0.0048172885878397693,0.033240337369121631,3.2053627563867488,-0.0053635482468052569,-0.029944767648456494,3.1733835975033013,-0.0048172885878397693
