scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,6,1.1709330172138266e-09,4.5498450081740272e-10,4.5498203164102228e-10,1.1709331282361291e-09,2,1.4849232954361469e-13,975979,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,-0.001,0,0,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,0.0060000000000000001,-0,-0,-0,-0,0,0,0,0,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0036847747738602923,-2.2683243318714226e-06,0.00022047351327483664,1.2020598953527612e-05,0.0016291834427625722,5.5768846296820334e-06,-0.0050835783335118831,-0.0026151798148349643,-0.018566977673469928,-0.0050592562110267037,-0.0026766142915877738,-0.018373210911867426,-0.032825407758471287,-3.213015639896871,0.0037432278662691029,0.02963127184889864,-3.1682119000502751,0.0024993486301092848,-0.0048466438782524867,-0.002149572604047665,31.572856490664584,0.00027718827599695396,0.0067897853789521956,-0.0010623107561631533,0.024353724371959755,0.0021402296688358725,31.549874187287735,0.00055548037381483793,0.0020216642132719169,-0.005349969465992907,0.0048767673332676372,-2.4323807844380566e-06,0.00031666534532889313,-3.4964795479875525e-07,-0.00014632629461402928,-2.7517263752337412e-07,0.0048767678102105121,-2.2390827729346725e-06,0.00031667344874505431,-3.5065940381873304e-07,-0.00014632628812907844,-2.7071046325010088e-07,8.0603330146602175e-06,0.00023152252261397077,2.2047351327483664e-05,8.1459172138128615e-05,0.00010167156667023767,9.7535458270316193e-05,9.7535356204210246e-05,1.128628043689022e-10,5.3602678477536606e-08,4.8608570055749564e-10,6.6360357165327055e-09,2.6176908644646356e-08,2.5958276161557431e-08,2.5958223346700976e-08,9.7535356204210246e-05,-0.032825407758471287,-3.213015639896871,0.0037432278662691029,0.02963127184889864,-3.1682119000502751,0.0024993486301092848,-0.032825407758471287,-3.213015639896871,0.0037432278662691029,0.02963127184889864,-3.1682119000502751,0.0024993486301092848,0.032825407758471287,3.213015639896871,-0.0037432278662691029,-0.02963127184889864,3.1682119000502751,-0.0024993486301092848
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,2,7.7099469470039019e-12,6.5182945662377936e-12,6.5239985180647053e-12,7.7099466862170158e-12,2,1.4999113062685865e-13,443899,0,-0.077387920161385418,-8.1518969171368936e-06,0.31544000511391934,0.99999999986680244,1.5779596212636352e-05,6.1784384853539559e-08,4.1707816498358231e-06,-0.00096122800536433035,-0.0014822670196911647,3.5359052348542904e-06,0.0051559223484805771,2.1038681208145249e-05,0.001347316125043884,-0.97196715920148069,1.639340872153118,0.00017279712557586934,-0.98343485196608404,1.6394507018344144,0.00011840603635411185,0.005069385422690414,-0.008853222924032067,0.026565145301628037,-0.0071450458446649014,0.0080091796437498693,0.017865739657470455,0.0058552814846546926,-3.5886087966468346e-05,-0.052348203295472621,-0.00021347603132426663,-0.0081589708199636818,-0.061975863891161539,0.10821412962775789,0.087321537674316274,-0.097898424284479202,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0025825303528589231,0.014316611869371642,0.00011395214280162321,-0.052084154791963377,0.002713944793521242,-0.0083370432092356433,-0.070016739377069245,0.094948949587652584,-0.043046668744532217,0.077421323630514557,-0.095258151608105093,-0.071709828467057007,-0.033491081295752255,-3.2129495606177279,0.0030861622858214654,0.030342894904694943,-3.1686621568932378,0.0017346231534989048,-0.0060694268651613698,0.031966933489664409,31.572501567860169,-0.010844644947432451,0.0060683616212293357,-0.00095922173340662787,0.023131147645940126,0.036257137696514521,31.549523326155711,-0.01072171612092759,0.0012233886708091764,-0.0045903273987887693,0.0042634276504180998,0.017554013487040533,0.00013869130064879398,-5.5290634051399384e-05,-0.00030139858596415245,1.9930600616321117e-05,0.0042635326760390559,0.017554044608173537,0.00014066435497385869,-5.5290756888627844e-05,-0.00030139838681383024,1.993423108436079e-05,0.00025840888009568726,0.00032727511317957696,1.4983823076809154e-05,0.00014637104124227545,0.00026530360080210619,0.00035108124340425985,0.00035108089216347074,2.0920622373331858e-07,1.0710899970670491e-07,2.2451495399711855e-10,2.167806018441414e-08,1.3824238319799047e-07,2.9124768168391714e-07,2.9124709896121741e-07,0.00035108089216347074,-0.033491081295752255,-3.2129495606177279,0.0030861622858214654,0.030342894904694943,-3.1686621568932378,0.0017346231534989048,-0.033491081295752255,-3.2129495606177279,0.0030861622858214654,0.030342894904694943,-3.1686621568932378,0.0017346231534989048,0.033491081295752255,3.2129495606177279,-0.0030861622858214654,-0.030342894904694943,3.1686621568932378,-0.0017346231534989048
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,2,6.6858079656405348e-12,5.9311512500287628e-12,5.9306266494973947e-12,6.6858081659307396e-12,2,1.7399970353437766e-13,416381,0,-0.077397372702760078,-3.132102028323897e-05,0.31544005100957845,0.99999999837850906,5.5252149864551377e-05,2.5223715690714385e-07,1.3788316780519257e-05,-0.00093442746987195161,-0.0028590933877413478,5.2933568672698506e-06,0.0096522591038615199,5.0033477946855534e-05,0.0022768415622773119,-0.97189063753559735,1.6392086776350414,0.00052063385489751861,-0.98353886788072686,1.6395710282203342,0.00032936403938837262,0.0092721597511295946,-0.015974158029510493,0.039420625669231296,-0.012456519648953257,0.014574121963354831,0.022612277011971695,0.0057795511440723642,-5.4607995768286689e-05,-0.09928519853333595,-0.0005129466373207292,-0.013909239075847365,-0.11516393580423211,0.19842435354425503,0.15480379625291801,-0.18100948201284955,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0019617645802905478,0.026817795254883349,-7.7336273113903378e-07,-0.097860717720125945,0.0031426200433693173,-0.014030597397648878,-0.12519535657430636,0.17770844040506467,-0.066327270704303345,0.14251739281262737,-0.17415031388286331,-0.098814853149814599,-0.033923305322899396,-3.2126701655322725,0.0026959913976426241,0.030799156662461562,-3.1691658010231318,0.0011561138616056205,-0.0066459047004891322,0.061625136108196074,31.57218808654838,-0.021026752306672586,0.0056474069158718001,-0.00080182895624752309,0.022554885661345992,0.065917115810976035,31.549213761001084,-0.021040846367166088,0.00063439697536947233,-0.0040667309328900943,0.00396919786489041,0.033629336619281212,-2.1039592052993623e-05,-0.0001035326504095749,-0.00038784633614212267,1.0964498791441373e-05,0.0039694151752403409,0.033629348682788267,-1.7272298407839596e-05,-0.00010353263622422777,-0.00038784568093038309,1.0967762857382497e-05,0.00044846220058689177,0.00038177865637818167,5.383463303714766e-06,0.00018277833403450235,0.00041431826278380714,0.00067258764638821215,0.00067258697365576536,6.7830698899461369e-07,1.4575494246592971e-07,2.8981677142443502e-11,3.8517602966112909e-08,2.9111294271590457e-07,9.6895711281841787e-07,9.6895517451218386e-07,0.00067258697365576536,-0.033923305322899396,-3.2126701655322725,0.0026959913976426241,0.030799156662461562,-3.1691658010231318,0.0011561138616056205,-0.033923305322899396,-3.2126701655322725,0.0026959913976426241,0.030799156662461562,-3.1691658010231318,0.0011561138616056205,0.033923305322899396,3.2126701655322725,-0.0026959913976426241,-0.030799156662461562,3.1691658010231318,-0.0011561138616056205
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,2,6.0193147061146136e-12,5.5131405089934396e-12,5.5119855077792601e-12,6.0193143743093089e-12,2,2.1527224447481785e-13,420293,0,-0.07740660145366339,-6.7533338347979766e-05,0.31544010299014497,0.99999999294195685,0.00011566807711822228,5.8954863704012042e-07,2.714101007437669e-05,-0.00091496087523571315,-0.0041133617577068975,5.1385275082739697e-06,0.013645368295791011,7.9785159533329089e-05,0.0029098785611036261,-0.97177495861977414,1.6390118914416356,0.00095741650971345308,-0.98368790554536756,1.6397516820957454,0.00054692583304740642,0.013040479744868756,-0.022043353741533201,0.046117429905525441,-0.016443510892042677,0.020299704785177432,0.020915395582728154,0.0057458103343847391,-5.4359216341272485e-05,-0.14223708682742772,-0.00082732902725464799,-0.017947809549109912,-0.16454821669873734,0.27833900505113618,0.20801304709705606,-0.25622001538952466,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0017692963853030643,0.038033216372577915,-0.00013793612423719487,-0.13941246173105185,0.0030370088877099198,-0.017832368174781756,-0.17545043911762598,0.25180170251626799,-0.086083420497523697,0.1953398874955079,-0.24493027761194852,-0.10249882977885791,-0.034197491562258278,-3.2121779713826863,0.0025497916590205409,0.031078438403331233,-3.1697123558945277,0.00079049541530467487,-0.0067038741378756634,0.08807233782850403,31.571891980330633,-0.030572992517694804,0.0054961410301421036,-0.00059231247269861224,0.022497122457156748,0.092367059879278596,31.548921515059643,-0.030716146708197327,0.0002760983703796393,-0.0037210387807321815,0.0039296387516804445,0.048760358065040879,-0.00017620314998134163,-0.00013006558524989172,-0.00041179173411569575,-1.9186741709445705e-05,0.0039299668716475155,0.048760353689260003,-0.00017075532283805417,-0.0001300654419994772,-0.00041179049830433918,-1.9183614296001171e-05,0.00060387208919511948,0.00039765139490816753,8.3576907895922403e-06,0.0001932168957482284,0.00053074605069736375,0.00097520813664165543,0.00097520716130081761,1.3337057186724512e-06,1.5812663187241141e-07,6.9850995334434959e-11,5.7312352917539775e-08,4.4446161314831264e-07,1.9742348056392461e-06,1.974230856647778e-06,0.00097520716130081761,-0.034197491562258278,-3.2121779713826863,0.0025497916590205409,0.031078438403331233,-3.1697123558945277,0.00079049541530467487,-0.034197491562258278,-3.2121779713826863,0.0025497916590205409,0.031078438403331233,-3.1697123558945277,0.00079049541530467487,0.034197491562258278,3.2121779713826863,-0.0025497916590205409,-0.031078438403331233,3.1697123558945277,-0.00079049541530467487
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,0,0,1,2,2,0,0,0,2,5.4522142519125982e-12,5.120364204557212e-12,5.1249705434325277e-12,5.4522141406402622e-12,2,2.7916557954199561e-13,408126,0,-0.077415653026967804,-0.00011548902844605965,0.31544014103404672,0.99999998013327607,0.00019463572027849055,1.0629003913740064e-06,4.3002951885186842e-05,-0.00089841684189782606,-0.005233270603339139,2.9266802231937158e-06,0.017168694886610457,0.00010533751866236498,0.0033293484173541328,-0.9716239462814058,1.6387593426183007,0.0014421324327219345,-0.98387072510443208,1.6399856339072509,0.00072512842224562086,0.016433120321104458,-0.027307698865238098,0.049774918899218631,-0.019422493992155926,0.025381203563009262,0.015575267728466131,0.0057280102940971411,-3.319184103424759e-05,-0.18141873494447536,-0.0011065202065442892,-0.020750143643184126,-0.21069634779482599,0.35060290417565204,0.25034234842473768,-0.32562026593770599,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.00188006953187897,0.048087845195519438,-0.00028331503773150674,-0.17725098795132457,0.0025883931177826257,-0.020239099227867197,-0.22165803354961119,0.31906123837791617,-0.10340040338995922,0.23874346069931099,-0.3093658456482471,-0.087521534741781676,-0.03435044894949274,-3.2115114019719657,0.0025787219742881549,0.031223468357283821,-3.1703041832861709,0.00061076625657461886,-0.0064327499330192614,0.11160833636195799,31.571627988484547,-0.039521290721447895,0.0055363909349713802,-0.00036498782846428426,0.022768421863018445,0.1159066585232246,31.548661321337168,-0.039778943830904474,0.00011349020912130033,-0.0035042275237071822,0.0040504216347176849,0.063021454510858471,-0.00032051131842034938,-0.00012870648432150523,-0.00039032319302083676,-6.7650329756387091e-05,0.0040508481052356589,0.063021436900095942,-0.0003134900428805937,-0.00012870622657321451,-0.00039032136781324639,-6.7647192608504339e-05,0.00076821536567631588,0.0003847940762218171,2.5012319669725915e-05,0.00020838734965753918,0.00063083331595471749,0.0012604303507704495,0.0012604290902171694,2.1649415498737196e-06,1.4806648109540158e-07,6.2561613526055787e-10,7.8209164669081485e-08,6.0551024451845961e-07,3.2460929158667878e-06,3.2460864230608577e-06,0.0012604290902171694,-0.03435044894949274,-3.2115114019719657,0.0025787219742881549,0.031223468357283821,-3.1703041832861709,0.00061076625657461886,-0.03435044894949274,-3.2115114019719657,0.0025787219742881549,0.031223468357283821,-3.1703041832861709,0.00061076625657461886,0.03435044894949274,3.2115114019719657,-0.0025787219742881549,-0.031223468357283821,3.1703041832861709,-0.00061076625657461886
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0.01,0,0,1,2,2,0,0,0,2,4.8932614089669457e-12,4.6990861721691736e-12,4.6997176116059247e-12,4.893261172125284e-12,2,3.7345126990828703e-13,401318,0,-0.0774245373709221,-0.00017379168715305439,0.31544014455915581,0.99999995617504955,0.00028980690895353135,1.6425590361760391e-06,6.0490957049999192e-05,-0.00088162168074848825,-0.0062103941447900204,-1.3440812519923821e-06,0.02022041794648597,0.00012371324394239497,0.003595084732207674,-0.97144147959875193,1.6384585670003016,0.001953194906567582,-0.9840784124474049,1.6402667542431253,0.00083613762514266911,0.019419572970753501,-0.031839248163859343,0.051759469802692686,-0.021579170602464625,0.029858501389619235,0.007932347107567881,0.0057071984227897807,9.4276459902754843e-06,-0.21669452512421583,-0.0013192603924325028,-0.022659345636052108,-0.25310258016615383,0.41580941800707555,0.28369921209546389,-0.38946817194850236,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0021914157638385392,0.056976416466056536,-0.00042105087567101125,-0.21135381521293539,0.0019449063957344939,-0.021605019075011105,-0.26361885907895666,0.37972406057231617,-0.11925387878736281,0.27424046919647593,-0.36774334151430904,-0.057969495791993862,-0.034404449770071552,-3.2107133087096154,0.0027229369587788415,0.031261271498549834,-3.1709369950547419,0.00059176609753345253,-0.0059814468020151649,0.13223398021070207,31.571414461342464,-0.047826666281555769,0.0057011633997681747,-0.0001507274714025688,0.023219850600628113,0.13653665374859769,31.548451495940995,-0.048176035880121953,0.00011514669934200398,-0.0033832496672256862,0.0042580619775547824,0.076338911796132419,-0.00044533276319846634,-9.8190598129104683e-05,-0.00033762143295985414,-0.00013300331864009258,0.0042585643499642905,0.076338884981907926,-0.00043685323538065037,-9.8190248679557151e-05,-0.00033761910532319515,-0.00013300008925425241,0.00095568663535301344,0.00035157826589512413,4.3047852166128674e-05,0.00026703549556402194,0.0007217071486951876,0.0015267797628149829,0.0015267782359226483,3.1600409866518957e-06,1.2360727704982261e-07,1.8531175761168691e-09,1.0072392918684528e-07,7.8967248719592515e-07,4.7219954628991692e-06,4.7219860182230667e-06,0.0015267782359226483,-0.034404449770071552,-3.2107133087096154,0.0027229369587788415,0.031261271498549834,-3.1709369950547419,0.00059176609753345253,-0.034404449770071552,-3.2107133087096154,0.0027229369587788415,0.031261271498549834,-3.1709369950547419,0.00059176609753345253,0.034404449770071552,3.2107133087096154,-0.0027229369587788415,-0.031261271498549834,3.1709369950547419,-0.00059176609753345253
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0.01,0,0,1,2,2,0,0,0,2,4.3141732867931934e-12,4.2339345715490107e-12,4.2383028510395437e-12,4.3141717642183835e-12,2,5.0870418988324673e-13,414551,0,-0.077433239182670116,-0.00024097728404069772,0.31544009381938631,0.99999991735890537,0.00039879841764570221,2.2878657879634994e-06,7.8973221859486868e-05,-0.00086247259804533914,-0.00703901047339803,-7.5342547697031057e-06,0.022792013914843392,0.00013328736120424723,0.0037515001120618911,-0.97123181747507648,1.6381168223907161,0.0024777556537864489,-0.98430344078258969,1.6405889443984809,0.00086162363130168774,0.021963500541633412,-0.035645309422200233,0.052685997040709087,-0.023025733290417592,0.033718412287078663,-0.0012631936179761597,0.0056706202323030287,7.2597875404810201e-05,-0.2478600605800047,-0.0014472669045918431,-0.023930518705000715,-0.29117754746902924,0.47378495905224316,0.30915898441755174,-0.44738594831081768,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0026325909294936303,0.064660826312253214,-0.00053951073458472333,-0.24154688670937521,0.0012051550798870864,-0.022197376164779695,-0.30095887316183167,0.43349964678036351,-0.13392661069272033,0.30263901795606196,-0.41982502527617749,-0.017041601097229627,-0.034376535813936446,-3.2098228091530046,0.002939209048348749,0.031212115864116763,-3.1715992562837347,0.00071799671810871219,-0.0054525397867924959,0.14987690684777091,31.571264793211906,-0.05542414000015216,0.0059422468117904274,2.9238467487260681e-05,0.023748819321601503,0.15418457457129334,31.548305392581895,-0.055836381708056222,0.00026133941690974558,-0.0033363810374148215,0.0045025834562904665,0.088601314587470698,-0.0005439872831246431,-3.9705262571167181e-05,-0.00026346179538674653,-0.00021380536013872287,0.0045031311745951947,0.088601283194332664,-0.00053417615827333165,-3.9704850271109026e-05,-0.0002634591295809862,-0.00021380199889567501,0.0011405977168141993,0.00030380293028093984,6.1210860998953359e-05,0.00031565869353147451,0.00080570624543759299,0.0017720280638788713,0.001772026291749414,4.2939574377643883e-06,9.2296220447285593e-08,3.7467695042331891e-09,1.2473822442317462e-07,1.0082780633327386e-06,6.3339618610158246e-06,6.3339491923763632e-06,0.001772026291749414,-0.034376535813936446,-3.2098228091530046,0.002939209048348749,0.031212115864116763,-3.1715992562837347,0.00071799671810871219,-0.034376535813936446,-3.2098228091530046,0.002939209048348749,0.031212115864116763,-3.1715992562837347,0.00071799671810871219,0.034376535813936446,3.2098228091530046,-0.002939209048348749,-0.031212115864116763,3.1715992562837347,-0.00071799671810871219
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0.01,0,0,1,2,2,0,0,0,2,3.7109669398293589e-12,3.742571426410012e-12,3.7409910239039057e-12,3.7109662140147674e-12,2,6.9810823788429843e-13,406658,0,-0.077441726670617009,-0.00031553943178982616,0.31543997111074901,0.99999986041382161,0.00051919023022640716,2.9525735411456083e-06,9.800573247976019e-05,-0.00083961451235259332,-0.0077158502661343383,-1.5396752572793572e-05,0.024877537489090426,0.00013329691296324174,0.0038319356999764959,-0.9709995084701285,1.6377414208983856,0.0030069053083082134,-0.98453916793954832,1.6409458840695506,0.00078908387700415191,0.024043342755148318,-0.038715777701477286,0.052824896685646355,-0.023837262961380314,0.036936166410311076,-0.011520231169276564,0.0056098591096685885,0.00015429056936838459,-0.27473488761008769,-0.0014805978135586726,-0.024755717466576139,-0.32449877820933515,0.5241450321274661,0.32738351811961519,-0.49884882594811386,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.003156714628008738,0.071104931291189388,-0.00063169384793262582,-0.26764713428391063,0.00043206643675515249,-0.022224634546487761,-0.33338705974273058,0.47999836346961933,-0.14714503271568397,0.32441383032012006,-0.46524841027825881,0.032715646480047572,-0.034281873461703451,-3.2088739636441033,0.003197947031680283,0.031093268554125669,-3.1722750793470187,0.00098086858262030072,-0.004914872834535281,0.16447112658808075,31.571186172027399,-0.062250886537587209,0.0062265915771907683,0.00016213635923542725,0.024286474287105574,0.1687843206008677,31.548230159704733,-0.062693829388457828,0.00054075382390132536,-0.0033483991230658346,0.0047510437470222747,0.099699281569242224,-0.00061241023363949,4.4440314929832058e-05,-0.00017431514807619188,-0.00030814508171896798,0.0047516002833237758,0.099699250476911375,-0.00060140505270848564,4.4440757901891882e-05,-0.00017431236806093598,-0.0003081415768990092,0.0013204120739775875,0.00024531444816598507,7.8598441730101033e-05,0.00035438766630885299,0.0008829333731569355,0.0019939876254619266,0.0019939856313848443,5.5300631399463721e-06,6.0179178478981775e-08,6.1777150424000872e-09,1.5075228123881407e-07,1.2662947524064484e-06,8.0110657006425447e-06,8.0110496777986095e-06,0.0019939856313848443,-0.034281873461703451,-3.2088739636441033,0.003197947031680283,0.031093268554125669,-3.1722750793470187,0.00098086858262030072,-0.034281873461703451,-3.2088739636441033,0.003197947031680283,0.031093268554125669,-3.1722750793470187,0.00098086858262030072,0.034281873461703451,3.2088739636441033,-0.003197947031680283,-0.031093268554125669,3.1722750793470187,-0.00098086858262030072
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0.01,0,0,1,2,2,0,0,0,2,3.8088027740426633e-12,3.2266853360352311e-12,3.2307325217861838e-12,3.8088388779750071e-12,2,9.5704000280250057e-13,406959,0,-0.077449957498139724,-0.00039595314999017918,0.31543976163068466,0.99999978280791924,0.00064854864440631681,3.5882646615875212e-06,0.00011728552284172631,-0.00081218677218017354,-0.0082399837945034918,-2.4612970979551663e-05,0.02647659605492076,0.00012352663129028496,0.0038614464766472565,-0.97074922256799545,1.637339769965324,0.0035334096209072808,-0.98477959330563136,1.641331026026001,0.00061013120135970211,0.025654166091175941,-0.041043039196306461,0.052283500992012143,-0.024071872273453785,0.039491736613759383,-0.022472819035061445,0.0055193701163385048,0.00025168975504472545,-0.29719339511718412,-0.0014146795589712712,-0.025279818423875545,-0.3528389507184565,0.56653160365563182,0.33885414304348632,-0.54338077882170988,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0037321305414153056,0.07628693236740311,-0.00069447379590080601,-0.28951591324485298,-0.00033406043712699612,-0.021852211052261823,-0.36074841959631598,0.51890067950831764,-0.15831903007657946,0.33990360090605259,-0.5036905831256171,0.08918795159498899,-0.03413472450539197,-3.2078960482328895,0.0034791831516330454,0.030920376132685303,-3.1729468634045066,0.0013750602191286501,-0.0044154949335396881,0.17598490399376249,31.571180171769626,-0.068254328314896875,0.0065317556617834538,0.00024127903390829398,0.024785760992947357,0.18030404452441143,31.548227335635453,-0.068694974113382531,0.00094632654407564277,-0.0034074733891711543,0.0049814584161241675,0.1095401323420587,-0.00064892374585282593,0.00015146038293173593,-7.4559483529994909e-05,-0.00041362766045526715,0.0049819833650627827,0.10954010635974241,-0.00063687098254597632,0.00015146082357516135,-7.4556856343366304e-05,-0.00041362401873851776,0.001492665558625647,0.00017872395749231993,9.4616355094553144e-05,0.00038387409361655687,0.00095261848294628357,0.0021908048377229316,0.0021908026468411739,6.8245417708311512e-06,3.1942252981716582e-08,8.9522546513785732e-09,1.7964989470102361e-07,1.5630710517025874e-06,9.6833016648337093e-06,9.6832822975522881e-06,0.0021908026468411739,-0.03413472450539197,-3.2078960482328895,0.0034791831516330454,0.030920376132685303,-3.1729468634045066,0.0013750602191286501,-0.03413472450539197,-3.2078960482328895,0.0034791831516330454,0.030920376132685303,-3.1729468634045066,0.0013750602191286501,0.03413472450539197,3.2078960482328895,-0.0034791831516330454,-0.030920376132685303,3.1729468634045066,-0.0013750602191286501
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0.01,0,0,1,2,2,0,0,0,2,4.1308198181488898e-12,2.7027566217493459e-12,2.6963587612671702e-12,4.1308124455741169e-12,3,5.5511151231257827e-17,417932,0,-0.07745788272773671,-0.00048069779604114401,0.31543945400007484,0.99999968297299091,0.0007844571224811794,4.1465629485993394e-06,0.00013661531991015629,-0.00077965829051599442,-0.0086127465550665128,-3.4825100830290257e-05,0.027595232302212138,0.00010412071645475769,0.0038587651613274398,-0.97048559885428654,1.6369192951317861,0.0040506410888253913,-0.98501925342385743,1.6417376838031084,0.00031960716417828443,0.026804745743348714,-0.04262968680866723,0.051094296479832532,-0.023780994366837897,0.041375665201084225,-0.033823369659596092,0.0053955262927263053,0.00036150181879759415,-0.31517518329108246,-0.0012485353338870875,-0.025611666986211964,-0.37613636023805075,0.6007084690113258,0.3439913724202342,-0.5806276018454728,-0.014600183648230658,-0.0021447083937698019,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520377611e-05,0.014600183648233424,0.0021447083937753491,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519898827e-05,0.0043363241346162512,0.080203500760254648,-0.00072774003613865451,-0.30707829738706854,-0.0010666706498346737,-0.021212268345745362,-0.38301652984243978,0.5500186295544921,-0.16673755844697588,0.34941019834577103,-0.53493218483935701,0.15055595955724593,-0.033948525415482059,-3.2069140557220162,0.0037694975057471357,0.03070782905038702,-3.1735971004877834,0.0018959570254340162,-0.0039878062355236743,0.18442984428258671,31.571243738532289,-0.073395257681077325,0.0068424752506739822,0.00026404349873883917,0.025213277593010473,0.18875524000447411,31.548293835771712,-0.073801865072755088,0.0014723172461605389,-0.0035034812802689809,0.0051786586319881363,0.11805340086581949,-0.0006538324092408873,0.00027837784826424358,3.2663459609268066e-05,-0.00052752707631784871,0.0051791096282924626,0.11805338444930397,-0.0006408850122377836,0.00027837825483764661,3.2665639223665732e-05,-0.00052752331699834512,0.0016551524602348142,0.00010592021581100541,0.00010892418549362487,0.00040484429520069588,0.0010137967891366739,0.0023610703784507484,0.0023610680173163897,8.1308159973220365e-06,1.121909211744996e-08,1.1864478185449598e-08,2.1236836125916037e-07,1.8936925470875277e-06,1.1285287476990178e-05,1.1285264905799239e-05,0.0023610680173163897,-0.033948525415482059,-3.2069140557220162,0.0037694975057471357,0.03070782905038702,-3.1735971004877834,0.0018959570254340162,-0.033948525415482059,-3.2069140557220162,0.0037694975057471357,0.03070782905038702,-3.1735971004877834,0.0018959570254340162,0.033948525415482059,3.2069140557220162,-0.0037694975057471357,-0.03070782905038702,3.1735971004877834,-0.0018959570254340162
