scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,0,0,0.002,0,0,0,0,0,0,0,31.544670684042767,31.573256290570615,0.00039838683718524531,0.00098925687198789334,0.00045089752929192395,0.0001825909525860475,-4.873075104041767e-10,-6.122958883196307e-07,0.3477176641447724,0.9999999999893795,8.6438813331435667e-07,-9.9071557318192557e-10,-4.5270230241528459e-06,-0.34332727389702977,0.56939629014519078,-5.8613552123770432e-06,-0.57254212245501901,-0.57298457670295821,-0.35472353873987389,0.56940762355153085,4.3725911887088811e-06,0.57260105723214172,-0.57303772087867011,-2.4365375520208835e-07,-0.00030614794415981532,5.6138881256729237e-08,0.00086438813331741679,-9.9071557318543304e-07,-0.0045270230241688724,0.0010999223939342905,-0.0014685168849732718,-0.0029306776061885217,0.0014835942660165176,0.0014856808147558009,-0.0010225939099531441,0.0015572775653218849,0.0021862955943544407,0.001563137594013751,-0.0015674486851463615,0.03310368391493336,3.2138460127758317,-0.0014831564730231762,-0.0300099744816246,3.1687313651882976,-0.00020724193127821648
hold,0,0,1,0.0040000000000000001,0,0,0,0,0,0,0,31.547094429678538,31.570483835274029,0.00039837772147461453,0.00081942529122729676,0.00035980184667020799,0.00018259202549052853,-1.5212436332311545e-09,-1.8342561666438534e-06,0.34771766435057233,0.99999999995959843,2.6101178344699876e-06,-3.0655757416746686e-09,-8.6017695170646471e-06,-0.34332289077063871,0.56939045854389891,-1.5984585925866692e-05,-0.57253622223759959,-0.5729786687833317,-0.35472765900822567,0.56941380779360651,1.1759041544636567e-05,0.57260728047179199,-0.57304395860021184,-5.1696806141348883e-07,-0.00061098013916211131,1.0289996703945529e-07,0.0017457297065245746,-2.0704793724706505e-06,-0.0040747464929527279,0.0021915631955282703,-0.0029158006459403234,-0.0050616153567448231,0.0029501087097027678,0.0029539598132725395,-0.0020601341758898712,0.0030921210378212858,0.0036932251779638425,0.003111619825159468,-0.0031188607708722352,0.03310368391493336,3.2138460127758317,-0.0014831564730231762,-0.0300099744816246,3.1687313651882976,-0.00020724193127821648
hold,0,0,2,0.0060000000000000001,0,0,0,0,0,0,0,31.549215251786322,31.568046070254237,0.00039837195166288891,0.00068769669086468969,0.00027693968698184595,0.00018259463359419605,-3.1670461946918842e-09,-3.6626128017384548e-06,0.34771766463053888,0.99999999991127031,5.2481944244314694e-06,-6.3142672212565692e-09,-1.2244007455096258e-05,-0.34331635148038647,0.56938177692793213,-2.9091641329569552e-05,-0.57252742985680127,-0.57296986564132035,-0.35473387305149512,0.56942301352374147,2.1140903959457388e-05,0.57261656211779133,-0.57305325842060872,-8.2290128073036483e-07,-0.0009141783175473006,1.3998326388765778e-07,0.0026380766067688726,-3.2355060230139355e-06,-0.0036422379379201994,0.0032696451261242151,-0.0043408079833778378,-0.0065535277018514311,0.0043961903991314192,0.0044015710056587685,-0.003107021634718321,0.0046028650674638681,0.0046909312074104106,0.0046408229996862151,-0.0046499101984278602,0.03310368391493336,3.2138460127758317,-0.0014831564730231762,-0.0300099744816246,3.1687313651882976,-0.00020724193127821648
hold,0,0,3,0.0080000000000000002,0,0,0,0,0,0,0,31.551066513093815,31.565903148141551,0.00039837990098554044,0.00058589280937416856,0.00020077095964809029,0.00018259902473274003,-5.4887557179489436e-09,-6.0935216462365493e-06,0.3477176649648851,0.99999999984171217,8.7848032492405281e-06,-1.0824170768379173e-08,-1.5472648545197523e-05,-0.34330769108170089,0.56937029073238488,-4.4156815471430083e-05,-0.57251579035993116,-0.57295821267277047,-0.35474219129815249,0.56943519062926873,3.1768393649885751e-05,0.57262885731396329,-0.57306557378110834,-1.1608547616285297e-06,-0.0012154544222490473,1.6717311269882801e-07,0.0035366088597066176,-4.4835458185296238e-06,-0.0032286410893410424,0.0043301993427787332,-0.005743097773617931,-0.0075325870709302654,0.0058197484350334967,0.0058264842749174836,-0.0041591233286745787,0.0060885527636305144,0.0053137448452141812,0.0061475980859771445,-0.00615768024982454,0.03310368391493336,3.2138460127758317,-0.0014831564730231762,-0.0300099744816246,3.1687313651882976,-0.00020724193127821648
hold,0,0,4,0.01,0,0,0,0,0,0,0,31.552680150324992,31.564017627340142,0.00039841012432831335,0.00050754628757123201,0.00013006855147306665,0.00018260528985907383,-8.5502219018370491e-09,-9.1226134125594353e-06,0.34771766533357817,0.99999999974503506,1.3222214877261627e-05,-1.6681831571601602e-08,-1.8305809924149488e-05,-0.34329695058502574,0.5693560454630493,-6.0352200418434325e-05,-0.57250135115851108,-0.57294375755191451,-0.35475261815568876,0.56945028807084863,4.3103876383954472e-05,0.57264411707804508,-0.57308085436149636,-1.530733091944053e-06,-0.001514545883161443,1.8434654845377977e-07,0.0044374116881554021,-5.813891058085236e-06,-0.002833161376585353,0.005370248337585929,-0.0071226346677614738,-0.008097692473502123,0.0072196007100548973,0.0072275604279762049,-0.0052134287681270923,0.0075487207899618287,0.0056677413670343591,0.0076298820409054641,-0.007640290193997451,0.03310368391493336,3.2138460127758317,-0.0014831564730231762,-0.0300099744816246,3.1687313651882976,-0.00020724193127821648
hold,0,1,0,0.012,0,0,0,0,0,0,0,31.550048454897524,31.565432751800468,0.00039846959778434832,0.00044852978481513901,6.3855306223661694e-05,0.00018261340766757218,-1.3011018135097527e-08,-1.2743965107804402e-05,0.34771766501149987,0.99999999961199137,1.8552210981782868e-05,-2.3654072271668676e-08,-2.0780574981366394e-05,-0.34328427028161052,0.56933909677510552,-7.6608596922423365e-05,-0.57248417117336581,-0.57292655811152948,-0.35476510299232528,0.56946822646571338,5.4737769403405104e-05,0.57266226397536868,-0.57309902180518457,-2.2303981166302389e-06,-0.0018106758476224834,-1.6103916518468207e-07,0.0053299961913009872,-6.9073926803200047e-06,-0.0024747650557612752,0.0063401517076059899,-0.0084743439719053223,-0.0081281982519945221,0.0085899925726196612,0.0085997201925187457,-0.0062424183182687946,0.0089691974323838006,0.0058169465097253148,0.0090734486617752522,-0.0090837218440960373,0.033631788765578395,3.2135638107381914,-0.00143569221787734,-0.030544600975749098,3.1689665975575405,-8.1143866096631336e-05
hold,0,1,1,0.014,0,0,0,0,0,0,0,31.5512449437222,31.563987703005878,0.00039856339660754997,0.00040322103268846179,6.8088240977608096e-06,0.00018262339045168702,-1.893787890983759e-08,-1.6952243161229853e-05,0.34771766397921311,0.99999999943068385,2.477156716224734e-05,-3.183076834736188e-08,-2.2912895509463035e-05,-0.34326969643480237,0.56931948778103958,-9.23804008889463e-05,-0.57246429806671062,-0.57290666245204447,-0.35477964478454532,0.569488956217024,6.6430440171685789e-05,0.57268324597478815,-0.5731200232330429,-2.9634303873700302e-06,-0.0021041390267127259,-5.1614338604976971e-07,0.0062193563009381499,-8.0870135397415688e-06,-0.0021323205264696279,0.0072869234040799785,-0.0098044970329989982,-0.0078859019832614678,0.009936553327612372,0.0099478297425265611,-0.007270896110020672,0.010364875655300324,0.0058463353841403404,0.010490999709721149,-0.010500713929161427,0.033631788765578395,3.2135638107381914,-0.00143569221787734,-0.030544600975749098,3.1689665975575405,-8.1143866096631336e-05
hold,0,1,2,0.016,0,0,0,0,0,0,0,31.552291398586856,31.562700714153131,0.00039869590423348422,0.00037511480154791589,6.4850447756959091e-05,0.00018263505724150329,-2.6401732821432138e-08,-2.1741711340814581e-05,0.34771766221775341,0.99999999918650251,3.1874895038830194e-05,-4.1307348440159446e-08,-2.4718097770571718e-05,-0.34325327808182482,0.56929726084291754,-0.00010721501505346155,-0.57244177926183293,-0.57288411834801922,-0.35479624028071016,0.56951242794341495,7.8047179178591906e-05,0.57270701030944116,-0.57314380521921304,-3.7319269557972755e-06,-0.0023947340897923649,-8.8072984458228501e-07,0.0071033280383260809,-9.3585399749055526e-06,-0.0018052022570466586,0.0082091764887704064,-0.011113469061002423,-0.0074173070822576266,0.011259402438839911,0.011272052012597275,-0.0082977480824304815,0.011735863195451734,0.0058083695034530569,0.011882167326502803,-0.011890993085060236,0.033631788765578395,3.2135638107381914,-0.00143569221787734,-0.030544600975749098,3.1689665975575405,-8.1143866096631336e-05
hold,0,1,3,0.018000000000000002,0,0,0,0,0,0,0,31.553210438616023,31.5615461482763,0.00039887049914188316,0.0003596086391573988,0.00012029051066360244,0.00018264820076835034,-3.547881046808189e-08,-2.7106259027952714e-05,0.34771765970885232,0.99999999886228119,3.9855027780910348e-05,-5.2186399118610202e-08,-2.6210911590141915e-05,-0.34323506640872553,0.56927245749813016,-0.00012073175848019223,-0.57241666156170534,-0.57285897288189858,-0.35481488476279799,0.56953859263673112,8.9536370622135783e-05,0.57273350401884282,-0.57317031429615528,-4.538538823324875e-06,-0.0026822738435690659,-1.2544505342856732e-06,0.0079801329532557773,-1.0729380265581708e-05,-0.001492813809255858,0.0091058365496306335,-0.012401672393695299,-0.0067583717133653434,0.012558850063796253,0.012572733060299832,-0.009322241043924661,0.013082346658105667,0.0057445957217719407,0.013246854700804698,-0.013254538471103522,0.033631788765578395,3.2135638107381914,-0.00143569221787734,-0.030544600975749098,3.1689665975575405,-8.1143866096631336e-05
hold,0,1,4,0.020000000000000004,0,0,0,0,0,0,0,31.554022447409871,31.560501044056142,0.00039908969861229132,0.0003520826487105758,0.00017352298497324658,0.00018266260154345764,-4.6251781802280487e-08,-3.3039426365928721e-05,0.34771765643516817,0.99999999843846021,4.8703331174569604e-05,-6.457930614645472e-08,-2.7405496172008068e-05,-0.34321511429751111,0.56924511846433179,-0.00013260523180323321,-0.57238899093415019,-0.57283127224061436,-0.35483557261711196,0.56956740172520082,0.00010091232538530644,0.57276267429668482,-0.5731994972732829,-5.3864856670992992e-06,-0.0029665836689880035,-1.6368420794841378e-06,0.0088483036630896544,-1.2208595139747753e-05,-0.001194584559473094,0.0099760556072099812,-0.013669516899193605,-0.0059367366615204866,0.013835313777559238,0.013850320642115943,-0.010343927156980371,0.014404544234874552,0.005687977381585327,0.014585138920974945,-0.014591488563793258,0.033631788765578395,3.2135638107381914,-0.00143569221787734,-0.030544600975749098,3.1689665975575405,-8.1143866096631336e-05
