scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,nmpc_active,nmpc_update,nmpc_age,nmpc_status,nmpc_acados_status,nmpc_preparation_s,nmpc_feedback_s,nmpc_stationarity,nmpc_dynamics,nmpc_inequality,nmpc_complementarity,nmpc_first_step_defect,nmpc_input_bound_violation,nmpc_wbc_total_s,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5
hold,0,0,0,0,0,0,0,4,1,1,2,2,0,0,0,6,1.1715456382788147e-09,4.5490061945278732e-10,4.5489258955805707e-10,1.1715457493011172e-09,2,1.4849232954361469e-13,1872674,0,1,1,0,0,0,0.00031199999999999999,0.00024929100000000001,3.5519981220896611e-12,5.5511151231257827e-17,0,2.1572223159792481e-15,2.0454814716346092e-17,0,0.001871934,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,0,0,0,0,0,0,-0.97199891583533837,1.6393957458903228,0,-0.98339093564557467,1.6394010277077622,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,-0.014600183648232621,-0.0021447083937700204,31.572223159792483,6.9392872760810276,0.30721274677441229,2.3857524520376503e-05,0.014600183648231594,0.0021447083937751305,31.549240840207528,-6.93345575287898,0.39850336198734543,-2.3857524519899925e-05,4.0745352363540842e-07,9.5431038496119421e-09,-3.3939992704129007e-06,-1.6094211485681889e-08,9.0677466538085433e-07,2.4646535603367876e-08,-2.2546184835033199e-06,4.7919972612284187e-06,-9.364314206280032e-06,-2.3185408384013026e-06,4.7374950528499597e-06,-9.236062315789279e-06,-0.032776230934057182,-3.2137042167079182,0.0014608344124916049,0.029682713985792988,-3.1688859560448526,0.00022009072514778344,-0.014599000513249279,-0.0021448198094226904,31.572212981911051,0.00041782948440319202,0.0040081980186128362,-0.003205276143513213,0.014601365936720245,0.0021448727033077488,31.549230662475523,0.00041326678483723846,-0.00075788034762174525,-0.0032057925515929526,5.9145225137781087e-07,-5.5984582715248286e-08,-5.0888704373069562e-06,1.5674310818905717e-10,-8.9492120075018165e-08,-2.9380447357062305e-10,5.9102907178050024e-07,8.2433251434930049e-08,-5.0887963622814399e-06,-5.7138818561027329e-10,-8.949363140325373e-08,-1.1657922822141564e-10,2.7012301563577723e-07,4.0745352363540842e-08,3.3939992704129009e-07,4.5338733269042715e-08,9.5839945224568368e-08,1.0178021987883312e-07,1.0177740874613912e-07,1.4582257210202664e-13,1.6601837392291032e-15,1.1519231047563303e-13,2.0577669228428856e-15,2.2346413301155173e-14,2.3564352190807355e-14,2.3563548648409e-14,1.0177740874613912e-07,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,1,0.01,10000000,10000000,10000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,224,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077384384134628018,-4.2306439495545945e-07,0.3148440264359047,0.99999999994793143,2.2085994800581358e-06,-9.8736665808923241e-06,1.3304902419062777e-06,-0.0010253413794424271,-0.00023001994404056632,-0.099312085075162607,0.00081611391592043003,-0.0032490133707282405,0.00045714461749160509,-0.97449594808810547,1.6436911116359223,-0.0030780947734388928,-0.98592791582200767,1.6437218956922071,-0.0030955772417371559,-0.41360811708463807,0.71085986550401792,-0.5072022673265224,-0.42029169333799266,0.71512713186564703,-0.50998779923613502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,106,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077400595817751036,-5.1510612625501665e-06,0.31325531009613977,0.99999999929926386,1.0472985234329141e-05,-3.5558797570904504e-05,5.2307444288886531e-06,-0.0020233006369069903,-0.00066359500534433934,-0.19857891815750123,0.0023083218248702939,-0.0064111826878726795,0.001005402298451916,-0.98104153059513499,1.6549121582428041,-0.010993130083068242,-0.99258410850764012,1.6550152561804397,-0.011050792130438299,-0.81403835305475036,1.3934199430961656,-0.97663274256509169,-0.82818138889479553,1.4028194718623432,-0.98138467529471018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,143,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077427223413504054,-1.553438534632789e-05,0.31067372896021883,0.99999999650056559,2.8457468376102997e-05,-7.7742376437137933e-05,1.2048404162196351e-05,-0.0031063191583596394,-0.0013177967227957423,-0.29788708694053767,0.0045606181650102813,-0.0098414962428229665,0.0016060630727471931,-0.9915474546443438,1.6728411465964197,-0.023415270396012679,-1.0032836151993125,1.6730777916054802,-0.023529471715682503,-1.2075090976682685,2.0568124652810647,-1.4154221672743279,-1.2305605992828104,2.0730608552191274,-1.4216245928354636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,99,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077465623087589655,-3.3787586643389906e-05,0.30709854471475317,0.99999998835391257,6.011119221061031e-05,-0.00013856243312519904,2.1892250872173648e-05,-0.0043560010032950057,-0.0021927881266355993,-0.39728734983640429,0.0076220851340172016,-0.013797293288517797,0.0022071694031357428,-1.0059528347249771,1.6972928476759166,-0.040055312214304459,-1.0179818424906932,1.6977435123324782,-0.040238441459503442,-1.5950755304473616,2.7014248334070503,-1.826021152710535,-1.6287565115543712,2.7265405629820423,-1.8333333002553887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,141,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077517875123136307,-6.2083840130319922e-05,0.30252863966702648,0.99999996890461307,0.00010964139180840163,-0.00022129801254489804,3.4593745341991447e-05,-0.0058400961274941024,-0.0032820982378643543,-0.49681039355660994,0.011548310173702569,-0.018491966188059247,0.0027515097387506749,-1.0241952143373156,1.7280644882844913,-0.060634779815542036,-1.0366345116831452,1.7288304795018865,-0.060896037032462977,-1.9760772769439381,3.3245818347552571,-2.2088572911854807,-2.0222648583158369,3.3606766454577555,-2.2169568872371985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,120,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077586722058659754,-0.00010028926489267427,0.29696263940065831,0.99999992847025054,0.00017741514081933739,-0.00033027026751195515,5.0049092136873768e-05,-0.0076278095861794654,-0.0039293094559070679,-0.59648322652363528,0.013962195136542774,-0.02414309298062026,0.0031738193265790065,-1.0462514858495158,1.76496633816787,-0.084756027912446019,-1.0591914522764889,1.7661212616730706,-0.085192611943544758,-2.3617692169769566,3.9343375459685994,-2.5351705389717902,-2.4119897003790802,3.9720572750336069,-2.5600641492311706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,100,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077675656386327577,-0.0001376232011399106,0.29039892526665473,0.99999985722593898,0.00024429968535359914,-0.00047097497658615985,6.3626538297224046e-05,-0.0097899506680729862,-0.0035978017896413621,-0.69631613893902622,0.013043436780042847,-0.030972329178464608,0.0024241955537247133,-1.0721843169469789,1.8078735241846373,-0.11191330001696197,-1.0856588668873355,1.8093991120770361,-0.11251722476867913,-2.7459196593297697,4.5241771935851753,-2.8356847920182835,-2.8015767283027646,4.5606833214823324,-2.8470371391635343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,232,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077787228029623998,-0.00016569439273034258,0.28283722625388047,0.99999974499517419,0.00029314769164105715,-0.00064741201111871228,7.0226099145959876e-05,-0.012055164856833025,-0.002277347236988967,-0.79603208596641584,0.007771391622935166,-0.038121017515637026,0.00074351031861707951,-1.1016041244631873,1.856025332547778,-0.14177065080206841,-1.1155948010102186,1.8578135758823038,-0.14237918492029289,-3.0578081706191869,4.9836842072414687,-3.075117774793545,-3.1046294417720199,4.9996348517565199,-3.0658268265206803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,125,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-0.077927505988409057,-0.00018616888991279621,0.27427508758474878,0.99999956433139026,0.0003326820797532737,-0.00086914276730533672,7.2460422649644687e-05,-0.015389804155435846,-0.001894606589548508,-0.89633109322297266,0.0078937333702483441,-0.048643593958400781,0.00022467915195496769,-1.1347169206007954,1.9096491978865151,-0.17467066204751017,-1.1492495293960741,1.9116303275597988,-0.1751320558106354,-3.4729469616893396,5.6007104609921212,-3.426709341393078,-3.5315868020391941,5.621397439990595,-3.407731416164923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0
