scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,0,0,0.002,0,0,0,0,0,0,0,31.530946223212055,31.583789863679169,0.00039838683718524531,0.00088937221635913182,0.00045089752929192395,0.0001825909525860475,-6.533203658483479e-10,-6.7149061210089759e-07,0.3477176641480948,0.99999999998597988,1.3642468691820285e-06,-1.1223972279256128e-09,5.1165569979092103e-06,-0.34332614493252456,0.56939479389480863,8.3683014135483157e-06,-0.57254037131477054,-0.57298284684113654,-0.35472484454318898,0.56940919307890236,-9.840056820899198e-06,0.57260289162528688,-0.5730395292224838,-3.2666018292417395e-07,-0.0003357453060504488,5.7800075553625475e-08,0.0013642468691884044,-1.1223972279308583e-06,0.0051165569979331211,0.0016644046465618002,-0.0022166420760676804,0.0041841507067741576,0.0023591643902370132,0.0023506117255798382,-0.0016754955675108104,0.0023420412511186988,-0.0049200284104495987,0.0024803341665899318,-0.0024716205919972371,0.032441526620312175,3.2135589561508531,-0.0014376687738758571,-0.029348245239123709,3.169044549066244,-0.00023260779828877549
hold,0,0,1,0.0040000000000000001,0,0,0,0,0,0,0,31.536218143892906,31.578708107737782,0.00039838317450970051,0.00067610518342026615,0.00039042862982795738,0.00018260158024066111,-2.0307179452303144e-09,-2.006151880292089e-06,0.34771766436622914,0.99999999993851774,4.0031153177455205e-06,-3.4376359539772057e-09,1.0341153890632752e-05,-0.34331979687465375,0.5693862829364803,2.3572988160008013e-05,-0.57253136905542645,-0.57297387170907843,-0.35473126710415126,0.56941818482666984,-2.757187873509801e-05,0.57261236244876623,-0.57304897158853418,-6.8869878969098335e-07,-0.00066733063409559574,1.090671822220327e-07,0.0026388684426243347,-2.3216130069590834e-06,0.0052245968931196657,0.003174028935404802,-0.0042554791641719689,0.0076023433732298499,0.0045011296720198785,0.0044875660290416425,-0.0032112804811459048,0.0044958738837596757,-0.0088659109570994044,0.0047354117396786752,-0.0047211830251955508,0.032441526620312175,3.2135589561508531,-0.0014376687738758571,-0.029348245239123709,3.169044549066244,-0.00023260779828877549
hold,0,0,2,0.0060000000000000001,0,0,0,0,0,0,0,31.54066108096028,31.574382982386492,0.00039838715899884192,0.0005017099601672552,0.00035175574178918719,0.0001826200810345164,-4.1971455116573732e-09,-3.9956563673130688e-06,0.34771766467275644,0.99999999984653354,7.842322906448466e-06,-7.0226615007454931e-09,1.5666224745447427e-05,-0.34331069111449286,0.5693739897560991,4.4440319989453359e-05,-0.57251844027639931,-0.57296097479447927,-0.35474053306279119,0.56943117018847489,-5.1619433848339925e-05,0.57262597140992821,-0.57306254572161519,-1.0832137832135292e-06,-0.00099475224351048977,1.5326365850181839e-07,0.0038392075700950561,-3.6034105106758352e-06,0.0053250708566302193,0.0045528800804480228,-0.006146590190615123,0.010433665914722673,0.0064643895135872778,0.006448457299572179,-0.0046329793199740349,0.0064926809025221306,-0.012023777556620957,0.0068044805810127829,-0.0067870665404997938,0.032441526620312175,3.2135589561508531,-0.0014376687738758571,-0.029348245239123709,3.169044549066244,-0.00023260779828877549
hold,0,0,3,0.0080000000000000002,0,0,0,0,0,0,0,31.54441088402022,31.570691319477191,0.00039840822099510703,0.00035794652195374492,0.0003303883945282879,0.00018264427144026868,-7.2204879328612283e-09,-6.6316223406306824e-06,0.34771766505287577,0.99999999969553821,1.2819785970047415e-05,-1.1961072201021141e-08,2.1084979670314676e-05,-0.3432990504694125,0.5693581608533147,7.0081391034379582e-05,-0.57250188003989078,-0.57294444727088822,-0.35475245577396203,0.56944788582288453,-8.0701131975241444e-05,0.57264340997927532,-0.57307994642065907,-1.5116712106019277e-06,-0.0013179829866588066,1.9005967262395165e-07,0.0049774630247519727,-4.9738931297678251e-06,0.0054187549302236486,0.0058203225401678689,-0.0079144513922013802,0.012820535522463108,0.0082801182542752184,0.008263761795543308,-0.0059613555854252549,0.0083578172048018855,-0.01454084906345076,0.0087192846735373725,-0.0087003495219399839,0.032441526620312175,3.2135589561508531,-0.0014376687738758571,-0.029348245239123709,3.169044549066244,-0.00023260779828877549
hold,0,0,4,0.01,0,0,0,0,0,0,0,31.547581799074386,31.567529000101153,0.00039845413767649468,0.00023828377898622475,0.00032273384741123815,0.000182672423778793,-1.1172323268745313e-08,-9.905578953333099e-06,0.34771766549149441,0.99999999946816609,1.8883110618377314e-05,-1.8343604016262703e-08,2.6591264882291492e-05,-0.3432850665379511,0.5693390028928883,9.9834032824116248e-05,-0.57248193291449956,-0.57292453089592132,-0.35476688227021652,0.56946810961975136,-0.00011376812872427573,0.57266442097511971,-0.57310091881966385,-1.9759176679420423e-06,-0.0016369783063512079,2.1930933120715906e-07,0.0060633245807520221,-6.439787495126915e-06,0.005506285224454891,0.0069919657307134188,-0.0095789802132026473,0.014876320894868334,0.0099735626956038454,0.0099581874834373564,-0.0072132481272336969,0.010111898433408548,-0.016533498374517144,0.010505497922208991,-0.010486199502398251,0.032441526620312175,3.2135589561508531,-0.0014376687738758571,-0.029348245239123709,3.169044549066244,-0.00023260779828877549
hold,0,1,0,0.012,0,0,0,0,0,0,0,31.544979191944808,31.569100292487143,0.0003985312375383368,0.00012868977139362159,0.00032591705024327005,0.00018270317465725181,-1.6038403781604609e-08,-1.3807972999600888e-05,0.34771766494446993,0.99999999914583559,2.5977214648393036e-05,-2.6160541153397615e-08,3.2148285709144959e-05,-0.34326901229712398,0.56931670775378729,0.00013357096598688733,-0.5724588174919738,-0.5729014411786274,-0.35478356335977812,0.56949161717050223,-0.00015032605015262454,0.5726887540533081,-0.57312521537658856,-2.4330402564296487e-06,-0.0019511970231338945,-2.7351224862760448e-07,0.0070941039264989956,-7.900644499379818e-06,0.0055570208500210971,0.0080271204135513759,-0.011147569550512965,0.016868466581385543,0.011557711262856332,0.011544858646976457,-0.0083405447807884531,0.011753775375432506,-0.018278960714174401,0.012166539094169778,-0.012148278462350478,0.033291286170678031,3.2131920605731135,-0.0015100014715496489,-0.030197901980150661,3.1692403567025362,-0.0001704686887767506
hold,0,1,1,0.014,0,0,0,0,0,0,0,31.547223956908635,31.566781141455728,0.00039864409635134018,4.0443172514000622e-05,0.00033743511523691579,0.00018273561536849396,-2.1899304891134158e-08,-1.8329973009028563e-05,0.3477176633974457,0.99999999870722178,3.4063834585013555e-05,-3.5518490163878149e-08,3.7751956693817264e-05,-0.34325103071518281,0.56929142183369397,0.00017094929667598019,-0.57243270364255905,-0.57287534687401265,-0.35480239875225728,0.56951824894620928,-0.00018965194922556132,0.57271622845757142,-0.57315265604900856,-2.9304505547647748e-06,-0.0022610000047138378,-7.7351212588175233e-07,0.0080866197869906842,-9.4723522182704341e-06,0.0056036710256200323,0.0089907909705758803,-0.012642960046646024,0.01868916534454643,0.013056924707402539,0.013047152307365166,-0.0094176962395687864,0.013315887853529646,-0.01966294953646839,0.013737202131660568,-0.013720336209993132,0.033291286170678031,3.2131920605731135,-0.0015100014715496489,-0.030197901980150661,3.1692403567025362,-0.0001704686887767506
hold,0,1,2,0.016,0,0,0,0,0,0,0,31.549141393055759,31.564760197655378,0.00039879660212677193,7.1990325030407178e-05,0.000355585445477791,0.00018276886150413901,-2.884207725456827e-08,-2.3462615169329769e-05,0.34771766083651673,0.99999999812907037,4.3109481784830492e-05,-4.6533984345753257e-08,4.3398495249851322e-05,-0.34323124885794143,0.56926327034099178,0.00021174212627522105,-0.57240373456843774,-0.57284639049764674,-0.3548233058691736,0.56954786726224638,-0.00023113782164084094,0.57274669035552372,-0.57318308734812551,-3.4713861817170567e-06,-0.002566321080150603,-1.2804644820794726e-06,0.0090456469926884688,-1.1164642314385558e-05,0.0056465386246099267,0.0098909286206983991,-0.014075746351068294,0.020396414799620434,0.014484537060644688,0.014478188182943729,-0.010453558458167143,0.01480915801854011,-0.020742936207639819,0.015230948976178472,-0.015215649558478154,0.033291286170678031,3.2131920605731135,-0.0015100014715496489,-0.030197901980150661,3.1692403567025362,-0.0001704686887767506
hold,0,1,3,0.018000000000000002,0,0,0,0,0,0,0,31.550788336867257,31.562984455968476,0.00039899170452076943,0.00012784592212960848,0.00037890614156496118,0.00018280222367158752,-3.6961311482845651e-08,-2.9196795661314134e-05,0.3477176572485256,0.99999999738638179,5.3084438362678082e-05,-5.933475804460454e-08,4.9084368081611041e-05,-0.34320978109814637,0.56923236128100307,0.00025581566005218864,-0.5723720319164689,-0.57281469332446611,-0.35484621652464376,0.56958035214723146,-0.00027426613318957759,0.57278000763875103,-0.57321637724639307,-4.0596171141386899e-06,-0.0028670902459921816,-1.7939955623823421e-06,0.0099749563004732384,-1.2988556784137164e-05,0.0056858729411386009,0.010733879897531457,-0.01545452999436835,0.022036766888483779,0.015851325984430908,0.015848586590326577,-0.01145532773507341,0.016242442492523879,-0.021564155774368335,0.016658641613674294,-0.016644949133807492,0.033291286170678031,3.2131920605731135,-0.0015100014715496489,-0.030197901980150661,3.1692403567025362,-0.0001704686887767506
hold,0,1,4,0.020000000000000004,0,0,0,0,0,0,0,31.552212716093173,31.561408972145493,0.00039923154426754759,0.00017443314715120885,0.00040622590348505377,0.00018283516907458436,-4.6360260546732368e-08,-3.5523266718435165e-05,0.34771765262135218,0.99999999645256876,6.3961957877713325e-05,-7.4061150311716891e-08,5.4806248515981845e-05,-0.34318673172225594,0.56919878871082441,0.00030311108089735002,-0.57233769993329653,-0.57278035945576689,-0.35487107423957193,0.56961559797167305,-0.00031859038273321388,0.57281606570225807,-0.57325241103871183,-4.6994745319433572e-06,-0.003163235528560516,-2.3135867147052702e-06,0.010877519153121094,-1.4956565646861233e-05,0.0057218806017229487,0.011524687945215226,-0.016786285089351882,0.023647710422580688,0.017165991586197783,0.017166934349606096,-0.012428857464088212,0.017622912220779021,-0.022162124771818149,0.018029031753538382,-0.018016896159372124,0.033291286170678031,3.2131920605731135,-0.0015100014715496489,-0.030197901980150661,3.1692403567025362,-0.0001704686887767506
