scenario,episode,tick,pre_step_plant_time_s,source_ns,command_source_ns,receipt_ns,dt_s,status,latch,accepted,contact_left,contact_right,weighted_status,model_status,solver_status,iterations,primal,dual,stationarity,hard,reconstruction_iterations,closure_residual,core_step_ns,zoh_diff,nmpc_active,nmpc_update,nmpc_age,nmpc_status,nmpc_acados_status,nmpc_preparation_s,nmpc_feedback_s,nmpc_stationarity,nmpc_dynamics,nmpc_inequality,nmpc_complementarity,nmpc_first_step_defect,nmpc_maximum_dynamics_defect,nmpc_input_bound_violation,nmpc_state_bound_violation,nmpc_objective,nmpc_projected_stationarity,nmpc_wbc_total_s,base_p0,base_p1,base_p2,quat0,quat1,quat2,quat3,base_v0,base_v1,base_v2,base_w0,base_w1,base_w2,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,reference0,reference1,reference2,reference3,reference4,reference5,reference6,reference7,reference8,reference9,reference10,reference11,reference12,reference13,reference14,reference15,reference16,reference17,reference18,reference19,reference20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,task_residual0,task_residual1,task_residual2,task_residual3,task_residual4,task_residual5,task_residual6,task_cost0,task_cost1,task_cost2,task_cost3,task_cost4,task_cost5,task_cost6,max_normalized_slack,raw_tau0,raw_tau1,raw_tau2,raw_tau3,raw_tau4,raw_tau5,command_tau0,command_tau1,command_tau2,command_tau3,command_tau4,command_tau5,held_ctrl0,held_ctrl1,held_ctrl2,held_ctrl3,held_ctrl4,held_ctrl5,phase27_active,phase27_update,phase27_age,phase27_status,phase27_acados_status,phase27_solve_s,phase27_stationarity,phase27_dynamics,phase27_inequality,phase27_complementarity,phase27_first_step_defect,phase27_maximum_dynamics_defect,phase27_input_bound_violation,phase27_state_bound_violation,phase27_objective,phase27_projected_stationarity,phase27_wbc_total_s,planner_xi_c,planner_dxi_c,planner_ddxi_c,phase27_xi_left,phase27_xi_right,phase27_dxi_left,phase27_dxi_right,phase27_v_ref,phase27_yaw_rate_ref,phase27_requested_wrench0,phase27_requested_wrench1,phase27_requested_wrench2,phase27_requested_wrench3,phase27_requested_wrench4,phase27_requested_wrench5,phase27_requested_wrench6,phase27_requested_wrench7,phase27_requested_wrench8,phase27_requested_wrench9,phase27_requested_wrench10,phase27_requested_wrench11,phase27_realized_wrench0,phase27_realized_wrench1,phase27_realized_wrench2,phase27_realized_wrench3,phase27_realized_wrench4,phase27_realized_wrench5,phase27_realized_wrench6,phase27_realized_wrench7,phase27_realized_wrench8,phase27_realized_wrench9,phase27_realized_wrench10,phase27_realized_wrench11,phase27_wrench_residual0,phase27_wrench_residual1,phase27_wrench_residual2,phase27_wrench_residual3,phase27_wrench_residual4,phase27_wrench_residual5,phase27_wrench_residual6,phase27_wrench_residual7,phase27_wrench_residual8,phase27_wrench_residual9,phase27_wrench_residual10,phase27_wrench_residual11,phase27_signed_slack0,phase27_signed_slack1,phase27_signed_slack2,phase27_signed_slack3,phase27_signed_slack4,phase27_signed_slack5,phase27_signed_slack6,phase27_signed_slack7,phase27_signed_slack8,phase27_signed_slack9,phase27_signed_slack10,phase27_signed_slack11
hold,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,17,2.4007026943641263e-11,1.4288843386647169e-08,1.4288843365880424e-08,2.4007007807472919e-11,2,9.4976804199120579e-13,5218010,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077378152000000006,8.0999999999999997e-07,0.31543998403249462,1,0,0,0,0,0,0,0,0,0,-1.0108159712899467,1.6350255224477026,0,-0.94296708843735733,1.6413587270776491,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.3974139963659002,0.15732804393432609,-1.4552584994958244,-0.070477177315927619,-0.14250740380522958,-0.00041369361722786189,27.674311307847638,0.11319482961449859,-0.00180876480544251,-0.00010503950359836145,0.24981958176661917,-0.00041345019788897592,28.715533452963804,0.11319482961449859,0.0020730163171611329,-0.00010503950359836144,-0.0073134969310486089,0.0066163483460242398,0.0057073488194435799,-0.017031879380667966,-0.24796282506870299,0.12641916884496901,-0.99088628687267388,-0.13912904601551293,6.2887893692675263,1.5646953234287144,-0.055505660403921304,-11.971852820264623,0.2073492091085824,-2.9693707823082836,-0.0018063608144833307,-0.21272758554622903,-3.4122757477508499,0.002075439209140792,-0.23290740584663033,0.012423783736361651,31.049858193668872,-0.095230797096942113,-0.012484497234216275,-0.0011649194228964478,0.42222282619365026,0.013051566583643748,32.071514803574516,0.32822971426574199,0.025926959423599884,-0.0019709865703136011,0.0011752957385161974,0.0065167348081415387,0.0048840827065674101,5.7807098096537997e-05,1.201995489604943e-06,-1.5216733051907149e-05,-0.0014147617239285706,0.0064005540940643675,-0.004929996567432436,5.7383637592726611e-05,1.2114459998502428e-06,-1.521592740439268e-05,0.00014228334250511514,0,0,0,0,0.00013033469605615332,0.00013033469616283077,3.2156073984006401e-08,0,0,0,0,5.512685487849473e-08,5.5126854969029906e-08,0.00013033469616283077,0.2073492091085824,-2.9693707823082836,-0.0018063608144833307,-0.21272758554622903,-3.4122757477508499,0.002075439209140792,0.2073492091085824,-2.9693707823082836,-0.0018063608144833307,-0.21272758554622903,-3.4122757477508499,0.002075439209140792,-0.2073492091085824,2.9693707823082836,0.0018063608144833307,0.21272758554622903,3.4122757477508499,-0.002075439209140792,1,1,0,0,0,0.00147215,0.078160942928661825,2.5900826232239885e-05,0,3.978676834276963e-11,4.7588432792195628e-06,2.5900826232239669e-05,0,0,0.43387342481279001,0.0024539872890685654,0.0052161569999999999,-0.011157172669791895,0,0,-0.021157172669793084,-0.001157172669790707,0,0,0,0,-0.14250740380522958,-0.00041369361722786189,27.674311307847638,0.11319482961449859,-0.00180876480544251,-0.00010503950359836145,0.24981958176661917,-0.00041345019788897592,28.715533452963804,0.11319482961449859,0.0020730163171611329,-0.00010503950359836144,-0.14015681232590455,0.012619775993721343,27.684079473255537,0.11331044381064374,-0.0018063608144833468,-0.00013547296969813123,0.24699005832174098,0.012387657984940667,28.705673459832006,0.11330959688963615,0.0020754392091407877,-0.00013547135840310176,0.0011752957408088396,0.0065167348028076664,0.0048840827013308559,5.7807098048617671e-05,1.2019954695583057e-06,-1.5216733047862632e-05,-0.0014147617209496197,0.0064005540887652748,-0.0049299965643653148,5.7383637544840626e-05,1.2114459798045796e-06,-1.5215927400347637e-05,0.0011752957385161974,0.0065167348081415387,0.0048840827065674101,5.7807098096537997e-05,1.201995489604943e-06,-1.5216733051907149e-05,-0.0014147617239285706,0.0064005540940643675,-0.004929996567432436,5.7383637592726611e-05,1.2114459998502428e-06,-1.521592740439268e-05
hold,0,1,0.01,10000000,10000000,10000000,0.01,0,0,1,2,2,0,0,0,1,8.1674284289944346e-10,8.3486848135802109e-09,8.3486848055643146e-09,8.1674283655686075e-10,2,8.4163231939271554e-13,489313,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077377553296195195,1.2762772325641965e-05,0.31544112125841772,0.99999999971990683,-2.1562462698688396e-05,-5.7927603219614504e-06,-7.8543265213927076e-06,7.9254912874979382e-05,0.0021333792386373711,0.00017130369302964795,-0.0076105985668570913,-0.0019951780216939507,-0.0030191573249299612,-1.0109561568851579,1.6350354171920005,0.00075217241643678583,-0.94302784842338994,1.6412066211042642,0.0011033573587838352,-0.022853755178260209,0.0064250194521101034,0.095983618423560249,-0.009724606981977045,-0.024476037212009624,0.17834571865967977,-0.00048091781149317103,-0.0017414675783739282,0.077184108803605989,0.02024141823306462,0.018256321826978034,1.6767057399326268,0.079871599714280039,-1.3363758562149259,0.22871108427004377,-0.14250740380522958,-0.00041369361722786189,27.674311307847638,0.11319482961449859,-0.00180876480544251,-0.00010503950359836145,0.24981958176661917,-0.00041345019788897592,28.715533452963804,0.11319482961449859,0.0020730163171611329,-0.00010503950359836144,-0.0043072719396992339,0.0070473924602141346,0.0052587290855922201,-0.018354802035123356,-0.36017636118926766,0.12727859682297793,-1.1424790353390482,-0.14084961075329486,6.5257388516828874,1.4101532155353698,-0.055476443039709146,-11.728769769955221,0.2066740082154975,-2.9696474267777422,-0.0018065809591275605,-0.21329011612756144,-3.4122579613112531,0.0020752189863864354,-0.23658813059048883,0.013467930003416713,31.049713633856513,-0.095217037614037173,-0.012752306448962724,-0.0011649851345857019,0.41849226413008472,0.014136979944039032,32.071652487859147,0.32824352484407515,0.025657757139988496,-0.0019674034682266857,0.0011751922494624618,0.0064258299914934864,0.0048131146595023905,5.6991580541687582e-05,1.0919232672480874e-06,-1.5079004642044279e-05,-0.0013914855915840489,0.0063114239262129961,-0.0048615734233636446,5.6568119937474365e-05,1.1013347224623213e-06,-1.5078202622734377e-05,0.00014066825944366345,0,0,0,0,0.00012851659619367338,0.00012851659982986973,3.1445022968231135e-08,0,0,0,0,5.3602273536211087e-08,5.3602276563733627e-08,0.00012851659982986973,0.2066740082154975,-2.9696474267777422,-0.0018065809591275605,-0.21329011612756144,-3.4122579613112531,0.0020752189863864354,0.2066740082154975,-2.9696474267777422,-0.0018065809591275605,-0.21329011612756144,-3.4122579613112531,0.0020752189863864354,-0.2066740082154975,2.9696474267777422,0.0018065809591275605,0.21329011612756144,3.4122579613112531,-0.0020752189863864354,1,0,1,0,0,0.00147215,0.078160942928661825,2.5900826232239885e-05,0,3.978676834276963e-11,4.7588432792195628e-06,2.5900826232239669e-05,0,0,0.43387342481279001,0.0024539872890685654,0.00048859700000000001,-0.011157172669791895,0,0,-0.021194358520846349,-0.0012002744058190629,-0.0051837330273084318,-0.0069215621082452548,0,0,-0.14250740380522958,-0.00041369361722786189,27.674311307847638,0.11319482961449859,-0.00180876480544251,-0.00010503950359836145,0.24981958176661917,-0.00041345019788897592,28.715533452963804,0.11319482961449859,0.0020730163171611329,-0.00010503950359836144,-0.14015701930651153,0.012437966183949293,27.683937537024711,0.11330881277395093,-0.0018065809591281557,-0.00013519751260699395,0.24703661063000343,0.012209397476276489,28.705810306253923,0.11330796585274257,0.002075218986385833,-0.00013519590856837996,0.0011751922492555882,0.0064258298096836692,0.0048131145175703965,5.6991578910650697e-05,1.0919230471062327e-06,-1.5079004366588216e-05,-0.0013914855450316928,0.0063114237479524682,-0.004861573286517192,5.6568118306505527e-05,1.1013345022378339e-06,-1.5078202347284148e-05,0.0011751922494624618,0.0064258299914934864,0.0048131146595023905,5.6991580541687582e-05,1.0919232672480874e-06,-1.5079004642044279e-05,-0.0013914855915840489,0.0063114239262129961,-0.0048615734233636446,5.6568119937474365e-05,1.1013347224623213e-06,-1.5078202622734377e-05
hold,0,2,0.020000000000000004,20000000,20000000,20000000,0.01,0,0,1,2,2,0,0,0,2,3.9350870825738404e-09,2.3032159738708585e-09,2.3032159371774525e-09,3.9350870825738404e-09,2,6.3418714724150504e-13,4156138,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077376523336466718,4.7915476484794367e-05,0.31544342694130539,0.9999999957074559,-8.2784910819087577e-05,-2.577730549036149e-05,-3.2669207256648545e-05,0.00011794498235427881,0.0044257337630033778,0.00026586420193656674,-0.015251752304613096,-0.0053328308664280337,-0.006184832317197908,-1.0113155448913418,1.6351658129158428,0.0020493636831501265,-0.94322298856932996,1.6408677553517588,0.0039201144107935395,-0.044455543703032854,0.017061418382833992,0.15301808512539802,-0.026992783887538535,-0.039232811435263741,0.35213564544607862,-0.00072232786592525938,-0.0027447147396348929,0.15665676859300795,0.054617173940642583,0.037697039634648523,1.9488651704525173,-0.052459433512730302,-1.1221326880943474,0.41799154203928801,-0.41207900860297797,0.0042735705119773528,27.684563330858765,0.11407821219809651,-0.0018196131054135998,-7.6293850364012925e-05,-0.021823623716430429,0.0041188939714626085,28.70474920497055,0.11407821219809651,0.0010842809860521416,-7.6293850364012966e-05,-0.025239808724207377,0.0059242033991864975,-0.011900279804060566,-0.016597642899248647,1.6733104861877606,0.06505264858407811,-0.6782494627159279,-0.27673250523147302,17.1052496591508,1.9687532976220112,0.052040748240950022,-2.3490274998812408,0.21404261914718242,-2.9591237410386473,-0.0018253501968563649,-0.19936906579542069,-3.3969850403908364,0.0010785640886017077,-0.65973200264424736,0.012745383112466964,31.052998490191403,-0.094212600758862508,-0.037681663724694538,-0.0031724297367110377,0.010127674636961367,0.013046016266310377,32.067649361970247,0.32926748511954396,0.00082644887085705078,0.00010866598936420553,0.0010643433491015887,0.0019018981648686057,0.0013291602778641193,1.6614924327774383e-05,-2.868549636434354e-06,-8.8945550663358289e-06,-0.00045233800181479104,0.0018391729009786138,-0.0014562768359396095,1.6191442766778778e-05,-2.8584518712193712e-06,-8.8978331543047357e-06,6.2851907960003378e-05,0,0,0,0,3.8037963898986482e-05,3.8037963297372115e-05,6.7408603381908221e-09,0,0,0,0,5.0039118252777169e-09,5.003912099305216e-09,3.8037963297372115e-05,0.21404261914718242,-2.9591237410386473,-0.0018253501968563649,-0.19936906579542069,-3.3969850403908364,0.0010785640886017077,0.21404261914718242,-2.9591237410386473,-0.0018253501968563649,-0.19936906579542069,-3.3969850403908364,0.0010785640886017077,-0.21404261914718242,2.9591237410386473,0.0018253501968563649,0.19936906579542069,3.3969850403908364,-0.0010785640886017077,1,1,0,0,0,0.001259118,0.95033971579469423,2.3355227059297656e-05,0,1.0034239035750516e-11,1.3308502649484605e-05,2.3355227059297656e-05,0,0,0.5701296188863465,0.0073902175199734924,0.004155616,-0.011157172669791895,0,0,-0.021270509705041993,-0.001312942880960093,-0.009248830445017767,-0.014270093352756374,0,0,-0.41207900860297797,0.0042735705119773528,27.684563330858765,0.11407821219809651,-0.0018196131054135998,-7.6293850364012925e-05,-0.021823623716430429,0.0041188939714626085,28.70474920497055,0.11407821219809651,0.0010842809860521416,-7.6293850364012966e-05,-0.40995032279958454,0.0080773668717952826,27.6872216515392,0.1141114420470947,-0.001825350196789719,-9.408295971150288e-05,-0.022728300480822885,0.0077972398097945952,28.701836651302056,0.11411059508397266,0.0010785640902046356,-9.4089515879350197e-05,0.0010643424542918377,0.001901898194949324,0.0013291604025712472,1.6614924670412546e-05,-2.8685417396847902e-06,-8.8945542811541253e-06,-0.00045233876257766463,0.0018391729373533729,-0.0014562768325548014,1.6191443109368904e-05,-2.8584439762866261e-06,-8.8978323610324953e-06,0.0010643433491015887,0.0019018981648686057,0.0013291602778641193,1.6614924327774383e-05,-2.868549636434354e-06,-8.8945550663358289e-06,-0.00045233800181479104,0.0018391729009786138,-0.0014562768359396095,1.6191442766778778e-05,-2.8584518712193712e-06,-8.8978331543047357e-06
hold,0,3,0.030000000000000013,30000000,30000000,30000000,0.01,0,0,1,2,2,0,0,0,1,3.1877352056023257e-09,6.991759222825786e-09,6.9917592193224544e-09,3.1877352956453161e-09,2,4.2169046032825008e-13,470040,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077376770362090189,0.00010531196597195562,0.31544536122832445,0.99999998104638199,-0.00018038721488548785,-2.1001737050115862e-06,-7.3234399539812758e-05,-0.00011441603798746911,0.006600585795373713,0.0001448073216080812,-0.022299382641912838,0.011463074342197033,-0.0093249246931681063,-1.0117652351032591,1.6353967687140225,0.0039167603664779999,-0.94349722223388632,1.6404198422158529,0.0084773931598585116,-0.045250372811034868,0.026870083012140597,0.21030267861368684,-0.02847075209218267,-0.048297278819289656,0.52856083059846171,0.00067406148673646222,-0.0015825031118264477,0.23201318722038594,-0.11452573473605632,0.05726776735905361,1.9745919673775649,-0.17847781779887756,-1.0945246577145884,0.5428900235402101,-0.41207900860297797,0.0042735705119773528,27.684563330858765,0.11407821219809651,-0.0018196131054135998,-7.6293850364012925e-05,-0.021823623716430429,0.0041188939714626085,28.70474920497055,0.11407821219809651,0.0010842809860521416,-7.6293850364012966e-05,-0.021657141545749041,0.0078668336022482167,-0.012621853800549093,-0.022621131111485816,1.7744135816351494,0.064001811238426104,-0.64637162594426578,-0.27637678648739544,17.454837620193658,2.0117796255688729,0.040915072509858624,-2.0054040250746885,0.21360204179676492,-2.959372289255096,-0.0018259202777887648,-0.19800225725506149,-3.3953107775250708,0.0010779930696551356,-0.66326608777598861,0.017581691727471597,31.05246422144889,-0.09415568038934552,-0.037979846120884092,-0.0031592682755308375,0.0069277767043194223,0.018078863732504873,32.068177810724038,0.32932405166911605,0.00056126137967732015,9.5496336670093153e-05,0.0010492642646399107,0.001545771118853019,0.0010549302649052197,1.3433414632940458e-05,-3.1535859096400602e-06,-8.3702054883515131e-06,-0.00037818779710177032,0.0014880582257080237,-0.0011879750776020261,1.3009935240953695e-05,-3.1439579201188012e-06,-8.3734460482753157e-06,5.670423309047998e-05,0,0,0,0,3.0915408131978583e-05,3.0915422377060381e-05,5.5645947197100732e-09,0,0,0,0,3.4303002274280813e-09,3.4303030455376536e-09,3.0915422377060381e-05,0.21360204179676492,-2.959372289255096,-0.0018259202777887648,-0.19800225725506149,-3.3953107775250708,0.0010779930696551356,0.21360204179676492,-2.959372289255096,-0.0018259202777887648,-0.19800225725506149,-3.3953107775250708,0.0010779930696551356,-0.21360204179676492,2.959372289255096,0.0018259202777887648,0.19800225725506149,3.3953107775250708,-0.0010779930696551356,1,0,1,0,0,0.001259118,0.95033971579469423,2.3355227059297656e-05,0,1.0034239035750516e-11,1.3308502649484605e-05,2.3355227059297656e-05,0,0,0.5701296188863465,0.0073902175199734924,0.00046944899999999998,-0.011157172669791895,0,0,-0.021353396503357949,-0.0014664560937524729,-0.0076764239576691904,-0.016250659071254097,0,0,-0.41207900860297797,0.0042735705119773528,27.684563330858765,0.11407821219809651,-0.0018196131054135998,-7.6293850364012925e-05,-0.021823623716430429,0.0041188939714626085,28.70474920497055,0.11407821219809651,0.0010842809860521416,-7.6293850364012966e-05,-0.40998048010385635,0.007365112037429301,27.686673190840114,0.11410507902099939,-0.0018259202778029408,-9.303426029201604e-05,-0.022579999162333553,0.0070950097206493104,28.702373255351965,0.11410423206221539,0.001077993069640892,-9.3040741411789171e-05,0.0010492642344817106,0.0015457704065989291,0.0010549297164439407,1.3433408269944655e-05,-3.153586479700907e-06,-8.3702044396516017e-06,-0.00037818764880135324,0.0014880575234786783,-0.0011879745409833118,1.3009928877922107e-05,-3.143958491130821e-06,-8.3734449995008891e-06,0.0010492642646399107,0.001545771118853019,0.0010549302649052197,1.3433414632940458e-05,-3.1535859096400602e-06,-8.3702054883515131e-06,-0.00037818779710177032,0.0014880582257080237,-0.0011879750776020261,1.3009935240953695e-05,-3.1439579201188012e-06,-8.3734460482753157e-06
hold,0,4,0.040000000000000022,40000000,40000000,40000000,0.01,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,3654574,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0773790944382374,0.00018369362798724908,0.31544602075249212,0.99999993727783831,-0.0003117198044337958,0.00010859426231677053,-0.00012838367730033415,-0.00030113644408001514,0.008646198424155949,1.4822300682427544e-05,-0.028846200931991813,0.029278567311260828,-0.012112101588020381,-1.0122177579581666,1.63571603913954,0.0064123537258194314,-0.94381443798970333,1.6398848645790121,0.014993897237474466,-0.045294705560889804,0.035108944830420728,0.27710385149801847,-0.034705537257862101,-0.057108791833833862,0.7394798445990961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,1,1,0,4,0,0.0012086569999999999,1.4585587232713095,3.1206181841311742e-05,3.4694469519536142e-18,1.0244961117033938e-11,2.5421664003730769e-05,3.1206181841311742e-05,0,0,1.2850731799389263,0.016332829650889204,0,-0.011157172669791895,0,0,-0.021420917042481849,-0.0016470210359723683,-0.0061812959882720569,-0.019514588468359583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,0,5,0.050000000000000031,50000000,50000000,50000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,647,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077388194323625065,0.00026782754441286542,0.31485019617382265,0.99999985181564499,-0.00045004038818116383,0.00024534859041125656,-0.00018340230513951141,-0.0013026985138628088,0.0082341381570284825,-0.099298624833873597,-0.026924021613536204,0.026107615120050033,-0.01029788618574228,-1.0153245531990303,1.640355028940347,0.0066834514348655923,-0.94675061103049041,1.6437085464303276,0.019735264312537915,-0.485056053042491,0.744901386571727,-0.13453342945375521,-0.46253498685152517,0.66842972544480428,0.30380118397409112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,0,6,0.060000000000000039,60000000,60000000,60000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,225,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077407066293684601,0.00034692535883908604,0.3132616290806079,0.99999973839534051,-0.00057957019959976289,0.0003666364331465516,-0.00022996816993353243,-0.0022830294291513627,0.0076782414712533841,-0.19856300539041977,-0.02523930481348793,0.023005731263853028,-0.0086926518576253397,-1.0227444546990043,1.6519172703890206,0.0030369999873700905,-0.95384120859094379,1.6545450833680018,0.02036239725113537,-0.91227722714562232,1.4277827708064483,-0.51439871389691316,-0.87191377124895408,1.3570990845381357,-0.094175740558735704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,0,7,0.070000000000000048,70000000,70000000,70000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,207,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077436250768186013,0.0004198265395361634,0.31068020890284975,0.99999960697495038,-0.00070087322069340666,0.00047161460863938073,-0.00026908424928507045,-0.0033613922377597719,0.0070187630567471338,-0.29787151949055063,-0.023603725827192105,0.019596448162075113,-0.0072681405291708965,-1.0344014156592203,1.6701993970058893,-0.0042507309806350127,-0.96497370181737807,1.6721391566346013,0.017163655015275267,-1.3341269619676814,2.0929586281248702,-0.86834472058919432,-1.2734118731939168,2.0253176246054161,-0.46743640562064137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,0,8,0.080000000000000057,80000000,80000000,80000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,157,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077477270663857428,0.00048560348133274014,0.30710514377391862,0.99999946776583293,-0.00081386001537252499,0.0005578910504273598,-0.00030142578102708157,-0.0046257367634308924,0.0062750697966886997,-0.39727903753232435,-0.021908565702175364,0.015602656964997477,-0.0059440362481657438,-1.0502553249524604,1.6950317172418534,-0.014929846861336915,-0.98009205212334538,1.6963140889517077,0.010358555640129058,-1.7524206660545953,2.7410416631699324,-1.197957741646869,-1.6702150041840151,2.6766571361988416,-0.81984596471167748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,0,9,0.090000000000000066,90000000,90000000,90000000,0,4,1,1,2,2,2,1,1,0,0,0,0,0,0,0,145,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077532446424178503,0.00054361937147466425,0.30253522625181484,0.99999933151153431,-0.00091827204415340796,0.00062181856023785795,-0.00032725313598410853,-0.0061517968451637326,0.0054816057471712872,-0.49681954818830032,-0.020216872523511859,0.010786194377733918,-0.0046572004008992238,-1.0702697345668666,1.7262331642675437,-0.028783862037560823,-0.99915174677503382,1.7268931349792809,0.000152614188245811,-2.1669255431649774,3.3702186740729609,-1.508403951705297,-2.0624784366114386,3.3093632016690417,-1.1516222550474891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
