tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
0,0.01,step,0,0,8.0973083793622891e-10,0.00084759600000000005,1,1,-0.011157172669780779,0,0,-0.011157172669780779,0,-0.0015835231741306577,0,0,0,8.8130268355149471e-07,4.4064968735622824e-05,3.239377422853265,-0.043318239381357912,-3.1437734981156691,2.0013469629107204e-07,0.040224951165823877,-3.239377422853265,2.1155571215053248e-07
1,0.020000000000000004,step,0,0,1.069053819535877e-10,0.00042708600000000002,1,1,-0.011157172669780779,0,0,-0.01115706936824664,1.8493855180852776e-05,-0.0015835442032597321,-3.2660469091944588e-06,-1.0330153413923293e-07,2.1029129074374986e-08,1.0221696723900064e-06,5.110849881079177e-05,3.2393851010259462,-0.043348139575730284,-3.1437833966262039,2.0107619588215672e-07,0.040225185022215629,-3.2393851010259462,2.1247070208359339e-07
2,0.030000000000000013,step,0,0,1.9252841064031773e-10,0.00040150199999999998,1,1,-0.011157172669780779,0,0,-0.011156768473987277,3.9406062848706499e-05,-0.0015835811273467839,-3.7229647834554365e-06,-4.0419579350192691e-07,5.795321612617893e-08,1.3429210886091538e-06,6.7146086511280884e-05,3.2394135722144939,-0.043369188393930426,-3.1437773935752169,2.0182771211919552e-07,0.040208733257544878,-3.2394135722144939,2.132359496811337e-07
3,0.040000000000000022,step,0,0,1.7368773086445799e-11,0.00042002899999999999,1,1,-0.011157172669780779,0,0,-0.011156244998621227,6.2880129078352845e-05,-0.001583609812938409,-1.9885550018985262e-06,-9.2767115955280643e-07,8.6638807751324154e-08,1.836606368443622e-06,9.1830322282449297e-05,3.2394606157154477,-0.043382952176559207,-3.1437580616678855,2.0197796698244489e-07,0.040176406634574315,-3.2394606157154477,2.1339814254289148e-07
4,0.050000000000000031,step,0,0,2.0487167518012939e-11,0.00040432400000000001,1,1,-0.011157172669780779,0,0,-0.011155473113867383,8.8974773539849598e-05,-0.0015836106719943135,1.5537525813390547e-06,-1.699555913396017e-06,8.7497863655860986e-08,2.4211713114084033e-06,0.00012105857021339461,3.2395263482374186,-0.043390166025940244,-3.1437278345915938,2.029993719294083e-07,0.040128320436811221,-3.2395263482374186,2.1444295035797144e-07
5,0.060000000000000039,step,0,0,2.3896440382031869e-11,0.00041421200000000001,1,1,-0.011157172669780779,0,0,-0.011154426170622405,0.00011780129893034728,-0.0015835676839906984,6.560385850058303e-06,-2.7464991583740078e-06,4.4509860040731208e-08,3.1147126319708969e-06,0.00015573563707526819,3.2396096587277774,-0.043391656222746239,-3.143687718667886,2.0440138992815812e-07,0.040064550954882469,-3.2396096587277774,2.1587899631265655e-07
6,0.070000000000000048,step,0,0,2.7631119614568433e-11,0.00040424100000000001,1,1,-0.011157172669780779,0,0,-0.011153075738241754,0.00014959685882910294,-0.0015834680377175246,1.2727983596196274e-05,-4.0969315390250449e-06,-5.513641313306672e-08,4.0634562621507084e-06,0.0002031728125453366,3.2397099841570109,-0.043388411496311216,-3.143639181765872,2.0616299998538669e-07,0.039985122036195628,-3.2397099841570109,2.1768463999489527e-07
7,0.080000000000000057,step,0,0,3.1817104506615124e-11,0.00041868299999999999,1,1,-0.011157172669780779,0,0,-0.011151390041551773,0.00018477678737203616,-0.0015833015839488802,1.9818018168999365e-05,-5.7826282290063258e-06,-2.2159018177748263e-07,5.2018511879649003e-06,0.00026009255874668972,3.2398269390170498,-0.043381486797650713,-3.1435837383050913,2.0825274382458776e-07,0.039889787622293886,-3.2398269390170498,2.1982795085892061e-07
8,0.090000000000000066,step,0,0,3.6612934906088412e-11,0.00040153699999999999,1,1,-0.011157172669780779,0,0,-0.011149331989342785,0.00022396829023984337,-0.0015830601079453166,2.7669341394504242e-05,-7.8406804379944212e-06,-4.6306618534108779e-07,6.4307288179593969e-06,0.00032153644016462527,3.2399604116827079,-0.043371940269835013,-3.1435229188467293,2.106307763569741e-07,0.039777876404275783,-3.2399604116827079,2.2226885595992271e-07
9,0.10000000000000007,step,0,0,4.2206238504149951e-11,0.00040121800000000001,1,1,-0.011157172669780779,0,0,-0.01114685691875477,0.00026803588971932297,-0.001582736547217291,3.6199206647629913e-05,-1.0315751026009068e-05,-7.8662691336672114e-07,7.7318073208780696e-06,0.00038659036523423291,3.2401106532544195,-0.04336081245410528,-3.1434582465805763,2.1325131044243958e-07,0.039648184852846075,-3.2401106532544195,2.2496163993253638e-07
10,0.11000000000000008,step,0,0,4.881461901362627e-11,0.00040543000000000003,1,1,-0.011157172669780779,0,0,-0.011143910101859458,0.00031810472003825156,-0.0015823242357757335,4.539859039337041e-05,-1.3262567921321078e-05,-1.1989383549241422e-06,9.0868199471753871e-06,0.00045434099647588316,3.2402783595144875,-0.043349132725295461,-3.1433912236547847,2.1606503241841562e-07,0.039498895577294434,-3.2402783595144875,2.2785739068173313e-07
11,0.12000000000000009,step,0,0,5.668743252584818e-11,0.00040022899999999999,1,1,-0.011157172669780779,0,0,-0.011140424009759949,0.00037558611716604473,-0.0015818162038911026,5.5326373460836168e-05,-1.6748660020830114e-05,-1.7069702395551209e-06,1.0477997910521108e-05,0.00052389989457047258,3.2404647531675961,-0.043337938499014073,-3.1433233237207032,2.1902125542425587e-07,0.039327499874002574,-3.2404647531675961,2.3090618130060234e-07
12,0.13000000000000009,step,0,0,6.6111560670378822e-11,0.00039975699999999999,1,1,-0.011157172669780779,0,0,-0.011136315292399982,0.00044220873820578017,-0.0015812045290075211,6.6104896965006707e-05,-2.0857377380797612e-05,-2.3186451231366201e-06,1.1888555582891818e-05,0.00059442777811400381,3.240671673002502,-0.043328298647332703,-3.1432559873706643,2.2206970688136319e-07,0.03913071021803486,-3.240671673002502,2.3405888553031949e-07
13,0.1400000000000001,step,0,0,7.7417516841649103e-11,0.000405315,1,1,-0.011157172669780779,0,0,-0.011131481405079894,0.00052005759993289772,-0.0015804797171929553,7.7917971467849029e-05,-2.5691264700885771e-05,-3.0434569377024018e-06,1.3303154751628295e-05,0.00066515773647036862,3.2409016749822728,-0.043321337281167348,-3.1431906185016549,2.2516187998539168e-07,0.038904353849737526,-3.2409016749822728,2.3726857184094224e-07
14,0.15000000000000011,step,0,0,9.0987217760130079e-11,0.00048580500000000002,1,1,-0.011157172669780779,0,0,-0.011125796792169721,0.00061162287587252775,-0.0015796300886031268,9.1011642495530953e-05,-3.1375877611058631e-05,-3.8930855275308429e-06,1.4708343157711474e-05,0.00073541715668505787,3.2411581490480748,-0.043318256788423826,-3.1431285805975815,2.2825193449628872e-07,0.038643241726401517,-3.2411581490480748,2.404914546691783e-07
15,0.16000000000000011,step,0,0,1.0726342036804226e-10,0.00047612700000000002,1,1,-0.011157172669780779,0,0,-0.011119108522218858,0.00071985995393705174,-0.0015786411395323089,0.00010569768733551953,-3.8064147561921863e-05,-4.8820345983488153e-06,1.6092972550446444e-05,0.00080464862621929835,3.2414454547782996,-0.043320360243299931,-3.1430711923004373,2.3129711136432538e-07,0.038341008503649743,-3.2414454547782996,2.4368738103649146e-07
16,0.17000000000000012,step,0,0,1.2676137917111419e-10,0.00026007200000000003,1,1,-0.011157172669780779,0,0,-0.011111231254942594,0.00084826204755738036,-0.0015774948544330786,0.00012235974064991038,-4.5941414838185368e-05,-6.0283196975791098e-06,1.7448607075121516e-05,0.000872430352332857,3.2417690788219753,-0.043329073591055679,-3.1430197215353499,2.3425762814196953e-07,0.037989919542219738,-3.2417690788219753,2.4681981305835919e-07
17,0.18000000000000013,step,0,0,1.5007795006738434e-10,0.00025442599999999998,1,1,-0.011157172669780779,0,0,-0.011101941408647661,0.0010009464826510361,-0.0015761689421046636,0.00014146198907418329,-5.5231261133117937e-05,-7.3542320259941188e-06,1.8769936595304909e-05,0.00093849682819879755,3.2421358170147374,-0.04334596774633457,-3.1429753769645883,2.3709599413499831e-07,0.037580640706301079,-3.2421358170147374,2.498552436208005e-07
18,0.19000000000000014,step,0,0,1.7790657835803358e-10,0.00025167400000000002,1,1,-0.011157172669780779,0,0,-0.011090970386699039,0.0011827555546629041,-0.0015746359703438196,0.00016356046410405021,-6.6202283081739921e-05,-8.8872037868380563e-06,2.0055213221703765e-05,0.0010027606593462793,3.2425539841023414,-0.043372780104399655,-3.1429392946985302,2.3977560675482699e-07,0.03710196626517024,-3.2425539841023414,2.5276192621245693e-07
19,0.20000000000000015,step,0,0,2.1104740177690928e-10,0.00025634300000000002,1,1,-0.011157172669780779,0,0,-0.011077996714819884,0.0013993724505228086,-0.0015728623724838194,0.00018931705957080189,-7.9175954960895856e-05,-1.066080164683833e-05,2.1306733912288136e-05,0.0010653366936666134,3.2430336538693294,-0.043411433988438136,-3.1429125169372503,2.4225846594068297e-07,0.036540499770875576,-3.2430336538693294,2.5550773835611826e-07
20,0.21000000000000016,step,0,0,2.5042101725603061e-10,0.00026612899999999999,1,1,-0.011157172669780779,0,0,-0.011062636939872018,0.0016574520123654518,-0.0015708072974686777,0.00021951648671860325,-9.4535729908761662e-05,-1.2715876661979937e-05,2.2531398377877556e-05,0.0011265699166924349,3.2435869320136561,-0.043464053159721273,-3.142895957422164,2.4450171272247719e-07,0.035880282568371842,-3.2435869320136561,2.5805690330643742e-07
21,0.22000000000000017,step,0,0,2.9707625248676095e-10,0.00025341900000000001,1,1,-0.011157172669780779,0,0,-0.011044435149552214,0.001964764881793985,-0.0015684212725566096,0.00025508644757768831,-0.00011273752022856499,-1.510190157404806e-05,2.3741380375938472e-05,0.0011870690162873235,3.2442282630893566,-0.043532966510969134,-3.1428903460167277,2.4645259824029889e-07,0.03510236482785712,-3.2442282630893566,2.6036517379254925e-07
22,0.23000000000000018,step,0,0,3.5219849259249258e-10,0.000251322,1,1,-0.011157172669780779,0,0,-0.01102285099786063,0.0023303515238352942,-0.0015656446446470369,0.00029712135209782747,-0.00013432167192014947,-1.7878529483620828e-05,2.4954962716884844e-05,0.0012477481329606136,3.2449747709573709,-0.043620695138082685,-3.1428961410709282,2.4804130203115324e-07,0.034184314966627438,-3.2449747709573709,2.6237290837332416e-07
23,0.24000000000000019,step,0,0,4.171057943480605e-10,0.00025167599999999999,1,1,-0.011157172669780779,0,0,-0.010997246173369562,0.0027646793973654191,-0.0015624057627829854,0.00034690992823007555,-0.00015992649641121716,-2.1117411347672255e-05,2.6197602832383709e-05,0.0013098801382824287,3.2458466290350656,-0.043729909660091167,-3.1429133929526927,2.4917080366917382e-07,0.033099665430075524,-3.2458466290350656,2.6399524643127148e-07
24,0.25000000000000017,step,0,0,4.9323811701640352e-10,0.00024899600000000003,1,1,-0.011157172669780779,0,0,-0.010966869340996204,0.0032797915871639908,-0.0015586188607387167,0.00040596709176773851,-0.00019030332878457526,-2.4904313391940942e-05,2.7503317437004695e-05,0.0013751658679657514,3.2468674517044378,-0.04386333920096995,-3.1429415345146277,2.4970270340112244e-07,0.031817296494289639,-3.2468674517044378,2.6510829021381082e-07
25,0.26000000000000018,step,0,0,5.8212235032328863e-10,0.00025283800000000002,1,1,-0.011157172669780779,0,0,-0.010930839743978023,0.0038894278717509041,-0.0015541815945581136,0.00047607050195869628,-0.0002263329258027566,-2.934157957254404e-05,2.8916501956221907e-05,0.0014458250932661697,3.2480646909487323,-0.044023603732421077,-3.1429790632326418,2.4943750220798469e-07,0.030300765500986357,-3.2480646909487323,2.6552981019845312e-07
26,0.27000000000000018,step,0,0,6.8531147423556149e-10,0.000250416,1,1,-0.011157172669780779,0,0,-0.010888129899130357,0.0046090887122504608,-0.0015489721844074286,0.00055930245382660587,-0.00026904277065042254,-3.4550989723229099e-05,3.049433138135268e-05,0.0015247165637283051,3.2494700121087989,-0.044212926762827801,-3.1430230637326395,2.4808734149965958e-07,0.028507596953579916,-3.2494700121087989,2.6499249363456144e-07
27,0.28000000000000019,step,0,0,8.042828625320908e-10,0.00025987599999999998,1,1,-0.011157172669780779,0,0,-0.010837548190432263,0.0054559983605566454,-0.0015428460999600468,0.00065809843750717738,-0.00031962447934851673,-4.0677074170610873e-05,3.2309918159601339e-05,0.0016154959016874127,3.2511196095006847,-0.044432662909013002,-3.1430684960888589,2.4523861815558715e-07,0.026388558507981129,-3.2511196095006847,2.6310716778876791e-07
28,0.2900000000000002,step,0,0,5.9750645542422376e-09,0.00027295999999999999,1,1,-0.011157172669780779,0,0,-0.010826458566374207,-0.0047915554675856641,-0.001513282591058698,0.0039325787940543387,-0.00033071410340657255,-7.0240583071959697e-05,3.8497592009536006e-05,0.0019248796980290278,3.2571225269204103,-0.020263624549265898,-3.1290372917553633,3.6086078661184515e-07,0.017209208867978203,-3.2571225269204103,3.9456099720468395e-07
29,0.30000000000000021,step,0,0,8.194021239305016e-09,0.000258531,1,1,-0.011157172669780779,0,0,-0.010950231577587358,-0.017329959917209082,-0.0014800019707573624,0.0029764712523740943,-0.00020694109219342172,-0.00010352120337329528,2.3205056894396836e-05,0.0011602528283184625,3.2498081447911504,-0.011644232899891829,-3.123755994876773,2.3665131768235492e-07,0.029860012850363743,-3.2498081447911504,2.681202562544871e-07
30,0.31000000000000022,step,0,0,5.0562416475941063e-09,0.00025738900000000001,1,1,-0.011157172669780779,0,0,-0.011160752528669257,-0.023546738483726251,-0.0014532819731724418,0.0025138720858858769,3.5798588884777827e-06,-0.0001302412009582159,1.9372932525287953e-05,0.00096864662060557787,3.245105444143026,-0.0051056531756096422,-3.1193635457406614,-2.0580438487908306e-07,0.037059836031010235,-3.245105444143026,-1.7484605571965567e-07
31,0.32000000000000023,step,0,0,1.154054307744509e-09,0.000257567,1,1,-0.011157172669780779,0,0,-0.011399303229160402,-0.021948164971526615,-0.0014406785554725351,-0.0014626097947058776,0.00024213055937962261,-0.0001428446186581226,6.0092562943379757e-05,0.0030046282533741065,3.233439951319514,-0.02071399821313186,-3.1276635361458793,-8.190653848746706e-07,0.055389862886825514,-3.233439951319514,-8.0447702911970046e-07
32,0.33000000000000024,step,0,0,6.4223213414038582e-09,0.00025489099999999998,1,1,-0.011157172669780779,0,0,-0.011556623728704864,-0.0094349671306994606,-0.0014943524303290649,-0.0059860536136936383,0.00039945105892408468,-8.9170743801592761e-05,0.00016496591990138588,0.008248296134279038,3.222623304166663,-0.052327579011496102,-3.1455541401257481,-1.431586366292136e-06,0.071778378690770403,-3.222623304166663,-1.439410147374101e-06
33,0.34000000000000025,step,0,0,8.1930312534339578e-09,0.00025155300000000001,1,1,-0.011157172669780779,0,0,-0.011566624738973345,0.0044605975625919801,-0.0015376991779740513,-0.0033140622311702284,0.00040945206919256599,-4.5823996156606379e-05,0.00011482467092944489,0.0057412334848795099,3.2332108135491739,-0.053675869149079791,-3.1462590822264951,-1.7441449607754807e-06,0.05270797455924095,-3.2332108135491739,-1.7429408459083752e-06
34,0.35000000000000026,step,0,0,4.8489728898815088e-09,0.00026695199999999999,1,1,-0.011157172669780779,0,0,-0.011478174999345378,0.011667253297091326,-0.0015608852220166079,-0.0017015507974473274,0.00032100232956459862,-2.2637952114049759e-05,8.3179392030793757e-05,0.0041589695638992383,3.2402304000474875,-0.054376986601506437,-3.1469717846224481,-1.6773592758833694e-06,0.040813042184850171,-3.2402304000474875,-1.6705517832032128e-06
