tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
0,0.01,ramp,0,0,8.0973083793622891e-10,0.00085539700000000004,1,1,-0.011157172669780779,0,0,-0.011157172669780779,0,-0.0015835231741306577,0,0,0,8.8130268355149471e-07,4.4064968735622824e-05,3.239377422853265,-0.043318239381357912,-3.1437734981156691,2.0013469629107204e-07,0.040224951165823877,-3.239377422853265,2.1155571215053248e-07
1,0.020000000000000004,ramp,0,0,1.7027268484071101e-11,0.00045191300000000002,1,1,-0.011157172669780779,0,0,-0.01115706936824664,1.8493855180852776e-05,-0.0015835442032597321,-3.2660469091944588e-06,-1.0330153413923293e-07,2.1029129074374986e-08,1.0714926636978385e-06,5.3574636549316098e-05,3.2393841920300428,-0.043362177029283022,-3.1437909431545696,2.0091649048165208e-07,0.040225687920706119,-3.2393841920300428,2.1231734034386541e-07
2,0.030000000000000013,ramp,0,0,1.8195667195186616e-11,0.00042600299999999999,1,1,-0.011157172669780779,0,0,-0.011156791169658479,3.5625541986195831e-05,-0.0015835782617442153,-3.2523958747481864e-06,-3.8150012230016295e-07,5.5087613557575077e-08,1.3978132430035341e-06,6.9890665994118303e-05,3.239415445552507,-0.043387413444382308,-3.1437870752607315,2.0095456915153985e-07,0.040203886746309717,-3.239415445552507,2.1235614942719412e-07
3,0.040000000000000022,ramp,0,0,2.0361157204717983e-11,0.00041402399999999998,1,1,-0.011157172669780779,0,0,-0.011156344080712784,5.26732367360742e-05,-0.0015835998627012522,-1.1253227738994223e-06,-8.2858906799536391e-07,7.6688570594535266e-08,1.8424896299404966e-06,9.2124485992228517e-05,3.2394677731833048,-0.043399648253526761,-3.143766912127103,2.0124952319676265e-07,0.040162771279396436,-3.2394677731833048,2.1266818928961185e-07
4,0.050000000000000031,ramp,0,0,2.3170687590834405e-11,0.00041822300000000001,1,1,-0.011157172669780779,0,0,-0.011155724833115058,7.0345284092653026e-05,-0.0015835918640721659,2.4577881652024897e-06,-1.4478366657209862e-06,6.8689941508208452e-08,2.3986247634380316e-06,0.00011993124341701341,3.2395394466003284,-0.043401886661120249,-3.143733266358455,2.0172233679832457e-07,0.040103713834974415,-3.2395394466003284,2.1317208533877346e-07
5,0.060000000000000039,ramp,0,0,2.6505686534505912e-11,0.00040802600000000003,1,1,-0.011157172669780779,0,0,-0.011154924528703244,8.9121447392626258e-05,-0.0015835425845609962,7.0172382028651448e-06,-2.2481410775349042e-06,1.941043033856088e-08,3.0576970943344135e-06,0.00015288486077906434,3.2396291829648707,-0.043396516271555365,-3.1436884154146689,2.0230208254004665e-07,0.040027738392296168,-3.2396291829648707,2.1379513458656407e-07
6,0.070000000000000048,ramp,0,0,3.0382363291892034e-11,0.00040632800000000002,1,1,-0.011157172669780779,0,0,-0.011153929847128249,0.00010943339120972371,-0.0015834444067945068,1.2196114078951936e-05,-3.2428226525299531e-06,-7.8767336150926959e-08,3.9399639927700565e-06,0.00019699819901401874,3.2397359630071758,-0.043385667645317663,-3.1436344564176784,2.0291621713192295e-07,0.039935544408770243,-3.2397359630071758,2.1446337107624252e-07
7,0.080000000000000057,ramp,0,0,3.4899416689881946e-11,0.00040765499999999999,1,1,-0.011157172669780779,0,0,-0.011152722964677892,0.00013175988851730114,-0.0015832926130029314,1.7750933576497546e-05,-4.449705102887655e-06,-2.3056112772625037e-07,5.027340950284525e-06,0.0002513670467983181,3.2398590881484219,-0.043371237703793336,-3.143573363947473,2.0348600314076985e-07,0.039827324986381134,-3.2398590881484219,2.1509704501598014e-07
8,0.090000000000000066,ramp,0,0,4.0208281149034519e-11,0.00041853499999999999,1,1,-0.011157172669780779,0,0,-0.011151280788295772,0.00015667802172211623,-0.0015830843192621361,2.354011038097222e-05,-5.8918814850074386e-06,-4.3885486852163202e-07,6.2047265729908434e-06,0.00031023632785154726,3.2399982568517895,-0.043354900854884436,-3.143506998371735,2.0392442711599355e-07,0.039702639812965949,-3.2399982568517895,2.1560858080881407e-07
9,0.10000000000000007,ramp,0,0,4.6500581163400057e-11,0.00041161300000000002,1,1,-0.011157172669780779,0,0,-0.011149573808337084,0.00018489315273407565,-0.0015828175539258542,2.950768242289116e-05,-7.5988614436951762e-06,-7.0562020480346294e-07,7.4544361215789853e-06,0.00037272180520514075,3.2401536264401658,-0.043338150568184332,-3.1434371152863951,2.0413508748156403e-07,0.039560348950260844,-3.2401536264401658,2.159014712896915e-07
10,0.11000000000000008,ramp,0,0,5.400413449763164e-11,0.00041616199999999998,1,1,-0.011157172669780779,0,0,-0.011147564705322084,0.00021726056889579434,-0.0015824905014465802,3.5666863021433242e-05,-9.6079644586952173e-06,-1.0326726840774805e-06,8.7582430480293833e-06,0.00043791215145506777,3.2403258684330982,-0.043322357230917465,-3.1433653788966853,2.0401121308872129e-07,0.039398571128120778,-3.2403258684330982,2.1586928466990098e-07
11,0.12000000000000009,ramp,0,0,6.2985283655336843e-11,0.000424974,1,1,-0.011157172669780779,0,0,-0.011145206750769035,0.00025480607666472405,-0.0015821008938386597,4.2086604308371996e-05,-1.1965919011744375e-05,-1.4222802919980002e-06,1.0098013982945707e-05,0.00050490069812844044,3.2405162289877936,-0.043308827221891291,-3.1432933750219716,2.0343435665466614e-07,0.039214637605870441,-3.2405162289877936,2.15394350307833e-07
12,0.13000000000000009,ramp,0,0,7.3752559615058999e-11,0.00044320299999999998,1,1,-0.011157172669780779,0,0,-0.011142441988959103,0.00029874957778199657,-0.0015816455123433097,4.888231779508396e-05,-1.473068082167607e-05,-1.8776617873479673e-06,1.1456290002877212e-05,0.00057281449904951097,3.2407266021968741,-0.043298855978785682,-3.1432226209868173,2.0227251316584493e-07,0.039005025321281354,-3.2407266021968741,2.1434588785342407e-07
13,0.1400000000000001,ramp,0,0,8.666667383749882e-11,0.00054348899999999997,1,1,-0.011157172669780779,0,0,-0.011139199157018572,0.00035053386362253307,-0.0015811197579540179,5.6210674344697275e-05,-1.7973512762206947e-05,-2.4034161766398054e-06,1.2816800798505917e-05,0.00064084003874895473,3.2409596205842082,-0.043293773608433742,-3.1431545716957636,2.0037751758311005e-07,0.038765261510407253,-3.2409596205842082,2.1257743033797158e-07
14,0.15000000000000011,ramp,0,0,1.0214684653675477e-10,0.00026236100000000002,1,1,-0.011157172669780779,0,0,-0.011135391284069953,0.00041185992449844979,-0.0015805172533245159,6.4267922046887748e-05,-2.1781385710826356e-05,-3.0059208061417736e-06,1.4164918195496302e-05,0.0007082459085061641,3.2412187653138993,-0.043294984350382627,-3.143090622191131,1.975816063658293e-07,0.038489796104197352,-3.2412187653138993,2.0992343541779049e-07
15,0.16000000000000011,ramp,0,0,1.2068346322280377e-10,0.00026456599999999999,1,1,-0.011157172669780779,0,0,-0.011130912900027299,0.00048472961849017199,-0.0015798294446650813,7.3291101789640153e-05,-2.6259769753480405e-05,-3.6937294655764105e-06,1.5488063376455435e-05,0.00077440316744717289,3.2415084979999143,-0.043304001943880663,-3.1430321070894998,1.9369301629319184e-07,0.03817183953137214,-3.2415084979999143,2.0619495004525435e-07
16,0.17000000000000012,ramp,0,0,1.4284873284253763e-10,0.00025968299999999997,1,1,-0.011157172669780779,0,0,-0.011125636777450602,0.00057149633846845498,-0.0015790451777239973,8.3561669934304871e-05,-3.1535892330177701e-05,-4.4779964066604325e-06,1.6776084509777899e-05,0.00083880422398676844,3.2418344160358203,-0.043322482610380506,-3.142980296811388,1.8849046745123212e-07,0.03780316340431282,-3.2418344160358203,2.0117418197464457e-07
17,0.18000000000000013,ramp,0,0,1.6930978841145361e-10,0.00027098600000000002,1,1,-0.011157172669780779,0,0,-0.01111941012422404,0.00067492419205606802,-0.0015781502257883337,9.5411221915345582e-05,-3.7762545556738886e-05,-5.3729483423239563e-06,1.8021622100716219e-05,0.00090108110338185362,3.242203433648629,-0.043352256499986259,-3.1429363896644498,1.8171632895326426e-07,0.03737386078268104,-3.242203433648629,1.9460777962622176e-07
