candidate,source,tick,time_s,contact_left,contact_right
B,common,0,0,1,1
B,common,46,0.46000000000000035,1,1
B,common,74,0.74000000000000055,1,1
B,common,101,1.0100000000000007,1,1
B,common,110,1.1000000000000008,1,1
B,own,0,0,1,1
B,own,93,0.93000000000000071,1,1
B,own,97,0.97000000000000075,1,1
B,own,98,0.98000000000000076,1,1
B,own,101,1.0100000000000007,1,1
B,own,115,1.1500000000000008,1,1
B,own,119,1.1900000000000008,1,1
C,common,0,0,1,1
C,common,46,0.46000000000000035,1,1
C,common,74,0.74000000000000055,1,1
C,common,101,1.0100000000000007,1,1
C,common,110,1.1000000000000008,1,1
C,own,0,0,1,1
C,own,84,0.84000000000000064,1,1
C,own,94,0.94000000000000072,1,1
C,own,98,0.98000000000000076,1,1
C,own,102,1.0200000000000007,1,1
C,own,103,1.0300000000000007,1,1
C,own,106,1.0600000000000007,1,1
D,common,0,0,1,1
D,common,46,0.46000000000000035,1,1
D,common,74,0.74000000000000055,1,1
D,common,101,1.0100000000000007,1,1
D,common,110,1.1000000000000008,1,1
D,own,0,0,1,1
D,own,103,1.0300000000000007,1,1
D,own,110,1.1000000000000008,1,1
D,own,113,1.1300000000000008,1,1
D,own,120,1.2000000000000008,1,1
D,own,121,1.2100000000000009,1,1
D,own,124,1.2400000000000009,1,1
