candidate,source,tick,realization,side,base,leg,wheel,jdot_v,sum,reported,closure_error
C,own,0,qp,0,1.0962336235190838e-21,1.4157854713082747e-10,0.0,0.0,1.4157854713192369e-10,1.4157854713082747e-10,1.0962211067859e-21
C,own,0,mj_native,0,0.0,-0.010333090379432839,0.0,1.734723475976807e-18,-0.010333090379432837,-0.010333090379432837,0.0
C,own,0,qp,1,1.1223953251065067e-21,2.456483239680874e-10,0.0,0.0,2.4564832396920977e-10,2.456483239680874e-10,1.1223806936578894e-21
C,own,0,mj_native,1,-6.627123792610471e-19,-0.053392434196981586,0.0,-4.85722573273506e-17,-0.053392434196981635,-0.053392434196981635,0.0
C,own,84,qp,0,2.592187943926529e-16,0.49588038536486634,0.0,-0.0005244234114627586,0.49535596195340387,0.4953559619534038,5.551115123125783e-17
C,own,84,mj_native,0,1.7271970393136878e-11,-0.5744793033332711,0.0,-0.0005244234416732496,-0.5750037267576724,-0.5750037267576724,0.0
C,own,84,qp,1,1.3275812407301562e-16,0.5400669812542075,0.0,-0.0006491216954962343,0.5394178595587114,0.5394178595587114,0.0
C,own,84,mj_native,1,1.7348109461399786e-11,-0.616864292147219,0.0,-0.000649121696838173,-0.6175134138267091,-0.6175134138267091,0.0
C,own,94,qp,0,7.190965148002201e-16,1.403765604391203,0.0,-0.005926647991461307,1.3978389563997424,1.3978389563997424,0.0
C,own,94,mj_native,0,2.704435571624681e-12,-1.6159581022865785,0.0,-0.005926648135148316,-1.6218847504190224,-1.6218847504190226,2.220446049250313e-16
C,own,94,qp,1,3.656472157297915e-16,1.5145290611964914,0.0,-0.00650207036777041,1.5080269908287214,1.5080269908287214,0.0
C,own,94,mj_native,1,1.8486964555185243e-10,-1.7227775710310773,0.0,-0.0065020704420093445,-1.729279641288217,-1.7292796412882172,2.220446049250313e-16
C,own,98,qp,0,1.013864645666586e-17,2.109762529012601,0.0,-0.012665880419768814,2.0970966485928324,2.0970966485928324,0.0
C,own,98,mj_native,0,5.144442990439055e-11,-2.4332272488607916,0.0,-0.0126658800013697,-2.4458931288107166,-2.4458931288107166,0.0
C,own,98,qp,1,-5.364955982826095e-16,2.2637084762904336,0.0,-0.012980426766827001,2.250728049523606,2.250728049523606,0.0
C,own,98,mj_native,1,3.2065589231788503e-10,-2.583159280158927,0.0,-0.012980427262326177,-2.596139707100597,-2.5961397071005976,4.440892098500626e-16
C,own,102,qp,0,1.411306537449554e-17,2.89818446013254,0.0,-0.004814578287875224,2.893369881844665,2.893369881844665,0.0
C,own,102,mj_native,0,1.78677329933701e-09,-2.9181752512164434,0.0,-0.004814580582376049,-2.922989830012046,-2.922989830012046,0.0
C,own,102,qp,1,-1.6210656381233375e-15,3.044646091241057,0.0,0.0027104318777803754,3.0473565231188355,3.0473565231188355,0.0
C,own,102,mj_native,1,7.913518458781306e-10,-3.0958211637609505,0.0,0.002710429870674158,-3.0931107330989245,-3.093110733098925,4.440892098500626e-16
C,own,103,qp,0,1.761045793215131e-18,2.6215791180645516,0.0,0.025873115172670602,2.6474522332372223,2.6474522332372223,0.0
C,own,103,mj_native,0,5.336737702149811e-10,-2.2440473544406343,0.0,0.025873109845061748,-2.218174244061899,-2.218174244061899,0.0
C,own,103,qp,1,1.7479478905344889e-15,2.95755548308121,0.0,0.02954549264453732,2.987100975725749,2.987100975725749,0.0
C,own,103,mj_native,1,8.516238698358664e-10,-3.7624105222751725,0.0,0.02954549006515883,-3.73286503135839,-3.73286503135839,0.0
C,own,106,qp,0,-8.158267263592364e-17,1.2183931854358239,0.0,0.24574299044542514,1.464136175881249,1.464136175881249,0.0
C,own,106,mj_native,0,8.309136628421547e-11,-3.450172044089636,0.0,0.24574299095680452,-3.2044290530497404,-3.20442905304974,-4.440892098500626e-16
C,own,106,qp,1,-8.158267263592364e-17,2.3885702560371413,0.0,0.1916275022427574,2.580197758279899,2.580197758279899,0.0
C,own,106,mj_native,1,-5.749963112422944e-10,-4.502395252176658,0.0,0.1916275017703839,-4.31076775098127,-4.31076775098127,0.0
