candidate,source,tick,channel,output_family,classification,plus_regime_valid,minus_regime_valid,plus_trusted,minus_trusted,family_trusted,branch_relative,plus_scale,minus_scale
B,common,0,native_common,native_wheel,R44-S,True,True,True,True,True,1.7624686249144174e-11,1.0,1.0
B,common,0,native_common,xi,R44-S,True,True,True,True,True,2.222122062906012e-11,1.0,1.0
B,common,0,native_common,slip,R44-S,True,True,True,True,True,9.431174968912474e-10,1.0,1.0
B,common,0,native_common,base,R44-S,True,True,True,True,True,2.2484341975880553e-11,1.0,1.0
B,common,0,native_common,normal_load,R44-S,True,True,True,True,True,2.4319189752559186e-09,1.0,1.0
B,common,0,native_differential,native_wheel,R44-S,True,True,True,True,True,4.666595162679707e-12,1.0,1.0
B,common,0,native_differential,xi,R44-S,True,True,True,True,True,4.8769951567767816e-11,1.0,1.0
B,common,0,native_differential,slip,R44-S,True,True,True,True,True,1.9106363500445664e-10,1.0,1.0
B,common,0,native_differential,base,R44-S,True,True,True,True,True,8.632333516621766e-09,1.0,1.0
B,common,0,native_differential,normal_load,R44-S,True,True,True,True,True,2.902513499564281e-10,1.0,1.0
B,common,46,native_common,native_wheel,R44-S,True,True,True,True,True,1.2647579592410244e-08,1.0,1.0
B,common,46,native_common,xi,R44-S,True,True,True,True,True,1.61503668167003e-08,1.0,1.0
B,common,46,native_common,slip,R44-S,True,True,True,True,True,6.833195823389449e-07,1.0,1.0
B,common,46,native_common,base,R44-S,True,True,True,True,True,1.6373247018050093e-08,1.0,1.0
B,common,46,native_common,normal_load,R44-S,True,True,True,True,True,6.085557960258737e-07,1.0,1.0
B,common,46,native_differential,native_wheel,R44-S,True,True,True,True,True,3.016996339629726e-10,1.0,1.0
B,common,46,native_differential,xi,R44-S,True,True,True,True,True,3.1622836501049927e-09,1.0,1.0
B,common,46,native_differential,slip,R44-S,True,True,True,True,True,8.512413285682508e-09,1.0,1.0
B,common,46,native_differential,base,R44-S,True,True,True,True,True,2.7412118575669424e-08,1.0,1.0
B,common,46,native_differential,normal_load,R44-S,True,True,True,True,True,6.556243166803821e-10,1.0,1.0
B,common,74,native_common,native_wheel,R44-S,True,True,True,True,True,4.829905906289765e-11,1.0,1.0
B,common,74,native_common,xi,R44-S,True,True,True,True,True,4.876763510697017e-09,1.0,1.0
B,common,74,native_common,slip,R44-S,True,True,True,True,True,1.5035632421814586e-07,1.0,1.0
B,common,74,native_common,base,R44-S,True,True,True,True,True,1.5663372891869852e-09,1.0,1.0
B,common,74,native_common,normal_load,R44-S,True,True,True,True,True,3.2193941403332407e-10,1.0,1.0
B,common,74,native_differential,native_wheel,R44-S,True,True,True,True,True,2.845026824273041e-11,1.0,1.0
B,common,74,native_differential,xi,R44-S,True,True,True,True,True,7.819289002506666e-10,1.0,1.0
B,common,74,native_differential,slip,R44-S,True,True,True,True,True,4.365357867520742e-08,1.0,1.0
B,common,74,native_differential,base,R44-S,True,True,True,True,True,4.704349794564056e-09,1.0,1.0
B,common,74,native_differential,normal_load,R44-S,True,True,True,True,True,1.7831807636541354e-09,1.0,1.0
B,common,101,native_common,native_wheel,R44-S,True,True,False,False,False,0.022562035177316177,1.0,1.0
B,common,101,native_common,xi,R44-P,True,True,False,False,False,1.0307764064044151,1.0,1.0
B,common,101,native_common,slip,R44-P,True,True,False,False,False,1.0622760761543484,1.0,1.0
B,common,101,native_common,base,R44-S,True,True,False,False,False,0.007962207212470344,1.0,1.0
B,common,101,native_common,normal_load,R44-S,True,True,False,False,False,0.005368743476402249,1.0,1.0
B,common,101,native_differential,native_wheel,R44-S,True,True,False,False,False,0.0009638156789087458,1.0,1.0
B,common,101,native_differential,xi,R44-P,True,True,False,False,False,1.2366938848016846,1.0,1.0
B,common,101,native_differential,slip,R44-P,True,True,False,False,False,0.3396980236601326,1.0,1.0
B,common,101,native_differential,base,R44-P,True,True,False,False,False,0.09727120184907925,1.0,1.0
B,common,101,native_differential,normal_load,R44-S,True,True,False,False,False,0.04414496057718827,1.0,1.0
B,common,110,native_common,native_wheel,R44-S,True,True,False,True,False,0.000717437470770008,1.0,1.0
