candidate,source,tick,channel,signed_scale,signature_id,solver_success,contact_count_left,contact_count_right,active_torque,active_contact,active_acceleration,slack_state,full_dynamics_residual,contact_reconstruction_residual,same_as_baseline_regime
B,common,0,baseline,0.0,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,0,native_common,-1.0,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,0,native_common,1.0,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,1.4210854715202004e-14,0.0,True
B,common,0,native_common,-0.5,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,4.263256414560601e-14,0.0,True
B,common,0,native_common,0.5,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,2.1316282072803006e-14,0.0,True
B,common,0,native_common,-0.25,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,1.4210854715202004e-14,0.0,True
B,common,0,native_common,0.25,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,3.3861802251067274e-15,0.0,True
B,common,0,native_differential,-1.0,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,4.263256414560601e-14,0.0,True
B,common,0,native_differential,1.0,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,2.1316282072803006e-14,0.0,True
B,common,0,native_differential,-0.5,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,1.4432899320127035e-15,0.0,True
B,common,0,native_differential,0.5,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,0,native_differential,-0.25,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,0,native_differential,0.25,ec0cb7e509eaf211,True,2,2,0,0,0,nonmaterial,1.4210854715202004e-14,0.0,True
B,common,46,baseline,0.0,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,46,native_common,-1.0,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,46,native_common,1.0,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,46,native_common,-0.5,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,46,native_common,0.5,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,2.6487059073820873e-15,0.0,True
B,common,46,native_common,-0.25,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,5.812624687129286e-15,0.0,True
B,common,46,native_common,0.25,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,1.8596235662471372e-15,0.0,True
B,common,46,native_differential,-1.0,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,1.4210854715202004e-14,0.0,True
B,common,46,native_differential,1.0,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,46,native_differential,-0.5,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,2.1316282072803006e-14,0.0,True
B,common,46,native_differential,0.5,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,46,native_differential,-0.25,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,2.9004576518332215e-15,0.0,True
B,common,46,native_differential,0.25,f18ec7de0248584a,True,2,2,0,0,0,nonmaterial,7.105427357601002e-15,0.0,True
B,common,74,baseline,0.0,bc2d9340d6fdc1bc,True,2,2,0,0,1,nonmaterial,5.684341886080802e-14,0.0,True
B,common,74,native_common,-1.0,bc2d9340d6fdc1bc,True,2,2,0,0,1,nonmaterial,5.237477118669176e-14,0.0,True
