record_kind,control_tick,physics_substep,time_s,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,qacc0,qacc1,qacc2,qacc3,qacc4,qacc5,qacc6,qacc7,qacc8,qacc9,qacc10,qacc11,qacc12,qacc13,qacc14,qacc15
pre_command,0,-1,0,0,0,0.34771766403249466,1,0,0,0,-0.34332947374181766,0.56939922717896074,0,-0.572545089643551,-0.57298754806458774,-0.35472149355205396,0.56940450899640016,0,0.57259793095695366,-0.57303458598129986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11619302787075274,0.0020239836566174193,-9.9089136138181839,0.0050355098869265466,-0.33400692037844953,0.039831396594823862,42.139371577952538,-71.138201647219717,48.267759564736295,77.20850921091855,77.376898024162259,43.081150190428588,-73.591341523691611,50.561457855380532,-79.698230463340153,79.832418614866469
post_command,0,-1,0,0,0,0.34771766403249466,1,0,0,0,-0.34332947374181766,0.56939922717896074,0,-0.572545089643551,-0.57298754806458774,-0.35472149355205396,0.56940450899640016,0,0.57259793095695366,-0.57303458598129986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044899868693107324,3.1446312396198666,-1.7898405885383532e-07,-0.038661280765195087,3.2402320309996417,-1.90399545647433e-07,-0.0023396848566053703,0.14129242921557192,0.025487405629048637,-0.48188903807891525,-0.28800397156419028,-0.025246227827718883,-2.5799889371029794,4.8184298299636055,-3.2100427674088392,-4.7856080560139223,-4.7319073302929455,0.42390896215653423,-0.10837228580310454,-0.21955222087502937,-0.1669963306232321,0.17387607340593281
stepped,0,0,0.002,-9.3587386075645045e-09,5.6516969344099624e-07,0.34771776598211329,0.99999999999936839,-9.6377802790909569e-07,-5.7600791963356297e-07,-5.0492436316210065e-08,-0.34333979369682899,0.5694185008970164,-1.2840170149864339e-05,-0.5725642320738582,-0.57300647569014129,-0.35471979791628405,0.56940407550724625,-8.7820877409797035e-07,0.57259726297065017,-0.57303389047566444,-4.6793693037822525e-06,0.00028258484672049814,5.0974809326451292e-05,-0.00096377802790929856,-0.00057600791963368422,-5.0492436316220692e-05,-0.0051599775056628472,0.0096368590278012468,-0.0064200850749321697,-0.009571215153600857,-0.0094638127767576099,0.0008478178849640562,-0.00021674457694587874,-0.00043910438704898515,-0.00033399315177271884,0.00034775281768385357,0.044899868693107324,3.1446312396198666,-1.7898405885383532e-07,-0.038661280765195087,3.2402320309996417,-1.90399545647433e-07,-0.003042193074757369,0.14148145645630764,0.024902012339562157,-0.47051780608870059,-0.2899903497613564,-0.030625428328038905,-2.0495048040660229,3.9173250201285406,-2.6068964510248089,-3.9075843673751014,-3.8774492121276234,0.4961706722011151,-0.22673110732110408,-0.13460541372005164,-0.26949379146053326,0.27319376370975162
stepped,0,1,0.0040000000000000001,-3.0886248097749696e-08,1.6962651863872919e-06,0.34771796753977724,0.99999999999437239,-2.8685916119544902e-06,-1.7319965252944459e-06,-1.6223569117514795e-07,-0.34335831167035841,0.56945344391381725,-3.6107925150547227e-05,-0.57259900484006809,-0.57304091310918293,-0.35471611759792926,0.569402735093687,-2.2948391188012308e-06,0.57259551700828293,-0.57303210219375611,-1.0763754745092594e-05,0.00056554774647314785,0.00010077883197947021,-0.0019048135900469052,-0.0011559885941469744,-0.0001117432717879211,-0.0092589867647002652,0.017471508400432052,-0.011633877500341444,-0.017386383104945401,-0.017218709520793456,0.0018401591774051579,-0.00067020677961802824,-0.0007083151723516302,-0.0008729811836195332,0.0008941409541835852,0.044899868693107324,3.1446312396198666,-1.7898405885383532e-07,-0.038661280765195087,3.2402320309996417,-1.90399545647433e-07,-0.0036318494534536248,0.1414347287299221,0.024435731630512322,-0.46053622337131667,-0.29161922183682287,-0.034823503717231356,-1.5991497520479212,3.1529240188656686,-2.0952533638475188,-3.1593585710097676,-3.1464375945337562,0.55702806170316177,-0.3268910793208063,-0.062480239482817598,-0.35705689548268049,0.35844841623848078
stepped,0,2,0.0060000000000000001,-6.6941153723777361e-08,3.3930995649418404e-06,0.3477182668403635,0.99999999997770261,-5.6944775641204064e-06,-3.4712235989277888e-06,-3.4362585306713393e-07,-0.3433832262422768,0.56950099862543746,-6.775669272063764e-05,-0.57264641503936509,-0.573087936275823,-0.35471020916745555,0.56940008711586876,-3.961390360368265e-06,0.57259234281751303,-0.57302888011708231,-1.8027452813013832e-05,0.00084841718927727416,0.00014965029312772661,-0.0028258859842054578,-0.0017392270117808925,-0.00018139025660154819,-0.012457285959181441,0.023777355810110874,-0.015824383785045207,-0.023705099648472006,-0.023511583320055443,0.0029542152368515085,-0.0013239889091241491,-0.00083327562078351711,-0.0015870953849387737,0.0016110383368855654,0.044899868693107324,3.1446312396198666,-1.7898405885383532e-07,-0.038661280765195087,3.2402320309996417,-1.90399545647433e-07,-0.0041227832871372754,0.14117038311661337,0.024070340210414928,-0.45159713969294357,-0.29293119123375405,-0.0379860141949631,-1.2183856564047009,2.5072435308693839,-1.6632647909211575,-2.5244419498385899,-2.5237517274906747,0.60763606055456065,-0.41069019464914625,-0.0018464164614564668,-0.43092410587835789,0.43069426014569473
stepped,0,3,0.0080000000000000002,-1.1948719076258116e-07,5.6546154436357739e-06,0.3477186624223062,0.99999999993861899,-9.423557677595866e-06,-5.7963131504458887e-06,-6.0098781860912099e-07,-0.34341301435629878,0.56955858231008483,-0.00010605851868928393,-0.57270392300562456,-0.57314505444724129,-0.35470187019288979,0.56939579637736282,-5.6353272276692363e-06,0.57258744492956992,-0.57302393526237827,-2.6273018519401901e-05,0.0011307579393469666,0.000197790971358801,-0.0037290802080269642,-0.0023250893674758317,-0.00025736226124990346,-0.014894057011006927,0.028791842323681153,-0.019150912984323139,-0.028753983129764148,-0.028559085709169003,0.0041694872828799169,-0.0021453692529728296,-0.00083696843365048542,-0.0024489439715721251,0.0024724273520010899,0.044899868693107324,3.1446312396198666,-1.7898405885383532e-07,-0.038661280765195087,3.2402320309996417,-1.90399545647433e-07,-0.0045276601761512457,0.14070446316679602,0.023789824749274577,-0.44342741871624891,-0.29396265667764138,-0.040246495214271642,-0.89791267718105394,1.9644095828377564,-1.3004325441998836,-1.988184570333811,-1.9958513397259336,0.64909042109049386,-0.47987194827371138,0.048547470100492596,-0.49234164807876557,0.49102657149901913
stepped,0,4,0.01,-1.9014386682678656e-07,8.4789491396807594e-06,0.3477191531635434,0.9999999998630793,-1.4039492456220815e-05,-8.7093282133395115e-06,-9.3884235008421414e-07,-0.34344639412060901,0.56962402363216169,-0.00014956207421281509,-0.57276938370966135,-0.57321015602253256,-0.35469093485681003,0.56938958615118473,-7.1150741930218422e-06,0.57258057767434956,-0.57301702630050189,-3.53283380321027e-05,0.0014121668480224924,0.00024537061860067629,-0.0046159349867005749,-0.0029130146534961003,-0.00033785522706343974,-0.016689882155121738,0.032720661038410183,-0.021751777761765588,-0.032730352018417827,-0.032550787645616551,0.0054676680398764495,-0.0031051130890290169,-0.00073987348267630316,-0.0034336276101838452,0.003454480938180648,0.044899868693107324,3.1446312396198666,-1.7898405885383532e-07,-0.038661280765195087,3.2402320309996417,-1.90399545647433e-07,-0.0048577400411385771,0.14005115257935849,0.023580202454022675,-0.43581214179084077,-0.29474598089754894,-0.041725715916612241,-0.62957322429761531,1.5104952481426661,-0.99751464232211251,-1.5376555224119233,-1.5507008536900837,0.68241675464510498,-0.53606908075393289,0.089866002518635774,-0.54253059289687422,0.54054337267931984
pre_command,1,-1,0.01,-1.9014386682678656e-07,8.4789491396807594e-06,0.3477191531635434,0.9999999998630793,-1.4039492456220815e-05,-8.7093282133395115e-06,-9.3884235008421414e-07,-0.34344639412060901,0.56962402363216169,-0.00014956207421281509,-0.57276938370966135,-0.57321015602253256,-0.35469093485681003,0.56938958615118473,-7.1150741930218422e-06,0.57258057767434956,-0.57301702630050189,-3.53283380321027e-05,0.0014121668480224924,0.00024537061860067629,-0.0046159349867005749,-0.0029130146534961003,-0.00033785522706343974,-0.016689882155121738,0.032720661038410183,-0.021751777761765588,-0.032730352018417827,-0.032550787645616551,0.0054676680398764495,-0.0031051130890290169,-0.00073987348267630316,-0.0034336276101838452,0.003454480938180648,0.044899868693107324,3.1446312396198666,-1.7898405885383532e-07,-0.038661280765195087,3.2402320309996417,-1.90399545647433e-07,-0.0048577400411385771,0.14005115257935849,0.023580202454022675,-0.43581214179084077,-0.29474598089754894,-0.041725715916612241,-0.62957322429761531,1.5104952481426661,-0.99751464232211251,-1.5376555224119233,-1.5507008536900837,0.68241675464510498,-0.53606908075393289,0.089866002518635774,-0.54253059289687422,0.54054337267931984
post_command,1,-1,0.01,-1.9014386682678656e-07,8.4789491396807594e-06,0.3477191531635434,0.9999999998630793,-1.4039492456220815e-05,-8.7093282133395115e-06,-9.3884235008421414e-07,-0.34344639412060901,0.56962402363216169,-0.00014956207421281509,-0.57276938370966135,-0.57321015602253256,-0.35469093485681003,0.56938958615118473,-7.1150741930218422e-06,0.57258057767434956,-0.57301702630050189,-3.53283380321027e-05,0.0014121668480224924,0.00024537061860067629,-0.0046159349867005749,-0.0029130146534961003,-0.00033785522706343974,-0.016689882155121738,0.032720661038410183,-0.021751777761765588,-0.032730352018417827,-0.032550787645616551,0.0054676680398764495,-0.0031051130890290169,-0.00073987348267630316,-0.0034336276101838452,0.003454480938180648,0.044409591211998403,3.1443653295371625,-1.501812815081366e-07,-0.03966580505605137,3.2393439330554177,-1.6107994701817744e-07,-0.0022635261490153566,0.13934204795458802,0.012334742976928678,-0.43493572654495694,-0.15357556746365908,-0.046781303557798977,-0.78410029720948005,1.5050385079164275,-0.91250721732175455,-1.5320210045785512,-1.5447910939483676,0.53866784210006013,-0.53701371659212593,0.12840922842997984,-0.54263186012243414,0.54081199975105565
stepped,1,0,0.012,-2.6985464651263235e-07,1.1860650989517272e-05,0.34771969324374996,0.99999999973728604,-1.9525298098862045e-05,-1.1929494892957812e-05,-1.3702627261881725e-06,-0.34348291028575406,0.56969548510757295,-0.00019671565816335642,-0.57284097249750188,-0.57328143676129206,-0.35467784484952408,0.56938122787028855,-8.0811842519656129e-06,0.57257153989107124,-0.57300795408983729,-3.9855389842922887e-05,0.0016908509249182562,0.00027004010327577279,-0.005485806377846153,-0.003220165773678332,-0.00043141780798986096,-0.018258082572520401,0.035730737705645867,-0.023576791975270656,-0.035794393920281241,-0.035640369379773662,0.0065450036429853661,-0.0041791404480677457,-0.00048305502947188492,-0.0045188916391577022,0.004536105332309576,0.044409591211998403,3.1443653295371625,-1.501812815081366e-07,-0.03966580505605137,3.2393439330554177,-1.6107994701817744e-07,-0.0025294703937010503,0.13852810113511732,0.012185341650890512,-0.42773581609020817,-0.1541578277235231,-0.047442179792457906,-0.56075270695291546,1.1280530326729827,-0.66134682114084509,-1.1560973506072392,-1.1720396351322995,0.564769631486845,-0.58179919752439724,0.16186836909193225,-0.58302134963094632,0.58080679981900663
