channel,scale,sign,delta_ddxi_common_m_s2,delta_a_t_common_m_s2,qp_ddxi_common_m_s2,qp_a_t_common_m_s2,mj_ddxi_common_m_s2,mj_a_t_common_m_s2,native_wheel_qacc_qp_common_rad_s2,native_wheel_qacc_mj_common_rad_s2,xi_qp_base_common,xi_qp_leg_nonwheel_common,xi_qp_wheel_common,xi_qp_jdot_v_common,xi_mj_base_common,xi_mj_leg_nonwheel_common,xi_mj_wheel_common,xi_mj_jdot_v_common,hard,maximum_normalized_slack,minimum_torque_margin_nm,dynamics_closure,contact_closure,reduction_delta_max_abs,qp_contact_0,qp_contact_1,qp_contact_2,qp_contact_3,qp_contact_4,qp_contact_5,qp_contact_6,qp_contact_7,qp_contact_8,qp_contact_9,qp_contact_10,qp_contact_11,mj_contact_0,mj_contact_1,mj_contact_2,mj_contact_3,mj_contact_4,mj_contact_5,mj_contact_6,mj_contact_7,mj_contact_8,mj_contact_9,mj_contact_10,mj_contact_11,mj_actuator_0,mj_actuator_1,mj_actuator_2,mj_actuator_3,mj_actuator_4,mj_actuator_5,mj_actuator_6,mj_actuator_7,mj_actuator_8,mj_actuator_9,mj_actuator_10,mj_actuator_11,mj_remaining_0,mj_remaining_1,mj_remaining_2,mj_remaining_3,mj_remaining_4,mj_remaining_5,mj_remaining_6,mj_remaining_7,mj_remaining_8,mj_remaining_9,mj_remaining_10,mj_remaining_11,mj_lhs_0,mj_lhs_1,mj_lhs_2,mj_lhs_3,mj_lhs_4,mj_lhs_5,mj_lhs_6,mj_lhs_7,mj_lhs_8,mj_lhs_9,mj_lhs_10,mj_lhs_11
xi_common_only,1.0,-1,-0.01,-0.0,-0.010009385271448207,-9.165893936485814e-05,-0.005085215473343572,-3.9306307693789955e-05,-1.8205085009228776,-2.405874804103873,-1.0722910517608142e-18,-0.01000938527144822,0.0,-2.8406096919120216e-17,-1.232066488849761e-18,-0.005085215473343544,0.0,-2.8406096919120216e-17,4.676292686411898e-11,0.001301712446414425,1.998216439882936,7.105427357601002e-15,0.0,0.0,-0.12177651787273025,-0.0007775449110931337,63.113172968744855,0.006284454223549396,0.7400242311379508,-0.010262574847934294,-0.3036888543503338,4.314829100572956,-0.0006763395698431464,-0.4301402960056783,4.384407225705524,-0.0011764316575838775,-0.0450709598613499,0.5948822857189073,62.468140430671276,0.10023608740994838,5.547154787446866,-0.0511531852557125,-0.3005057323216724,4.306684209330562,-0.0011821079798720966,-0.40446675255094305,4.317169745815546,-0.0010630861216130185,0.0,0.0,0.0,0.0,0.0,0.0,-0.045709878125337125,-3.1434947704735983,0.0015804330276774081,0.04488094625035833,-3.233710842619175,0.0017835601170639304,0.0,-4.440892098500626e-16,-7.105427357601002e-15,4.281481200862798e-08,-2.213852383070062e-06,-2.1313130194559946e-08,-2.19623868050549e-07,-5.817359915670506e-05,8.673617379884035e-18,2.4334762527548274e-06,-5.543680405109666e-05,2.3852447794681098e-18,-0.045070959861350346,0.5948822857189042,62.468140430671276,0.1002361302247584,5.547152573594481,-0.051153206568841605,-0.34621583007087775,1.1631312652578067,0.00039832504780532333,-0.35958337282433217,1.083403466392322,0.0007204739954510156
xi_common_only,1.0,1,0.01,0.0,0.009989993727529688,-9.771793133953564e-05,0.005085215473282463,3.930630768620921e-05,-1.5541397224003175,-2.358585762121294,-8.971562821912083e-19,0.009989993727529674,0.0,3.2959746043559335e-17,-1.1260818015227629e-18,0.00508521547328243,0.0,3.2959746043559335e-17,4.676203868569928e-11,0.0013871907024007593,1.9982831410326414,2.1316282072803006e-14,0.0,0.0,-0.10212103135940026,-0.0010552537089660316,63.112640263772676,0.0062159676579263134,0.7348491206956069,-0.008584993655432707,-0.301996525089442,4.315866315736348,-0.0006794465938274458,-0.4264162559596067,4.386735682212105,-0.0012283001948399687,-0.0430845445361534,0.5949317391225395,62.46951371174469,0.1001041391737445,5.5465863882498105,-0.051149245866994195,-0.3002489744212057,4.306911872948721,-0.001142632993483279,-0.4040884102776676,4.317583037328253,-0.0010035924915976879,0.0,0.0,0.0,0.0,0.0,0.0,-0.045141142840417106,-3.1432638976836795,0.001513732551516421,0.0446228809837755,-3.234056892494625,0.0017168589673587243,0.0,-4.440892098500626e-16,0.0,4.321246414207015e-08,-2.2405800129749744e-06,-2.151108136390183e-08,-2.0708254100342437e-07,-5.8160635224568935e-05,6.5052130349130266e-18,2.4476625538362573e-06,-5.543260234201877e-05,-1.6696713456276768e-17,-0.04308454453615285,0.5949317391225395,62.46951371174467,0.10010418238621072,5.546584147669795,-0.05114926737807442,-0.345390324344164,1.1635898146298151,0.00037109955803315707,-0.3594630816313379,1.0834707122312865,0.000713266475761201
xi_common_only,0.5,-1,-0.005,-0.0,-0.005009540521703717,-9.317368735847764e-05,-0.0025426077366407303,-1.9653153842214693e-05,-1.7539163062931458,-2.394052543608328,-1.0285073593618134e-18,-0.00500954052170373,0.0,-1.6046192152785466e-17,-1.2055703170140155e-18,-0.0025426077366407143,0.0,-1.6046192152785466e-17,4.6762704819514056e-11,0.0013230820104117838,1.998233115170362,7.105427357601002e-15,0.0,0.0,-0.11686264624447977,-0.0008469721106038197,63.11303979250181,0.0062673325821389625,0.7387304535273866,-0.0098431795497451,-0.3032657720351608,4.315088404363774,-0.0006771163258383218,-0.42920928599413327,4.384989339832185,-0.001189398791898869,-0.04457435603006621,0.5948946490698006,62.46848375093961,0.10020310035089164,5.547012687647607,-0.05115220040853141,-0.30044154284656055,4.3067411252350976,-0.0011722392332756384,-0.40437216698262424,4.317273068693721,-0.001048212714109208,0.0,0.0,0.0,0.0,0.0,0.0,-0.045567694304090425,-3.1434370522761084,0.0015637579086375173,0.04481642993369784,-3.2337973550880443,0.0017668848296379862,0.0,-8.881784197001252e-16,0.0,4.2914222599497866e-08,-2.220534292322647e-06,-2.1362617886281457e-08,-2.164885362193789e-07,-5.817035817315408e-05,-2.970713952610282e-17,2.4370228277337512e-06,-5.5435753622845336e-05,-2.883977778811442e-17,-0.04457435603006343,0.5948946490698006,62.468483750939605,0.10020314326511623,5.547010467113312,-0.05115222177114838,-0.3460094536391871,1.1632459026008157,0.0003915186753619443,-0.35955330002609787,1.0834202778520552,0.0007186721155289788
xi_common_only,0.5,1,0.005,0.0,0.004990148977785202,-9.62031833458242e-05,0.002542607736631274,1.965315384374125e-05,-1.6207319170307943,-2.3704080226166857,-9.409399745803417e-19,0.004990148977785189,0.0,-1.5504091066542713e-17,-1.1525779733525235e-18,0.0025426077366312895,0.0,-1.5504091066542713e-17,4.676237175260667e-11,0.0013658211384046629,1.9982664657452154,2.842170943040401e-14,0.0,0.0,-0.10703490298773591,-0.0009858265095262992,63.11277344001567,0.006233089299331418,0.7361428983061926,-0.009004388953526763,-0.3024196074046838,4.315607011945487,-0.0006786698378305803,-0.42734726597110545,4.386153568085468,-0.0012153330605260797,-0.04358114836743887,0.5949193757716174,62.4691703914763,0.1001371262327897,5.546728488049066,-0.05115023071417195,-0.30031316389632146,4.3068549570441785,-0.0011525017400803783,-0.40418299584598244,4.3174797144500765,-0.0010184658991009448,0.0,0.0,0.0,0.0,0.0,0.0,-0.04528332666163926,-3.1433216158811534,0.0015304076705562853,0.044687397300413226,-3.233970380025763,0.0017335342547846462,0.0,8.881784197001252e-16,7.105427357601002e-15,4.311305199688803e-08,-2.233898104610568e-06,-2.1461593783202625e-08,-2.1021787266806102e-07,-5.816387620657948e-05,-7.806255641895632e-18,2.4441159784132443e-06,-5.543365276926396e-05,-1.1709383462843448e-17,-0.043581148367440425,0.5949193757716172,62.469170391476275,0.10013716934584492,5.5467262541509585,-0.05115025217576495,-0.3455967007758337,1.163475177286818,0.00037790593047593095,-0.35949315442959096,1.083453900771543,0.0007150683556837595
xi_common_only,0.25,-1,-0.0025,-0.0,-0.002509618146831481,-9.393106135511912e-05,-0.001271303868466308,-9.826576921580926e-06,-1.7206202089736893,-2.3881414133603207,-1.006615513165721e-18,-0.0025096181468314935,0.0,-1.2902005852577503e-17,-1.1923222310981766e-18,-0.001271303868466295,0.0,-1.2902005852577503e-17,4.676248277490913e-11,0.0013337667924110844,1.9982414528140764,1.4210854715202004e-14,0.0,0.0,-0.11440571042999925,-0.000881685710298923,63.11297320438042,0.006258771761435966,0.7380835647220125,-0.009633481900683506,-0.30305423087750605,4.315218056259232,-0.0006775047038367799,-0.42874378098833255,4.385280396895546,-0.0011958823590562618,-0.04432605411436974,0.5949008307452823,62.46865541107394,0.10018660682136904,5.546941637747971,-0.05115170798494335,-0.3004094481089955,4.30676958318738,-0.00116730485997595,-0.40432487419845775,4.317324730132828,-0.0010407760103560409,0.0,0.0,0.0,0.0,0.0,0.0,-0.0454966023934789,-3.1434081931773794,0.0015554203491162605,0.04478417177537226,-3.233840611322493,0.0017585471859237042,0.0,0.0,-1.4210854715202004e-14,4.29639297268008e-08,-2.2238752447284932e-06,-2.1387361808470046e-08,-2.1492087055359403e-07,-5.816873768207942e-05,-9.540979117872439e-18,2.4387961158060804e-06,-5.5435228408626e-05,2.6020852139652106e-17,-0.04432605411437307,0.5949008307452806,62.46865541107394,0.10018664978529829,5.546939413872726,-0.05115172937230476,-0.3459062654233452,1.1633032212723182,0.000388115489140319,-0.35953826362697083,1.0834286835819267,0.0007177711755676488
xi_common_only,0.25,1,0.0025,0.0,0.0024902266029129877,-9.544580934911506e-05,0.0012713038684301205,9.826576924557712e-06,-1.654028014349377,-2.376319152864775,-9.628318207742068e-19,0.002490226602912975,0.0,4.461491939777851e-17,-1.1658260592669754e-18,0.0012713038684300758,0.0,4.461491939777851e-17,4.676237175260667e-11,0.0013551363564059946,1.9982581281015015,2.1316282072803006e-14,0.0,0.0,-0.1094918388021413,-0.0009511129097730429,63.112840028137256,0.006241650120034414,0.736789787111549,-0.00921408660256648,-0.30263114856234236,4.315477360050036,-0.0006782814598318399,-0.4278127709768837,4.385862511022138,-0.001208849493369032,-0.04382945028311713,0.5949131940961823,62.468998731342154,0.10015361976231496,5.5467995379487105,-0.051150723137763546,-0.30034525863388517,4.306826499091905,-0.0011574361133798012,-0.4042302886301463,4.317428053010989,-0.00102590260285347,0.0,0.0,0.0,0.0,0.0,0.0,-0.04535441857224619,-3.1433504749798864,0.0015387452300772114,0.04471965545873317,-3.233927123791338,0.0017418718984985974,0.0,-4.440892098500626e-16,-7.105427357601002e-15,4.306334498060739e-08,-2.2305571504283645e-06,-2.143684954876381e-08,-2.117855387779351e-07,-5.816549669847293e-05,1.1709383462843448e-17,2.44234269106256e-06,-5.543417798152653e-05,-1.452830911130576e-17,-0.04382945028311813,0.5949131940961814,62.468998731342126,0.10015366282566192,5.546797307391556,-0.05115074457461226,-0.3456998889916704,1.1634178586153183,0.0003813091166974036,-0.3595081908287222,1.0834454950416683,0.0007159692956452148
slip_common_only,1.0,-1,-0.0,-0.01,-6.6662759755102465e-06,-0.010065110590575447,0.04295093192622092,-0.0003084228866068149,-2.7374397492011626,-2.483228777975804,-1.8391144058049207e-18,-6.66627597553128e-06,0.0,6.765421556309548e-17,-1.6964265358248858e-18,0.04295093192622085,0.0,6.765421556309548e-17,4.6769255135359344e-11,0.0009270804127367311,1.9979241278035946,7.105427357601002e-15,0.0,0.0,-0.20069614088614604,0.000445337796187864,63.11550614789142,0.006587131550650938,0.7609630871360662,-0.01761173743331281,-0.31019227729699045,4.310831302566219,-0.0007518772638568762,-0.4455443946410038,4.37475802752704,-0.0010381937860673013,-0.05563081158164085,0.5946749415776749,62.46310212446752,0.10081459489668632,5.550377736611774,-0.05117131112749752,-0.30193963737173046,4.305543687357463,-0.0014012736575252111,-0.406435068362178,4.315215254531155,-0.0013700291595468341,0.0,0.0,0.0,0.0,0.0,0.0,-0.046555372467857216,-3.1436135484150185,0.001872742158936316,0.04766202899701001,-3.231291718507454,0.0020758721964053684,0.0,-8.881784197001252e-16,-7.105427357601002e-15,4.1073282088361985e-08,-2.1656659140051352e-06,-2.0446199382708366e-08,-2.3992123670807436e-07,-5.820595677505369e-05,1.734723475976807e-18,2.4055871509041366e-06,-5.5431348259070174e-05,1.9081958235744878e-17,-0.05563081158164507,0.5946749415776751,62.463102124467504,0.10081463596996992,5.550375570945859,-0.05117133157369676,-0.3484952497608246,1.1618719329856677,0.0004714685014110982,-0.35877063377801816,1.083868104675441,0.0007058430368585113
slip_common_only,1.0,1,0.0,0.01,-1.2725267943011851e-05,0.009875733719871195,-0.04295093192621256,0.0003084228866092262,-0.6372084741227757,-2.281231788248831,-1.303329281351297e-19,-1.2725267943016188e-05,0.0,4.683753385137379e-17,-6.617217545403331e-19,-0.042950931926212604,0.0,4.683753385137379e-17,4.675582143676138e-11,0.0017618227360800347,1.9985754531119835,7.105427357601002e-15,0.0,0.0,-0.023201408346076362,-0.0022781364162945987,63.1103070846261,0.005913290330820331,0.7139102646975137,-0.0012358310699384439,-0.2954931021428671,4.319864113743035,-0.0006039088998109547,-0.41101215732422275,4.396384880390623,-0.0013665380663571668,-0.03252469281583181,0.5951390832637533,62.474552017948426,0.09952563168699591,5.543363439084889,-0.0511311199952055,-0.29881506937114805,4.308052394921818,-0.0009234673158302527,-0.40212009446642194,4.319537528612651,-0.0006966494536622561,0.0,0.0,0.0,0.0,0.0,0.0,-0.04429564849786734,-3.143145119742241,0.0012214234202567007,0.041841798237095974,-3.2364760166063617,0.0014245468880164753,0.0,-4.440892098500626e-16,-7.105427357601002e-15,4.4953994950514564e-08,-2.2887664820399005e-06,-2.23780121896312e-08,-1.8678517256794361e-07,-5.8128277605581924e-05,-9.324138683375338e-18,2.4755516554093923e-06,-5.543805813296973e-05,1.5829351718288365e-17,-0.032524692815833256,0.5951390832637533,62.474552017948426,0.09952567664098974,5.543361150318407,-0.051131142373217434,-0.34311090465418786,1.1648491469019704,0.0002979561044265045,-0.3602758206776711,1.0830060739481568,0.0007278974343542053
slip_common_only,0.5,-1,-0.0,-0.005,-8.181023967348405e-06,-0.005079899512963762,0.021475465963020832,-0.00015421144331052156,-2.2123819304288643,-2.4327295305436563,-1.4119190363939435e-18,-8.181023967365753e-06,0.0,-4.0766001685454967e-17,-1.4377503405076666e-18,0.021475465963020874,0.0,-4.0766001685454967e-17,4.676592446628547e-11,0.0011357659935722392,1.9980869591306931,1.4210854715202004e-14,0.0,0.0,-0.1563224577509093,-0.00023553075690982238,63.11420638207522,0.006418671245696395,0.7491998815263705,-0.013517760842531765,-0.30651748350839153,4.313089505360473,-0.0007148851728459738,-0.4369113353118165,4.380164740742942,-0.0011202798561385143,-0.049854281890143515,0.5947909769992066,62.46596459783788,0.10049235409426949,5.548624162230049,-0.051161263344425764,-0.3011584953715758,4.306170864248568,-0.0012818220720999956,-0.4053563248882348,4.316295823051542,-0.0012016842330749204,0.0,0.0,0.0,0.0,0.0,0.0,-0.04599044147537745,-3.1434964412468465,0.0017099124742650696,0.046206971307045,-3.232587793032184,0.001913040869306804,0.0,4.440892098500626e-16,7.105427357601002e-15,4.204346035941128e-08,-2.1964410564579163e-06,-2.0929152358925024e-08,-2.2663722057589717e-07,-5.818653698198839e-05,1.496198998029996e-17,2.4230782772247395e-06,-5.5433025728199054e-05,-8.456776945386935e-18,-0.04985428189014485,0.5947909769992057,62.465964597837875,0.10049239613773003,5.548621965788993,-0.05116128427357812,-0.3471491634841737,1.1626162364647388,0.0004280904021651445,-0.35914693050291346,1.0836525969936295,0.0007113566362318864
slip_common_only,0.5,1,0.0,0.005,-1.1210519951136396e-05,0.004890522642259528,-0.021475465963166955,0.00015421144330006117,-1.1622662928907046,-2.3317310356805394,-5.575282975577025e-19,-1.1210519951145286e-05,0.0,3.0357660829594124e-17,-9.20397949864589e-19,-0.021475465963166986,0.0,3.0357660829594124e-17,4.675904108353279e-11,0.001553137155243841,1.9984126217848865,1.4210854715202004e-14,0.0,0.0,-0.06757509148095753,-0.0015972678631436005,63.111606850442456,0.006081750635779315,0.7256734703071165,-0.00532980766083156,-0.29916789593134946,4.3176059109488625,-0.0006409009908234565,-0.4196452166534296,4.390978167174724,-0.0012844519962842728,-0.0383012225072723,0.5950230478422411,62.47168954457824,0.09984787248942162,5.54511701346661,-0.05114116777827933,-0.29959621137129,4.307425218030735,-0.0010429189012534118,-0.40319883794036115,4.318456960092279,-0.000864994380133395,0.0,0.0,0.0,0.0,0.0,0.0,-0.0448605794903783,-3.143262226910446,0.0013842531049262942,0.04329685592708552,-3.2351799420816314,0.0015873782151133902,0.0,4.440892098500626e-16,0.0,4.398381723457678e-08,-2.2579913404752987e-06,-2.189505879708091e-08,-2.0006918853358736e-07,-5.81476973991607e-05,2.8189256484623115e-18,2.458060529310834e-06,-5.54363806647776e-05,1.7997756063259374e-17,-0.038301222507274524,0.5950230478422412,62.471689544578226,0.09984791647323883,5.545114755475269,-0.051141189673338236,-0.3444569909308569,1.1641048434228891,0.00034133420367292704,-0.3598995239527471,1.0832215816299837,0.0007223838349799685
