channel,branch,scale,dof,joint,g_mj_ddxi_common_contribution
xi_common_only,-,1.0,6,right_hip_joint,0.19561561728778654
xi_common_only,-,1.0,7,right_knee_joint,-0.01531575783684791
xi_common_only,-,1.0,9,right_connect1_joint,-0.0
xi_common_only,-,1.0,10,right_connect2_joint,-0.0
xi_common_only,-,1.0,11,left_hip_joint,0.3354718384241024
xi_common_only,-,1.0,12,left_knee_joint,-0.007250150537223277
xi_common_only,-,1.0,14,left_connect1_joint,-0.0
xi_common_only,-,1.0,15,left_connect2_joint,-0.0
xi_common_only,-,0.5,6,right_hip_joint,0.19561561729695143
xi_common_only,-,0.5,7,right_knee_joint,-0.015315757840117517
xi_common_only,-,0.5,9,right_connect1_joint,-0.0
xi_common_only,-,0.5,10,right_connect2_joint,-0.0
xi_common_only,-,0.5,11,left_hip_joint,0.33547183841838785
xi_common_only,-,0.5,12,left_knee_joint,-0.007250150540152184
xi_common_only,-,0.5,14,left_connect1_joint,-0.0
xi_common_only,-,0.5,15,left_connect2_joint,-0.0
xi_common_only,-,0.25,6,right_hip_joint,0.1956156173281709
xi_common_only,-,0.25,7,right_knee_joint,-0.015315757835332455
xi_common_only,-,0.25,9,right_connect1_joint,-0.0
xi_common_only,-,0.25,10,right_connect2_joint,-0.0
xi_common_only,-,0.25,11,left_hip_joint,0.3354718384443185
xi_common_only,-,0.25,12,left_knee_joint,-0.007250150536785432
xi_common_only,-,0.25,14,left_connect1_joint,-0.0
xi_common_only,-,0.25,15,left_connect2_joint,-0.0
xi_common_only,+,1.0,6,right_hip_joint,0.19561561728281274
xi_common_only,+,1.0,7,right_knee_joint,-0.015315757830686172
xi_common_only,+,1.0,9,right_connect1_joint,0.0
xi_common_only,+,1.0,10,right_connect2_joint,0.0
xi_common_only,+,1.0,11,left_hip_joint,0.33547183840553174
xi_common_only,+,1.0,12,left_knee_joint,-0.007250150532878662
xi_common_only,+,1.0,14,left_connect1_joint,0.0
xi_common_only,+,1.0,15,left_connect2_joint,0.0
xi_common_only,+,0.5,6,right_hip_joint,0.19561561727401422
xi_common_only,+,0.5,7,right_knee_joint,-0.015315757826284138
xi_common_only,+,0.5,9,right_connect1_joint,0.0
xi_common_only,+,0.5,10,right_connect2_joint,0.0
xi_common_only,+,0.5,11,left_hip_joint,0.3354718384010961
xi_common_only,+,0.5,12,left_knee_joint,-0.0072501505294950835
xi_common_only,+,0.5,14,left_connect1_joint,0.0
xi_common_only,+,0.5,15,left_connect2_joint,0.0
xi_common_only,+,0.25,6,right_hip_joint,0.19561561728325128
xi_common_only,+,0.25,7,right_knee_joint,-0.015315757821943166
xi_common_only,+,0.25,9,right_connect1_joint,0.0
xi_common_only,+,0.25,10,right_connect2_joint,0.0
xi_common_only,+,0.25,11,left_hip_joint,0.3354718384210961
xi_common_only,+,0.25,12,left_knee_joint,-0.007250150524227422
xi_common_only,+,0.25,14,left_connect1_joint,0.0
xi_common_only,+,0.25,15,left_connect2_joint,0.0
slip_common_only,-,1.0,6,right_hip_joint,-2.734463232549944
slip_common_only,-,1.0,7,right_knee_joint,-0.1347586239265064
slip_common_only,-,1.0,9,right_connect1_joint,-0.0
slip_common_only,-,1.0,10,right_connect2_joint,-0.0
slip_common_only,-,1.0,11,left_hip_joint,-1.3735673649890114
slip_common_only,-,1.0,12,left_knee_joint,-0.0523039711531597
slip_common_only,-,1.0,14,left_connect1_joint,-0.0
slip_common_only,-,1.0,15,left_connect2_joint,-0.0
slip_common_only,-,0.5,6,right_hip_joint,-2.734463232549944
slip_common_only,-,0.5,7,right_knee_joint,-0.13475862392552385
slip_common_only,-,0.5,9,right_connect1_joint,-0.0
slip_common_only,-,0.5,10,right_connect2_joint,-0.0
