channel,branch,scale,model,dof,joint,g_ddxi_common_contribution
xi_common_only,-,1.0,qp,6,right_hip_joint,0.49277173295079224
xi_common_only,-,1.0,mj,6,right_hip_joint,0.19561561728778654
xi_common_only,-,1.0,qp,7,right_knee_joint,0.007206647994103393
xi_common_only,-,1.0,mj,7,right_knee_joint,-0.01531575783684791
xi_common_only,-,1.0,qp,9,right_connect1_joint,-0.0
xi_common_only,-,1.0,mj,9,right_connect1_joint,-0.0
xi_common_only,-,1.0,qp,10,right_connect2_joint,-0.0
xi_common_only,-,1.0,mj,10,right_connect2_joint,-0.0
xi_common_only,-,1.0,qp,11,left_hip_joint,0.4988510052159206
xi_common_only,-,1.0,mj,11,left_hip_joint,0.3354718384241024
xi_common_only,-,1.0,qp,12,left_knee_joint,0.001139563788080068
xi_common_only,-,1.0,mj,12,left_knee_joint,-0.007250150537223277
xi_common_only,-,1.0,qp,14,left_connect1_joint,-0.0
xi_common_only,-,1.0,mj,14,left_connect1_joint,-0.0
xi_common_only,-,1.0,qp,15,left_connect2_joint,-0.0
xi_common_only,-,1.0,mj,15,left_connect2_joint,-0.0
xi_common_only,-,0.5,qp,6,right_hip_joint,0.49277173295538945
xi_common_only,-,0.5,mj,6,right_hip_joint,0.19561561729695143
xi_common_only,-,0.5,qp,7,right_knee_joint,0.0072066479895059425
xi_common_only,-,0.5,mj,7,right_knee_joint,-0.015315757840117517
xi_common_only,-,0.5,qp,9,right_connect1_joint,-0.0
xi_common_only,-,0.5,mj,9,right_connect1_joint,-0.0
xi_common_only,-,0.5,qp,10,right_connect2_joint,-0.0
xi_common_only,-,0.5,mj,10,right_connect2_joint,-0.0
xi_common_only,-,0.5,qp,11,left_hip_joint,0.49885100521745923
xi_common_only,-,0.5,mj,11,left_hip_joint,0.33547183841838785
xi_common_only,-,0.5,qp,12,left_knee_joint,0.0011395637865398937
xi_common_only,-,0.5,mj,12,left_knee_joint,-0.007250150540152184
xi_common_only,-,0.5,qp,14,left_connect1_joint,-0.0
xi_common_only,-,0.5,mj,14,left_connect1_joint,-0.0
xi_common_only,-,0.5,qp,15,left_connect2_joint,-0.0
xi_common_only,-,0.5,mj,15,left_connect2_joint,-0.0
xi_common_only,-,0.25,qp,6,right_hip_joint,0.49277173295356164
xi_common_only,-,0.25,mj,6,right_hip_joint,0.1956156173281709
xi_common_only,-,0.25,qp,7,right_knee_joint,0.007206647991329831
xi_common_only,-,0.25,mj,7,right_knee_joint,-0.015315757835332455
xi_common_only,-,0.25,qp,9,right_connect1_joint,-0.0
xi_common_only,-,0.25,mj,9,right_connect1_joint,-0.0
xi_common_only,-,0.25,qp,10,right_connect2_joint,-0.0
xi_common_only,-,0.25,mj,10,right_connect2_joint,-0.0
xi_common_only,-,0.25,qp,11,left_hip_joint,0.4988510052163557
xi_common_only,-,0.25,mj,11,left_hip_joint,0.3354718384443185
xi_common_only,-,0.25,qp,12,left_knee_joint,0.0011395637876470376
xi_common_only,-,0.25,mj,12,left_knee_joint,-0.007250150536785432
xi_common_only,-,0.25,qp,14,left_connect1_joint,-0.0
xi_common_only,-,0.25,mj,14,left_connect1_joint,-0.0
xi_common_only,-,0.25,qp,15,left_connect2_joint,-0.0
xi_common_only,-,0.25,mj,15,left_connect2_joint,-0.0
xi_common_only,+,1.0,qp,6,right_hip_joint,0.4927717329440997
xi_common_only,+,1.0,mj,6,right_hip_joint,0.19561561728281274
xi_common_only,+,1.0,qp,7,right_knee_joint,0.00720664800079381
xi_common_only,+,1.0,mj,7,right_knee_joint,-0.015315757830686172
xi_common_only,+,1.0,qp,9,right_connect1_joint,0.0
xi_common_only,+,1.0,mj,9,right_connect1_joint,0.0
xi_common_only,+,1.0,qp,10,right_connect2_joint,0.0
xi_common_only,+,1.0,mj,10,right_connect2_joint,0.0
xi_common_only,+,1.0,qp,11,left_hip_joint,0.498851005210761
xi_common_only,+,1.0,mj,11,left_hip_joint,0.33547183840553174
xi_common_only,+,1.0,qp,12,left_knee_joint,0.0011395637932389404
xi_common_only,+,1.0,mj,12,left_knee_joint,-0.007250150532878662
xi_common_only,+,1.0,qp,14,left_connect1_joint,0.0
xi_common_only,+,1.0,mj,14,left_connect1_joint,0.0
xi_common_only,+,1.0,qp,15,left_connect2_joint,0.0
xi_common_only,+,1.0,mj,15,left_connect2_joint,0.0
xi_common_only,+,0.5,qp,6,right_hip_joint,0.49277173293833365
xi_common_only,+,0.5,mj,6,right_hip_joint,0.19561561727401422
xi_common_only,+,0.5,qp,7,right_knee_joint,0.007206648006557147
xi_common_only,+,0.5,mj,7,right_knee_joint,-0.015315757826284138
xi_common_only,+,0.5,qp,9,right_connect1_joint,0.0
xi_common_only,+,0.5,mj,9,right_connect1_joint,0.0
xi_common_only,+,0.5,qp,10,right_connect2_joint,0.0
xi_common_only,+,0.5,mj,10,right_connect2_joint,0.0
xi_common_only,+,0.5,qp,11,left_hip_joint,0.49885100520806114
xi_common_only,+,0.5,mj,11,left_hip_joint,0.3354718384010961
xi_common_only,+,0.5,qp,12,left_knee_joint,0.0011395637959375413
xi_common_only,+,0.5,mj,12,left_knee_joint,-0.0072501505294950835
xi_common_only,+,0.5,qp,14,left_connect1_joint,0.0
xi_common_only,+,0.5,mj,14,left_connect1_joint,0.0
xi_common_only,+,0.5,qp,15,left_connect2_joint,0.0
xi_common_only,+,0.5,mj,15,left_connect2_joint,0.0
