channel,branch,scale,model,dof,joint,g_ddxi_common_contribution
xi_common_only,-,1.0,qp,6,right_hip_joint,0.492105256637685
xi_common_only,-,1.0,mj,6,right_hip_joint,0.49626439709426484
xi_common_only,-,1.0,qp,7,right_knee_joint,0.007850274201265557
xi_common_only,-,1.0,mj,7,right_knee_joint,0.0074714273117393315
xi_common_only,-,1.0,qp,9,right_connect1_joint,-0.0
xi_common_only,-,1.0,mj,9,right_connect1_joint,-0.0
xi_common_only,-,1.0,qp,10,right_connect2_joint,-0.0
xi_common_only,-,1.0,mj,10,right_connect2_joint,-0.0
xi_common_only,-,1.0,qp,11,left_hip_joint,0.49744089631591465
xi_common_only,-,1.0,mj,11,left_hip_joint,0.48290183278266396
xi_common_only,-,1.0,qp,12,left_knee_joint,0.002543873017361712
xi_common_only,-,1.0,mj,12,left_knee_joint,0.0018372760645851
xi_common_only,-,1.0,qp,14,left_connect1_joint,-0.0
xi_common_only,-,1.0,mj,14,left_connect1_joint,-0.0
xi_common_only,-,1.0,qp,15,left_connect2_joint,-0.0
xi_common_only,-,1.0,mj,15,left_connect2_joint,-0.0
xi_common_only,-,0.5,qp,6,right_hip_joint,0.4921052566368879
xi_common_only,-,0.5,mj,6,right_hip_joint,0.4962643970912062
xi_common_only,-,0.5,qp,7,right_knee_joint,0.007850274202064658
xi_common_only,-,0.5,mj,7,right_knee_joint,0.0074714273140541465
xi_common_only,-,0.5,qp,9,right_connect1_joint,-0.0
xi_common_only,-,0.5,mj,9,right_connect1_joint,-0.0
xi_common_only,-,0.5,qp,10,right_connect2_joint,-0.0
xi_common_only,-,0.5,mj,10,right_connect2_joint,-0.0
xi_common_only,-,0.5,qp,11,left_hip_joint,0.4974408963116503
xi_common_only,-,0.5,mj,11,left_hip_joint,0.4829018327785364
xi_common_only,-,0.5,qp,12,left_knee_joint,0.0025438730216284164
xi_common_only,-,0.5,mj,12,left_knee_joint,0.0018372760687414974
xi_common_only,-,0.5,qp,14,left_connect1_joint,-0.0
xi_common_only,-,0.5,mj,14,left_connect1_joint,-0.0
xi_common_only,-,0.5,qp,15,left_connect2_joint,-0.0
xi_common_only,-,0.5,mj,15,left_connect2_joint,-0.0
xi_common_only,-,0.25,qp,6,right_hip_joint,0.49210525664522214
xi_common_only,-,0.25,mj,6,right_hip_joint,0.4962643971007541
xi_common_only,-,0.25,qp,7,right_knee_joint,0.007850274193730786
xi_common_only,-,0.25,mj,7,right_knee_joint,0.007471427303729072
xi_common_only,-,0.25,qp,9,right_connect1_joint,-0.0
xi_common_only,-,0.25,mj,9,right_connect1_joint,-0.0
xi_common_only,-,0.25,qp,10,right_connect2_joint,-0.0
xi_common_only,-,0.25,mj,10,right_connect2_joint,-0.0
xi_common_only,-,0.25,qp,11,left_hip_joint,0.4974408963278383
xi_common_only,-,0.25,mj,11,left_hip_joint,0.48290183279240184
xi_common_only,-,0.25,qp,12,left_knee_joint,0.0025438730054459617
xi_common_only,-,0.25,mj,12,left_knee_joint,0.0018372760550694478
xi_common_only,-,0.25,qp,14,left_connect1_joint,-0.0
xi_common_only,-,0.25,mj,14,left_connect1_joint,-0.0
xi_common_only,-,0.25,qp,15,left_connect2_joint,-0.0
xi_common_only,-,0.25,mj,15,left_connect2_joint,-0.0
xi_common_only,+,1.0,qp,6,right_hip_joint,0.4921052566353008
xi_common_only,+,1.0,mj,6,right_hip_joint,0.49626439709083425
xi_common_only,+,1.0,qp,7,right_knee_joint,0.007850274203651343
xi_common_only,+,1.0,mj,7,right_knee_joint,0.0074714273152087785
xi_common_only,+,1.0,qp,9,right_connect1_joint,0.0
xi_common_only,+,1.0,mj,9,right_connect1_joint,0.0
xi_common_only,+,1.0,qp,10,right_connect2_joint,0.0
xi_common_only,+,1.0,mj,10,right_connect2_joint,0.0
xi_common_only,+,1.0,qp,11,left_hip_joint,0.4974408963095179
xi_common_only,+,1.0,mj,11,left_hip_joint,0.4829018327775037
xi_common_only,+,1.0,qp,12,left_knee_joint,0.0025438730237569655
xi_common_only,+,1.0,mj,12,left_knee_joint,0.001837276069873231
xi_common_only,+,1.0,qp,14,left_connect1_joint,0.0
xi_common_only,+,1.0,mj,14,left_connect1_joint,0.0
xi_common_only,+,1.0,qp,15,left_connect2_joint,0.0
xi_common_only,+,1.0,mj,15,left_connect2_joint,0.0
xi_common_only,+,0.5,qp,6,right_hip_joint,0.49210525663310484
xi_common_only,+,0.5,mj,6,right_hip_joint,0.4962643970884084
xi_common_only,+,0.5,qp,7,right_knee_joint,0.007850274205849434
xi_common_only,+,0.5,mj,7,right_knee_joint,0.00747142731770678
xi_common_only,+,0.5,qp,9,right_connect1_joint,0.0
xi_common_only,+,0.5,mj,9,right_connect1_joint,0.0
xi_common_only,+,0.5,qp,10,right_connect2_joint,0.0
xi_common_only,+,0.5,mj,10,right_connect2_joint,0.0
xi_common_only,+,0.5,qp,11,left_hip_joint,0.49744089630624677
xi_common_only,+,0.5,mj,11,left_hip_joint,0.482901832775736
xi_common_only,+,0.5,qp,12,left_knee_joint,0.002543873027024664
xi_common_only,+,0.5,mj,12,left_knee_joint,0.0018372760724180703
xi_common_only,+,0.5,qp,14,left_connect1_joint,0.0
xi_common_only,+,0.5,mj,14,left_connect1_joint,0.0
xi_common_only,+,0.5,qp,15,left_connect2_joint,0.0
xi_common_only,+,0.5,mj,15,left_connect2_joint,0.0
xi_common_only,+,0.25,qp,6,right_hip_joint,0.49210525663042903
xi_common_only,+,0.25,mj,6,right_hip_joint,0.4962643970853886
xi_common_only,+,0.25,qp,7,right_knee_joint,0.007850274208522252
xi_common_only,+,0.25,mj,7,right_knee_joint,0.007471427321847912
xi_common_only,+,0.25,qp,9,right_connect1_joint,0.0
xi_common_only,+,0.25,mj,9,right_connect1_joint,0.0
xi_common_only,+,0.25,qp,10,right_connect2_joint,0.0
xi_common_only,+,0.25,mj,10,right_connect2_joint,0.0
xi_common_only,+,0.25,qp,11,left_hip_joint,0.49744089629905974
xi_common_only,+,0.25,mj,11,left_hip_joint,0.48290183276815735
xi_common_only,+,0.25,qp,12,left_knee_joint,0.002543873034202039
xi_common_only,+,0.25,mj,12,left_knee_joint,0.001837276079226513
xi_common_only,+,0.25,qp,14,left_connect1_joint,0.0
xi_common_only,+,0.25,mj,14,left_connect1_joint,0.0
xi_common_only,+,0.25,qp,15,left_connect2_joint,0.0
xi_common_only,+,0.25,mj,15,left_connect2_joint,0.0
slip_common_only,-,1.0,qp,6,right_hip_joint,-0.07492884875317314
slip_common_only,-,1.0,mj,6,right_hip_joint,-0.03518013914281526
slip_common_only,-,1.0,qp,7,right_knee_joint,0.07451268915127204
slip_common_only,-,1.0,mj,7,right_knee_joint,0.07061531152771638
slip_common_only,-,1.0,qp,9,right_connect1_joint,-0.0
slip_common_only,-,1.0,mj,9,right_connect1_joint,-0.0
slip_common_only,-,1.0,qp,10,right_connect2_joint,-0.0
slip_common_only,-,1.0,mj,10,right_connect2_joint,-0.0
slip_common_only,-,1.0,qp,11,left_hip_joint,-0.028382264487884844
slip_common_only,-,1.0,mj,11,left_hip_joint,-0.16565867699586503
slip_common_only,-,1.0,qp,12,left_knee_joint,0.0282402528781021
slip_common_only,-,1.0,mj,12,left_knee_joint,0.022592277863053845
slip_common_only,-,1.0,qp,14,left_connect1_joint,-0.0
slip_common_only,-,1.0,mj,14,left_connect1_joint,-0.0
slip_common_only,-,1.0,qp,15,left_connect2_joint,-0.0
slip_common_only,-,1.0,mj,15,left_connect2_joint,-0.0
slip_common_only,-,0.5,qp,6,right_hip_joint,-0.07492884875390046
slip_common_only,-,0.5,mj,6,right_hip_joint,-0.03518013914343143
slip_common_only,-,0.5,qp,7,right_knee_joint,0.07451268915199863
slip_common_only,-,0.5,mj,7,right_knee_joint,0.07061531152825484
slip_common_only,-,0.5,qp,9,right_connect1_joint,-0.0
slip_common_only,-,0.5,mj,9,right_connect1_joint,-0.0
slip_common_only,-,0.5,qp,10,right_connect2_joint,-0.0
slip_common_only,-,0.5,mj,10,right_connect2_joint,-0.0
slip_common_only,-,0.5,qp,11,left_hip_joint,-0.028382264490152843
slip_common_only,-,0.5,mj,11,left_hip_joint,-0.16565867699753384
slip_common_only,-,0.5,qp,12,left_knee_joint,0.028240252880369673
slip_common_only,-,0.5,mj,12,left_knee_joint,0.022592277864699056
slip_common_only,-,0.5,qp,14,left_connect1_joint,-0.0
slip_common_only,-,0.5,mj,14,left_connect1_joint,-0.0
slip_common_only,-,0.5,qp,15,left_connect2_joint,-0.0
slip_common_only,-,0.5,mj,15,left_connect2_joint,-0.0
slip_common_only,-,0.25,qp,6,right_hip_joint,-0.07492884874513127
slip_common_only,-,0.25,mj,6,right_hip_joint,-0.03518013913439422
slip_common_only,-,0.25,qp,7,right_knee_joint,0.0745126891432358
slip_common_only,-,0.25,mj,7,right_knee_joint,0.07061531151983935
slip_common_only,-,0.25,qp,9,right_connect1_joint,-0.0
slip_common_only,-,0.25,mj,9,right_connect1_joint,-0.0
slip_common_only,-,0.25,qp,10,right_connect2_joint,-0.0
slip_common_only,-,0.25,mj,10,right_connect2_joint,-0.0
slip_common_only,-,0.25,qp,11,left_hip_joint,-0.028382264483783847
slip_common_only,-,0.25,mj,11,left_hip_joint,-0.16565867699217668
